round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_prevalence,fed_ece,fed_f1_best,fed_brier,fed_f1_best_threshold,fed_auroc,fed_auprc,fed_auprc_lift,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6902358470394045,0.08807365967183714,3.66096,3.66096,1.0,0.26144085618365764,0.11424435072700947,0.3819786368329866,0.2852697349411495,0.2434302487655843,0.5216316977073691,0.6497488464778528,0.21296015720310907,1.8914768703649876,0.6498593281756424,0.20854437064174924,1.8310066726826848,0.2568756875687569,0.26770586241951877,0.5120648741722107,0.38147516032428974,0.24321916418411482,0.11389601892395189,0.025485756570631277,2.7433141303517914,0.02320932623002807,0.027146588905737356,0.011489836709493809
2.0,0.6621631221171309,0.1646177566837328,7.32192,7.32192,1.0,0.27276878334804294,0.11424435072700947,0.3424741835904675,0.293621524068273,0.2167477550772561,0.5270802338885534,0.6551419952879897,0.21935963995346983,1.9494651592564498,0.6552388891044606,0.2128237108257945,1.8685790147581576,0.2695742953253683,0.2715168806466952,0.5029110908508301,0.3417081757446224,0.2161860738623893,0.11389601892395189,0.017565840363320522,2.0323663921626576,0.016643271915669642,0.018296524679419838,0.005800150774474249
3.0,0.6459409691228554,0.32872271844365847,10.98288,10.98288,1.0,0.2714327052167457,0.11424435072700947,0.35787736195134123,0.29866463293780937,0.22703130638160596,0.5512798852637496,0.6607662497767478,0.2267205774426607,2.017282395394322,0.6582017017156958,0.21522056955076918,1.8896232860822946,0.2680851063829787,0.2729119638826185,0.5067881345748901,0.35687450980439955,0.2265756138671716,0.11389601892395189,0.01253281874041148,1.5640832746703381,0.012532939225900814,0.012604078892726673,0.004633673491916786
4.0,0.6459557261716764,0.31023994609435146,14.64384,14.64384,1.0,0.2759789390806203,0.11424435072700947,0.34252588085484575,0.3026350927445096,0.2178860470008807,0.5415911038440251,0.6614516423805693,0.22989358886896752,2.0400631161779583,0.6587098917639906,0.214983625671494,1.8875429334807399,0.2693649685973482,0.2730358265241986,0.5123388767242432,0.3413742882418905,0.21743895011538428,0.11389601892395189,0.010067133715219828,1.3368071592776687,0.009952409768285847,0.010196911397719093,0.004314755001466094
5.0,0.6417762930474116,0.34168228018163865,18.3048,18.3048,1.0,0.2799141711846383,0.11424435072700947,0.3389582630501764,0.30329481303724354,0.2144389559753801,0.5393340841855833,0.6632830666724864,0.23161103509483724,2.055532376634964,0.6591370876507421,0.2144246474059367,1.8826351388902147,0.27358490566037735,0.27522464698331195,0.5088486671447754,0.3378976870734485,0.2142601273638973,0.11389601892395189,0.0090354852573326,1.2705901205099508,0.009111580765152089,0.009017584639515519,0.00419943899600867
6.0,0.6446093929198562,0.3656288774498867,21.96576,21.96576,1.0,0.27779766791905947,0.11424435072700947,0.3282242414756156,0.306133850454219,0.20937168562449182,0.5400786387704275,0.6654377421620847,0.2370353803853043,2.1029683633938197,0.6594289502499073,0.21393199508788655,1.8783096820155623,0.2729333174281284,0.27456258411843876,0.5055465698242188,0.32689037065878207,0.20941435450678264,0.11389601892395189,0.008440101438129823,1.255084924545372,0.00816446810158505,0.008685041848831633,0.004027586105902311
7.0,0.6427513232894522,0.4323821057737054,25.62672,25.62672,1.0,0.2712854163492738,0.11424435072700947,0.3698102808213634,0.30478580310622727,0.23602540610538283,0.5669666657050424,0.6677017509875097,0.23918721219292913,2.123510895003907,0.6610464616343934,0.21563977888521363,1.8933039181044231,0.26868418362130664,0.27982590885816694,0.5446935892105103,0.3689548171442824,0.23618846260589393,0.11389601892395189,0.008626181113663546,1.3525812357693212,0.007836701139739896,0.009284294692464999,0.004421830168640891
8.0,0.6382083517474089,0.32859926680164075,29.28768,29.28768,1.0,0.2811247678642288,0.11424435072700947,0.3246383503236051,0.3092451655666048,0.2065618707736707,0.5484806125257976,0.6691687540656502,0.24232763991130052,2.1452730329437455,0.6600051708760958,0.21394173702575303,1.8783952156273473,0.2740785498489426,0.2753510140405616,0.5147660970687866,0.3235132676005106,0.20698003770944123,0.11389601892395189,0.007903374468887317,1.3119143969997822,0.007234722265676867,0.008478115587453337,0.0044633165625513355
9.0,0.6468411214617849,0.5006730457590943,32.94864,32.94864,1.0,0.27582308066986805,0.11424435072700947,0.35449390665710606,0.3117285638555923,0.22391614684853614,0.5556788550113094,0.6725478902562094,0.24639903029508842,2.190706423259819,0.6598955765140324,0.21478805965014153,1.8858258759119142,0.2712947658402204,0.27764821406652757,0.5175644755363464,0.3536676529215017,0.22471791636089275,0.11389601892395189,0.008483945824065859,1.4975843191114109,0.006952002549768952,0.009814025443995593,0.0048544141587206924
10.0,0.641250245458711,0.3588911471045144,36.6096,36.6096,1.0,0.2813273930161942,0.11424435072700947,0.35236779773010957,0.31433238421265614,0.22203367947641828,0.5619106360331816,0.6749421290044512,0.250914460980406,2.22868807886381,0.6592239298567971,0.21341441538827952,1.8737653642729675,0.2756349952963311,0.27758007117437716,0.5079432725906372,0.3512288216242548,0.2231539314713141,0.11389601892395189,0.008317717335765628,1.5610355761655228,0.006351121061806251,0.010064996943578413,0.0043560459415116545
