round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_auroc,fed_ece,fed_auprc,fed_f1_best,fed_f1_best_threshold,fed_auprc_lift,fed_brier,fed_prevalence,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.687544710147591,0.11203232414176956,3.65056,3.65056,0.9971592150692714,0.21886415620785754,0.6064384602352932,0.381556898062863,0.20239110238962052,0.2754736458590392,0.5138616160042245,1.7487435726208136,0.24434279849771837,0.11392245720040282,0.5331099840476389,0.12532879025599564,1.1003790250094465,0.0,0.2088206068944432,0.47197413444519043,0.3579618866949174,0.22905070337487032,0.11389601892395189,0.027875319890724466,3.010779023170471,0.02305163913148284,0.031100652360902675
2.0,0.6819369161939244,0.1264526123780778,7.30112,7.30112,0.9971592150692714,0.2507639954092226,0.6438691155162819,0.3735330549649302,0.22406975696341921,0.2926799337321347,0.5486067220463615,1.949338686128703,0.2368294234964975,0.11392245720040282,0.4710289255325071,0.11004576270862174,0.9661949886246598,0.0,0.20451875282422052,0.38523057103157043,0.3580371329076301,0.2293401816793436,0.11389601892395189,0.019137220250671588,2.1998819108121097,0.015018636132932509,0.02191476919016361
3.0,0.6725820574722099,0.18959248593295494,10.95168,10.95168,0.9971592150692714,0.26997392727718045,0.658627102692126,0.36676273206183224,0.23283498351883702,0.29730296304551684,0.5493743559636348,2.0179780023321396,0.2314549872082547,0.11392245720040282,0.49361763748137727,0.11438303675492728,1.0042759864267123,0.0,0.20451875282422052,0.39311927556991577,0.357280274247228,0.22872908267447425,0.11389601892395189,0.013800829951949372,1.701010016258806,0.012184033781961012,0.01491175301948035
4.0,0.6638494406285631,0.22400925359126736,14.60224,14.60224,0.9971592150692714,0.26898600928264377,0.6657199091514445,0.35152761526368304,0.23736693851612314,0.30181713867766463,0.5434000337025578,2.061970682525412,0.22108687557252157,0.11392245720040282,0.4035374469867235,0.0961391135344881,0.8440954692075758,0.0,0.20450951154489178,0.3957798182964325,0.35992025148287177,0.23132340883062077,0.11389601892395189,0.01119341875924572,1.4621896743774414,0.010596173302396315,0.011618350773735686
5.0,0.6565507478190605,0.27872324921691627,18.2528,18.2528,0.9971592150692714,0.281399232723977,0.6695712711653744,0.34444037398974314,0.241952912280261,0.3052628273943891,0.5145555520477102,2.1127175364405115,0.21604939806476714,0.11392245720040282,0.39064519442087514,0.09271640572770123,0.8140443064090569,0.0,0.20451875282422052,0.4171784818172455,0.36243034326182416,0.23279570758073442,0.11389601892395189,0.011047168781139543,1.5335341090103611,0.010085168783436326,0.011759584186581327
6.0,0.6538579680800444,0.29286956466513264,18.2528,18.2528,0.0,0.2884562563970104,0.6882992659531433,0.352927781384971,0.2595144384646987,0.3209092935313514,0.5521274045679987,2.3260859564641896,0.22099460176769511,0.11392245720040282,0.39064519442087514,0.09271640572770123,0.8140443064090569,0.0,0.20451875282422052,0.4171784818172455,0.36243034326182416,0.23279570758073442,0.11389601892395189,0.0,0.0,,
7.0,0.6325581795289177,0.33471828777937357,18.2528,18.2528,0.0,0.3076733065203211,0.6963045218555858,0.3318522675722568,0.271211708667858,0.33176034298372975,0.5443916767854377,2.454751742238212,0.20759391789688408,0.11392245720040282,0.39064519442087514,0.09271640572770123,0.8140443064090569,0.0,0.20451875282422052,0.4171784818172455,0.36243034326182416,0.23279570758073442,0.11389601892395189,0.0,0.0,,
8.0,0.6185033805739887,0.4271831572403286,18.2528,18.2528,0.0,0.31040491274441406,0.7064703861284657,0.34124171541231635,0.28217833724169306,0.33696501940054513,0.5918605748980427,2.569860385507348,0.21369761065148918,0.11392245720040282,0.39064519442087514,0.09271640572770123,0.8140443064090569,0.0,0.20451875282422052,0.4171784818172455,0.36243034326182416,0.23279570758073442,0.11389601892395189,0.0,0.0,,
9.0,0.6476787258203007,0.2991005190191566,21.90336,21.90336,0.9971592150692714,0.28245789208563143,0.6748042075827158,0.3633493125318639,0.24566559811523458,0.3089937924858063,0.5481648874325605,2.1712255871858943,0.229118984155395,0.11392245720040282,0.39355987988467955,0.09304236134086225,0.8169061765274379,0.0,0.20451875282422052,0.436586856842041,0.3633376002353705,0.23321658611106108,0.11389601892395189,0.009746944675213845,1.4348896783776581,0.008075233594322257,0.011032219609785118
10.0,0.6447604791767405,0.3066801207925468,21.90336,21.90336,0.0,0.2977992501177774,0.6882011585957027,0.34657769910062686,0.26388225526049125,0.321801312930189,0.5608021857879103,2.389133416792533,0.2175127734348867,0.11392245720040282,0.39355987988467955,0.09304236134086225,0.8169061765274379,0.0,0.20451875282422052,0.436586856842041,0.3633376002353705,0.23321658611106108,0.11389601892395189,0.0,0.0,,
11.0,0.628866112010287,0.3960366417922213,21.90336,21.90336,0.0,0.30813983574053416,0.6995305118377768,0.31324760761045856,0.27692589143882956,0.3307747116594871,0.5582467475709058,2.5098598908103296,0.19672876219073598,0.11392245720040282,0.39355987988467955,0.09304236134086225,0.8169061765274379,0.0,0.20451875282422052,0.436586856842041,0.3633376002353705,0.23321658611106108,0.11389601892395189,0.0,0.0,,
12.0,0.6161521280494721,0.48206863128594285,21.90336,21.90336,0.0,0.3101477009002332,0.7106555985296648,0.33086338170596813,0.28722119226519954,0.3410065105861792,0.5903662645125766,2.5982294929865546,0.2076677977472985,0.11392245720040282,0.39355987988467955,0.09304236134086225,0.8169061765274379,0.0,0.20451875282422052,0.436586856842041,0.3633376002353705,0.23321658611106108,0.11389601892395189,0.0,0.0,,
13.0,0.6429405358543068,0.29805485855515923,25.55392,25.55392,0.9971592150692714,0.2895780012468219,0.677329073717576,0.3529987585208448,0.25086568180410845,0.3127572578075709,0.5592725574745153,2.2634878642161937,0.2223711610567663,0.11392245720040282,0.34425904497969473,0.0830628513782385,0.7292866964358024,0.0008833922261484099,0.20450951154489178,0.439179927110672,0.3648514198386331,0.23456516051944798,0.11389601892395189,0.008240599580152488,1.2906165355816483,0.006608699115738494,0.00951271696897163
14.0,0.6395385598309286,0.3373097703283792,25.55392,25.55392,0.0,0.2924726307954094,0.6929636464022991,0.34286188214903834,0.2683893186906892,0.3263401896189187,0.569065956220646,2.425419831202344,0.21588681476109864,0.11392245720040282,0.34425904497969473,0.0830628513782385,0.7292866964358024,0.0008833922261484099,0.20450951154489178,0.439179927110672,0.3648514198386331,0.23456516051944798,0.11389601892395189,0.0,0.0,,
15.0,0.6229833129443895,0.5446022429999192,25.55392,25.55392,0.0,0.30097943285370354,0.701263217964689,0.33713415277205516,0.27432039572882777,0.33056113331033277,0.5602297555872833,2.4752373547346562,0.21146042436126883,0.11392245720040282,0.34425904497969473,0.0830628513782385,0.7292866964358024,0.0008833922261484099,0.20450951154489178,0.439179927110672,0.3648514198386331,0.23456516051944798,0.11389601892395189,0.0,0.0,,
16.0,0.6068632916603545,0.5064523071841432,25.55392,25.55392,0.0,0.30181676093868687,0.7148714483083387,0.353858957570426,0.2921970433980029,0.34763907508528674,0.5888988114687103,2.636100845423498,0.22325105732321693,0.11392245720040282,0.34425904497969473,0.0830628513782385,0.7292866964358024,0.0008833922261484099,0.20450951154489178,0.439179927110672,0.3648514198386331,0.23456516051944798,0.11389601892395189,0.0,0.0,,
17.0,0.6428456966840898,0.4180109208599056,29.20448,29.20448,0.9971592150692714,0.29314945929865,0.679517039963533,0.33604337449897415,0.25335188849796747,0.31455977285479353,0.5567740296808044,2.2902772106165235,0.21157520906388236,0.11392245720040282,0.35014378408838953,0.08334776693723267,0.7317882374175324,0.0008830022075055188,0.20450951154489178,0.4608338475227356,0.36684518150591133,0.2359869384741886,0.11389601892395189,0.007472689066062027,1.2381313653895631,0.006080822494488077,0.00857512345007083
18.0,0.6395507148842483,0.4370681371917969,29.20448,29.20448,0.0,0.30366305348990913,0.695134610773349,0.3364087124106597,0.2706407540660936,0.3279131701272598,0.5680480561944142,2.44304311576579,0.2107498220009676,0.11392245720040282,0.35014378408838953,0.08334776693723267,0.7317882374175324,0.0008830022075055188,0.20450951154489178,0.4608338475227356,0.36684518150591133,0.2359869384741886,0.11389601892395189,0.0,0.0,,
19.0,0.6212500443579487,0.5139392551036812,29.20448,29.20448,0.0,0.3126258725413267,0.7072713046261151,0.314677468705022,0.28214074524735105,0.339588995319907,0.5669670698550893,2.541677898133872,0.19900516531622753,0.11392245720040282,0.35014378408838953,0.08334776693723267,0.7317882374175324,0.0008830022075055188,0.20450951154489178,0.4608338475227356,0.36684518150591133,0.2359869384741886,0.11389601892395189,0.0,0.0,,
20.0,0.6095523876114892,0.7721138937660669,29.20448,29.20448,0.0,0.3140139318749998,0.7196907772916249,0.3412783665935183,0.297113146391472,0.34852457543645693,0.564151325747971,2.6866910369213004,0.21266233078430039,0.11392245720040282,0.35014378408838953,0.08334776693723267,0.7317882374175324,0.0008830022075055188,0.20450951154489178,0.4608338475227356,0.36684518150591133,0.2359869384741886,0.11389601892395189,0.0,0.0,,
