round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_ece,fed_prevalence,fed_auprc_lift,fed_brier,fed_f1_best,fed_f1,fed_f1_best_threshold,fed_auprc,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,11.469686032460585,266.4965635106673,3.65056,3.65056,0.9971592150692714,0.387735446787571,0.10991501416430595,1.7437438433155212,0.24713567371108763,0.27177489893850215,0.21245469105326822,0.5002817696544934,0.19452275407134367,0.6259706564869673,0.4112908747565218,0.10650428235482916,0.9351010102112685,0.2040779173493537,0.20454648167397296,0.4965810775756836,0.3939564925245313,0.2562301932503897,0.11389601892395189,0.024098355433167764,2.5907726255245507,0.020221713746374298,0.02665986698069274
2.0,11.211161127323704,293.4982887346463,7.30112,7.30112,0.9971592150692714,0.39116062016505143,0.10991501416430595,1.9075462620234491,0.2480947929939282,0.2879542835910355,0.2457555008550922,0.5385776285521818,0.2101304210108849,0.6507720333424866,0.4285475630997728,0.10149222713854483,0.8910954754819918,0.20441063261332246,0.20472440944881887,0.4995970129966736,0.39730949590458015,0.2589856318921913,0.11389601892395189,0.017326869215210993,1.9529491169378161,0.014097061844228324,0.019476870135921753
3.0,10.895759863205582,332.62055800646806,10.95168,10.95168,0.9971592150692714,0.384058687701554,0.10991501416430595,1.970332803339955,0.24229930659336094,0.29439864136125765,0.2593780323677954,0.5566314100618815,0.2162286022329321,0.6602156736508886,0.3823886089329307,0.08683097827563457,0.7623706174805935,0.20341303157510496,0.20455572629485672,0.49639400839805603,0.3968068375006806,0.2588258117938225,0.11389601892395189,0.012391001910155106,1.4791188235394657,0.010654284258619667,0.013569608928284007
4.0,10.512968818266307,393.0489216758471,14.60224,14.60224,0.9971592150692714,0.38624005476596185,0.10991501416430595,1.9613623237665745,0.24382388615769152,0.29537405236410397,0.26332073238997183,0.568505977377938,0.2149133797381888,0.662715795111876,0.37362018150623433,0.0849813592892739,0.7461310772066209,0.20124641768639404,0.2045002711006687,0.4840400815010071,0.39799047220940614,0.2598320460671791,0.11389601892395189,0.009993995817032865,1.2559558132197708,0.009549715555707118,0.01030226587316745
5.0,10.266222017895604,432.04504017428565,18.2528,18.2528,0.9971592150692714,0.3907307527426995,0.10991501416430595,1.9742791510752182,0.24756865245187182,0.2998734319233,0.26282908738354394,0.5789378483114582,0.21601925047050533,0.6660144312768103,0.40778910084132025,0.08948276434439784,0.7856531351121699,0.2044765995930364,0.20459271313624447,0.4993782937526703,0.4021267966032208,0.26307503256684917,0.11389601892395189,0.009673837842928513,1.2754280823282897,0.009055424577658741,0.010117438739903282
6.0,10.101774557902765,451.0000916345739,18.2528,18.2528,0.0,0.376263434163872,0.10991501416430595,2.0768014593882156,0.2349698866258525,0.3110130872272088,0.28480107051562437,0.5833853697979416,0.22381343223700287,0.68484322048639,0.40778910084132025,0.08948276434439784,0.7856531351121699,0.2044765995930364,0.20459271313624447,0.4993782937526703,0.4021267966032208,0.26307503256684917,0.11389601892395189,0.0,0.0,,
7.0,9.290123733072999,473.9389656536059,18.2528,18.2528,0.0,0.3829965269693159,0.10991501416430595,2.249494302149554,0.23968186636242164,0.3193374249502157,0.2880673987569685,0.5899110334959651,0.23884162323561484,0.6936398425197993,0.40778910084132025,0.08948276434439784,0.7856531351121699,0.2044765995930364,0.20459271313624447,0.4993782937526703,0.4021267966032208,0.26307503256684917,0.11389601892395189,0.0,0.0,,
8.0,8.897948289902683,533.4381574581704,18.2528,18.2528,0.0,0.37736567857695485,0.10991501416430595,2.3268834114552126,0.2349488562504556,0.330227829671414,0.3013247628239223,0.5743362840163021,0.24727992348362307,0.6976010258067318,0.40778910084132025,0.08948276434439784,0.7856531351121699,0.2044765995930364,0.20459271313624447,0.4993782937526703,0.4021267966032208,0.26307503256684917,0.11389601892395189,0.0,0.0,,
9.0,9.901942579082945,466.5664992820052,21.90336,21.90336,0.9971592150692714,0.38712618063747195,0.10991501416430595,2.054040930398968,0.24450812090012428,0.3026224816140627,0.27041387977951103,0.588391515221429,0.22083990535875042,0.6764634149034524,0.47655303104649027,0.1328021341856938,1.165994522375409,0.20454648167397296,0.20457628651532966,0.5029900074005127,0.40154958799660634,0.2619321182753323,0.11389601892395189,0.008097043309237896,1.1213076456915587,0.0073034668224217425,0.008682166405084896
10.0,9.75349219651805,533.2400168025956,21.90336,21.90336,0.0,0.38623632238576866,0.10991501416430595,2.1357487001285302,0.24270768314448554,0.3146313165270346,0.2794619688508685,0.5892574432663922,0.22807893855141878,0.6858119227496202,0.47655303104649027,0.1328021341856938,1.165994522375409,0.20454648167397296,0.20457628651532966,0.5029900074005127,0.40154958799660634,0.2619321182753323,0.11389601892395189,0.0,0.0,,
11.0,9.13460614190103,573.415057461001,21.90336,21.90336,0.0,0.38277915021065156,0.10991501416430595,2.2453119484924082,0.23967007881306723,0.32521280470682984,0.29237957656329805,0.5827262037742952,0.2370305972703481,0.6936853407650104,0.47655303104649027,0.1328021341856938,1.165994522375409,0.20454648167397296,0.20457628651532966,0.5029900074005127,0.40154958799660634,0.2619321182753323,0.11389601892395189,0.0,0.0,,
12.0,8.819709302316243,591.2771154825606,21.90336,21.90336,0.0,0.38713637937304723,0.10991501416430595,2.3115427146225187,0.24284847094246784,0.3286001361686044,0.29685399061383344,0.5984529602422555,0.24336719013396346,0.6990998028632699,0.47655303104649027,0.1328021341856938,1.165994522375409,0.20454648167397296,0.20457628651532966,0.5029900074005127,0.40154958799660634,0.2619321182753323,0.11389601892395189,0.0,0.0,,
