round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_brier,fed_f1,fed_f1_best_threshold,fed_auroc,fed_auprc_lift,fed_ece,fed_auprc,fed_prevalence,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6883143739587966,0.11810246962954493,3.66096,3.66096,1.0,0.29307207394138657,0.22395613956955596,0.27123219710460966,0.5163240847191873,0.6590396862523535,1.9135399199451004,0.35644619241319336,0.21486155737869608,0.11373363544813696,0.6645374932189037,0.2138679322070419,1.8777472138849824,0.27793313069908815,0.27866682709661894,0.4990018606185913,0.3556563986317308,0.2234132235462514,0.11389601892395189,0.02440973306850949,2.637346513723969,0.022028112275605055,0.026076911201531654,0.013783339536751545
2.0,0.6619748229968336,0.21899578356068328,7.32192,7.32192,1.0,0.2960913660579801,0.21682124736950192,0.2756469813347823,0.5449508997271247,0.6649842086148854,1.9731774409576504,0.344196582807665,0.22091632982842907,0.11373363544813696,0.670688970924376,0.21949795475410455,1.927178463548079,0.27899686520376177,0.2877660268964617,0.5252780914306641,0.34320151593036097,0.21603559119790147,0.11389601892395189,0.017062775236590225,1.9676294787313964,0.016622743279684472,0.017445354538854697,0.006770034922073884
3.0,0.650608327055886,0.31083375982400163,10.98288,10.98288,1.0,0.2986554685957038,0.22831419316350346,0.2728676092583168,0.5517078439676,0.667477202328993,2.027960128429427,0.36083556879649437,0.22680623472568598,0.11373363544813696,0.6711688996073477,0.2222188504804589,1.9510677596978514,0.2752919293169371,0.2895853291364445,0.5466384887695312,0.3598055858437827,0.22766378472514975,0.11389601892395189,0.011651108562941026,1.445432546624943,0.011913540981157619,0.011516530784729327,0.00597228589772476
4.0,0.6496502709834262,0.33763379895829504,14.64384,14.64384,1.0,0.30052961521163035,0.2171570227621498,0.2787894936913303,0.534413100521325,0.6697478594946702,2.0541717184150734,0.3456369174854439,0.23011979940492938,0.11373363544813696,0.6723890953496802,0.2239863954772093,1.9665866954205353,0.2807665666127915,0.28936423054070115,0.5401245355606079,0.34435298038501555,0.21652943600185098,0.11389601892395189,0.01052889050111077,1.3882444842220139,0.010031242249150064,0.010915915585690592,0.005789504254848822
5.0,0.6454834724761956,0.3028252033904758,18.3048,18.3048,1.0,0.3001620873444083,0.20968993432086414,0.2794746254769129,0.5241996698167779,0.672512086380343,2.0829346122964023,0.3331673011326298,0.2333911427830842,0.11373363544813696,0.6744779766910499,0.22587964868836452,1.9832093414887824,0.2861635220125786,0.28929986789960366,0.5158988833427429,0.3319473652213826,0.20897873974454462,0.11389601892395189,0.008880823639308385,1.2420007657956376,0.008959524701626122,0.008848873033012114,0.004996614193182319
6.0,0.646331618505956,0.34255534952446437,21.96576,21.96576,1.0,0.304564159638841,0.2198097784880274,0.2804862116826677,0.5496248323414081,0.6749689151627414,2.11389302628473,0.34835533611664,0.23704873869483464,0.11373363544813696,0.6737370570601986,0.22628248758150693,1.9867462420490327,0.28184991273996507,0.292741094052765,0.551337718963623,0.34696233606439303,0.2193601064210705,0.11389601892395189,0.008987053318183367,1.3344670363176192,0.00852771553753686,0.009359311550638622,0.005606980172090613
7.0,0.6449379787718671,0.3347513134058299,25.62672,25.62672,1.0,0.3065675778326763,0.2190744970951361,0.2795692445602149,0.5437299331344385,0.6765848718716205,2.1378499409572735,0.34877523208038896,0.23988108492730842,0.11373363544813696,0.6733686679043103,0.22710897404678373,1.9940027420837587,0.2811827347909822,0.29039242219215156,0.5315204858779907,0.3473522544793631,0.21874354254434406,0.11389601892395189,0.008251586634858228,1.3006626728347328,0.007987432105069253,0.008472595232362243,0.006168366063339153
8.0,0.64424146842364,0.31121236940835517,29.28768,29.28768,1.0,0.3115259470077749,0.20949677055355537,0.28542643687134206,0.5382458556045789,0.6783473191315735,2.1604755462497196,0.33316607263843345,0.2422417099383792,0.11373363544813696,0.6736231456867359,0.22812311861957152,2.002906868693003,0.28605740362675636,0.28904563120771554,0.5376344919204712,0.33159633638997515,0.20929570274125606,0.11389601892395189,0.007619254650481707,1.274265895546705,0.007292217735824625,0.007903096725841411,0.0048536938565652745
9.0,0.6410042365383153,0.425195915657169,32.94864,32.94864,1.0,0.31239012720326437,0.20906793632291945,0.28981182510566206,0.5601934419357766,0.6807516813413563,2.18077637675153,0.33038745591208746,0.2449193231017934,0.11373363544813696,0.6744859455929061,0.2282262666629043,2.003812502132234,0.2857142857142857,0.28999594977723775,0.5275460481643677,0.32894010075151764,0.2091127875134908,0.11389601892395189,0.008006907878192278,1.4245457778069976,0.0070950263448070015,0.008800046793606818,0.005161061258358961
10.0,0.6419474342551827,0.5155530255515138,36.6096,36.6096,1.0,0.31632223617331223,0.20724701500620502,0.29129953543444853,0.5443000662771746,0.6829001329994675,2.220249985704984,0.3288815261042055,0.2492794501913874,0.11373363544813696,0.6737990764507078,0.2286227375707698,2.007293492175707,0.28561194029850745,0.29178176795580113,0.5688153505325317,0.3274338556194564,0.20751779900706233,0.11389601892395189,0.007783855863020517,1.4765490974132263,0.006472389305776486,0.00895127837457527,0.005222015892754732
