round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_ece,fed_f1_best,fed_auroc,fed_f1,fed_brier,fed_auprc,fed_prevalence,fed_f1_best_threshold,fed_auprc_lift,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.689085873367264,0.10842368285894322,3.65056,3.65056,0.9971592150692714,0.3865717473973321,0.249822702645757,0.5649011941791757,0.20951201765212557,0.24894348713984515,0.1709522887379024,0.11416703379696647,0.4970039049766836,1.4880937323999712,0.39511335141692594,0.0890810949117811,0.7821265023429865,0.2045002711006687,0.20450951154489178,0.5218673944473267,0.4215923683579384,0.27913145152683794,0.11389601892395189,0.02715214184330284,2.924516893690452,0.02300564874397749,0.029903875923258622
2.0,0.6814970814457997,0.14029602903756874,5.632,5.632,0.5412350858791136,0.36762317888116564,0.28815213001680795,0.6574854843608845,0.26023464778736705,0.23321049918540204,0.21553365794332655,0.11416703379696647,0.5233757284043368,1.8800558521949613,0.3574288412202705,0.08269886065370124,0.7260908803925717,0.2045002711006687,0.20450951154489178,0.5140974521636963,0.42371152723025735,0.28176664676633145,0.11389601892395189,0.022472494845553092,1.5349603109061718,,0.022472494845553092
3.0,0.6699497478544403,0.19946852011213562,7.61344,7.61344,0.5412350858791136,0.37319458193363797,0.2999959215025093,0.677099965139959,0.26934913502531593,0.2364772765550434,0.2274206064143418,0.11416703379696647,0.5486642972654286,1.986597426716864,0.3684246080894067,0.08403826510250989,0.7378507685911485,0.2045002711006687,0.20458346517199294,0.5172115564346313,0.42309368643668765,0.28105581575202293,0.11389601892395189,0.017158706895101135,1.250663346145302,,0.017158706895101135
4.0,0.6562455069688162,0.2814731683358476,9.59488,9.59488,0.5412350858791136,0.36175337594089935,0.3081581604738217,0.6873248004791789,0.2797475182842918,0.22801973203840992,0.23875417040807376,0.11416703379696647,0.5364471373635172,2.0994794601474323,0.3539151704248175,0.08231954346812814,0.7227604989696147,0.2045002711006687,0.20459271313624447,0.5093315839767456,0.42491486008162827,0.28334320130171875,0.11389601892395189,0.01164150412851719,0.9024382247589529,,0.01164150412851719
5.0,0.6645360530403246,0.3925299714719359,11.264,11.264,0.4559241291901578,0.3148851975014582,0.28937356122021685,0.6614537348477203,0.27461133751204664,0.20056874228951968,0.22023070065511768,0.11416703379696647,0.522040566321294,1.9256671382610955,0.34868439579585336,0.08169202451309451,0.7172509213657423,0.2045002711006687,0.20457421804375336,0.5092095732688904,0.4290963938110361,0.2873007025159745,0.11389601892395189,0.016673489871355973,0.7609919258393347,0.016673489871355973,
6.0,0.6539672717795693,0.2725224988679115,13.24544,13.24544,0.5412350858791136,0.34009456245885256,0.2999588440100051,0.6752908552553348,0.2856076858010285,0.21336949026378665,0.230274636071483,0.11416703379696647,0.5061881589622433,2.0190045727054025,0.34133844872411984,0.08099097987720924,0.7110957928326427,0.20172257479601088,0.2045002711006687,0.47404611110687256,0.42302202131147143,0.28222748708463335,0.11389601892395189,0.008767916630398033,0.7073469655588269,,0.008767916630398033
7.0,0.6413781610237765,0.3541101910451274,15.22688,15.22688,0.5412350858791136,0.3573878557652853,0.3131722508884854,0.6858651074558085,0.2846651403260523,0.22695641316239837,0.2391385472588525,0.11416703379696647,0.5659447971892498,2.098981845924503,0.35634114258943084,0.08250983618765112,0.724431257274609,0.20452799493876814,0.20459271313624447,0.5079172849655151,0.42378130698247235,0.2824262554272951,0.11389601892395189,0.008218079784342974,0.6901310659013689,,0.008218079784342974
8.0,0.6266878514422312,0.4946500255905459,17.20832,17.20832,0.5412350858791136,0.33401592909390393,0.32165715705317405,0.6969941862769524,0.30058748924440026,0.20953399313748589,0.2514866186711549,0.11416703379696647,0.5564349477710806,2.2116618955821576,0.35347767143818576,0.08220886497102754,0.7217887486121725,0.20451875282422052,0.20458346517199294,0.5067507028579712,0.4246407266987655,0.28320962239482805,0.11389601892395189,0.008749391673941013,0.7633689825888723,,0.008749391673941013
9.0,0.6125985342647692,0.6407538107220995,19.18976,19.18976,0.5412350858791136,0.34154317095951703,0.323526614049933,0.7043470556472882,0.2990786370276211,0.21390495924699052,0.2598211204997953,0.11416703379696647,0.5642678407749737,2.2888325806571603,0.35675297794725,0.08246415260658944,0.7240301582590922,0.20455572629485674,0.2046019619366213,0.5041112899780273,0.4262304308490176,0.2848972637489104,0.11389601892395189,0.00998370644161235,0.9125846608076245,,0.00998370644161235
10.0,0.6423337469225359,0.5699047566341686,22.84032,22.84032,0.9971592150692714,0.35336993969599434,0.2954475857049574,0.6656074538284845,0.2778776329033701,0.2227598703102289,0.2256316177303723,0.11416703379696647,0.5158915532881472,1.9765361492962243,0.347227354250793,0.08164878514675139,0.7168712824042436,0.20428455211063906,0.2045002711006687,0.4949593245983124,0.41901181385425806,0.2782463537620462,0.11389601892395189,0.009843305597682511,1.4260000146459788,0.014674020796487195,0.007323578483567127
