round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_f1,fed_brier,fed_ece,fed_auprc,fed_auroc,fed_f1_best_threshold,fed_auprc_lift,fed_f1_best,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6882611276336082,0.10444149596665767,3.65056,3.65056,0.9971592150692714,0.11524420946626386,0.217127717230507,0.2443353307814044,0.3802323139217295,0.2037157001416954,0.6100486681736307,0.5141695612124265,1.749779211161679,0.27674751058396996,0.5324501213255896,0.12507286367771636,1.0981320054849961,0.0,0.20841285594320177,0.47197264432907104,0.3579702517968778,0.22905918563925523,0.11389601892395189,0.027859261010736026,3.009550550021231,0.02306503086986988,0.03106415475682748
2.0,0.6798398232793648,0.14399951130801908,7.30112,7.30112,0.9971592150692714,0.11524420946626386,0.2495325910054684,0.23603203158097041,0.37106093800695167,0.22539188747623098,0.6489369747312738,0.5472456079786728,1.9517425473986947,0.2956890158424767,0.4245380760154427,0.09950466886696097,0.8736448368173431,0.0,0.20451875282422052,0.390352725982666,0.35942519100774684,0.23047670768805317,0.11389601892395189,0.019512924479858064,2.242946151411161,0.01506990378636029,0.022509913012890615
3.0,0.6715939015381636,0.19531276709595274,10.95168,10.95168,0.9971592150692714,0.11524420946626386,0.2692166375625283,0.23048245557438168,0.3640821016827843,0.23319985740310714,0.6600368476243081,0.5490975742906422,2.0051788659364425,0.2978496911178147,0.4705810857976399,0.11080402071980404,0.9728524470533745,0.0,0.20451875282422052,0.40966132283210754,0.3592755600432816,0.23019404113400463,0.11389601892395189,0.013955540848273431,1.7210578282829374,0.012253765952048057,0.015123515499860267
4.0,0.6649420482457995,0.2244866869031868,14.60224,14.60224,0.9971592150692714,0.11524420946626386,0.2713222773223406,0.22146950795287854,0.35043977815395244,0.23751241489812747,0.6644321345146017,0.542601961464305,2.0456249294440614,0.30334701193897384,0.42025665486131375,0.09911671990118089,0.8702386688981719,0.0,0.20450951154489178,0.4158405065536499,0.35956236129408475,0.23069382522739101,0.11389601892395189,0.010679391589863294,1.3977283511776477,0.010230375126509463,0.010997719826835345
5.0,0.6581607011336678,0.2643891009469088,18.2528,18.2528,0.9971592150692714,0.11524420946626386,0.2830165702132503,0.21591188222626898,0.3424601025198476,0.2421401617154337,0.6687269300564668,0.5107649269477208,2.090973051435564,0.304541530394323,0.36856179869585093,0.0862262270368768,0.7570609390171034,0.0,0.20450951154489178,0.4436251223087311,0.3644736610689355,0.23425618816974164,0.11389601892395189,0.01063556603966232,1.4798194105969742,0.009607781323581924,0.01139397217737851
6.0,0.6528072838574965,0.29147907772615717,18.2528,18.2528,0.0,0.11524420946626386,0.2906154852596608,0.22089988116789028,0.3511524951992385,0.26015080410307667,0.6848706281049439,0.5570021113240108,2.268194195697469,0.31982559673781585,0.36856179869585093,0.0862262270368768,0.7570609390171034,0.0,0.20450951154489178,0.4436251223087311,0.3644736610689355,0.23425618816974164,0.11389601892395189,0.0,0.0,,
7.0,0.6436857055174199,0.4118548764130285,19.92192,19.92192,0.4559241291901578,0.11524420946626386,0.2926476647543489,0.21316746523819122,0.33820051655327116,0.2514055499554258,0.6763342984761369,0.5354772720238322,2.1922394958756968,0.31245784220774997,0.36477625657785784,0.08575994420856883,0.7529670046310447,0.0,0.20450951154489178,0.44214510917663574,0.36484184073114306,0.23452849435818715,0.11389601892395189,0.008528295425742662,0.5452935106586665,0.008528295425742662,
8.0,0.6470992626464652,0.2674561388616051,21.90336,21.90336,0.5412350858791136,0.11524420946626386,0.2865491077804372,0.2240459633833241,0.35551285303937796,0.25719961472995984,0.6843358997583882,0.559193064785991,2.24401689927162,0.3190215106307317,0.3512600201724907,0.08258430075535766,0.7250850515723383,0.000881057268722467,0.2045002711006687,0.4632241129875183,0.3672220555385686,0.23638907333736667,0.11389601892395189,0.011008034206762676,0.9254011700395495,,0.011008034206762676
9.0,0.6331431631443953,0.33709409405275925,21.90336,21.90336,0.0,0.11524420946626386,0.2948014292708427,0.22303834099038494,0.35188805973551196,0.27013533864381767,0.6943075521747163,0.587580766885242,2.361239563332237,0.32349321785357094,0.3512600201724907,0.08258430075535766,0.7250850515723383,0.000881057268722467,0.2045002711006687,0.4632241129875183,0.3672220555385686,0.23638907333736667,0.11389601892395189,0.0,0.0,,
10.0,0.6221876515574899,0.4204677668271047,23.8848,23.8848,0.5412350858791136,0.11524420946626386,0.30525294735513764,0.21524045990040638,0.34389924864854,0.2815386786248468,0.7042158372284737,0.5676045488089714,2.464530378541012,0.33806134929186005,0.4497844732058915,0.10679348406467021,0.9376401833322723,0.004399472063352398,0.20451875282422052,0.4680425822734833,0.3664559762325121,0.23531956761575454,0.11389601892395189,0.012068022749255846,1.0801142926793545,,0.012068022749255846
11.0,0.6430565264904271,0.386676356888889,25.55392,25.55392,0.4559241291901578,0.11524420946626386,0.2905491411450994,0.2059701156342793,0.3245519219005756,0.25171372798861047,0.674787107562874,0.5228544442285104,2.1953386034232754,0.3121627502924896,0.4632062624374479,0.10969952899149751,0.9631550780079823,0.0035226772346983706,0.20453723788864786,0.46791747212409973,0.36631390021601967,0.23517898978445909,0.11389601892395189,0.008181274389944817,0.5626304177567363,0.008181274389944817,
12.0,0.6418439164210452,0.38541767865213633,27.53536,27.53536,0.5412350858791136,0.11524420946626386,0.2921789443847248,0.2140088885624789,0.33918705277992756,0.26414859353554093,0.6878627972453385,0.5735898364676689,2.308463260983947,0.32139806444599855,0.4985071548691195,0.13445355574050344,1.180493901461804,0.05422905706191825,0.20452799493876814,0.4684797525405884,0.36960708630019595,0.23745375080429204,0.11389601892395189,0.00831851202075829,0.7852756737265736,,0.00831851202075829
13.0,0.6383082722976866,0.3907737385743561,29.20448,29.20448,0.4559241291901578,0.11524420946626386,0.2866383019833351,0.21783062623604418,0.34356632911903107,0.2532210927071402,0.6764445244207523,0.5721272716555682,2.2081285580966235,0.3102399433104194,0.5111933579868149,0.1415115764196354,1.2424628863816773,0.049228201919065497,0.20455572629485672,0.4701565206050873,0.36877349792420033,0.23678892770905344,0.11389601892395189,0.0076718860795189905,0.5702402954921126,0.0076718860795189905,
14.0,0.6358213835196396,0.430524152588437,29.20448,29.20448,0.0,0.11524420946626386,0.2939030760084217,0.2142841292462623,0.3391914997269303,0.27122466283933355,0.692948046902997,0.569704411755816,2.3618658713128027,0.32898737629325386,0.5111933579868149,0.1415115764196354,1.2424628863816773,0.049228201919065497,0.20455572629485672,0.4701565206050873,0.36877349792420033,0.23678892770905344,0.11389601892395189,0.0,0.0,,
15.0,0.6332809494067457,0.6072265346463248,30.8736,30.8736,0.4559241291901578,0.11524420946626386,0.2883757332539276,0.21830146635611594,0.3446888443340959,0.259955292416755,0.6824769865785314,0.5589702062773981,2.2660552790277713,0.3145332989315746,0.5118639128417486,0.13717211573769983,1.204362690054069,0.04280318925723878,0.20459728176593997,0.4762114882469177,0.36837522055777683,0.2365173494245695,0.11389601892395189,0.00724922904073477,0.5798046495765448,0.00724922904073477,
16.0,0.6435476009828218,0.40980275873420685,32.85504,32.85504,0.5412350858791136,0.11524420946626386,0.28678381608509435,0.22809154100454462,0.3609368076026514,0.2685176710744717,0.6921065262578316,0.5728130960613789,2.3348617255030684,0.3211827325819033,0.4989970352673226,0.13649454324779772,1.1984136455106023,0.03329065300896287,0.2046204620462046,0.47105881571769714,0.36729691598152464,0.23574257557841058,0.11389601892395189,0.010106567746661297,0.9980682162567973,,0.010106567746661297
