round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_auprc,fed_f1,fed_prevalence,fed_auprc_lift,fed_brier,fed_f1_best_threshold,fed_ece,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.689514347805713,0.09824180924893972,3.65056,3.65056,0.9971592150692714,0.27137308882783656,0.1954758078428555,0.21830241270206918,0.10928548945546113,1.7809455834521906,0.2433327572549992,0.49674501815118394,0.3839437614006557,0.6240629702080943,0.41682202051293227,0.11266424933006779,0.9891851391688541,0.19573927489494772,0.2047450873856742,0.4959040880203247,0.39454149464319205,0.25677800856858385,0.11389601892395189,0.027072655600846367,2.9138637161813676,0.022926283395987773,0.029810327606954838
2.0,0.6833611825756598,0.11574100991998645,7.30112,7.30112,0.9971592150692714,0.28924397844690714,0.20868237320729477,0.25066281593103873,0.10928548945546113,1.9192697978106872,0.24694797984488728,0.541454132981446,0.3908057102175453,0.6564117152445903,0.4843552134363064,0.14495326594746896,1.2726807075166862,0.20422471091687153,0.20452284034373586,0.49846887588500977,0.40237362312708996,0.2625290874215235,0.11389601892395189,0.021016288731273404,2.401390542741865,0.01665629054269495,0.023913568566889552
3.0,0.6764961568258014,0.16176047775381747,10.95168,10.95168,0.9971592150692714,0.2916146358831367,0.2126429943885864,0.2633435709814793,0.10928548945546113,1.941814333331825,0.2312923074477002,0.5609961835888523,0.3688325295517345,0.6634245524463553,0.4973578760785814,0.15816273213593102,1.3886590034506465,0.20420283234353587,0.20453723788864786,0.49583300948143005,0.40520356346151054,0.26464523008825314,0.11389601892395189,0.014402858191833385,1.766928481636569,0.012048803374434532,0.01598701850543564
4.0,0.66669214922155,0.2352952715098478,14.60224,14.60224,0.9971592150692714,0.291316148990852,0.21563640761217964,0.2694832429112647,0.10928548945546113,1.9760312158522901,0.22834661407132142,0.5540097073316199,0.36552747114015366,0.6689357130730795,0.5014230952780981,0.1659198244210152,1.4567657938228682,0.20146399055489964,0.21122638999733973,0.5203587412834167,0.39643042885313406,0.25754595823393045,0.11389601892395189,0.011544091216858291,1.5029637238476425,0.010630117672285961,0.012177633711864389
5.0,0.6592312979218888,0.24330100548116634,18.2528,18.2528,0.9971592150692714,0.29419078415642963,0.21769453077289275,0.2688096430278112,0.10928548945546113,1.997808330185137,0.22547218145746123,0.54286430064597,0.36047576889325367,0.6704561678211409,0.46077144290935645,0.12381040362576629,1.0870476843306895,0.20395156150414276,0.20453723788864786,0.4956035614013672,0.41060721604997696,0.26996891017912306,0.11389601892395189,0.010045042555433387,1.387501850258559,0.009501191469544151,0.010435491781666808
6.0,0.6543342091673285,0.2895590714427145,21.90336,21.90336,0.9971592150692714,0.2948741152185567,0.21814117694484675,0.268850985358714,0.10928548945546113,2.004949548965018,0.22150542622994648,0.5431177237760281,0.3541336447497678,0.6754461333640397,0.45510060920560513,0.11823563597479705,1.0381015692369608,0.20468422491570218,0.20492925604746692,0.5002982020378113,0.4132516877215271,0.2723808077404438,0.11389601892395189,0.008998661212619946,1.3107612656895071,0.00854236468778253,0.009337914871989038
7.0,0.6497990400824426,0.26592765477049884,25.55392,25.55392,0.9971592150692714,0.2955341977132429,0.22008788767380266,0.2715147596774183,0.10928548945546113,2.0199336663676952,0.21390691005330217,0.5274568575206027,0.34564432405172224,0.6779559997228769,0.47824782195480403,0.1431349003731422,1.2567155702668855,0.20374793312511483,0.20497910230783212,0.49766626954078674,0.40614977243340333,0.2657658374509363,0.11389601892395189,0.008255995498510412,1.2713930534664541,0.00795785603378373,0.008485515642047288
8.0,0.6460115481872758,0.29249544803067423,29.20448,29.20448,0.9971592150692714,0.2972819463753509,0.2226837509693497,0.27458011562907975,0.10928548945546113,2.0457978922010502,0.21755441153075286,0.5500472814735843,0.3493366604514342,0.6792386041883619,0.47860501699973834,0.14078787065170767,1.2361087945111708,0.20435418953530918,0.20478434215295396,0.4970284104347229,0.40695161281339276,0.26642668192855684,0.11389601892395189,0.008171361829931991,1.327842756989412,0.007606404236124491,0.008624160260709997
9.0,0.6461527178982144,0.31029431161452364,31.18592,31.18592,0.5412350858791136,0.308535468104239,0.2346874137978613,0.28243190079107305,0.10928548945546113,2.1701871975992995,0.21732501459853543,0.5662835430547357,0.3491275386443332,0.6913438259297127,0.49569009159041655,0.15639468855495886,1.3731356901893406,0.2035545681755068,0.2048816229335532,0.49857357144355774,0.4049780067301845,0.2644246494192211,0.11389601892395189,0.009479140240505514,0.8896545281168073,,0.009479140240505514
10.0,0.6451144141769259,0.34712998874404094,34.83648,34.83648,0.9971592150692714,0.30049582050231344,0.22529940951453709,0.2764108303640026,0.10928548945546113,2.073609993455933,0.21731121598948103,0.5567734671569599,0.3489493671723759,0.681415061741787,0.4985707805894518,0.15631289565494752,1.3724175535873409,0.20204409955521907,0.20508613617719443,0.49631649255752563,0.40191969415719003,0.2619587364003422,0.11389601892395189,0.007891161188999097,1.3937557733152062,0.007323766778416675,0.00834009181016386
