round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_auprc_lift,fed_auroc,fed_brier,fed_f1_best_threshold,fed_f1_best,fed_ece,fed_auprc,fed_prevalence,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6887592556555291,0.11151553513839454,3.66096,3.66096,1.0,0.26717552901234415,1.8549066907915015,0.6531259288198885,0.2302278958010459,0.49901090378998075,0.2847585217999227,0.3643797891346607,0.21166335609411846,0.11429290704260811,0.6553425726747536,0.20819647893580187,1.8279522050267112,0.27403677245579106,0.27863545816733065,0.5046027898788452,0.3644214627490058,0.23011371224527694,0.11389601892395189,0.025060381218018398,2.7259398260666785,0.02244486471035573,0.026934245073665868,0.010622786712501376
2.0,0.6559028929040733,0.2556844448559453,7.32192,7.32192,1.0,0.27463570686379424,1.9155141844866468,0.6601342585921961,0.22136519933428325,0.5017565184433606,0.290324876639258,0.3504492734737713,0.21810445180074384,0.11429290704260811,0.6608943371803762,0.2162230877829564,1.8984253341403272,0.28141530504290585,0.28369166229680126,0.5153787136077881,0.35036618142421616,0.22119379564902783,0.11389601892395189,0.016904594765603572,1.9696236153540667,0.017491187802601362,0.016625073987181587,0.005707701903532074
3.0,0.6440618007077185,0.32877372752198597,10.98288,10.98288,1.0,0.27077804715796255,1.951854550572003,0.6622039932868278,0.22649507104288316,0.5352205433009127,0.29105650688736745,0.3563216133027344,0.22186046956226602,0.11429290704260811,0.6621160514063694,0.2207418590752609,1.938099866533963,0.2727848101265823,0.2842076798269335,0.539866030216217,0.3558639874470432,0.22617182376478023,0.11389601892395189,0.011292594426818207,1.4067235892462122,0.012143951144593063,0.010773240218422374,0.004144854441936329
4.0,0.6409125495927762,0.3981348369317891,14.64384,14.64384,1.0,0.2728144612556443,1.978924032909975,0.6659494763158744,0.22965838678635453,0.5457109863240857,0.2979493437810349,0.36043425183069183,0.22483881350070795,0.11429290704260811,0.6624814412432911,0.22217217983687612,1.9506579943344637,0.27046899841017485,0.2863895453913527,0.5481461882591248,0.36008210559935017,0.22963140571494495,0.11389601892395189,0.010216060803789302,1.3504042718068376,0.010896969932439216,0.009776723116068052,0.004298356323865007
5.0,0.6443499899293283,0.397466574645157,18.3048,18.3048,1.0,0.2823117382867556,2.0009424390611352,0.6675383508611373,0.20422494653355455,0.5317880031809543,0.2999107624001785,0.3201942774521389,0.2272957979444712,0.11429290704260811,0.663932484150419,0.2226541143559918,1.954889349597526,0.281889178133135,0.28615341623585305,0.5224258303642273,0.31954278992053525,0.2043120050851113,0.11389601892395189,0.009441890142477673,1.32772003061109,0.009357395053634789,0.009542229032597067,0.004942945665273073
6.0,0.640661727351384,0.44981226929990675,21.96576,21.96576,1.0,0.28139434517645684,2.0277865398298305,0.6701632857480257,0.21009902927500224,0.5183111353381644,0.3018904650573768,0.33315184517247814,0.23042412117103678,0.11429290704260811,0.6637406406816381,0.22373837930453988,1.9644091287679641,0.2802197802197802,0.2860212165972875,0.5107979774475098,0.33254612583738846,0.21031221658727636,0.11389601892395189,0.008848499711371536,1.3235648843374292,0.008373374012297126,0.009255631218080086,0.004570462428769266
7.0,0.6440816574715905,0.3828521534207674,25.62672,25.62672,1.0,0.27378272956756744,2.0476587478939536,0.6713962512775368,0.22660173471944758,0.5646173383397478,0.30211676246133023,0.3553733753564562,0.23274246331350187,0.11429290704260811,0.6646326306125604,0.22516733477493672,1.9769552693960308,0.2722567287784679,0.2853887060015194,0.539824366569519,0.3548958967735365,0.2269139398235968,0.11389601892395189,0.007910987629721375,1.2615077362543161,0.007229147627206476,0.008497904883148241,0.0045917178270175624
8.0,0.6381184692282158,0.3885266045224738,29.28768,29.28768,1.0,0.2844297416464445,2.084867033370267,0.673912648395614,0.20986266284485275,0.5240412192506272,0.30492533821812534,0.3334710561125895,0.23714515054363464,0.11429290704260811,0.6648342124558931,0.22501634135996124,1.9756295565537205,0.2797340556513174,0.2864428389290267,0.5208038687705994,0.33313288470763286,0.21048523316040546,0.11389601892395189,0.008223512363406826,1.3954686623528687,0.007210283248949822,0.009117857013638502,0.004784856090294132
9.0,0.6443622668671208,0.5274375407660019,32.94864,32.94864,1.0,0.28382154386471103,2.1036433051096806,0.6764999988178562,0.2154140890185658,0.5337268183826914,0.30418509008545025,0.341507983366946,0.2391804646711802,0.11429290704260811,0.6646567883071638,0.22490193883670684,1.974625109477034,0.27899317807574686,0.2852893791052175,0.5098863244056702,0.34151564578077287,0.21634592282729445,0.11389601892395189,0.007599651886616298,1.3717229828798736,0.006403006205831776,0.008685083914606557,0.004681138679894495
10.0,0.6387796098325659,0.5655997167654172,36.6096,36.6096,1.0,0.2867098108004699,2.136622734790594,0.6784652364532017,0.22114066366032403,0.5413088756995893,0.30573751122308485,0.351634808619482,0.2428726281334763,0.11429290704260811,0.6641147147391655,0.22521007380258137,1.9773305154147103,0.2755486588339614,0.28457300275482095,0.53533935546875,0.35175696229624503,0.2223844381570744,0.11389601892395189,0.007969878824183905,1.5346491591380982,0.006578324713876102,0.009265603376256287,0.004724574195603044
