round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_ece,fed_auprc,fed_auroc,fed_brier,fed_f1_best,fed_f1,fed_f1_best_threshold,fed_auprc_lift,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
19.0,0.6351672857048649,0.31922236576737095,4.21596,29.20448,0.0,0.11436304128902317,0.3274955481212504,0.2597572550973574,0.6849441308292888,0.20845493115603161,0.3178625626291077,0.28731703359402394,0.5725794338620261,2.298296022514132,0.4297559372585642,0.10194832887967004,0.8951000205524365,0.0,0.20451875282422052,0.43775635957717896,0.3580121672521258,0.22945083724392087,0.11389601892395189,0.0,0.0,,
20.0,0.6271222240910799,0.4453594592479166,4.21596,29.20448,0.0,0.11436304128902317,0.3411338082098515,0.26948066376770696,0.6944136773892867,0.21411129257003808,0.3258134077999347,0.3024319048700846,0.5428664320845378,2.3942257311413737,0.4297559372585642,0.10194832887967004,0.8951000205524365,0.0,0.20451875282422052,0.43775635957717896,0.3580121672521258,0.22945083724392087,0.11389601892395189,0.0,0.0,,
21.0,0.6513261345964926,0.2369515647904516,4.742955,32.85504,0.9971592150692714,0.11436304128902317,0.3396156805193226,0.2386776465488333,0.663284507335016,0.2122571467346356,0.304438157419403,0.2850373261170602,0.5188922399911965,2.0992710250716824,0.42041505404120205,0.10096745846124935,0.8864880389600368,0.0,0.20451875282422052,0.4295659363269806,0.3589440728567034,0.23025912967696238,0.11389601892395189,0.012032541510468637,0.564852224837523,0.008384668588051907,0.016063192496131095
22.0,0.6487579761821012,0.27293407628966404,4.742955,32.85504,0.0,0.11436304128902317,0.320909876464083,0.2519007545877346,0.6766903665410299,0.20247616127329868,0.3122981855781389,0.288134655331993,0.5660470983187958,2.217345809897115,0.42041505404120205,0.10096745846124935,0.8864880389600368,0.0,0.20451875282422052,0.4295659363269806,0.3589440728567034,0.23025912967696238,0.11389601892395189,0.0,0.0,,
23.0,0.6389880738984385,0.38636435767954913,4.742955,32.85504,0.0,0.11436304128902317,0.3343147829694117,0.26066277102858415,0.686634729279019,0.2110667542772361,0.3239398589340104,0.2892076012024006,0.5765125959406328,2.2981269007985596,0.42041505404120205,0.10096745846124935,0.8864880389600368,0.0,0.20451875282422052,0.4295659363269806,0.3589440728567034,0.23025912967696238,0.11389601892395189,0.0,0.0,,
24.0,0.6258497660187278,0.4561499833178174,4.742955,32.85504,0.0,0.11436304128902317,0.3482973439682721,0.2675829906173828,0.6928803060043385,0.22144743213960658,0.32695732652235737,0.2819689578219133,0.5904913276231362,2.3755753228609207,0.42041505404120205,0.10096745846124935,0.8864880389600368,0.0,0.20451875282422052,0.4295659363269806,0.3589440728567034,0.23025912967696238,0.11389601892395189,0.0,0.0,,
25.0,0.6511547777785889,0.28712489762012144,5.26995,36.5056,0.9971592150692714,0.11436304128902317,0.33721155179936485,0.23918259409477496,0.663524903468031,0.21094092286519414,0.30553844966556415,0.282184570022723,0.5175009085463823,2.1031281792903287,0.3607745627030595,0.0856400961290473,0.7519147459072208,0.0,0.20451875282422052,0.43309757113456726,0.36092963095063857,0.23175306296666037,0.11389601892395189,0.010732932986440062,0.5495259097660892,0.00711125448362211,0.014868099556719463
26.0,0.6475327774867952,0.28779549227491763,5.26995,36.5056,0.0,0.11436304128902317,0.3435684136520183,0.2496257504770037,0.6736164013223344,0.21694940146086633,0.3081626769211586,0.27983943890680724,0.5397703106639848,2.1961323750311945,0.3607745627030595,0.0856400961290473,0.7519147459072208,0.0,0.20451875282422052,0.43309757113456726,0.36092963095063857,0.23175306296666037,0.11389601892395189,0.0,0.0,,
27.0,0.6351200671242391,0.3685662168502649,5.26995,36.5056,0.0,0.11436304128902317,0.32950329958191116,0.26186448434670656,0.6827566615723901,0.20779878905294658,0.3154273660316916,0.29007807777236055,0.5559090319420664,2.3162981197295753,0.3607745627030595,0.0856400961290473,0.7519147459072208,0.0,0.20451875282422052,0.43309757113456726,0.36092963095063857,0.23175306296666037,0.11389601892395189,0.0,0.0,,
28.0,0.6204514204056366,0.42659445525586726,5.26995,36.5056,0.0,0.11436304128902317,0.3414301732943083,0.2682925116182331,0.6915882561792649,0.21605204897644698,0.327261751893922,0.29613059820269694,0.5902308953563943,2.378646371379956,0.3607745627030595,0.0856400961290473,0.7519147459072208,0.0,0.20451875282422052,0.43309757113456726,0.36092963095063857,0.23175306296666037,0.11389601892395189,0.0,0.0,,
29.0,0.6440835534403274,0.28033501493651064,5.796945,40.15616,0.9971592150692714,0.11436304128902317,0.333792978109865,0.2395378063286143,0.6636026250737221,0.20916224323880653,0.30472276378389207,0.28376756641985756,0.5197415278693671,2.1065995603309546,0.42423722800883024,0.10283329311698125,0.9028699518079101,0.0,0.20453723788864786,0.43214455246925354,0.3595558708795479,0.23065537275922984,0.11389601892395189,0.008362476460723295,0.4627886760281399,0.0060257748649691556,0.011094587100485937
30.0,0.6471600617312613,0.3205792018022684,5.796945,40.15616,0.0,0.11436304128902317,0.3533674774289109,0.25075248203623607,0.6763956574211616,0.22426850890396732,0.3102011930643741,0.2798273060531552,0.5657183392327897,2.205744585078289,0.42423722800883024,0.10283329311698125,0.9028699518079101,0.0,0.20453723788864786,0.43214455246925354,0.3595558708795479,0.23065537275922984,0.11389601892395189,0.0,0.0,,
31.0,0.6337512747974541,0.45070009762928276,5.796945,40.15616,0.0,0.11436304128902317,0.33653367948713675,0.2598671043615983,0.6843577480226669,0.2146085134348915,0.31708899852172245,0.2889260291309729,0.5437342491777463,2.3049657430371564,0.42423722800883024,0.10283329311698125,0.9028699518079101,0.0,0.20453723788864786,0.43214455246925354,0.3595558708795479,0.23065537275922984,0.11389601892395189,0.0,0.0,,
32.0,0.6240523402824315,0.4289028950702479,5.796945,40.15616,0.0,0.11436304128902317,0.3278302111079558,0.2671204278999659,0.6931447480115239,0.20891601805827487,0.3266944160840301,0.29541356206348685,0.5809916435644286,2.3770094731525644,0.42423722800883024,0.10283329311698125,0.9028699518079101,0.0,0.20453723788864786,0.43214455246925354,0.3595558708795479,0.23065537275922984,0.11389601892395189,0.0,0.0,,
33.0,0.6506191225803707,0.33471876497389114,6.32394,43.80672,0.9971592150692714,0.11436304128902317,0.32970170282513983,0.24008310510139624,0.6640483965016043,0.20670480629148444,0.3045004292358148,0.28298810017878107,0.52054572507574,2.1117054354238336,0.3349822518123793,0.08033834318894151,0.7053656830848779,0.0,0.20451875282422052,0.429375559091568,0.3621884852766277,0.2327782065601222,0.11389601892395189,0.010060137000690547,0.6021682660793886,0.006409590130214175,0.014477525660629476
34.0,0.6468610054584706,0.31701889239945036,6.32394,43.80672,0.0,0.11436304128902317,0.32868802011545756,0.2505090172013999,0.674060713709649,0.2070454938987582,0.3127337130273548,0.2821519378803638,0.529378078834783,2.2047215534791973,0.3349822518123793,0.08033834318894151,0.7053656830848779,0.0,0.20451875282422052,0.429375559091568,0.3621884852766277,0.2327782065601222,0.11389601892395189,0.0,0.0,,
35.0,0.6331413636277852,0.3734872485441792,6.32394,43.80672,0.0,0.11436304128902317,0.3416856168574689,0.2618384887312868,0.6853870534318546,0.21569642899267896,0.3186341928253816,0.29140843971775704,0.5714819004415925,2.317554142929941,0.3349822518123793,0.08033834318894151,0.7053656830848779,0.0,0.20451875282422052,0.429375559091568,0.3621884852766277,0.2327782065601222,0.11389601892395189,0.0,0.0,,
36.0,0.6272020488576278,0.4574335386770615,6.32394,43.80672,0.0,0.11436304128902317,0.34206574921208277,0.26948588345780816,0.6943721759938791,0.216005036635499,0.3274492565787251,0.2909356614722991,0.5675234762165781,2.3933628838962058,0.3349822518123793,0.08033834318894151,0.7053656830848779,0.0,0.20451875282422052,0.429375559091568,0.3621884852766277,0.2327782065601222,0.11389601892395189,0.0,0.0,,
37.0,0.6474009338706025,0.35688173221402986,6.850935,47.45728,0.9971592150692714,0.11436304128902317,0.3296238463625222,0.24051280674582895,0.6641714974101611,0.20657808385340878,0.3036359261573555,0.28327440567170986,0.5178497946837097,2.1169901850965354,0.3343035649127168,0.08025231338575012,0.7046103467350725,0.0,0.20451875282422052,0.43201327323913574,0.36254562190569084,0.23305053686941005,0.11389601892395189,0.008416347172288664,0.5383829267811961,0.005686065496205882,0.011839697136914629
38.0,0.6408597627175405,0.33940514730661386,6.850935,47.45728,0.0,0.11436304128902317,0.34787406359516915,0.2501906369678001,0.6757355350109947,0.22032401064871135,0.3085314547486262,0.27589593302542126,0.5579605291223328,2.2023715480078057,0.3343035649127168,0.08025231338575012,0.7046103467350725,0.0,0.20451875282422052,0.43201327323913574,0.36254562190569084,0.23305053686941005,0.11389601892395189,0.0,0.0,,
39.0,0.6331064111198487,0.3570585447509393,6.850935,47.45728,0.0,0.11436304128902317,0.3415186131689117,0.2629994366347065,0.6861522947990519,0.21421588131375505,0.32013835754462394,0.2908592745996855,0.554082456000772,2.32726184800843,0.3343035649127168,0.08025231338575012,0.7046103467350725,0.0,0.20451875282422052,0.43201327323913574,0.36254562190569084,0.23305053686941005,0.11389601892395189,0.0,0.0,,
40.0,0.6201443831152329,0.46667427718919213,6.850935,47.45728,0.0,0.11436304128902317,0.33347750731419373,0.2707859036070128,0.6915854847453409,0.20961300355830084,0.32502239993890786,0.2950775234282513,0.5732156006321085,2.4043388244535464,0.3343035649127168,0.08025231338575012,0.7046103467350725,0.0,0.20451875282422052,0.43201327323913574,0.36254562190569084,0.23305053686941005,0.11389601892395189,0.0,0.0,,
