round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_f1_best,fed_prevalence,fed_f1_best_threshold,fed_ece,fed_brier,fed_auprc_lift,fed_auprc,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6888881719364994,0.1040128919533535,3.65056,3.65056,0.9971592150692714,0.19756868549092144,0.2655977442817487,0.1138595166163142,0.5110343400377702,0.3873045605786467,0.2493499592726184,1.735568848899009,0.1965414952649931,0.6220102901938526,0.5867731464221337,0.19018485775227484,1.6698112853203484,0.18980253463012084,0.2464929859719439,0.49341097474098206,0.3769357410859099,0.24248012096700522,0.11389601892395189,0.02677236751263313,2.8741233295295388,0.023380388429041086,0.029057299226133856
2.0,0.6820331444759897,0.12200625259366608,7.30112,7.30112,0.9971592150692714,0.23383128954117988,0.28406477652124934,0.1138595166163142,0.5021585861909365,0.3556480440878556,0.22427031809989753,1.8559405451179096,0.209203131247053,0.6472384132791127,0.6048711625596244,0.2063136929283088,1.8114214603590666,0.2591828312009905,0.2793438445612359,0.49182847142219543,0.37605682021568765,0.24119485313424605,0.11389601892395189,0.018277662982574498,2.0771179280709475,0.015823946501513954,0.01995356248656416
3.0,0.6718432030095236,0.1789832536758352,10.95168,10.95168,0.9971592150692714,0.25116003438730683,0.28991113272403074,0.1138595166163142,0.5328972647163532,0.3663069473453849,0.23174675043690873,1.9081872303180598,0.21538379054982282,0.6541065438174296,0.6519104984145274,0.21954947482651765,1.9276308065965881,0.27260131624523726,0.2813166717464188,0.49535924196243286,0.3753870858226475,0.2401624024581898,0.11389601892395189,0.013595137351068978,1.6637090016156435,0.012071147403618787,0.01466887005778286
4.0,0.6631820247707042,0.2027579714176512,14.60224,14.60224,0.9971592150692714,0.26469785342586044,0.2936878423521199,0.1138595166163142,0.5301145821798513,0.34649910423285646,0.2186238442126289,1.9408534782919609,0.21958243019226,0.6588006077501901,0.6637692785305134,0.2224119856405368,1.9527634744550708,0.27299900365327134,0.28047464940668826,0.4972536563873291,0.3733615349634909,0.2382360350596159,0.11389601892395189,0.011246936714774301,1.471183909336105,0.010865753057668043,0.011525946552088414
5.0,0.6598297528322672,0.2683546839007087,18.2528,18.2528,0.9971592150692714,0.27140061447378183,0.294604188920458,0.1138595166163142,0.5263881271260473,0.33871188506761646,0.21389898242313377,1.9538012744941746,0.22119261467385437,0.6607599992391419,0.6620524131365852,0.2229410379298239,1.9574085208253074,0.27921440261865793,0.28187535734705543,0.4948432743549347,0.3757737499909562,0.24033253572776184,0.11389601892395189,0.008957024635194656,1.2476593283936381,0.008843564400704124,0.009044307956797878
6.0,0.6571849809185288,0.26367972724496885,18.2528,18.2528,0.0,0.2818305518849546,0.30522696638376867,0.1138595166163142,0.5524294558698677,0.3397719248630339,0.21470042981185036,2.104226559404645,0.2379534318166398,0.6744845924321238,0.6620524131365852,0.2229410379298239,1.9574085208253074,0.27921440261865793,0.28187535734705543,0.4948432743549347,0.3757737499909562,0.24033253572776184,0.11389601892395189,0.0,0.0,,
7.0,0.6393953333494846,0.3739083892951275,18.2528,18.2528,0.0,0.2866609011657184,0.3122392977408666,0.1138595166163142,0.544286588075583,0.3449325620038256,0.21767606491831776,2.2176917610121145,0.24945955160668573,0.6827903064234916,0.6620524131365852,0.2229410379298239,1.9574085208253074,0.27921440261865793,0.28187535734705543,0.4948432743549347,0.3757737499909562,0.24033253572776184,0.11389601892395189,0.0,0.0,,
8.0,0.6248106508492249,0.418394021632456,18.2528,18.2528,0.0,0.2943056023313304,0.32708804535842173,0.1138595166163142,0.5747375018474498,0.31309140689142534,0.1987242683608258,2.340504328819412,0.26265020366205494,0.6944191953863122,0.6620524131365852,0.2229410379298239,1.9574085208253074,0.27921440261865793,0.28187535734705543,0.4948432743549347,0.3757737499909562,0.24033253572776184,0.11389601892395189,0.0,0.0,,
9.0,0.6530241958487103,0.2958374134098122,21.90336,21.90336,0.9971592150692714,0.2718582652320613,0.2946103325567752,0.1138595166163142,0.5239640453554623,0.34593599917946716,0.2186161484016237,1.9756174071659205,0.2237350459141559,0.662966580393293,0.6193078510524648,0.21380560542197,1.877199988567884,0.2780395852968897,0.28286144166324717,0.49497920274734497,0.38137670633411175,0.24469767431496073,0.11389601892395189,0.009361003769084948,1.375231426092796,0.007735522403441732,0.010670119539167695
10.0,0.6525209087485313,0.2982818617758101,21.90336,21.90336,0.0,0.2815673292803589,0.3089355486459037,0.1138595166163142,0.5570112487933366,0.3497367791989997,0.22003146241163932,2.132219756156703,0.2402000026543342,0.6761180662509316,0.6193078510524648,0.21380560542197,1.877199988567884,0.2780395852968897,0.28286144166324717,0.49497920274734497,0.38137670633411175,0.24469767431496073,0.11389601892395189,0.0,0.0,,
11.0,0.635785053153103,0.35821957048223135,21.90336,21.90336,0.0,0.28647906968931824,0.3152293079206143,0.1138595166163142,0.5877686053165586,0.34366082402709613,0.2162579434510489,2.2519642347006155,0.2531235813219431,0.6880963227496273,0.6193078510524648,0.21380560542197,1.877199988567884,0.2780395852968897,0.28286144166324717,0.49497920274734497,0.38137670633411175,0.24469767431496073,0.11389601892395189,0.0,0.0,,
12.0,0.6254492764437904,0.4577780329038819,21.90336,21.90336,0.0,0.2938845769535692,0.32562295447564366,0.1138595166163142,0.5831318492049207,0.3478888641458571,0.21882847577074802,2.3879805602222794,0.2680223413187431,0.6992780760166005,0.6193078510524648,0.21380560542197,1.877199988567884,0.2780395852968897,0.28286144166324717,0.49497920274734497,0.38137670633411175,0.24469767431496073,0.11389601892395189,0.0,0.0,,
13.0,0.645220045501853,0.30731171063922835,25.55392,25.55392,0.9971592150692714,0.2733226891363512,0.29507974172104273,0.1138595166163142,0.5348236463993997,0.3407713619392827,0.21579568353305326,2.0029262243642476,0.22705187241722957,0.6637223105268302,0.6446720499464164,0.21923160918776075,1.9248399659529907,0.28028503562945367,0.2826086956521739,0.5019013285636902,0.3824276263349411,0.24536191418145964,0.11389601892395189,0.007932140374751213,1.2401330469874665,0.0063178633632317745,0.009262976127218488
14.0,0.6432435511360325,0.3390182588165102,25.55392,25.55392,0.0,0.2863606255375119,0.309198731456497,0.1138595166163142,0.5420600430925506,0.3051233910997693,0.19415605963026694,2.1551219487301805,0.24303475739440403,0.6758839771547186,0.6446720499464164,0.21923160918776075,1.9248399659529907,0.28028503562945367,0.2826086956521739,0.5019013285636902,0.3824276263349411,0.24536191418145964,0.11389601892395189,0.0,0.0,,
15.0,0.6313155768822666,0.392850053559424,25.55392,25.55392,0.0,0.2913742157165834,0.3186112917452681,0.1138595166163142,0.5759570023245653,0.3400933935242721,0.21445654683340526,2.2990008596568186,0.2590773008442648,0.6909759880223899,0.6446720499464164,0.21923160918776075,1.9248399659529907,0.28028503562945367,0.2826086956521739,0.5019013285636902,0.3824276263349411,0.24536191418145964,0.11389601892395189,0.0,0.0,,
16.0,0.6135846887566385,0.4332762324633058,25.55392,25.55392,0.0,0.3004501127316711,0.32867022326413725,0.1138595166163142,0.5688135499549206,0.3221690921499304,0.20376694151673877,2.4575504225675946,0.27551177828363127,0.6991452617585039,0.6446720499464164,0.21923160918776075,1.9248399659529907,0.28028503562945367,0.2826086956521739,0.5019013285636902,0.3824276263349411,0.24536191418145964,0.11389601892395189,0.0,0.0,,
17.0,0.644128981390437,0.36613963691091655,29.20448,29.20448,0.9971592150692714,0.27517137029814875,0.2971657607786083,0.1138595166163142,0.5637730873749786,0.3414109272147039,0.21762087089716173,2.0377394802211395,0.23102243496625502,0.6670681867767057,0.6683505437351154,0.2210313589196272,1.9406416572576546,0.2795136619165904,0.2808867261422006,0.5009505152702332,0.3774220040351613,0.2413190343446161,0.11389601892395189,0.008127858626082155,1.346025874139741,0.006231788630268558,0.009721204699526058
18.0,0.6403799636482017,0.4945403545498979,29.20448,29.20448,0.0,0.28918738493869206,0.3122111044298489,0.1138595166163142,0.5801921710522033,0.3336517155355205,0.21013717519652644,2.2090827453126747,0.24963093668359007,0.6822848256711771,0.6683505437351154,0.2210313589196272,1.9406416572576546,0.2795136619165904,0.2808867261422006,0.5009505152702332,0.3774220040351613,0.2413190343446161,0.11389601892395189,0.0,0.0,,
19.0,0.6232761697145459,0.4449226676033808,29.20448,29.20448,0.0,0.29349093861764797,0.3249541128476377,0.1138595166163142,0.6012845233435418,0.33637302658217705,0.21301615279767333,2.3526045613898896,0.26516231676943536,0.6938626524873638,0.6683505437351154,0.2210313589196272,1.9406416572576546,0.2795136619165904,0.2808867261422006,0.5009505152702332,0.3774220040351613,0.2413190343446161,0.11389601892395189,0.0,0.0,,
20.0,0.6125266546542784,0.5884822566294431,29.20448,29.20448,0.0,0.3005139823945751,0.3346591874453747,0.1138595166163142,0.5671088128479165,0.3258976108670771,0.2052031450227349,2.4935348164789177,0.27965381938075523,0.7044955582926284,0.6683505437351154,0.2210313589196272,1.9406416572576546,0.2795136619165904,0.2808867261422006,0.5009505152702332,0.3774220040351613,0.2413190343446161,0.11389601892395189,0.0,0.0,,
21.0,0.6413048747037227,0.4729905498587083,32.85504,32.85504,0.9971592150692714,0.27284417752527695,0.29971548865044717,0.1138595166163142,0.5731787977145547,0.3515565313130602,0.22390977705613252,2.0510668756291093,0.23278419206493672,0.6703675036136942,0.6675415935263702,0.22037160610304926,1.9348490683435642,0.27744270205066346,0.2841217234106658,0.5055403113365173,0.3771036588807874,0.24119889441391948,0.11389601892395189,0.007558601731951811,1.325056240777485,0.005793423041761377,0.009067652564621788
22.0,0.6430176223854523,0.46021477896200225,32.85504,32.85504,0.0,0.2891471523290915,0.3150539705584841,0.1138595166163142,0.5451244855278957,0.3403535462997494,0.21514818718225584,2.2421270998587963,0.2537241753147906,0.683178558183282,0.6675415935263702,0.22037160610304926,1.9348490683435642,0.27744270205066346,0.2841217234106658,0.5055403113365173,0.3771036588807874,0.24119889441391948,0.11389601892395189,0.0,0.0,,
23.0,0.625495298535286,0.47962446467145287,32.85504,32.85504,0.0,0.30228915411467433,0.32703864794202203,0.1138595166163142,0.5527573537385355,0.3323829173603286,0.20835981035069842,2.367326500999162,0.26699762912029107,0.6983542393493983,0.6675415935263702,0.22037160610304926,1.9348490683435642,0.27744270205066346,0.2841217234106658,0.5055403113365173,0.3771036588807874,0.24119889441391948,0.11389601892395189,0.0,0.0,,
24.0,0.6058257078243099,0.5220068482682937,32.85504,32.85504,0.0,0.3125438478923345,0.340099253755864,0.1138595166163142,0.5480803337270789,0.30682342384251593,0.1915549556711092,2.5684256091186537,0.28829192880881616,0.7097572314840722,0.6675415935263702,0.22037160610304926,1.9348490683435642,0.27744270205066346,0.2841217234106658,0.5055403113365173,0.3771036588807874,0.24119889441391948,0.11389601892395189,0.0,0.0,,
25.0,0.6451908363332751,0.5575409495195559,36.5056,36.5056,0.9971592150692714,0.2797266460016251,0.30016753990097605,0.1138595166163142,0.5450226677148364,0.33741782984273344,0.21305160380193272,2.0811631784930236,0.2365599187628355,0.6712644323362885,0.6655799259773099,0.21911524841295463,1.923818325548827,0.2739928545028952,0.278394981048229,0.5016468167304993,0.37661707457523413,0.24086014368094982,0.11389601892395189,0.0068706046909556475,1.2696980142500252,0.005358100092825028,0.008189461506864802
26.0,0.6401926028325431,0.45740499434372517,36.5056,36.5056,0.0,0.28881633654360084,0.3123027977475022,0.1138595166163142,0.5567750533665685,0.34164089046761936,0.21475454645430944,2.2580931676888345,0.25582018817899854,0.6859469549293873,0.6655799259773099,0.21911524841295463,1.923818325548827,0.2739928545028952,0.278394981048229,0.5016468167304993,0.37661707457523413,0.24086014368094982,0.11389601892395189,0.0,0.0,,
27.0,0.6248588224973038,0.5298423066151062,36.5056,36.5056,0.0,0.30295962545672633,0.3285153698655722,0.1138595166163142,0.5819106355106902,0.3239599259123337,0.20365153169749878,2.3980784662029144,0.27065110814177273,0.6993226298675488,0.6655799259773099,0.21911524841295463,1.923818325548827,0.2739928545028952,0.278394981048229,0.5016468167304993,0.37661707457523413,0.24086014368094982,0.11389601892395189,0.0,0.0,,
28.0,0.6083592079262636,0.6238068312056593,36.5056,36.5056,0.0,0.31801748028865473,0.3423318292811681,0.1138595166163142,0.5832992696371172,0.31051234038563563,0.1942715216576761,2.6144821720231937,0.29341398455129775,0.7129117684445828,0.6655799259773099,0.21911524841295463,1.923818325548827,0.2739928545028952,0.278394981048229,0.5016468167304993,0.37661707457523413,0.24086014368094982,0.11389601892395189,0.0,0.0,,
29.0,0.639161423360609,0.5074586942158308,40.15616,40.15616,0.9971592150692714,0.28367004730316536,0.30159306884638665,0.1138595166163142,0.5443631134465832,0.3403125421321328,0.2148199621708728,2.0903416480570307,0.23782553598098696,0.6746200056811875,0.65816996415224,0.21968774657528717,1.9288448239966332,0.2753789326200484,0.27866437515344955,0.4988158941268921,0.38040802131134027,0.2438759523504046,0.11389601892395189,0.006793178135254635,1.319731820258312,0.005150459484750022,0.008254455379217714
30.0,0.6405876970300495,0.5347964921694073,40.15616,40.15616,0.0,0.29121432526591934,0.3227747843586572,0.1138595166163142,0.5758576060664977,0.3321917912986576,0.20919418866615114,2.3171603304276394,0.26230288961329334,0.6930560383676597,0.65816996415224,0.21968774657528717,1.9288448239966332,0.2753789326200484,0.27866437515344955,0.4988158941268921,0.38040802131134027,0.2438759523504046,0.11389601892395189,0.0,0.0,,
31.0,0.6219886030300312,0.5912447298377772,40.15616,40.15616,0.0,0.3049518003426489,0.33649964834836826,0.1138595166163142,0.5767853526081533,0.34284235950144837,0.21421208092817862,2.472097404610775,0.2783765608232384,0.7048404100863076,0.65816996415224,0.21968774657528717,1.9288448239966332,0.2753789326200484,0.27866437515344955,0.4988158941268921,0.38040802131134027,0.2438759523504046,0.11389601892395189,0.0,0.0,,
