round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_f1_best,fed_auroc,fed_f1,fed_prevalence,fed_ece,fed_auprc_lift,fed_brier,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.7440239513456584,285.1740019911799,9.70752,9.70752,0.9989298121408696,0.18292223309837646,0.2643140109811891,0.6126008353503749,0.14337443664431007,0.11067044381491974,0.3038125963745006,1.6592816262447148,0.20249425713065608,0.4305205474175257,0.37137503439177244,0.08704657719459949,0.7642635626511256,0.17375156838143035,0.20452284034373586,0.48125773668289185,0.41380054879076944,0.27413464131408,0.11389601892395189,0.0036871872872968827,3.6724225191865116,0.12192067414940115,0.003191646855878233
2.0,0.7007134567174793,3.8222563873977777,19.41504,19.41504,0.9989298121408696,0.18677312020653603,0.27205851130161895,0.6237524566222774,0.16296602150358214,0.11067044381491974,0.33179623719033935,1.68011738298422,0.21490107050934923,0.4824008100187399,0.3569087040939173,0.08352263166865065,0.7333235389414139,0.18266978922716628,0.20452799493876814,0.46598291397094727,0.42477903059530975,0.2847369046102668,0.11389601892395189,0.00195217293669728,1.956888967906707,0.041881884435857074,0.0017594868384091219
3.0,0.6907229817652417,2.861212641330859,29.12256,29.12256,0.9989298121408696,0.1991639319300091,0.2825603755938414,0.6441861421503494,0.18805138502507177,0.11067044381491974,0.3339262230791384,1.7949863807501965,0.21408214357256328,0.5130585005889723,0.36320278121953464,0.08588214081538637,0.7540398832792362,0.18607777244359097,0.2046204620462046,0.4806741178035736,0.42090881515193634,0.28086284556397406,0.11389601892395189,0.001413800455735964,1.426359809081987,0.0318019676686804,0.001243313621068499
4.0,0.6759801764843221,2.329598358471398,38.83008,38.83008,0.9989298121408696,0.20276672187309297,0.285615382486118,0.6563316816666422,0.20743466006984748,0.11067044381491974,0.3427892398920531,1.8422780531476548,0.21594337562375085,0.49956377602839275,0.3552068101959175,0.08360557540773317,0.7340517798392622,0.186810076422304,0.20450951154489178,0.4679858684539795,0.4249809073498291,0.28414521655270686,0.11389601892395189,0.0013324073208618678,1.3503069815933486,0.022105075120197975,0.0011988927732010334
5.0,0.6671941129714548,1.9003755607453485,48.5376,48.5376,0.9989298121408696,0.21328039579391475,0.2936606880113775,0.6651392067004177,0.2539767989375776,0.11067044381491974,0.3481611287618231,1.9461421463113697,0.21958655906065194,0.5336174301749174,0.3557489214122711,0.08321066927654672,0.7305845284382265,0.1768427247314992,0.20452799493876814,0.4544416069984436,0.4184688755814818,0.27890882282619955,0.11389601892395189,0.0011711873981865401,1.193530892308445,0.019490420233868065,0.0010402970841324958
6.0,0.6618537035756458,1.6822093694301568,48.5376,48.5376,0.0,0.2166818119047436,0.29800615992074925,0.6727781436781017,0.2732151742090611,0.11067044381491974,0.32713380283835847,1.992531624845356,0.206287462276669,0.5321861162833309,0.3557489214122711,0.08321066927654672,0.7305845284382265,0.1768427247314992,0.20452799493876814,0.4544416069984436,0.4184688755814818,0.27890882282619955,0.11389601892395189,0.0,0.0,,
7.0,0.6509065218874788,1.7155016190711208,50.2016,50.2016,0.17123005746085582,0.21582898320760482,0.2975212492786391,0.6667265978125786,0.2711543847661326,0.11067044381491974,0.3407607162921805,1.9798799239854081,0.21432742390915185,0.5243291789981829,0.3699190971984654,0.08530571466659648,0.7489788973533387,0.16850930049777313,0.2045002711006687,0.45287320017814636,0.40681447871612475,0.268759250044907,0.11389601892395189,0.027617312589322422,0.22362625692039728,0.027617312589322422,
8.0,0.6493976526930031,2.264663172237589,50.2016,50.2016,0.0,0.2246968203639215,0.30171807771264625,0.6733250426971517,0.2759722129003362,0.11067044381491974,0.33772832102508415,2.0735588619009033,0.2171517220597036,0.5757103402884005,0.3699190971984654,0.08530571466659648,0.7489788973533387,0.16850930049777313,0.2045002711006687,0.45287320017814636,0.40681447871612475,0.268759250044907,0.11389601892395189,0.0,0.0,,
9.0,0.6445146496480003,1.7712495199154799,51.8656,51.8656,0.17123005746085582,0.2177600905989493,0.2982229383000351,0.6693544819899584,0.2784148665653001,0.11067044381491974,0.3395654988046859,1.999490282558696,0.21592539380418938,0.5547227498979963,0.3600175044772679,0.08475350110033159,0.7441304964041043,0.15469551639527102,0.2045002711006687,0.45174041390419006,0.4001523712943836,0.2636654567457104,0.11389601892395189,0.027409677745347822,0.2561824796721339,0.027409677745347822,
10.0,0.6491085636536538,1.9410438122918787,51.8656,51.8656,0.0,0.22269810276358132,0.29843305267055,0.6740203528925964,0.27342986725019625,0.11067044381491974,0.3502662322976734,2.04740425458237,0.2228159511043542,0.5466726163347674,0.3600175044772679,0.08475350110033159,0.7441304964041043,0.15469551639527102,0.2045002711006687,0.45174041390419006,0.4001523712943836,0.2636654567457104,0.11389601892395189,0.0,0.0,,
