round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_brier,fed_auroc,fed_ece,fed_f1,fed_f1_best,fed_auprc_lift,fed_auprc,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6878751061201627,0.11735684393625698,3.65056,3.65056,0.9971592150692714,0.11350330500472143,0.2565414547849308,0.599866255706615,0.3954616744262376,0.1910428734967158,0.25391107378296596,1.6345993217113224,0.18189878105088197,0.5104641591785913,0.5761080701558527,0.16366653559368613,1.4369820573181395,0.21739503734867346,0.22075005614192683,0.5011816024780273,0.3861567337365736,0.2498207608516658,0.11389601892395189,0.02764183403422107,2.9869433911517262,0.023315683363577637,0.030503034683604262
2.0,0.6859030897028139,0.12015478603948922,5.632,5.632,0.5412350858791136,0.11350330500472143,0.2419180345799307,0.647476724257782,0.37908261601077636,0.2359887100907448,0.28421936037488216,1.9713957003600362,0.21865093309658346,0.5016371517069579,0.616509950786572,0.1900949546351251,1.6690219415136105,0.24668587896253602,0.25455936742762403,0.4990350902080536,0.38324792665500235,0.24717902028156655,0.11389601892395189,0.023649303503172948,1.9068884805310518,,0.023649303503172948
3.0,0.6781871705567417,0.16734953900799027,7.61344,7.61344,0.5412350858791136,0.11350330500472143,0.23150065714218374,0.6671711760341719,0.3670242522079538,0.26553716606358096,0.2967407278121627,2.108553614306215,0.23604188143547072,0.49600702589474505,0.635284470219122,0.1957688235307844,1.718838159404841,0.23289029954374132,0.2592964824120603,0.4929456412792206,0.3778551771612098,0.24282344834991862,0.11389601892395189,0.016482933841864066,1.6219560203608125,,0.016482933841864066
4.0,0.670316855612168,0.21289197214392291,9.59488,9.59488,0.5412350858791136,0.11350330500472143,0.22699385362461477,0.6769754523812371,0.36150596409351293,0.2691219688796205,0.3050189397659369,2.188123471048065,0.24431923192219335,0.5001448328892015,0.6361990742620834,0.19800186960165117,1.7384441657601444,0.2587231842853451,0.2602519431787725,0.5007394552230835,0.3808678422929224,0.24458966859594342,0.11389601892395189,0.0122680806467962,1.4148413995280862,,0.0122680806467962
5.0,0.6752271939543715,0.220764960589017,11.264,11.264,0.4559241291901578,0.11350330500472143,0.22510202772851579,0.6544674370805514,0.35711308846430173,0.2570666779040419,0.2845855019746713,1.9947487707359992,0.22147361210938282,0.5148700687939316,0.6497420911974682,0.20564329698060502,1.8055354254121259,0.27031609543417706,0.27524941916085827,0.5034186244010925,0.37910048683040415,0.24272939772970073,0.11389601892395189,0.015376856105015898,0.86499098315835,0.015376856105015898,
6.0,0.6676389009876031,0.2850535314592786,13.24544,13.24544,0.5412350858791136,0.11350330500472143,0.22008505652796706,0.6664864979394631,0.3515763874347757,0.2672159122543507,0.29401414777225965,2.0690803725070324,0.23124076787343717,0.5037039293839867,0.6485824842081463,0.20304424853150652,1.7827159408186048,0.26982470784641066,0.2725382262996942,0.5040103197097778,0.3809603949312872,0.2441674940101428,0.11389601892395189,0.010104038804351246,1.3451980669051409,,0.010104038804351246
7.0,0.6541480460751933,0.34485006335066126,15.22688,15.22688,0.5412350858791136,0.11350330500472143,0.2150880387490819,0.6770404797630212,0.3445469972310218,0.28021165412065435,0.300664002247922,2.1679789015458333,0.2429069744356677,0.49915875983305763,0.6518389539901459,0.20411649765617637,1.7921302217987487,0.2700999565406345,0.27369791666666665,0.5080819129943848,0.37310856861973135,0.237620621615418,0.11389601892395189,0.007338805140579508,1.1051102955825627,,0.007338805140579508
8.0,0.644559182548884,0.49250391984388064,17.20832,17.20832,0.5412350858791136,0.11350330500472143,0.21472003128790995,0.6838818891754124,0.344052370785166,0.28837960270302904,0.30929220514456346,2.2439615197741603,0.25094855653126763,0.509896431085183,0.6490885157507416,0.20336946276769097,1.7855713016929968,0.26923944933423605,0.2729970326409496,0.5059943199157715,0.38031588738293054,0.24357319866744825,0.11389601892395189,0.00655578500528062,1.0937890594359487,,0.00655578500528062
9.0,0.6304745199145333,0.5942659522610098,19.18976,19.18976,0.5412350858791136,0.11350330500472143,0.20905284642462227,0.6913703453366151,0.33518250809221994,0.2951325360069468,0.316554586328553,2.30516101686158,0.25753271621731183,0.5132318738180772,0.6499883992868096,0.20149845416009896,1.7691439618678773,0.2687857894121772,0.2712467496920761,0.5043623447418213,0.37708580975557965,0.24103631411184542,0.11389601892395189,0.0055878040738115,1.0286723889876157,,0.0055878040738115
10.0,0.6534153221952489,0.5081612295208985,22.84032,22.84032,0.9971592150692714,0.11350330500472143,0.20313133771872538,0.6521274279805042,0.32270480152999304,0.25606051741065894,0.27894800530149877,1.9487291644941984,0.21927697545684643,0.48785903376905587,0.6435371528275747,0.1900129572670372,1.668302009694548,0.2597498160412068,0.2627450980392157,0.5041629672050476,0.36827746426952984,0.23463082644432406,0.11389601892395189,0.007242193733857468,1.971057016402483,0.011926709006667053,0.005609094995236681
