round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_f1,fed_auroc,fed_auprc_lift,fed_prevalence,fed_f1_best_threshold,fed_brier,fed_ece,fed_f1_best,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6893001213153798,0.09271631784942896,3.66096,3.66096,1.0,0.21167957583198072,0.25978343878115534,0.6506183550616118,1.8822667056400204,0.11379657603222558,0.5088367067326202,0.23365597129469437,0.36933677096373785,0.2834339950561514,0.6587663140990229,0.21517335241789287,1.8892087225767182,0.2755114106657207,0.2787122969837587,0.5119162201881409,0.36782982865945335,0.23257715491058578,0.11389601892395189,0.02535209139292262,2.745806604867539,0.022259115902716894,0.027599912809483415,0.01010784451028038
2.0,0.6647962680172728,0.1809265634882876,7.32192,7.32192,1.0,0.21688159816230046,0.26586039077073814,0.658109262124443,1.9276353951132783,0.11379657603222558,0.5064778435292531,0.20566530140408104,0.3286477548313164,0.28976888606330564,0.6629896940388448,0.22109309348730719,1.9411836829426894,0.277706643903827,0.28185328185328185,0.5183404684066772,0.3266462101408181,0.20426578270313428,0.11389601892395189,0.015882132962296937,1.846195606423862,0.015842556069492284,0.016017888432686474,0.005553774880610259
3.0,0.6564149572492614,0.30662933177139096,10.98288,10.98288,1.0,0.22137584251060957,0.26845132711558456,0.6617932333329101,1.9637176437122201,0.11379657603222558,0.5371920250727599,0.22297588464855062,0.3532768334473098,0.2945124421149805,0.6651357130339961,0.22351228852814387,1.9624240657382634,0.27753967334646124,0.2813478642114493,0.5135416984558105,0.35128806735271234,0.2215587909608634,0.11389601892395189,0.012185358822483741,1.51607918062291,0.012435578458695376,0.012091074431788817,0.0042495579618137555
4.0,0.649212154479528,0.31054848230252496,14.64384,14.64384,1.0,0.22447601457841382,0.27054154317582885,0.6637255793327536,1.9878797947130555,0.11379657603222558,0.5390374590037812,0.21512100778130816,0.34158200570096114,0.29454200014103626,0.6663124500249458,0.2241194855502976,1.9677552180286622,0.27928376025864216,0.2812587023113339,0.5214342474937439,0.33926862694547677,0.21382675414592445,0.11389601892395189,0.0102390763865717,1.3576141028124766,0.01025239784839869,0.010287597858675003,0.004099402226983868
5.0,0.6467422242978446,0.3379364587394188,18.3048,18.3048,1.0,0.22599597521459552,0.2726666605441215,0.6661423182876723,1.9967066622918557,0.11379657603222558,0.5443772771428568,0.20925208456194358,0.33253714548046853,0.29834217991783785,0.6678422909395619,0.2251127592912356,1.9764761000254352,0.28251821019771073,0.2837997635001971,0.5022304654121399,0.33034610913359497,0.20807676500332378,0.11389601892395189,0.008438445506197012,1.187903411781008,0.008588583746845228,0.008366518566500869,0.004024855498068201
6.0,0.6459031477712636,0.33865334322299906,21.96576,21.96576,1.0,0.2282228218472635,0.27650947096393963,0.6690044600499259,2.0154973021447304,0.11379657603222558,0.5535196126565292,0.2172690773711135,0.34448077006890154,0.3005099287901123,0.6677709975042152,0.22453030933143653,1.9713622254115388,0.2791618160651921,0.2838858313067964,0.5183995962142944,0.34257967222096297,0.21646819944814025,0.11389601892395189,0.008529569097260725,1.264781576959649,0.008146983723530598,0.00886790047847258,0.003740735860001074
7.0,0.6457607496989142,0.3484625551467998,25.62672,25.62672,1.0,0.22983973410117842,0.2775387889644158,0.6693961344386711,2.030534443942703,0.11379657603222558,0.5381620605490268,0.22026076231019767,0.35014446506282354,0.29674905750575353,0.6671320672676717,0.2249751164120219,1.9752676040611854,0.2805157247861188,0.28287392679620427,0.5376371145248413,0.3486054076228794,0.21971400435808672,0.11389601892395189,0.008765282115814435,1.380656223981532,0.007831995992170727,0.009555377273397612,0.004050953771826714
8.0,0.6458356996633204,0.3245325231297533,29.28768,29.28768,1.0,0.2318347303863743,0.2771161455050625,0.67101470440142,2.0445726315155386,0.11379657603222558,0.5434042615769104,0.21209960572448025,0.33510393578810516,0.3002522365775993,0.6677713865372192,0.22425478390430817,1.9689431292066721,0.27618816682832203,0.28255291853752407,0.5583851933479309,0.3330923254665452,0.21152292890252783,0.11389601892395189,0.008577839168962943,1.4357961118348612,0.007448911086704176,0.00954286586366225,0.005193839660860121
9.0,0.6489819455161794,0.4379626078249377,32.94864,32.94864,1.0,0.23305188193905696,0.27827437394395166,0.6739099056058279,2.0596351273563025,0.11379657603222558,0.5370165874181767,0.2187538343410788,0.3466760385940967,0.30414825154792424,0.6674623688375227,0.22476588102869088,1.9734305303398405,0.2775305260755449,0.2844913682408332,0.5391729474067688,0.3446045186982025,0.21844553958545715,0.11389601892395189,0.00846658399038983,1.5010794106146932,0.006877850563657937,0.00987010514741347,0.0030903229929405075
10.0,0.6516686994014568,0.4017394864533446,36.6096,36.6096,1.0,0.23729716287616057,0.27708707774402913,0.675776803302916,2.0933167732201134,0.11379657603222558,0.5625644528699997,0.223229739223076,0.35312549513366076,0.3043080752322602,0.6689361262523035,0.22365576710525906,1.963683798769064,0.28053795709681006,0.28355847632956066,0.516951858997345,0.35148235280294526,0.22320832172829083,0.11389601892395189,0.007875780207822026,1.481227749489335,0.006320641327317667,0.00928059329970798,0.00300424222694501
