round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_brier,fed_f1_best_threshold,fed_auprc,fed_auroc,fed_prevalence,fed_ece,fed_f1_best,fed_auprc_lift,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.689919192577445,0.09667519425199324,3.65056,3.65056,0.9971592150692714,0.1635547311024583,0.251530815466391,0.5037516968690039,0.15802834113199907,0.5655361966454416,0.11054453887315077,0.3912255570522299,0.2270113800020511,1.4205295131121891,0.4716080074336928,0.10458043721718516,0.9182097689210127,0.0026200873362445414,0.20450951154489178,0.4331955313682556,0.359633050263873,0.2304893714014631,0.11389601892395189,0.027051398267007264,2.9113250258378685,0.022907712725643736,0.029787263356672755
2.0,0.6877926319273727,0.1854939043364407,5.632,5.632,0.5412350858791136,0.22240307444099594,0.25182394260548213,0.5140479614646847,0.19985829641544464,0.6447053362575129,0.11054453887315077,0.39428811916811196,0.2756278352678811,1.81011510413326,0.4588629097389719,0.10239514504918751,0.8990230388786153,0.17770396512352085,0.2045002711006687,0.4174307584762573,0.39000941156693036,0.25353645165224137,0.11389601892395189,0.017476544951055502,2.1969141482841223,,0.017476544951055502
3.0,0.6808319686221054,0.26223810689972155,7.61344,7.61344,0.5412350858791136,0.24694713840600263,0.24588936618335605,0.5228367007994449,0.21385325881613043,0.664666465901742,0.11054453887315077,0.3883470331962131,0.29187704263709335,1.9462081973765577,0.48760458022861985,0.11227789326168866,0.985792956790319,0.12541013488880787,0.20460544279603168,0.4550209045410156,0.37390364031017964,0.2409692859317171,0.11389601892395189,0.009805179205420034,1.8564873449504375,,0.009805179205420034
4.0,0.6790385173162712,0.39753920388193675,9.59488,9.59488,0.5412350858791136,0.26412244554061126,0.23242432385268771,0.5174138149057202,0.2226718318597424,0.673694679109997,0.11054453887315077,0.37166954843848615,0.29853360896735587,2.04834905625629,0.4948731724798153,0.11654529924993048,1.0232605173649443,0.15328671328671328,0.20525170194044365,0.4564743936061859,0.3755818213713451,0.24222706749843914,0.11389601892395189,0.0063459878131718935,1.6041913332883269,,0.0063459878131718935
5.0,0.6820878314769614,0.39692496476279654,11.264,11.264,0.4559241291901578,0.26064624736376346,0.22031399205604618,0.496082516505653,0.2033519729383936,0.6524638581079303,0.11054453887315077,0.3531957459404741,0.2788528003770898,1.8509918877665228,0.4759970777848651,0.11141040668636445,0.9781764783258398,0.1650521609538003,0.20495536527600658,0.4413761496543884,0.3823648766579389,0.2478701458335971,0.11389601892395189,0.009217886518045025,0.8769945213571191,0.009217886518045025,
6.0,0.6808135328823921,0.4709516616766091,13.24544,13.24544,0.5412350858791136,0.26636988023724917,0.232117755557247,0.5186387561142052,0.21459173006643797,0.6650377070283506,0.11054453887315077,0.3707329988048104,0.29434436359510413,1.9473875093441684,0.4412174268313001,0.09772519037245565,0.8580211257226342,0.12374581939799331,0.20458346517199294,0.40677475929260254,0.3740551200775912,0.2422158332362224,0.11389601892395189,0.00515643770474259,1.6214946480467916,,0.00515643770474259
7.0,0.6704171022876889,0.4942132001573354,15.22688,15.22688,0.5412350858791136,0.277010078816159,0.2213474503058898,0.5234444782348936,0.2216801593660135,0.6743708922251102,0.11054453887315077,0.35659130065648253,0.30416947383289017,2.0163871290355435,0.43235323453836016,0.09830006193975697,0.8630684625192361,0.1488583732834972,0.20453723788864786,0.41686779260635376,0.3878640200616705,0.2528459790985559,0.11389601892395189,0.0034966995172513583,1.3217034741537645,,0.0034966995172513583
8.0,0.6620829716169732,0.5930133305742125,17.20832,17.20832,0.5412350858791136,0.2832862148832242,0.21921964847457592,0.5196562437073853,0.2280937508277571,0.682598028656012,0.11054453887315077,0.3533241487680684,0.3069009121051083,2.0715136610588707,0.44182744313103006,0.10013328975047726,0.8791640892851227,0.14922318355195832,0.20459271313624447,0.4238535165786743,0.3843312964531069,0.24997732736957365,0.11389601892395189,0.002931082248751809,1.2892690354492515,,0.002931082248751809
9.0,0.6553531530786642,0.7286744182376873,19.18976,19.18976,0.5412350858791136,0.2874929652466511,0.2171060673290891,0.5252111498687414,0.23491424940017647,0.6893315945863934,0.11054453887315077,0.3504136938872599,0.3143946464569181,2.1480426743176646,0.5060636315432778,0.11986119648864088,1.0523738899835642,0.14048816843674305,0.20488909008601178,0.39818650484085083,0.36552815403658234,0.2348575490451909,0.11389601892395189,0.0023735045059293577,1.1938692557159811,,0.0023735045059293577
10.0,0.6734435371053842,0.8166511201565774,22.84032,22.84032,0.9971592150692714,0.24678625300474974,0.23891503887865348,0.522949450679046,0.199653220626405,0.6452540546479238,0.11054453887315077,0.37845280596603564,0.27609847326269343,1.8165632027782692,0.49686598776809965,0.12011068826521881,1.0545644123471642,0.13866566996823024,0.20451875282422052,0.3551233112812042,0.3631193934386183,0.2335093233310727,0.11389601892395189,0.0029525032085234836,2.1083656462142244,0.005177488084647915,0.002371261490189059
11.0,0.6747228560037967,0.9205644425178349,24.82176,24.82176,0.5412350858791136,0.2765117759475351,0.22401491879238317,0.5097382353130361,0.21636923012341502,0.6713270527348106,0.11054453887315077,0.3589769508667363,0.2962268741936259,1.981114050225652,0.5364954119957398,0.13758459108182702,1.2079841980578088,0.17499126790080335,0.20591520567238114,0.44581207633018494,0.3655391640710305,0.23431897342575592,0.11389601892395189,0.002443094594748786,1.5443672657711431,,0.002443094594748786
12.0,0.6649849449036566,0.9785843395552796,26.8032,26.8032,0.5412350858791136,0.2827648642081877,0.21568724934648445,0.5275839441389942,0.22588818684150275,0.677842927975051,0.11054453887315077,0.34721095562966164,0.31033380417383616,2.0771593687279646,0.5499200374033899,0.14620040781061097,1.2836305359209144,0.17309269893355209,0.20753375977256577,0.4697113335132599,0.3549370413574948,0.22646436001873424,0.11389601892395189,0.0017997045028518082,1.2432463637087494,,0.0017997045028518082
13.0,0.6523482393642392,1.26897191842371,28.78464,28.78464,0.5412350858791136,0.2895107010275633,0.2104081501282704,0.5347953813534546,0.23275208610172704,0.6892687214692925,0.11054453887315077,0.33933897485588943,0.31066487661541614,2.1383247124867393,0.5173274547016244,0.13392418907612524,1.1758460948977165,0.15755161173487867,0.20450951154489178,0.3324660062789917,0.35724987746382986,0.2289663375631767,0.11389601892395189,0.0013912555901150357,1.0518648428842425,,0.0013912555901150357
14.0,0.647716231078199,1.4118747329276293,30.76608,30.76608,0.5412350858791136,0.2857737193342708,0.20273083554509647,0.5358476480955142,0.2370473227260032,0.6921829625317509,0.11054453887315077,0.3259175877578423,0.3202255756002896,2.1852980405635964,0.46477568432285843,0.11341882223406409,0.9958102425844539,0.12421652421652421,0.2045002711006687,0.26474475860595703,0.3535626284806992,0.22796997454909274,0.11389601892395189,0.0012711850851221656,1.0399591583991423,,0.0012711850851221656
15.0,0.6717562827779802,1.3870383710443082,32.4352,32.4352,0.4559241291901578,0.274583767416277,0.21721657337517786,0.5110782702913966,0.20980195611999936,0.6572162980066388,0.11054453887315077,0.3475364567141489,0.2930080487967999,1.9078236083984814,0.42449019985704667,0.09700888539381985,0.8517320123242628,0.14533132530120482,0.2045002711006687,0.14171788096427917,0.37713705955423943,0.24755510253731905,0.11389601892395189,0.0034600387211544876,0.6923908023163676,0.0034600387211544876,
