round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_auroc,fed_auprc_lift,fed_prevalence,fed_auprc,fed_brier,fed_ece,fed_f1,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.17048757836225142,0.02670258388372786,3.65056,3.65056,0.9971592150692714,0.27049584762351664,0.6162854339498843,1.706472712226058,0.11367069486404835,0.19342228132691336,0.2529255895857402,0.39124418655738674,0.23202265960371246,0.5106231355617593,0.41196766668897117,0.09478380362839564,0.8321959320780349,0.16265850459116746,0.2045002711006687,0.4734240174293518,0.3870969490727995,0.25097846205783414,0.11389601892395189,0.02305062290600376,2.4698961132671684,0.01880651983629457,0.02585685635765911
2.0,0.17122362223261614,0.0252941881711767,5.632,5.632,0.5412350858791136,0.30192900120264937,0.6602546294123681,2.009624720233589,0.11367069486404835,0.22538979269506712,0.24880780421315424,0.38771521250932117,0.24459189381023916,0.5197737204719407,0.37784329790756965,0.08749692129972939,0.7682175560337265,0.17562995505731455,0.2045002711006687,0.4862216114997864,0.39068924282450185,0.25391012768547044,0.11389601892395189,0.01681774946319852,1.1301458673551679,,0.01681774946319852
3.0,0.1680405567756819,0.025624545331550792,7.61344,7.61344,0.5412350858791136,0.31070172795188705,0.6765104229694894,2.1211003036221436,0.11367069486404835,0.23680310400446214,0.2490514028491376,0.3892216666377443,0.25926213953000443,0.5247553106517441,0.3769214277320495,0.08840841363700369,0.7762204023657209,0.16414167798558144,0.2045002711006687,0.4539860785007477,0.39050007355135763,0.2539117679648289,0.11389601892395189,0.012592576169125567,0.8843989968299866,,0.012592576169125567
4.0,0.1664900579360848,0.033209905219696856,9.59488,9.59488,0.5412350858791136,0.32201801592706103,0.685729158015083,2.260888102140219,0.11367069486404835,0.2506963150636967,0.2437646956657981,0.38314879803439045,0.2794129347881946,0.5264262859198412,0.40724130472332754,0.09813036056509464,0.8615784949482392,0.15296648550724637,0.2045002711006687,0.417502760887146,0.3872818121166005,0.251246500058226,0.11389601892395189,0.011872780530180083,0.8672976021189243,,0.011872780530180083
5.0,0.1677897886379332,0.03175294334541639,11.264,11.264,0.4559241291901578,0.2984160428000949,0.6689832619623882,2.020268565209942,0.11367069486404835,0.22665092423395988,0.2342477882166846,0.3703380431736043,0.27602805494743876,0.5119037414391686,0.40212735294063023,0.09755453070664216,0.8565227444146147,0.14991110856225268,0.2045002711006687,0.4119628369808197,0.38662997904370555,0.2508035064758729,0.11389601892395189,0.015045820940357878,0.6715565496124327,0.015045820940357878,
6.0,0.16524122241051115,0.031785328965201434,13.24544,13.24544,0.5412350858791136,0.3109845758263912,0.6802518279439594,2.1540093446464903,0.11367069486404835,0.24116384457271925,0.23902277825711618,0.37725326794594505,0.28179987716846827,0.5279198765158203,0.4225038600858613,0.10283463929767811,0.9028817711911473,0.15862555895504823,0.2045002711006687,0.41029179096221924,0.3841663336134669,0.2487406335522684,0.11389601892395189,0.010256240071845757,0.7799059258541092,,0.010256240071845757
7.0,0.16243808053024467,0.04818468712034646,15.22688,15.22688,0.5412350858791136,0.3217105468946716,0.6918332056694602,2.2796777497714107,0.11367069486404835,0.25481116321274466,0.23972197863109518,0.37882981504513413,0.29096463950633666,0.5255670819791691,0.421954583132563,0.10244938219724926,0.8994992376832283,0.05825242718446602,0.2045002711006687,0.38873323798179626,0.38021395203931513,0.2461471873722457,0.11389601892395189,0.008879485549170264,0.7043947579804808,,0.008879485549170264
8.0,0.15952263555207397,0.05310371466277351,17.20832,17.20832,0.5412350858791136,0.33000787852262226,0.7005507864422216,2.3893625931875384,0.11367069486404835,0.2659697442165566,0.23262926738805648,0.3701953331828268,0.29972477303872497,0.5261495380126848,0.4237915216807592,0.10038014440639681,0.881331457892487,0.09831588529813381,0.2045002711006687,0.37338027358055115,0.37959363198321133,0.24581322121600013,0.11389601892395189,0.008556563401014915,0.7043859856203198,,0.008556563401014915
9.0,0.158092589196801,0.06294943961359681,19.18976,19.18976,0.5412350858791136,0.3435113181178263,0.7084425539804009,2.50712256282043,0.11367069486404835,0.27861598014398015,0.23147242534681053,0.3697396085390301,0.3056273891951228,0.5315328575877054,0.4300017308203843,0.10216214885222771,0.8969773466835671,0.04879725085910653,0.2045002711006687,0.3769282400608063,0.37779048647390495,0.2444203391519596,0.11389601892395189,0.01010479233419954,0.8653460979694501,,0.01010479233419954
10.0,0.16175013039616712,0.04065262112379296,22.84032,22.84032,0.9971592150692714,0.3045511063832188,0.6700179036467021,2.0747628047726394,0.11367069486404835,0.23361392707364945,0.23477121758187822,0.3712509386954231,0.27568048032137016,0.5248867056884946,0.4878769158808744,0.11275156121820455,0.989951732145164,0.026813880126182965,0.2045002711006687,0.41804784536361694,0.3781764170662003,0.2439007027458602,0.11389601892395189,0.009208171974174869,1.264965771464631,0.013202482557676495,0.007066561516733127
