round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best_threshold,fed_ece,fed_f1,fed_auprc_lift,fed_brier,fed_prevalence,fed_f1_best,fed_auroc,fed_auprc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6880455297764797,0.10476945052884465,3.65056,3.65056,0.9971592150692714,0.5146742679426318,0.3815578814175764,0.21837816335983296,1.7665800011124042,0.24437393321407794,0.11436304128902317,0.2775048618007191,0.6098579570999519,0.20428653531584343,0.5329772359471114,0.12524894214722682,1.099677963554242,0.0,0.20888888888888893,0.4719914197921753,0.35796368898920133,0.229052026587266,0.11389601892395189,0.02787341453037411,3.0112269513774663,0.023053155766725297,0.031096198217721985
2.0,0.6814004833802575,0.1325554534337427,5.632,5.632,0.5412350858791136,0.5413498360333515,0.37020043863690755,0.2546783660742515,2.038840016274562,0.23421951248933026,0.11436304128902317,0.3010271503494764,0.6568003619284811,0.23372659459917794,0.45488158362435094,0.10638139493459095,0.9340220662639803,0.0,0.20451875282422052,0.41590607166290283,0.35984609466511264,0.23071255067468457,0.11389601892395189,0.022839792519041238,1.568460853304714,,0.022839792519041238
3.0,0.6689287297039126,0.1932825302809715,7.61344,7.61344,0.5412350858791136,0.5220133150906151,0.36486288011149104,0.28363415903747474,2.157827206052988,0.22938516542688442,0.11436304128902317,0.3113065194645459,0.6785329723193436,0.24799044238667303,0.47322398778506647,0.11023649153363228,0.9678695759088554,0.0,0.20450951154489178,0.41191497445106506,0.3594596134970728,0.23040752820686514,0.11389601892395189,0.015554562444169508,1.14377899793908,,0.015554562444169508
4.0,0.6611848756426014,0.29015005536260796,9.59488,9.59488,0.5412350858791136,0.5351157243413267,0.3501697759873685,0.2857279534084445,2.264259412940836,0.21918520441894537,0.11436304128902317,0.3221067813969996,0.6907624760298882,0.25897490692985703,0.41969485355517683,0.10097049269868887,0.8865146793770433,0.0,0.20450951154489178,0.3855080306529999,0.36024666372198205,0.23139674236440513,0.11389601892395189,0.012934013253717486,1.0007341667078435,,0.012934013253717486
5.0,0.6644366908998853,0.27559764082672666,11.264,11.264,0.4559241291901578,0.5310238384588247,0.32929009188825686,0.2801189909389838,2.1094416278158774,0.20710625799154553,0.11436304128902317,0.30574201153626146,0.6683219316710083,0.2416603217870162,0.4300714430248114,0.10292122536244801,0.903641991483199,0.0,0.20450951154489178,0.3789577782154083,0.3597162800431221,0.2310875619836181,0.11389601892395189,0.017353296776031563,0.8041949453763664,0.017353296776031563,
6.0,0.6556307667116354,0.29863235507984476,13.24544,13.24544,0.5412350858791136,0.5352686594305082,0.36182628293059327,0.283608253800107,2.2202015703614584,0.22724671344217443,0.11436304128902317,0.3161189269997656,0.6816004340391515,0.2540106592027551,0.42020881635127294,0.10047434522482733,0.882158535250594,0.0,0.20450951154489178,0.43165040016174316,0.36104172772223414,0.23169402180766596,0.11389601892395189,0.010073696836421522,0.8162095099687576,,0.010073696836421522
7.0,0.6388254999265979,0.34628576886024515,15.22688,15.22688,0.5412350858791136,0.5608362427838558,0.3457276284486461,0.29810357581169367,2.3399239134837946,0.2159490476327879,0.11436304128902317,0.3246485971555691,0.69153629168524,0.26554756941463964,0.4156750633709665,0.09737301122406468,0.8549290145872475,0.00088261253309797,0.2045115501107545,0.46466925740242004,0.3616814936459517,0.23191906927886247,0.11389601892395189,0.008940479673621524,0.7568740176502615,,0.008940479673621524
8.0,0.6290868584600839,0.41250812714104457,17.20832,17.20832,0.5412350858791136,0.5501454327150443,0.3503085537747952,0.29964170608531804,2.419302793524879,0.21917733183716046,0.11436304128902317,0.3284451253947256,0.699549351696344,0.27376036413397736,0.43670990220513445,0.11127026347458274,0.9769460295963254,0.000882223202470225,0.2045002711006687,0.466701865196228,0.363232133572292,0.23295881273423766,0.11389601892395189,0.009480924741638667,0.8413267177529633,,0.009480924741638667
9.0,0.6119375885710342,0.5233538401284414,19.18976,19.18976,0.5412350858791136,0.5873057167613196,0.36261237866652246,0.2948266437302753,2.4929667224396423,0.22855513338855854,0.11436304128902317,0.33397180975957097,0.7055940195117798,0.2815406682060659,0.6462006610147617,0.20752088489493944,1.8220205311434166,0.00789127575624726,0.26350574712643676,0.4777531325817108,0.36203708338763885,0.23155391701685674,0.11389601892395189,0.009637078138195043,0.898838342865929,,0.009637078138195043
10.0,0.6435262189969684,0.4663239677628394,22.84032,22.84032,0.9971592150692714,0.5335756505277732,0.34949433881215464,0.28069749989145487,2.1581479677898447,0.22046779995181226,0.11436304128902317,0.30735813085069524,0.6699874054178896,0.24655261553156915,0.6338789567229145,0.20215827178783652,1.7749371198199397,0.009623797025371828,0.26561418086137656,0.47937673330307007,0.36437310093098,0.23333699485923823,0.11389601892395189,0.010040892110604166,1.4824002508539706,0.014093623972792225,0.007948807974520073
11.0,0.6442492612485691,0.3921523313760288,24.82176,24.82176,0.5412350858791136,0.5393303383651967,0.32802649265415934,0.2967158681208255,2.2943281132218374,0.20552371501906588,0.11436304128902317,0.31657919037336585,0.6845825216700172,0.26135751196549,0.6574906748788941,0.21261986048152262,1.8667892213466075,0.01652173913043478,0.2733430091920658,0.478067547082901,0.36096585033296175,0.2305220126229833,0.11389601892395189,0.006528270395562203,0.6521722214529291,,0.006528270395562203
12.0,0.6242182974515822,0.4646227958849794,26.8032,26.8032,0.5412350858791136,0.56189609304153,0.33901712127744577,0.30123589514558624,2.4204601047392083,0.2121155660556073,0.11436304128902317,0.3300720052374319,0.6972149787270205,0.2742697716618808,0.657123051239562,0.21690477482299111,1.9044105041794124,0.05704836709384043,0.27969193352249694,0.4810003340244293,0.3649643949035238,0.23344847027616253,0.11389601892395189,0.007082156717467105,0.7327334035653621,,0.007082156717467105
13.0,0.6079271100397227,0.537791324119492,28.78464,28.78464,0.5412350858791136,0.5924033797800932,0.34065128302188497,0.3081253867704734,2.5279622253755667,0.2128836110741048,0.11436304128902317,0.33554668298964596,0.7065503033904982,0.2861936946218863,0.6358059626862633,0.20958730405735665,1.8401635635508702,0.03504273504273504,0.2688277211121978,0.48007476329803467,0.3651396915263334,0.23377583173432664,0.11389601892395189,0.00787134599862014,0.8486604469362646,,0.00787134599862014
14.0,0.5945994289451908,0.6695164538247582,30.76608,30.76608,0.5412350858791136,0.5907213381488787,0.33759600142169877,0.30827022755112,2.6377624635817565,0.21198947742998353,0.11436304128902317,0.3527988962927475,0.7176993220736899,0.29827621154719564,0.6357017771379007,0.21063600726581713,1.8493711128433585,0.12440191387559808,0.27413333333333334,0.4844163954257965,0.3693163504393653,0.23658934016173835,0.11389601892395189,0.008669338700003268,0.9796586821321398,,0.008669338700003268
