round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_f1,fed_f1_best,fed_auroc,fed_f1_best_threshold,fed_brier,fed_prevalence,fed_auprc_lift,fed_ece,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6923930428943165,0.08776628276953787,3.66096,3.66096,1.0,0.20452199340079574,0.2445051384035272,0.2703254703960455,0.6321705859106013,0.49392937691760325,0.23150997376406451,0.11467774420946626,1.8226110578515144,0.36450040224500646,0.6440847858026948,0.20470475068910843,1.797295047035747,0.2540245566166439,0.26357466063348417,0.4906546473503113,0.36404826578205246,0.2304815720731554,0.11389601892395189,0.006854158463235979,0.7418024628077546,0.0055811061751195774,0.007667647360995394,0.010613108961186557
2.0,0.6729646043006093,0.1836631646932474,7.32192,7.32192,1.0,0.21162971730636354,0.2544669127112749,0.2816426142489385,0.6457735802497142,0.5022837945690598,0.20513700943993574,0.11467774420946626,1.880846630296419,0.3270033047799947,0.6567415730055068,0.21408773811301346,1.8796770961411684,0.26863793645800566,0.27499070977331846,0.472298800945282,0.32576399859937377,0.20349834850079923,0.11389601892395189,0.0057119101401781865,0.6273976318507266,0.005565435150068239,0.005823874974041282,0.00461035719897653
3.0,0.6625899523871709,0.28131727083209046,10.98288,10.98288,1.0,0.21502313764153763,0.2658920130823859,0.28957506550839346,0.6510537447539163,0.5442633561823753,0.21979460784054153,0.11467774420946626,1.910074884910289,0.34707131918823614,0.6619608397872236,0.21752085265788346,1.9098196294562466,0.27626099028227674,0.28050713153724244,0.5189485549926758,0.34563668732722563,0.21778358807016485,0.11389601892395189,0.004688176158314988,0.5218848800286651,0.004791280371342514,0.004642608724194968,0.002960560488091306
4.0,0.6531261636518243,0.3077652175133022,14.64384,14.64384,1.0,0.21753966053458618,0.26995754082640966,0.2918430147461427,0.6537360755124144,0.5337860341289822,0.2133776497311289,0.11467774420946626,1.9346672996927323,0.3369645018211199,0.6634219097062931,0.2187553039890932,1.9206580357752068,0.27882960413080893,0.282574568288854,0.5105799436569214,0.3353412859638682,0.21141341709909242,0.11389601892395189,0.004115205708400421,0.46258641170970805,0.004250112845847318,0.004044020990104903,0.0026954039870619863
5.0,0.6533695858514628,0.36653574448405296,18.3048,18.3048,1.0,0.2191537417556703,0.2736785010905401,0.29321465736332664,0.6556089173912801,0.5318732491496497,0.20880103325567848,0.11467774420946626,1.9480103744681976,0.3298887156272703,0.6650570907188321,0.2204469260887367,1.9355103731582455,0.2780543852929912,0.28061638280616386,0.5110259056091309,0.3283066345128735,0.2069161700355873,0.11389601892395189,0.003658684883322331,0.41448230505693573,0.003898963047366019,0.0035027173839556583,0.0032026897303848887
6.0,0.6501226947444794,0.32819136669010956,21.96576,21.96576,1.0,0.22058502568592106,0.2693505913373114,0.29412654630965723,0.6574682352980031,0.5529463164759696,0.22087090017745034,0.11467774420946626,1.9597468800531612,0.34743758394173757,0.6653192989635308,0.2215685552517019,1.9453582078197371,0.27512879535240603,0.2821445516368812,0.5638840794563293,0.3458705698170667,0.21905165168009078,0.11389601892395189,0.003483505015562632,0.3975701208510145,0.003930280588182053,0.003193728779188731,0.0024678329210677335
7.0,0.6506232506621819,0.35578003087624815,25.62672,25.62672,1.0,0.22157384853813764,0.27326077302172813,0.2937710216560813,0.6582481870549525,0.5481643534724085,0.22250677133556035,0.11467774420946626,1.9710661357632482,0.35120804176533593,0.6650537525646687,0.22266568111364793,1.9549909050141716,0.2755545392179282,0.2861198738170347,0.5543012022972107,0.3500811429247594,0.22102722815321815,0.11389601892395189,0.0033015051740223496,0.37937730628891586,0.0037008290444648564,0.0030301340849130305,0.0031845228224650695
8.0,0.6474777071619097,0.28065816178533887,29.28768,29.28768,1.0,0.22214312743483378,0.2762134135935295,0.2947483582219918,0.6588791386467773,0.5332150199081962,0.20892096778301414,0.11467774420946626,1.9702119338866495,0.3286342866107266,0.6652394217031926,0.22296162081790294,1.9575892373092856,0.2743161094224924,0.283641975308642,0.5430958271026611,0.32731624239208873,0.2073621484590098,0.11389601892395189,0.003154572597411174,0.3652199445095903,0.0035925135939180466,0.0028544089337756828,0.0030409295282931015
9.0,0.6496042086174636,0.3765259001773763,32.94864,32.94864,1.0,0.22324914912611277,0.2761809113697238,0.2952554726854584,0.6603889458244162,0.5246464147345957,0.21394755879085448,0.11467774420946626,1.9804686036098298,0.3370567619629872,0.6650795918858057,0.2230949985195626,1.9587602852784751,0.27634194831013914,0.28345016763181957,0.5421359539031982,0.33600045637708464,0.2126772957337223,0.11389601892395189,0.003240649298364492,0.3787150067737457,0.0037100848679627292,0.002923145952703685,0.0026592922858782986
10.0,0.65599174224085,0.38953066357244437,36.6096,36.6096,1.0,0.2248895960045027,0.2760533929673924,0.2978253171700716,0.6615854652619456,0.5630139789852611,0.22085727420095017,0.11467774420946626,1.9943244687825246,0.3474327335537441,0.6653179687216461,0.22319859016419596,1.9596698135096815,0.2780487804878049,0.2817687264611522,0.5363765954971313,0.3463787417818528,0.21969300180549275,0.11389601892395189,0.0031057622974969925,0.3655024873323782,0.003622042660297644,0.002754453955804807,0.002393204229509858
