round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best_threshold,fed_ece,fed_prevalence,fed_auroc,fed_brier,fed_f1,fed_f1_best,fed_auprc,fed_auprc_lift,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.17163422265723857,0.027398797630966466,3.65056,3.65056,0.9971592150692714,0.5114925747318991,0.389396376945341,0.1151183282980866,0.637244129671199,0.25222394793397307,0.22996295226450028,0.2827389515163854,0.20399818504238276,1.7956915777375562,0.4373381152098903,0.09953985853398653,0.8739537999168264,0.000864304235090752,0.20451875282422052,0.4640415906906128,0.379098180620532,0.24481050659875073,0.11389601892395189,0.02384307638779775,2.561577624641359,0.01960903481988629,0.026727773637885466
2.0,0.16994122348214383,0.02355072924950694,5.632,5.632,0.5412350858791136,0.5096793607184955,0.3842960654665066,0.1151183282980866,0.6659106965337958,0.24717693135219365,0.25593970509284647,0.30185592536274936,0.22748686460378736,2.0071191818387275,0.4735874073580648,0.10829560895979218,0.9508287469828152,0.098747591522158,0.2045002711006687,0.4496876895427704,0.38086322456788774,0.24594420355766297,0.11389601892395189,0.017604001304677503,1.178857425460592,,0.017604001304677503
3.0,0.16692932402604024,0.023631663510823058,7.61344,7.61344,0.5412350858791136,0.5073024965053627,0.378271453195108,0.1151183282980866,0.6817342430845956,0.24116861237432907,0.28506874869435,0.31341242645756856,0.24170792214484757,2.1306017350565942,0.45037127301989854,0.10449353318680912,0.91744675691061,0.156764960971379,0.2045002711006687,0.4552401304244995,0.38347068904774423,0.2481874028404003,0.11389601892395189,0.013636794444414438,0.9589272730518132,,0.013636794444414438
4.0,0.16341875954252105,0.02793157827452077,9.59488,9.59488,0.5412350858791136,0.5266939267621179,0.38198146953323453,0.1151183282980866,0.6937097489318581,0.24334065590257303,0.2842230219935366,0.3194290711686691,0.2522692167611307,2.2348905841056665,0.48608884489776183,0.11191091376658693,0.9825708995264321,0.18188951663527936,0.2045002711006687,0.4689481258392334,0.38561918709225185,0.24974050983809282,0.11389601892395189,0.011472881075874596,0.8457299997098744,,0.011472881075874596
5.0,0.16638045007916039,0.031068072834201522,11.264,11.264,0.4559241291901578,0.5153714498656934,0.3807767815906686,0.1151183282980866,0.6658506271484194,0.24306165382423067,0.27856749694338606,0.2991237578755275,0.22877145339904445,2.0013541969379123,0.49687547515361663,0.11410043622113046,1.0017947712229964,0.18230029830957906,0.2045002711006687,0.469891756772995,0.38502898323913304,0.24921384031909477,0.11389601892395189,0.014035905000865965,0.6460000472143292,0.014035905000865965,
6.0,0.16375373091640394,0.028814184973016476,13.24544,13.24544,0.5412350858791136,0.5204168202511192,0.3825630429336822,0.1151183282980866,0.6810288138997164,0.24424594249689174,0.2789006720606395,0.30846001144578533,0.24370037869065353,2.1389803973834214,0.6203969175735444,0.15609697162577907,1.3705217539693346,0.24420873992363173,0.24911785462244176,0.4974393844604492,0.38267811792048856,0.24678838887804416,0.11389601892395189,0.009290130401182695,0.7115850965492427,,0.009290130401182695
7.0,0.16343749716086822,0.04693346849318057,15.22688,15.22688,0.5412350858791136,0.5224944482869793,0.37359278101365256,0.1151183282980866,0.6918136962390372,0.23635501122120667,0.29374246025572376,0.31997454590413577,0.25679103269352876,2.2617932693434946,0.6493564590948864,0.19641210361540323,1.7244861187514127,0.26192295099858126,0.265639374425023,0.5004247426986694,0.3793270840511162,0.24390077204688365,0.11389601892395189,0.00831901455893327,0.6644438419025391,,0.00831901455893327
8.0,0.1587786767062369,0.047792220588435665,17.20832,17.20832,0.5412350858791136,0.53066130095018,0.37739341554662437,0.1151183282980866,0.7021400773743556,0.23887343272551165,0.29123017265064244,0.3270074431045597,0.27225973362616485,2.4010294850363056,0.6560328301689221,0.20827282516475146,1.8286225201937458,0.26588443657294664,0.2687315634218289,0.5021634697914124,0.3799239386564364,0.2442079964332646,0.11389601892395189,0.008314173623868862,0.6951914962846786,,0.008314173623868862
9.0,0.1552311062404271,0.04551970223185919,19.18976,19.18976,0.5412350858791136,0.5265310443787716,0.3727141152560891,0.1151183282980866,0.7110861945935378,0.23465030472538673,0.3039458243100828,0.3329422762997116,0.2825874468815099,2.50283465190648,0.6526368983297132,0.20568790238667908,1.8059270581179525,0.26036803076078,0.2653370908302623,0.5012921094894409,0.38118666210354074,0.24519055137287515,0.11389601892395189,0.01068165328771353,0.9304961095331237,,0.01068165328771353
10.0,0.1627274844898874,0.05278046643209409,22.84032,22.84032,0.9971592150692714,0.5059023822703721,0.3685851123349033,0.1151183282980866,0.6698196899530265,0.23349393312446223,0.2838845420673568,0.29893846501763044,0.2345999391885715,2.040550969295642,0.6475359979768276,0.19960318288662068,1.7525035973372807,0.25662100456621006,0.2610484881016282,0.49863991141319275,0.3803011352408484,0.24471834449797808,0.11389601892395189,0.009400322530416564,1.3209962785476819,0.012172350698744592,0.007893805679935341
