round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_brier,fed_auprc_lift,fed_ece,fed_f1_best,fed_prevalence,fed_f1,fed_auprc,fed_f1_best_threshold,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6871639379133525,0.10893240099845398,3.66096,3.66096,1.0,0.2258263984550607,1.8284464241459335,0.357427872554188,0.2869686387441021,0.1148036253776435,0.271681747411772,0.20841155353705357,0.49695419863781776,0.6563209478717748,0.6513708845390704,0.208243626221332,1.828366155276909,0.2644274120829576,0.26678996647786385,0.5024749040603638,0.3580889621431439,0.22595125541700442,0.11389601892395189,0.02520474268469289,2.7365473936661147,0.021871123797271724,0.027587590212338486,0.012792924678163179
2.0,0.6581669718568929,0.24480053329409662,7.32192,7.32192,1.0,0.22054782651772858,1.9234626138927737,0.34837624969566755,0.29097019894616016,0.1148036253776435,0.27508648224455856,0.21858509775200682,0.5042288833675757,0.6639227599994059,0.6575764880299062,0.21326018238003386,1.872411208002162,0.26659051970302683,0.27117800721482777,0.5138010382652283,0.34898203074545114,0.22098228170822234,0.11389601892395189,0.016459747915162175,1.9169674694539935,0.01565383314432525,0.01710657177621444,0.0057267117191599015
3.0,0.6515013610729935,0.2857223551436109,10.98288,10.98288,1.0,0.21920950144871532,1.9573058856416958,0.34589884279076344,0.29471931712125776,0.1148036253776435,0.2785276051710225,0.22275550223397098,0.5035809473118633,0.6676234958569671,0.6601758434197879,0.2161279738662251,1.897590239835628,0.268370607028754,0.27362761743067343,0.531930685043335,0.3463307151053343,0.21967543073381107,0.11389601892395189,0.011179821837908298,1.3920637696792255,0.011507114115384852,0.011012062227547179,0.004751280579705544
4.0,0.6475395783858029,0.27185430489870843,14.64384,14.64384,1.0,0.23063852948408678,2.011887382854756,0.3633462820344671,0.298845991198822,0.1148036253776435,0.2777518983476817,0.22870956203161416,0.5436969120768231,0.6714265659119747,0.6621288769460497,0.21779015332169135,1.9121840726242534,0.2700792460912401,0.27604383409626854,0.5412206649780273,0.36356628311091976,0.2311609884252958,0.11389601892395189,0.009818606988107678,1.291658936357635,0.009948502207434914,0.00976989207913592,0.0044312008479807695
5.0,0.6446035667111707,0.24595155544572048,18.3048,18.3048,1.0,0.2272655175298194,2.04136996851662,0.3589923240718959,0.29865976445478776,0.1148036253776435,0.2819723753633138,0.23203900690131485,0.5425429626837868,0.6730775639885457,0.6627983148997784,0.21844006541028038,1.9178902605553958,0.27337478801582815,0.2792442717405869,0.5287408232688904,0.359141563930019,0.22777939480613732,0.11389601892395189,0.008432151847855712,1.1720155609018548,0.008461426108792145,0.008436998044278839,0.004970460408012147
6.0,0.6448121749587274,0.26173230616635496,21.96576,21.96576,1.0,0.22675537095932166,2.0777174043789075,0.35807211987190285,0.29996844801657047,0.1148036253776435,0.2838379060244163,0.23604895959522995,0.5524639690713161,0.6747082873450662,0.6634611769407941,0.2199727802357095,1.931347401901596,0.2727272727272727,0.2807295796986518,0.5320595502853394,0.35793689286377645,0.22727436345585572,0.11389601892395189,0.008548607378037578,1.2550123751716455,0.007778112727241529,0.009175376310233647,0.0048159849679995145
7.0,0.6443540187716119,0.30546704141149406,25.62672,25.62672,1.0,0.21382188221517723,2.104180511823067,0.33838483224710125,0.30212539462534244,0.1148036253776435,0.2851675944178123,0.23904982011177078,0.523098691783973,0.6775679412303717,0.6625402605236064,0.21972002613025468,1.9291282364922802,0.2755287009063444,0.27952387321118094,0.5196252465248108,0.3381696667686623,0.2146984487865879,0.11389601892395189,0.007878759724116476,1.2324900416351738,0.007384986574911299,0.008302296171794014,0.003973025935094002
8.0,0.6468235033183286,0.4023889786234761,29.28768,29.28768,1.0,0.22294756596505122,2.1436464063707272,0.3516447059753889,0.30238781584418367,0.1148036253776435,0.2853093134420583,0.24323210790879296,0.527258791157006,0.6791753513801968,0.6621117343949701,0.2180949441848986,1.914860117547393,0.2715860713895863,0.2791265427912655,0.5433841943740845,0.3511362225683493,0.22398274143785918,0.11389601892395189,0.008034449949978557,1.3321010135059623,0.007078690049757139,0.00885726591253795,0.003970529821646459
9.0,0.6428357837284633,0.33843921102618185,32.94864,32.94864,1.0,0.2140373203246913,2.164407085025425,0.33961038981645936,0.3053979281073174,0.1148036253776435,0.2889774329577655,0.24548822561924383,0.5207491085300935,0.6803916460566868,0.6625152243673809,0.21739043166805277,1.9086745412339994,0.27367164179104475,0.2784694807166717,0.5486049056053162,0.33902584789580037,0.21507016916366792,0.11389601892395189,0.007608995307583064,1.3362942965522961,0.006787468271075487,0.008335050730908832,0.004646279586905926
10.0,0.6415132478953558,0.3523231748461271,36.6096,36.6096,1.0,0.21273948822085947,2.177308179846313,0.33705833379117345,0.3082514564855049,0.1148036253776435,0.29097170475926853,0.2474630953747333,0.5253590133832721,0.6830629238595035,0.6638275456349518,0.2217964646916356,1.9473592386027874,0.27387557549285796,0.2812318419523533,0.5429770946502686,0.336555482558593,0.21397353387171247,0.11389601892395189,0.007312070507731211,1.3605559686584456,0.006302699976353728,0.008229830543510027,0.0040490360230115265
11.0,0.640837963892432,0.3782442368472478,40.27056,40.27056,1.0,0.20741260306674367,2.19789744345483,0.3280797922788686,0.31009479641025656,0.1148036253776435,0.29262369336320804,0.24999794185574528,0.5244238584397092,0.6853756192575974,0.6637749759816043,0.22280826787844177,1.9562428079879626,0.2744056956679136,0.28305400372439476,0.5535683035850525,0.3275704632214034,0.20901296537926606,0.11389601892395189,0.006705475915249603,1.3274976658794913,0.005712520684715944,0.007631445438062551,0.004041452037481795
