round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_brier,fed_ece,fed_f1_best_threshold,fed_auprc,fed_f1,fed_prevalence,fed_f1_best,fed_auprc_lift,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6888905509565424,0.09474621339486404,3.65056,3.65056,0.9971592150692714,0.2483180427929515,0.38447273245780417,0.5062319396399352,0.18430842866961647,0.19154420568514155,0.11506262982312578,0.26658851337551565,1.6066219159872757,0.6052858983954775,0.5293945557165287,0.14443652051848468,1.268143714618547,0.2045002711006687,0.20504747380331578,0.5306896567344666,0.41981275787266636,0.27707850288512686,0.11389601892395189,0.02722321632947296,2.9064729907549918,0.022771201386502765,0.030203531215351888
2.0,0.6818903669185087,0.10639095390339988,7.30112,7.30112,0.9971592150692714,0.23121824569020863,0.36242927254923346,0.5158077077792965,0.21574617892784662,0.23271044326082482,0.11506262982312578,0.2924041737421068,1.8906627866272248,0.6508210143135864,0.6554139916046176,0.21064683805273726,1.849466206482473,0.21239534212299105,0.2727510460251046,0.5334436893463135,0.4107123063179284,0.26812918231232935,0.11389601892395189,0.019741212553791833,2.232298783957958,0.016024096031819184,0.02224358165159368
3.0,0.6692683914155609,0.18634631633755705,10.95168,10.95168,0.9971592150692714,0.2310543027286261,0.3632522211207566,0.5263109463381632,0.22289354818212365,0.26139293645208267,0.11506262982312578,0.2966794474672362,1.9564778295865388,0.657444541502947,0.656537518920181,0.21177902733178078,1.859406758309833,0.21005945078795885,0.272863978127136,0.5364726781845093,0.4140804485022809,0.2708543152759986,0.11389601892395189,0.014109366862688046,1.719388708472252,0.012796237295017903,0.015010711464190831
4.0,0.6612682371006776,0.19685278573341958,14.60224,14.60224,0.9971592150692714,0.21769100533559232,0.3415831913570704,0.5445047516785896,0.22643974269432865,0.2742857235446242,0.11506262982312578,0.2997799691671236,1.9841127681523776,0.6594023622413858,0.657630551068011,0.21100134802613812,1.8525787821172506,0.21515241195620005,0.2712820512820513,0.5356553196907043,0.41084113773776926,0.26812313978971114,0.11389601892395189,0.010942984059663173,1.418450485682115,0.010007869577003512,0.011613030694020941
5.0,0.6497213319048917,0.25743107502280776,18.2528,18.2528,0.9971592150692714,0.21571358067173643,0.34063151369402794,0.533003796502838,0.23057863149461125,0.278363053350094,0.11506262982312578,0.30630994009708173,2.024412186917737,0.6625518014396005,0.6554265285069079,0.20912345775854527,1.836091021743056,0.213022896338518,0.2689356953550007,0.5354289412498474,0.4114891676494427,0.26867408994856573,0.11389601892395189,0.01005452346860108,1.3844636816065758,0.009584191741572979,0.010404524643006539
6.0,0.6503501945702046,0.28158434383022485,18.2528,18.2528,0.0,0.20551794087495792,0.32097640530033733,0.5478444887526709,0.24458984765400216,0.2900305692122119,0.11506262982312578,0.316693560653674,2.1591724549994487,0.6772018121631295,0.6554265285069079,0.20912345775854527,1.836091021743056,0.213022896338518,0.2689356953550007,0.5354289412498474,0.4114891676494427,0.26867408994856573,0.11389601892395189,0.0,0.0,,
7.0,0.6302502550480215,0.3727880168356441,18.2528,18.2528,0.0,0.23056597375918852,0.3599580841645098,0.5867906713257609,0.2557834513261153,0.29011019631245855,0.11506262982312578,0.32111129124342064,2.264570304136366,0.686124847355989,0.6554265285069079,0.20912345775854527,1.836091021743056,0.213022896338518,0.2689356953550007,0.5354289412498474,0.4114891676494427,0.26867408994856573,0.11389601892395189,0.0,0.0,,
8.0,0.6132125094922769,0.4912985927769046,18.2528,18.2528,0.0,0.19804331570444764,0.3083608684996236,0.5366247104560705,0.2695699312581953,0.3012881612433419,0.11506262982312578,0.3268043036516785,2.3887656860954807,0.6948346830533143,0.6554265285069079,0.20912345775854527,1.836091021743056,0.213022896338518,0.2689356953550007,0.5354289412498474,0.4114891676494427,0.26867408994856573,0.11389601892395189,0.0,0.0,,
9.0,0.6508724013652225,0.30931063247057333,21.90336,21.90336,0.9971592150692714,0.22896636410848656,0.3612881107149711,0.5364685795238424,0.23497257284089154,0.2792687804002687,0.11506262982312578,0.307454659902323,2.0713402451480967,0.666516985285294,0.6577207941754883,0.21287193129045712,1.869002387454747,0.2094235918635787,0.2738576313335406,0.5361610054969788,0.41327457571912823,0.2702272283920669,0.11389601892395189,0.008797805307800922,1.2798280536662787,0.007607929337438315,0.009717509713329017
10.0,0.6458565843147113,0.2359731612105223,21.90336,21.90336,0.0,0.2207093059837856,0.34879364614659425,0.5616364660144952,0.25013439751085514,0.2849302315783968,0.11506262982312578,0.31803827005017854,2.2121690451295093,0.6789678569069061,0.6577207941754883,0.21287193129045712,1.869002387454747,0.2094235918635787,0.2738576313335406,0.5361610054969788,0.41327457571912823,0.2702272283920669,0.11389601892395189,0.0,0.0,,
11.0,0.6309146021467535,0.32166964390366537,21.90336,21.90336,0.0,0.22699529713849084,0.35466513962239204,0.5657108110137287,0.26017947746335035,0.2956608285944418,0.11506262982312578,0.3303093453580565,2.305419005958257,0.6898290654698387,0.6577207941754883,0.21287193129045712,1.869002387454747,0.2094235918635787,0.2738576313335406,0.5361610054969788,0.41327457571912823,0.2702272283920669,0.11389601892395189,0.0,0.0,,
12.0,0.6118444427486527,0.4027041152918633,21.90336,21.90336,0.0,0.21186875705978608,0.33544560154799,0.5507650269940986,0.27299812684745095,0.3057584652955635,0.11506262982312578,0.33319182560420263,2.425270535864114,0.7003308613603088,0.6577207941754883,0.21287193129045712,1.869002387454747,0.2094235918635787,0.2738576313335406,0.5361610054969788,0.41327457571912823,0.2702272283920669,0.11389601892395189,0.0,0.0,,
13.0,0.6428727063088239,0.3097185448996516,25.55392,25.55392,0.9971592150692714,0.22000978763320186,0.34637525407833664,0.55189924588991,0.23845612122804022,0.2781701780011059,0.11506262982312578,0.3095800795233858,2.099681565150602,0.6681275757734599,0.6583381268055838,0.21366500492971363,1.8759655249440919,0.21690862510674638,0.2755211117049706,0.5342126488685608,0.40970635918853593,0.266781943935331,0.11389601892395189,0.0087493262888938,1.3446493120864034,0.006788802602502603,0.010308065237543965
14.0,0.6427215455067727,0.33789184563784586,25.55392,25.55392,0.0,0.2009217949450703,0.31318593890463464,0.5468511977647152,0.25236554147260293,0.29047600437537,0.11506262982312578,0.3169133006525381,2.231725846692318,0.6814388325407147,0.6583381268055838,0.21366500492971363,1.8759655249440919,0.21690862510674638,0.2755211117049706,0.5342126488685608,0.40970635918853593,0.266781943935331,0.11389601892395189,0.0,0.0,,
