round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_brier,fed_ece,fed_auroc,fed_f1,fed_f1_best_threshold,fed_auprc_lift,fed_f1_best,fed_prevalence,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6882667465724769,0.09291685165624139,7.32192,3.66096,1.0,0.21960342030921454,0.233145779135048,0.3671577061271691,0.6588585593469027,0.2721639847701464,0.5199821878575894,1.9103180481973276,0.29287713674483057,0.11569935792521717,0.6529039506627842,0.21157408988710463,1.8576074202239867,0.2708202223620726,0.27310412094611075,0.5108820199966431,0.36912467395529136,0.233625697044067,0.11389601892395189,0.02441261814053169,2.6456050485080596,0.021715527376828803,0.02632740944606293,0.010861275460454504
2.0,0.662052704591628,0.17559382826180975,14.64384,7.32192,1.0,0.22761267534846905,0.21653436951619578,0.34288469530631716,0.6644651372096696,0.27715283798742785,0.5316243167133187,1.9836524657032495,0.29870672746782323,0.11569935792521717,0.6610800063189,0.2195894669645494,1.927981935094402,0.27616451345264903,0.2831940575673166,0.5398042798042297,0.3456776651050253,0.21761003693435896,0.11389601892395189,0.016408272443563677,1.8987614915149607,0.01622573054959225,0.01662465212657792,0.006194791779112236
3.0,0.6487755166699515,0.2646848236324495,21.96576,10.98288,1.0,0.23275676864930137,0.20752702678811966,0.3266505720934534,0.6679364836223355,0.2835870106070833,0.5206406633495669,2.029426249808318,0.30391476925536065,0.11569935792521717,0.6632446110520813,0.22331203759480706,1.9606658749320465,0.2799807738524393,0.2838503914178022,0.5324836373329163,0.3295835527713324,0.20898199941135773,0.11389601892395189,0.011801205832124101,1.4633307769063322,0.01254495163004986,0.01135622928768721,0.005008999950118604
4.0,0.6483732611052099,0.33889816107337156,29.28768,14.64384,1.0,0.2346452468353513,0.22321045437225387,0.35096890978439166,0.670706873250032,0.281532111834502,0.5477522981530035,2.0446365829144115,0.309358098223477,0.11569935792521717,0.6626959866702734,0.22452435121198,1.9713099134913081,0.27506125492702677,0.2832294911734164,0.5346616506576538,0.35392585416490896,0.22498887980912094,0.11389601892395189,0.009693675853362343,1.2780051906320296,0.010509384832326591,0.009154489865462445,0.005107917613402696
5.0,0.6419354265699221,0.27888964054435056,36.6096,18.3048,1.0,0.23741475303027174,0.22291618135584101,0.3513067042065571,0.6720136574834968,0.2822336949417761,0.5355448099196777,2.069193151229869,0.3086414063622613,0.11569935792521717,0.6625905587261884,0.2246734010675565,1.9726185620023333,0.2747194013896312,0.2819695359546581,0.5148154497146606,0.35427180449473866,0.224792878790924,0.11389601892395189,0.008951807112557351,1.2442797194198647,0.009081749141503311,0.00888712495373479,0.004855525923560285
6.0,0.6457352511912235,0.28860680004037936,43.93152,21.96576,1.0,0.23979329316595302,0.2167136847355279,0.34173916279800615,0.6742680265764087,0.28584521040035543,0.5531842195873639,2.0872342370091634,0.31361941439445457,0.11569935792521717,0.6642247106836847,0.2261342912120578,1.9854450870934053,0.27699115044247785,0.28453350031308705,0.5195814371109009,0.3449097594441355,0.21877661738056625,0.11389601892395189,0.00885623940312599,1.3059488110402526,0.008643663731360236,0.009055697078897066,0.004121277445438768
7.0,0.6430332419732533,0.34036898842976915,51.25344,25.62672,1.0,0.24249087382829593,0.20803444310177285,0.32986480348073877,0.676574042347427,0.2920281540303236,0.5349274410377384,2.1099147528609348,0.31710119792831687,0.11569935792521717,0.6634792105029473,0.22677857824251016,1.991101887362101,0.2780862374483166,0.28272082527401676,0.5433413982391357,0.3329148316638052,0.21018649848329962,0.11389601892395189,0.008350580320481974,1.3110296664217458,0.007991519530881624,0.008673505051587194,0.0034024176166151643
8.0,0.6434871497066271,0.32681874070487416,58.57536,29.28768,1.0,0.24475128827082016,0.21255541233478403,0.33494951641654896,0.6790588590788112,0.28908101101685035,0.5581384083174286,2.128270755672003,0.31410353390881324,0.11569935792521717,0.663549148597506,0.2257085369257666,1.9817069907989644,0.27703770602844885,0.28212039532794253,0.5527351498603821,0.3384462556624977,0.2152963577083079,0.11389601892395189,0.007531476326213136,1.2583607455362653,0.006986149731194284,0.00800767329676836,0.003943674826574
9.0,0.6384842845375391,0.3793130645100698,65.89728,32.94864,1.0,0.2482606946010868,0.2107044973354611,0.3314683864918626,0.6821585406909983,0.29310273049711505,0.5592649132726205,2.157417308642279,0.3214930927395645,0.11569935792521717,0.6631530502521712,0.2259682180101125,1.9839869746544079,0.2754385964912281,0.2836694860117111,0.5675651431083679,0.3348877582236141,0.2139075867801655,0.11389601892395189,0.007685192774285002,1.3639647695799795,0.0066855630475526045,0.008570466552272588,0.0031885551962615925
10.0,0.6398402288228751,0.45118889593041817,73.2192,36.6096,1.0,0.25055634278054134,0.22459533920672714,0.35457179349900253,0.6825734206117667,0.2914775379830188,0.5756545106811306,2.178287766694993,0.3197665091450406,0.11569935792521717,0.6637968245770873,0.22607570058825888,1.984930665041147,0.27505532722099274,0.28227995347033735,0.5407969951629639,0.3576465208075704,0.22770547151830092,0.11389601892395189,0.008024320478687884,1.5136719499942046,0.006578328808813001,0.009324906585150176,0.004326032973307356
