round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_prevalence,fed_f1_best_threshold,fed_ece,fed_f1_best,fed_auprc_lift,fed_auprc,fed_brier,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6869368268772253,0.11436632285852182,7.32192,3.66096,1.0,0.26990707111838946,0.11467774420946626,0.4961436164658235,0.356805528181137,0.2875833389716573,1.815663115396763,0.2080213769920527,0.22523494496620522,0.6550179049495418,0.6513471033280193,0.20820631622432093,1.8280385758113267,0.26478937209038267,0.2666512755396514,0.5016592144966125,0.35741223546739753,0.2254732991744076,0.11389601892395189,0.025112355053276563,2.726984613822424,0.021864186560642974,0.02743669320443699,0.012731343991162445
2.0,0.6587591139430511,0.2513925815018315,14.64384,7.32192,1.0,0.27315889431550294,0.11467774420946626,0.5022454552993943,0.349724470075944,0.29169854826207736,1.9102430412432185,0.21878114109302732,0.22149781856727316,0.6634766886517415,0.6580306903368066,0.213612261132134,1.8755024376643261,0.26707720378606453,0.2714028028305813,0.5334765911102295,0.3504582113924837,0.22221588028892217,0.11389601892395189,0.016195077954670702,1.885903880607657,0.015392369650706538,0.016839424292138843,0.005514089171344523
3.0,0.6508221496142024,0.28946074008062145,21.96576,10.98288,1.0,0.276746722720644,0.11467774420946626,0.49881044809011527,0.34673854915100666,0.29546963422180894,1.9511934116824907,0.22408184377631912,0.21917289038466475,0.6672656817136629,0.6608971859059216,0.21658783542521823,1.901627795874353,0.2716168823316,0.2744491689215307,0.5101577639579773,0.3472292848886473,0.21991253138719438,0.11389601892395189,0.011219459691915248,1.392653458606219,0.011292802834128677,0.011228593546724142,0.00460729209000023
4.0,0.6466724616572022,0.2845567625828527,29.28768,14.64384,1.0,0.2788303871352741,0.11467774420946626,0.5279258517576578,0.3604158485563395,0.2961011640338225,1.9966921203501016,0.22936654902085402,0.2283554919054231,0.6708262165821389,0.6622303267139326,0.21839560913833417,1.9174999372379855,0.2718954248366013,0.2777690985783472,0.5579360127449036,0.3609032502517984,0.2292363612418754,0.11389601892395189,0.00947058908283558,1.241859304567697,0.009671597852354368,0.009372134384967411,0.004033471699815763
5.0,0.6453122237467757,0.2627430757789405,36.6096,18.3048,1.0,0.28362232909778795,0.11467774420946626,0.5413281131134352,0.35625729674786666,0.2980240875261011,2.0359482042270525,0.2336609720989468,0.22531487505029024,0.6732369378277429,0.662766803226454,0.21841274014795425,1.9176503464426438,0.2771757727843048,0.2784105960264901,0.523883044719696,0.3566506204064404,0.2263462309722436,0.11389601892395189,0.00833675005574554,1.1544643012675806,0.00843557754432414,0.008292024968387811,0.004639357206165992
6.0,0.6439189340374433,0.2586270625199926,43.93152,21.96576,1.0,0.28441232516693415,0.11467774420946626,0.5429903953340869,0.35765158764226407,0.300535947135179,2.06733151114502,0.2372922757393406,0.22622753366881496,0.6752547059914261,0.6636887737975881,0.2199305447716997,1.9309765771404779,0.2725274725274725,0.280029296875,0.5167198181152344,0.35790238171820377,0.22723620404040346,0.11389601892395189,0.008208346997725682,1.2008352040620593,0.007824193271338556,0.008532716019722148,0.004542852225295752
7.0,0.6474039513194803,0.31410165241715526,51.25344,25.62672,1.0,0.2852897795209902,0.11467774420946626,0.537733064493594,0.3363517265145977,0.3024645752226912,2.084712999706354,0.23932617733791112,0.212431798792169,0.6773102803660475,0.6619485413245163,0.21940922733484924,1.92639944229612,0.27490909090909094,0.2790333115610712,0.5132020711898804,0.33634992464915614,0.21388664682278924,0.11389601892395189,0.007720744234038129,1.1997875580018444,0.007336815497657413,0.00805219873095981,0.004419764218923244
8.0,0.6459131302085646,0.36768133956142723,58.57536,29.28768,1.0,0.28585759497576224,0.11467774420946626,0.538967884296677,0.35400345433252034,0.3027718530193917,2.1352477866087085,0.24465509256199794,0.2241660260283053,0.6789934130589863,0.6620381193110512,0.21895208957053147,1.9223858010061377,0.27126035761011774,0.27828091552774575,0.5778007507324219,0.35391372727159226,0.22566282502430154,0.11389601892395189,0.007970423341631793,1.3144788568706645,0.007190344028038687,0.00863403355134194,0.005008358455649305
9.0,0.6442136509367199,0.3511429542886334,65.89728,32.94864,1.0,0.28905323172926856,0.11467774420946626,0.527100718440441,0.34116284813345504,0.3060562470110743,2.13944181682091,0.2451761901231339,0.21479143322644562,0.6804626722536857,0.6621042047239248,0.21864766221566168,1.9197129476637127,0.2735882146615223,0.27731609726069556,0.550586998462677,0.3409723044615477,0.21629757471050248,0.11389601892395189,0.007514208952944829,1.3108037757338025,0.00696178328481797,0.007998355205955862,0.005213012955415785
10.0,0.6404241313988935,0.3636969476046506,73.2192,36.6096,1.0,0.29339348061348197,0.11467774420946626,0.5193492408620507,0.3374798251058032,0.307757342434678,2.1546352868421126,0.2471291211955655,0.21267493118533043,0.6827655401936706,0.6632751062198146,0.22259479534936577,1.9543685323891067,0.2747603833865815,0.27996190994422526,0.5276755690574646,0.3372154502510557,0.2143233657744869,0.11389601892395189,0.007223233432507511,1.333979290753632,0.006125245798455634,0.008205714044810915,0.003909211320153131
