round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_ece,fed_auroc,fed_f1_best,fed_auprc,fed_brier,fed_auprc_lift,fed_prevalence,fed_f1,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6886859038553561,0.08971557875750735,3.66096,3.66096,1.0,0.3686680508140201,0.6663207053709487,0.29012092886031654,0.21312823520472146,0.23023455831211673,1.9567209039275577,0.11022977651872835,0.2689307924489342,0.5003593854327079,0.6616425229437862,0.21138592860097577,1.855955375772332,0.271349667185951,0.2742449343698229,0.49416735768318176,0.36542873615899135,0.23078250578455145,0.11389601892395189,0.024821237353382198,2.6918855682433787,0.02196080721726821,0.026873195241862963,0.009192219456868548
2.0,0.6655937991799429,0.1789099345357144,7.32192,7.32192,1.0,0.37185799227520305,0.6735318070700409,0.29827071786858184,0.2181685451268171,0.23280233376326506,2.000911687582623,0.11022977651872835,0.27436352213263776,0.5613534400457101,0.6656129184859398,0.21646828327438275,1.900578135386085,0.27510437266534826,0.28242074927953886,0.5274173021316528,0.3689192754119324,0.23376866023451665,0.11389601892395189,0.01748324837928076,2.031073441645276,0.016979854138144207,0.017939546956476957,0.005417511188506347
3.0,0.6479543579515805,0.29998999382059516,10.98288,10.98288,1.0,0.3491746490796032,0.675318087204326,0.30038823266575476,0.2199203382828924,0.2195390417840834,2.017970695175983,0.11022977651872835,0.2751780699352503,0.5636966716616566,0.6688076575148202,0.22064202645786535,1.9372233423293532,0.27488255216868784,0.28258887876025524,0.5373013615608215,0.34684690129394546,0.22099466530496342,0.11389601892395189,0.011698535208742459,1.4553259793410689,0.011993267773980607,0.011566546891194532,0.004820461017612027
4.0,0.6491920634614414,0.38945283932302227,14.64384,14.64384,1.0,0.35792513532123754,0.6775685906807755,0.2970914104518258,0.2218782022547823,0.22380196175350622,2.039909369586044,0.11022977651872835,0.27752190119547765,0.545347900815756,0.6695253230115933,0.22259304639299307,1.9543531766603532,0.27889164226177066,0.2842079450711133,0.5171505212783813,0.3550682876001662,0.22490462545867168,0.11389601892395189,0.010513778365493208,1.3802889786784363,0.011045273927984161,0.010198515102951786,0.004361998272959282
5.0,0.6481112288361197,0.33292746434692383,18.3048,18.3048,1.0,0.35130447124418,0.6786455661982174,0.3000470185279607,0.22330177210512334,0.21992639888922044,2.0496034862065358,0.11022977651872835,0.2753332307815698,0.5610603676339084,0.669648232341955,0.22299010789375537,1.9578393520729231,0.2780105274465571,0.28002469898116705,0.563433051109314,0.34855149993824364,0.22137182050920462,0.11389601892395189,0.008732416484534973,1.2124198022620476,0.0088934816858641,0.008660279245669469,0.003311247733928909
6.0,0.6450718339549464,0.3987568722591026,21.96576,21.96576,1.0,0.3484471579983732,0.6789258526626196,0.29808706892804887,0.22378982989696786,0.21816990607388337,2.0551115339856625,0.11022977651872835,0.2799012313423005,0.5534599291441535,0.6699545017117201,0.2234877399843319,1.9622085310422848,0.28023869635070003,0.28155774395702776,0.49469929933547974,0.3456484092177956,0.21945799459681112,0.11389601892395189,0.00835689688222338,1.2221444217411772,0.008090259267578396,0.008586328414857023,0.0047122799753282416
7.0,0.6423330742444461,0.3219395723939889,25.62672,25.62672,1.0,0.3441301565491856,0.6807552056834667,0.3012040759138828,0.2254841765984939,0.21360716897577628,2.0688315685150767,0.11022977651872835,0.2803156113898639,0.5369896609377177,0.6706716903293273,0.22424786453468973,1.9688823775694875,0.2794392523364486,0.2824941451990632,0.5364624261856079,0.3408022155380855,0.21478695665245012,0.11389601892395189,0.007767250281743059,1.198879129584384,0.007664843728823516,0.00787260163763971,0.004300815642662666
8.0,0.6444304438515401,0.3290206343348962,29.28768,29.28768,1.0,0.3427839945547979,0.6821208594857184,0.3009959046782197,0.22773226112478054,0.2142661212148675,2.091127149969057,0.11022977651872835,0.2823161353236616,0.5333025127752495,0.6702977041179621,0.22341612764571295,1.961579779139492,0.2792215359515208,0.28322848346941504,0.5283229947090149,0.3395653776151376,0.21569920372167511,0.11389601892395189,0.007895629165744694,1.2874534464426688,0.007575545329893688,0.0081796603728777,0.004474797785962942
9.0,0.6424830561122883,0.3696923179190307,32.94864,32.94864,1.0,0.3347751663199828,0.6847031095934646,0.3048696677146255,0.22875185014420382,0.20886001479972052,2.097810990060836,0.11022977651872835,0.2853500630846293,0.5392577786339804,0.6711532755399288,0.22345706583236044,1.961939213885625,0.2791762013729977,0.283038776048536,0.5257942080497742,0.33187235840183543,0.21066551996917074,0.11389601892395189,0.008438875954279654,1.4606108413263428,0.0073311793908391,0.009401970624287659,0.0038372444790709882
10.0,0.6415804854663799,0.4173516481975505,36.6096,36.6096,1.0,0.3476386039013903,0.686793546603298,0.3071525255891963,0.23116361860774298,0.21693877963671448,2.1160486025467327,0.11022977651872835,0.2849470458628357,0.5532353089690245,0.6698193441164582,0.2224937752829577,1.953481582455628,0.2781195079086116,0.28169934640522876,0.5669353008270264,0.34488413435318815,0.21905148195943,0.11389601892395189,0.007729443703916153,1.4250050196333177,0.006458862823997399,0.00884529690515123,0.00409839668531892
