round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_auprc_lift,fed_ece,fed_prevalence,fed_f1,fed_f1_best_threshold,fed_auprc,fed_brier,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6885055100398161,0.12054787051444782,3.65056,3.65056,0.9971592150692714,0.26659440158789005,1.637008419070988,0.3889768643596092,0.11381806735914382,0.21442005800865635,0.5110989101885398,0.18675656606322047,0.25032762596448044,0.6114314235108141,0.6412204487392795,0.17452257106889024,1.5322973771841715,0.2637451815784135,0.26671021119094274,0.5009164214134216,0.381090831701694,0.24538455874042878,0.11389601892395189,0.027642209937665845,2.9870325850788504,0.023298724590794642,0.03051515684493615
2.0,0.6806949392215376,0.1283677277974105,7.30112,7.30112,0.9971592150692714,0.2763547469101918,1.8520625957436574,0.3666413785846946,0.11381806735914382,0.25085624561903075,0.5008112219958174,0.21160047324870523,0.2326372572729171,0.6427848825066127,0.6459256523292861,0.17458562332566457,1.532850972097936,0.24657121326299924,0.27311205168188907,0.4963270425796509,0.36902916565071714,0.23568818980046374,0.11389601892395189,0.01854340598982768,2.1358987612184137,0.01553389475908542,0.02054361135606026
3.0,0.6702918358648606,0.22219581796897928,10.95168,10.95168,0.9971592150692714,0.28220402464212135,1.9235083782428999,0.3533526020320961,0.11381806735914382,0.2529089235559782,0.5096241663603202,0.21998581130806844,0.22350514332828286,0.6536150516865854,0.602018170200584,0.14304433083782225,1.2559203753498411,0.186850050318685,0.24149253731343281,0.484488844871521,0.36710742570456467,0.2345650289213126,0.11389601892395189,0.015128073358555703,1.8681408937554806,0.013488915233438453,0.016241346055884832
4.0,0.6574231780632357,0.24375003834286937,14.60224,14.60224,0.9971592150692714,0.2849328382542828,1.9896441489633445,0.3469991007239931,0.11381806735914382,0.263341822903564,0.4958203720509875,0.22691982839610947,0.21926140298368735,0.6579658937032101,0.599922386660756,0.14201480132309605,1.2468811699021631,0.17832295862321493,0.24123484013230428,0.478390097618103,0.3628054753788117,0.23135693624582962,0.11389601892395189,0.01190107116986698,1.5800765960011631,0.010863956594543428,0.012626907291677397
5.0,0.6513945039484121,0.3014964907490996,18.2528,18.2528,0.9971592150692714,0.2869558300658564,2.015321539145747,0.3536390844140369,0.11381806735914382,0.2662302588719278,0.5260379562484494,0.23004183773180276,0.22414751986389952,0.6586995592645521,0.5760905009234137,0.13650941023351293,1.198544176725439,0.18263742865725444,0.23027041942604856,0.47587236762046814,0.3642143438126266,0.23275708337087925,0.11389601892395189,0.009571827698804037,1.3543489794246852,0.009415027220457407,0.009684994015109381
6.0,0.6496634360066195,0.4060539726794448,18.2528,18.2528,0.0,0.3039823813446699,2.16501532538868,0.3324504124473805,0.11381806735914382,0.27993610310462447,0.5182790587430184,0.2462745563918662,0.2097199931126056,0.6773700064691549,0.5760905009234137,0.13650941023351293,1.198544176725439,0.18263742865725444,0.23027041942604856,0.47587236762046814,0.3642143438126266,0.23275708337087925,0.11389601892395189,0.0,0.0,,
7.0,0.6313310955304747,0.49420830738692534,18.2528,18.2528,0.0,0.3091915160284065,2.2852204041632516,0.3351769849203051,0.11381806735914382,0.29216283695567963,0.5091702959505235,0.25954638839050637,0.21035709548378306,0.6874012656286212,0.5760905009234137,0.13650941023351293,1.198544176725439,0.18263742865725444,0.23027041942604856,0.47587236762046814,0.3642143438126266,0.23275708337087925,0.11389601892395189,0.0,0.0,,
8.0,0.6165690872850222,0.6185967949354623,18.2528,18.2528,0.0,0.3219819744455347,2.379050080782159,0.33901476978570894,0.11381806735914382,0.30114393667895323,0.5514337568884193,0.2701561416430298,0.2140871868247809,0.6979221229039569,0.5760905009234137,0.13650941023351293,1.198544176725439,0.18263742865725444,0.23027041942604856,0.47587236762046814,0.3642143438126266,0.23275708337087925,0.11389601892395189,0.0,0.0,,
9.0,0.6464204357830673,0.3408606387142201,21.90336,21.90336,0.9971592150692714,0.2920443251089938,2.0623004569953602,0.3443117034343342,0.11381806735914382,0.2666476339136228,0.5191299427688816,0.23499936101527122,0.21690825763051913,0.6654994158200209,0.5917192869361362,0.14175415994394258,1.2445927547177176,0.20299175171256814,0.23359925644799007,0.4850648045539856,0.3643183253198896,0.2325831019624847,0.11389601892395189,0.009815788335463402,1.4637709663948044,0.008019683843972671,0.01116409118624896
10.0,0.6432130192041853,0.3377176068119084,21.90336,21.90336,0.0,0.3027312768527222,2.182668035854605,0.30826044343845777,0.11381806735914382,0.2863855292862974,0.5059138238842772,0.2484516622999962,0.1950609813901959,0.679136530999819,0.5917192869361362,0.14175415994394258,1.2445927547177176,0.20299175171256814,0.23359925644799007,0.4850648045539856,0.3643183253198896,0.2325831019624847,0.11389601892395189,0.0,0.0,,
11.0,0.6308203514569992,0.42636284690058,21.90336,21.90336,0.0,0.31727486158924934,2.3131998086550833,0.3361757686962618,0.11381806735914382,0.2931936879251891,0.5360271360332349,0.2630548432806106,0.21164566889412378,0.6921824761323353,0.5917192869361362,0.14175415994394258,1.2445927547177176,0.20299175171256814,0.23359925644799007,0.4850648045539856,0.3643183253198896,0.2325831019624847,0.11389601892395189,0.0,0.0,,
12.0,0.6122340238487418,0.4968563310713468,21.90336,21.90336,0.0,0.32047052466477366,2.3928428080719564,0.3311745992069316,0.11381806735914382,0.29820847321175414,0.5485265630688125,0.27205944174431457,0.20943474404278725,0.6987192275363738,0.5917192869361362,0.14175415994394258,1.2445927547177176,0.20299175171256814,0.23359925644799007,0.4850648045539856,0.3643183253198896,0.2325831019624847,0.11389601892395189,0.0,0.0,,
13.0,0.6432692203697853,0.40329828770776543,25.55392,25.55392,0.9971592150692714,0.2910356137372424,2.056031374364385,0.3407899488348762,0.11381806735914382,0.27048961761773394,0.5216596052993346,0.23530203368255442,0.21642202093637586,0.6665857569007685,0.6185624010695345,0.15278893970723462,1.3414774383751853,0.2227177700348432,0.25009214891264286,0.49218693375587463,0.36170079705369473,0.23023523034617369,0.11389601892395189,0.008320935010196324,1.3184030799893662,0.006947676512530028,0.009373467512281889
14.0,0.6354688704415958,0.3994213588634227,25.55392,25.55392,0.0,0.3028378530138779,2.1874277014724357,0.3492131594487582,0.11381806735914382,0.27805738429762117,0.5692593811291512,0.2492197973390231,0.2214670795195278,0.679509516119101,0.6185624010695345,0.15278893970723462,1.3414774383751853,0.2227177700348432,0.25009214891264286,0.49218693375587463,0.36170079705369473,0.23023523034617369,0.11389601892395189,0.0,0.0,,
15.0,0.6199554078448051,0.4890554632900737,25.55392,25.55392,0.0,0.3195903585324703,2.3476621617932674,0.34190367615770284,0.11381806735914382,0.29762141500979666,0.5688458597468699,0.2675849413009688,0.2159367451905368,0.6962602306052492,0.6185624010695345,0.15278893970723462,1.3414774383751853,0.2227177700348432,0.25009214891264286,0.49218693375587463,0.36170079705369473,0.23023523034617369,0.11389601892395189,0.0,0.0,,
16.0,0.6159596245648615,0.9197335541145648,25.55392,25.55392,0.0,0.3288164598393297,2.4632486449112534,0.3250339154959625,0.11381806735914382,0.30671246220606685,0.559306039452215,0.28000590803790715,0.2041946236360391,0.7080494353779905,0.6185624010695345,0.15278893970723462,1.3414774383751853,0.2227177700348432,0.25009214891264286,0.49218693375587463,0.36170079705369473,0.23023523034617369,0.11389601892395189,0.0,0.0,,
17.0,0.6419111487259771,0.4809755334092324,29.20448,29.20448,0.9971592150692714,0.29558239674970943,2.0836047553009265,0.3572416008686659,0.11381806735914382,0.27149346282297165,0.5331543565847081,0.23786421284447934,0.226970358691809,0.6708203374991143,0.622286475972895,0.15356686626116559,1.348307585392443,0.24579589956231282,0.2553150367220719,0.4966217279434204,0.3673188960979999,0.2343932224711301,0.11389601892395189,0.00844345801403571,1.4164187934948131,0.006690268143217366,0.009812380307337398
18.0,0.6387301615601433,0.45452744852295435,29.20448,29.20448,0.0,0.30925121057538374,2.2482573736827796,0.34355963104301035,0.11381806735914382,0.28488677356234104,0.544073701752857,0.2552860146062159,0.21644692283821906,0.6861575039973592,0.622286475972895,0.15356686626116559,1.348307585392443,0.24579589956231282,0.2553150367220719,0.4966217279434204,0.3673188960979999,0.2343932224711301,0.11389601892395189,0.0,0.0,,
