round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_auroc,fed_auprc_lift,fed_auprc,fed_brier,fed_f1_best_threshold,fed_ece,fed_f1,fed_f1_best,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6307224262493798,0.13425337631779674,3.65056,3.65056,0.9971592150692714,0.11372647743722075,0.6334829006218271,1.884061613108494,0.20232708065279212,0.17661892656682177,0.39249479516508806,0.27026216913758117,0.008638349060929309,0.2790175577679709,0.35100132577427984,0.08240394259519612,0.723501518083938,0.2045002711006687,0.20450951154489178,0.5321568250656128,0.46465580969729425,0.3186710762335076,0.11389601892395189,0.02571026067121053,2.7738023726269603,0.021065459970003978,0.028797990838127663
2.0,0.6121429201182056,0.2570020009937722,5.632,5.632,0.5412350858791136,0.11372647743722075,0.6661680121847287,1.9673013199039455,0.2230853861613231,0.128878424103712,0.3013983136826627,0.15799156927142996,0.004265304838028106,0.2945688866678945,0.34843777397021836,0.08200242043631126,0.7199761783690094,0.2045002711006687,0.2045002711006687,0.5279771089553833,0.4862911708582101,0.34017492784660186,0.11389601892395189,0.019822240392558706,1.3397843828424811,,0.019822240392558706
3.0,0.6047323639333652,0.3969767220386402,7.61344,7.61344,0.5412350858791136,0.11372647743722075,0.6766409463362848,2.0370700067229883,0.2311258504595982,0.11608067983865039,0.27825527152917456,0.12275097007268933,0.0046648025438383554,0.3020743301781634,0.3496575179322881,0.0823644294890993,0.7231545954568777,0.2045002711006687,0.2045002711006687,0.5273892283439636,0.4901569023322637,0.3440947063232015,0.11389601892395189,0.014847778686904055,1.0520387347787619,,0.014847778686904055
4.0,0.5930701792248857,0.4657817078845179,9.59488,9.59488,0.5412350858791136,0.11372647743722075,0.6835086764135765,2.108086583772137,0.2389235499237088,0.11051950888201338,0.23775375179913133,0.09273279601068808,0.014428815103786716,0.3030868168865725,0.3501376097581324,0.08234959902167052,0.7230243848703365,0.2045002711006687,0.2045002711006687,0.5241085290908813,0.4827917558874852,0.3367577291879722,0.11389601892395189,0.012149423824580759,0.910015280591324,,0.012149423824580759
5.0,0.6105551170055918,0.5400419687881303,11.264,11.264,0.4559241291901578,0.11372647743722075,0.6596199466034948,1.9151342287457462,0.2176165270847857,0.1100787119408832,0.20118840861814918,0.07481114135124202,0.0344757260897232,0.2916613885615542,0.3435774842555833,0.0815587633748067,0.7160808968157465,0.2045002711006687,0.2045002711006687,0.5214466452598572,0.4776636819467732,0.33247607402587004,0.11389601892395189,0.015396222839810288,0.699885331094265,0.015396222839810288,
6.0,0.5997517453859493,0.437644118642726,13.24544,13.24544,0.5412350858791136,0.11372647743722075,0.6731549921090836,2.037396883059034,0.23135803926155837,0.11066633168174343,0.2373127405577365,0.08349297990740769,0.023010347253035027,0.2999762841082796,0.3434258241312805,0.0815876657050697,0.7163346574874193,0.2045002711006687,0.2045002711006687,0.5163885951042175,0.47622801897072087,0.3309511030179423,0.11389601892395189,0.00879088890528661,0.6881872953381389,,0.00879088890528661
7.0,0.5913688950082421,0.3865445793337675,15.22688,15.22688,0.5412350858791136,0.11372647743722075,0.6845127115240078,2.131598237562455,0.24195361924855924,0.10855071958098575,0.23673525540863516,0.0861475495025455,0.04067040791106331,0.3092818033564711,0.3440571368506167,0.08169946446304865,0.7173162436660688,0.2045002711006687,0.2045002711006687,0.5109923481941223,0.468809954403955,0.32366416510347173,0.11389601892395189,0.00818881792096391,0.6639480595476925,,0.00818881792096391
8.0,0.5842926885976958,0.4326080436247926,17.20832,17.20832,0.5412350858791136,0.11372647743722075,0.6945129448041976,2.2578395670390137,0.2551183138466665,0.10717548922116407,0.2323664062203902,0.07560323927419277,0.05281573953497649,0.3160059039918737,0.34301528136699067,0.08153396657760204,0.715863182470338,0.2045002711006687,0.2045002711006687,0.5113089680671692,0.4862410914310542,0.34126563197614784,0.11389601892395189,0.008430833687966238,0.7083373235072941,,0.008430833687966238
9.0,0.5721882336699031,0.47539323347348483,19.18976,19.18976,0.5412350858791136,0.11372647743722075,0.7023802122351884,2.3434124917739316,0.26434136043480216,0.10628053428107245,0.23469554144809165,0.06942625221149175,0.06221345241636304,0.32297315825157585,0.3429010688066862,0.0814920995021963,0.715495592138373,0.2045002711006687,0.2045002711006687,0.5150499939918518,0.49216097749001353,0.3475846878074935,0.11389601892395189,0.009584404006923704,0.8398524611257017,,0.009584404006923704
10.0,0.5945653131895076,0.5759454494704171,22.84032,22.84032,0.9971592150692714,0.11372647743722075,0.6633325085949376,1.9767232933262602,0.2246814656403609,0.11073721983326745,0.22950431611957478,0.0843962633668011,0.03235134032827965,0.29389619706130476,0.34288919702533815,0.0817595706109172,0.7178439719259009,0.2045002711006687,0.2045002711006687,0.5062124729156494,0.46580621063022287,0.32084107947304946,0.11389601892395189,0.009334215747138804,1.307386661763303,0.013215748594698744,0.007251433582256781
11.0,0.5939547751515681,0.40366399942941433,24.82176,24.82176,0.5412350858791136,0.11372647743722075,0.6787755340773963,2.130774573088517,0.2414653324311633,0.11007186067669206,0.24044478973561928,0.08636599868117258,0.054010559855584304,0.30649319550831877,0.3403600934663087,0.0813111465825842,0.7139068366987916,0.20434723665777937,0.2045002711006687,0.4926704168319702,0.47991618938694197,0.3354588393598653,0.11389601892395189,0.006890282526573844,0.6396157260751352,,0.006890282526573844
12.0,0.5767100860380064,0.39852175958616814,26.8032,26.8032,0.5412350858791136,0.11372647743722075,0.6891631135368107,2.232328989014035,0.2525668659741737,0.10663031186559213,0.22933481275881504,0.0695062082703854,0.07758953497713751,0.31525638486006985,0.33972793993370576,0.0812028881717058,0.7129563345486621,0.20406871609403254,0.2045002711006687,0.4777442514896393,0.4708362413515256,0.3263831211145609,0.11389601892395189,0.008017080638781007,0.7673583629075438,,0.008017080638781007
13.0,0.5653489869948223,0.47057008353627516,28.78464,28.78464,0.5412350858791136,0.11372647743722075,0.7040722294947798,2.357000426467647,0.26544194175704733,0.1059386833197036,0.25056632979321014,0.07538723425972622,0.08791103250344312,0.3303243138232584,0.34024555462025885,0.08127486412782109,0.7135882789905776,0.2033560993260663,0.2045002711006687,0.47233614325523376,0.4649546130148464,0.32059689463766344,0.11389601892395189,0.007465129332444358,0.7453919288236648,,0.007465129332444358
14.0,0.5569335893353901,0.6783261541945322,30.76608,30.76608,0.5412350858791136,0.11372647743722075,0.7118850488290779,2.47343114369827,0.2779162407240064,0.10441227646910752,0.2420512044776401,0.07151740281110264,0.10761856609928108,0.33706449611455347,0.3398150707771509,0.08118562871251671,0.7128047975647346,0.20376232251062676,0.2045002711006687,0.4753209054470062,0.4780921961129164,0.33403716489215224,0.11389601892395189,0.007184177615460449,0.7492225730093196,,0.007184177615460449
15.0,0.588669159576942,0.648503293069637,32.4352,32.4352,0.4559241291901578,0.11372647743722075,0.6694465121514007,2.061652267543559,0.23392002089772793,0.10866888357888185,0.2190225451079915,0.072383360492238,0.05318304809161069,0.29923755961448695,0.3378841368354068,0.08086912510527051,0.7100259154735394,0.20376232251062676,0.2045002711006687,0.47155696153640747,0.47194812656186885,0.32818787712470204,0.11389601892395189,0.012383925556147122,0.6543219261802733,0.012383925556147122,
16.0,0.585001801718979,0.665159810578742,34.41664,34.41664,0.5412350858791136,0.11372647743722075,0.6861636261162445,2.1820791283898573,0.24671922884140826,0.11020202329428977,0.23837641327944883,0.08810544390738033,0.06470401243702455,0.31098222092507377,0.33827516520223766,0.08096536678922887,0.7108709115047231,0.20434723665777937,0.2045002711006687,0.4878762662410736,0.46239878829949044,0.3183971096614641,0.11389601892395189,0.005366879995489045,0.5788668357999995,,0.005366879995489045
17.0,0.5659747000811072,0.44132643005236016,36.39808,36.39808,0.5412350858791136,0.11372647743722075,0.6975742682723122,2.316699913278536,0.2606459876487868,0.10743373587888555,0.23392161269009817,0.07405901968606235,0.08331285048947429,0.32095834343388424,0.33734768542178883,0.08078040659089518,0.7092469724058755,0.2045002711006687,0.20450951154489178,0.524242639541626,0.47238318581688865,0.32850199652435125,0.11389601892395189,0.006692787265980938,0.7400727577041835,,0.006692787265980938
18.0,0.5541934656161951,0.7650614119447421,38.37952,38.37952,0.5412350858791136,0.11372647743722075,0.7081389195751728,2.4663684538943524,0.27751222331282027,0.10608531817806167,0.25668498104784837,0.07562606404151256,0.10003626420309474,0.3316274893426256,0.33683246768051844,0.08072706304429314,0.7087786193667964,0.2045002711006687,0.20450951154489178,0.5220469236373901,0.47745016608866275,0.33400540841189436,0.11389601892395189,0.007060525949661899,0.8144283627625555,,0.007060525949661899
19.0,0.538502282260191,0.9767876999803274,40.36096,40.36096,0.5412350858791136,0.11372647743722075,0.7155424503722383,2.569318052728319,0.28804448020594886,0.1032967927510724,0.2315022280942997,0.07032542918848089,0.1029896793484951,0.3371493237156508,0.3368421809561668,0.08071527234787569,0.7086750977816801,0.2045002711006687,0.20450951154489178,0.5215219259262085,0.4849196055363958,0.34221901354108303,0.11389601892395189,0.007833207390501832,0.9446306151803583,,0.007833207390501832
20.0,0.5833974621730638,1.0666302584024474,44.01152,44.01152,0.9971592150692714,0.11372647743722075,0.6708542978339964,2.0931070403432166,0.23764858755111992,0.10799577393130914,0.22403966703411318,0.08015178607242082,0.06126291195769136,0.3011754883658828,0.3384445953502072,0.08084290355659464,0.7097956918983557,0.2045002711006687,0.20450951154489178,0.5192458629608154,0.4770320018630507,0.33362917943726816,0.11389601892395189,0.007229112700445752,1.3211016161367297,0.010618149375049488,0.005670756769285483
21.0,0.5811125042127409,0.6203207865724434,45.99296,45.99296,0.5412350858791136,0.11372647743722075,0.6866642111219085,2.2560990727014456,0.25511853519263805,0.1078863654383513,0.25179264022826225,0.07612754775544028,0.08222561524238027,0.314946403592892,0.33784244755671966,0.08068794302054114,0.7084351479784056,0.2045002711006687,0.20450951154489178,0.5209683775901794,0.47953003373753955,0.33654891006114185,0.11389601892395189,0.004728542390672722,0.603624593350105,,0.004728542390672722
22.0,0.5559754010515007,0.5775940291351482,47.9744,47.9744,0.5412350858791136,0.11372647743722075,0.6992018652534265,2.39829871059942,0.27008381187632746,0.10633741384302002,0.24701092542868386,0.07586962280413871,0.08847491153280634,0.3257596856360369,0.3383220374044943,0.08080006778952734,0.70941959651353,0.2045002711006687,0.20451875282422052,0.5226836800575256,0.47824962306883023,0.33490965838738773,0.11389601892395189,0.005822266529452917,0.7639802077319473,,0.005822266529452917
23.0,0.542552756850754,0.6658985428499691,49.95584,49.95584,0.5412350858791136,0.11372647743722075,0.7107900846701946,2.5223959039619213,0.28325295845883147,0.10457211216159716,0.27492428895615223,0.07577255031194656,0.0973338374360493,0.3347915614399918,0.3385192771375243,0.0807888883491711,0.709321441718816,0.2045002711006687,0.20457421804375336,0.5243913531303406,0.480159190392973,0.3370329934876217,0.11389601892395189,0.0062361524681402054,0.843695999821648,,0.0062361524681402054
24.0,0.5307117058952215,0.8714530179495947,51.93728,51.93728,0.5412350858791136,0.11372647743722075,0.7240205221587279,2.707047500369754,0.30307612337924345,0.1031012846898639,0.26761960201596097,0.07556348282569396,0.11120783971100055,0.34945424260958474,0.3397675083550485,0.08098705214103102,0.7110613075519865,0.2045002711006687,0.20452799493876814,0.5253989696502686,0.472211761232579,0.3287153352558681,0.11389601892395189,0.0065387035315285814,0.9169424374122173,,0.0065387035315285814
25.0,0.5818496562800364,1.0023291253420301,53.6064,53.6064,0.4559241291901578,0.11372647743722075,0.6756116846836555,2.145338227902261,0.24385130821512446,0.10779883667508788,0.2311241035504116,0.07206733751167765,0.06235500503371048,0.3071763973549491,0.3387858525914291,0.08079229079006871,0.7093513149394057,0.2045002711006687,0.20454648167397296,0.5256354212760925,0.4735820318985504,0.3303686099190197,0.11389601892395189,0.00912333540850794,0.5700483270920813,0.00912333540850794,
26.0,0.5770285247299888,0.8120739794182423,55.58784,55.58784,0.5412350858791136,0.11372647743722075,0.6901669527416422,2.28574823149,0.2588357146584511,0.10689824243343968,0.23176066597316508,0.06765905345040822,0.07859018227371778,0.3168096181899948,0.33860662132164904,0.08077890604441865,0.7092337977006425,0.2045002711006687,0.20452799493876814,0.5252020359039307,0.47211961208877057,0.32884242804466507,0.11389601892395189,0.005765589737581492,0.8340448797680438,,0.005765589737581492
