round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_brier,fed_auprc,fed_auprc_lift,fed_ece,fed_f1,fed_f1_best_threshold,fed_f1_best,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6330815795688918,0.11936491935725221,3.66096,3.66096,1.0,0.10997796663519041,0.11019203655324075,0.21574006703111132,1.9838491468625463,0.12816600567424657,0.0,0.2698472769212753,0.29324746790124245,0.6686037462744635,0.6613339695738041,0.21342078528593594,1.8738212915803187,0.0,0.2760409556313993,0.2633030116558075,0.12379196225453878,0.11251423592131293,0.11389601892395189,0.020926764098694102,2.2786521568486933,0.019926015258490044,0.02171397491627294,0.008686347666407735
2.0,0.6333627189184547,0.4107019844939731,7.32192,7.32192,1.0,0.10997796663519041,0.10287209808822398,0.21809790261425788,2.0031844145409696,0.09834725468750453,0.0,0.24869435367942194,0.2982505613678933,0.6739488132461803,0.665791271294098,0.21750935582673847,1.9097186879900427,0.0,0.28427037271004424,0.23123010993003845,0.09335920824266428,0.10546619559972881,0.11389601892395189,0.013434158439772338,1.5431591435335577,0.013928634091929038,0.01318561639328156,0.004918711712177727
3.0,0.6268375235555876,0.43291304611912906,10.98288,10.98288,1.0,0.10997796663519041,0.0998338348515742,0.2204407852515678,2.0259745675934684,0.08219245427086136,0.006246867530264476,0.23452127091926636,0.30178985283213966,0.6762766516805094,0.6682104291064153,0.22092681472682202,1.9397237657124289,0.00877963125548727,0.2822715036533778,0.21944959461688995,0.07724522133823508,0.10250571321582971,0.11389601892395189,0.01134090331480999,1.3718346155947074,0.010994810298746594,0.011611954283878156,0.007805875509521581
4.0,0.63100625852064,0.5202737166159481,14.64384,14.64384,1.0,0.10997796663519041,0.09932149646775164,0.2235946237921814,2.062720302902822,0.07998865587290331,0.015533039122693276,0.2254601311010124,0.301652223040287,0.6790230534948521,0.6703414264078313,0.223977749537639,1.9665107846059873,0.013986013986013986,0.2841488277268094,0.2131563127040863,0.07505497907471319,0.1019784782262675,0.11389601892395189,0.010288520324535297,1.3123973825131543,0.009796349945779085,0.01068919446904543,0.005466820189416065
5.0,0.630966400027244,0.5453136731764001,18.3048,18.3048,1.0,0.10997796663519041,0.09812861662682089,0.2279107406697038,2.1135605618836077,0.07303718477159242,0.017638936426086764,0.22098429353405255,0.30649317862303455,0.6805323705932539,0.6700938382744123,0.22457865954753675,1.9717867373177231,0.014847161572052401,0.2828125,0.1972884088754654,0.06793062758669832,0.10094867324112623,0.11389601892395189,0.010323703325907613,1.3931362429866567,0.009052380501659654,0.011310314617604069,0.006603181148203569
6.0,0.6380440965044986,0.6335702801577311,21.96576,21.96576,1.0,0.10997796663519041,0.09673913724720254,0.22787311890554882,2.112307260147446,0.06335614569459393,0.025108646476879253,0.22475086383317527,0.308012268799559,0.6810045914350593,0.6712392016360068,0.22544279363915243,1.9793737811826422,0.02667814113597246,0.2832271762208068,0.1795530468225479,0.05669288650812041,0.09954126036437082,0.11389601892395189,0.008822255720560652,1.2653352647321299,0.007937335513416187,0.009534125010588307,0.005749366330561369
7.0,0.6439655273806862,0.7294953390334102,25.62672,25.62672,1.0,0.10997796663519041,0.0973145566281404,0.23112681025960194,2.1396227202583544,0.06909173920253442,0.026317755327869695,0.21763075358431633,0.30827943448753536,0.6840843452236028,0.6708880930751673,0.2249026194730975,1.9746310854224367,0.02410675850193715,0.283801580333626,0.1864355355501175,0.06326339065929597,0.1002199523788383,0.11389601892395189,0.008497953002149923,1.2841756401467137,0.007825492015215464,0.00907415924603651,0.004897278365782086
8.0,0.6344405395591667,0.6239502482457848,29.28768,29.28768,1.0,0.10997796663519041,0.09635133301654031,0.23263157579127786,2.1494677484225075,0.06129158254024515,0.052855415724446755,0.20726139112711328,0.3099648010248263,0.6849221919320722,0.6714645395914873,0.22510872175548147,1.9764406507112953,0.052390852390852394,0.28474025974025974,0.2055462896823883,0.05465068009484335,0.09944736641464544,0.11389601892395189,0.008289292796963756,1.3236650932522025,0.0069379988385827925,0.00945547347598739,0.005047220571540585
9.0,0.6393690765301162,0.9212003821566992,32.94864,32.94864,1.0,0.10997796663519041,0.09621099384654681,0.23451508933430326,2.165533599486605,0.061231378131470754,0.030755708255555885,0.2107383972777861,0.3128729164786461,0.6866902375783017,0.6722768907016545,0.22431408361337488,1.9694637769837142,0.029965753424657533,0.2842121075559561,0.20164050161838531,0.05504798098082041,0.0994436843596542,0.11389601892395189,0.008283659750544136,1.3985795128683094,0.007148528361281962,0.009292636044521844,0.005314413701003372
10.0,0.6421849139905238,0.8364109457253432,36.6096,36.6096,1.0,0.10997796663519041,0.09629104242413772,0.23887350937863855,2.2045818187133204,0.06329949070489327,0.03047023492894978,0.20690695991165653,0.3113926120322898,0.688453134208529,0.6700240884216299,0.223820540839874,1.965130501965292,0.02995293110825845,0.2836942112240389,0.20155127346515656,0.05750803174975504,0.09976860840805449,0.11389601892395189,0.007588506245775272,1.3558711973309983,0.006310192789688673,0.008749274978496563,0.005108256980136461
