round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc_lift,fed_f1,fed_auroc,fed_ece,fed_f1_best,fed_auprc,fed_prevalence,fed_f1_best_threshold,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6880088862430829,0.12042634879810177,3.65056,3.65056,0.9971592150692714,1.729714144516207,0.2451322222092785,0.622877529354457,0.38085381925473705,0.27632146352536846,0.19791885755095404,0.11455186304128903,0.5129515394298332,0.2450856245383848,0.37115656098639493,0.08527247646543268,0.7486870680033946,0.14320137693631668,0.2045002711006687,0.4690071940422058,0.3867955085159554,0.2509771887621783,0.11389601892395189,0.02783174584850044,2.986257007578388,0.02347252881264169,0.030711263714321608
2.0,0.6826641142434773,0.13494518298599306,7.30112,7.30112,0.9971592150692714,1.9071574673014242,0.25544811346792096,0.6482579078813356,0.3672525121653143,0.28928660060140504,0.2160528921852802,0.11455186304128903,0.5335471589767262,0.23436924797977846,0.33286411769899876,0.07977930164155757,0.7004573328838299,0.1430853896680277,0.2045002711006687,0.4362832009792328,0.39305226884962674,0.2566623067658741,0.11389601892395189,0.01841479849764699,2.0962053490802646,0.016018365761983813,0.020010666064259056
3.0,0.6727111227131138,0.18881164516384843,10.95168,10.95168,0.9971592150692714,1.9799788766334925,0.26366182707893826,0.6612228476421869,0.3744355798290981,0.298196934143651,0.2243162264134896,0.11455186304128903,0.5650644896989022,0.23896497347328277,0.3285139631976786,0.07914895491951204,0.6949229276605323,0.13063238540449293,0.2045002711006687,0.3528051972389221,0.38861990043072897,0.25435918908112215,0.11389601892395189,0.012999773116683107,1.585059458622709,0.012341550449383301,0.013451141036334411
4.0,0.667455081834426,0.19693438200747931,14.60224,14.60224,0.9971592150692714,2.0191937821427772,0.2741038092665049,0.6649439804735798,0.3598190059093805,0.298997811188714,0.22898354177264096,0.11455186304128903,0.5328658979183507,0.22747144885699533,0.3299753970508487,0.07931027492062871,0.6963393072903101,0.1268808458723058,0.20450951154489178,0.29120883345603943,0.38384381065767514,0.2506627642970599,0.11389601892395189,0.010129612656644338,1.3176492669153959,0.010051972902116601,0.010185308239489125
5.0,0.6579343482936014,0.21904189341820102,18.2528,18.2528,0.9971592150692714,2.052650562939272,0.2832701338018968,0.6690333807311534,0.3390717971075817,0.3025048587793227,0.23293541769357828,0.11455186304128903,0.5386301951796146,0.21381540599525667,0.3275401508413981,0.0790961363389841,0.6944591837911069,0.13065712094093582,0.20450951154489178,0.33888816833496094,0.3869520370268703,0.2527757265980053,0.11389601892395189,0.009210091817036303,1.2668054127134383,0.009470302332501648,0.009014520275287307
6.0,0.6529573466531955,0.2844268027971308,18.2528,18.2528,0.0,2.2019560430987895,0.28872452235289986,0.6844167227576735,0.3404879359306143,0.3175525463895153,0.24972431706045947,0.11455186304128903,0.5633051920051931,0.21508511183324627,0.3275401508413981,0.0790961363389841,0.6944591837911069,0.13065712094093582,0.20450951154489178,0.33888816833496094,0.3869520370268703,0.2527757265980053,0.11389601892395189,0.0,0.0,,
7.0,0.645038497960061,0.5216060583396938,18.2528,18.2528,0.0,2.332973795010143,0.2989621197055852,0.6957060715707707,0.33966723809038424,0.32944994388196047,0.2639097985813406,0.11455186304128903,0.5515504434239588,0.21376306450602223,0.3275401508413981,0.0790961363389841,0.6944591837911069,0.13065712094093582,0.20450951154489178,0.33888816833496094,0.3869520370268703,0.2527757265980053,0.11389601892395189,0.0,0.0,,
8.0,0.6233690602010462,0.4225876111737265,18.2528,18.2528,0.0,2.4253900579038032,0.3174201035071576,0.704664072631585,0.315292536203908,0.34068138653101726,0.2741388492606575,0.11455186304128903,0.567941920351601,0.19735842914271248,0.3275401508413981,0.0790961363389841,0.6944591837911069,0.13065712094093582,0.20450951154489178,0.33888816833496094,0.3869520370268703,0.2527757265980053,0.11389601892395189,0.0,0.0,,
9.0,0.6529269860733321,0.2807797120792607,21.90336,21.90336,0.9971592150692714,2.1018139794157595,0.2846848930233375,0.672576155366158,0.3357553083805062,0.3065447165478685,0.23894791168744942,0.11455186304128903,0.5506429075181843,0.21261992644449232,0.32552129544074904,0.07886439515279664,0.6924245105129988,0.12554199186178375,0.2045002711006687,0.30695655941963196,0.3873961089277634,0.25396957159484057,0.11389601892395189,0.008533176666080163,1.2436814482789487,0.007428588088438404,0.009400219944379763
10.0,0.6479953135182633,0.3148800636412474,21.90336,21.90336,0.0,2.2566361518458113,0.29365627643998465,0.6846017446731449,0.3289473719068607,0.3213287539931127,0.2559276804056429,0.11455186304128903,0.5528692455112575,0.20726426724441022,0.32552129544074904,0.07886439515279664,0.6924245105129988,0.12554199186178375,0.2045002711006687,0.30695655941963196,0.3873961089277634,0.25396957159484057,0.11389601892395189,0.0,0.0,,
11.0,0.6321796829014206,0.3439448457286276,21.90336,21.90336,0.0,2.3561087551443656,0.2947365492997574,0.695734621299481,0.3529391685765224,0.3295131973702666,0.2667257521629437,0.11455186304128903,0.585561015822316,0.22302105646417114,0.32552129544074904,0.07886439515279664,0.6924245105129988,0.12554199186178375,0.2045002711006687,0.30695655941963196,0.3873961089277634,0.25396957159484057,0.11389601892395189,0.0,0.0,,
12.0,0.6149634302046503,0.43020167679721677,21.90336,21.90336,0.0,2.464701491913362,0.30365229174666303,0.7052818513743976,0.3374287179710619,0.3398405903822388,0.2782217119403517,0.11455186304128903,0.5819441453747878,0.2135230827127228,0.32552129544074904,0.07886439515279664,0.6924245105129988,0.12554199186178375,0.2045002711006687,0.30695655941963196,0.3873961089277634,0.25396957159484057,0.11389601892395189,0.0,0.0,,
13.0,0.6474230826806981,0.3135910533372642,25.55392,25.55392,0.9971592150692714,2.143481284209273,0.285796772151915,0.6741498281745747,0.3183563360175322,0.31081753037429577,0.24356761332749882,0.11455186304128903,0.548746854700861,0.20214913837237308,0.32548014578848683,0.07885301613165202,0.6923246034113097,0.12742823045813167,0.2045002711006687,0.30639323592185974,0.38827417726467284,0.2547810213496472,0.11389601892395189,0.007963416194494139,1.2291329628787935,0.006657435055810457,0.009019408186333993
14.0,0.6457353982254233,0.384226269185922,25.55392,25.55392,0.0,2.2840683926046057,0.29616727435777035,0.6887252263164461,0.3388792546006428,0.32269502303636627,0.25914117273562104,0.11455186304128903,0.5553482548790454,0.21281994902909357,0.32548014578848683,0.07885301613165202,0.6923246034113097,0.12742823045813167,0.2045002711006687,0.30639323592185974,0.38827417726467284,0.2547810213496472,0.11389601892395189,0.0,0.0,,
15.0,0.6306327939357775,0.4450504970963105,25.55392,25.55392,0.0,2.409633919817682,0.30007099618571015,0.7003353680733234,0.3487227512382849,0.33545579603283887,0.27265172760546824,0.11455186304128903,0.5950901867110895,0.22129988625105462,0.32548014578848683,0.07885301613165202,0.6923246034113097,0.12742823045813167,0.2045002711006687,0.30639323592185974,0.38827417726467284,0.2547810213496472,0.11389601892395189,0.0,0.0,,
16.0,0.6133762072729733,0.47553795785898567,25.55392,25.55392,0.0,2.4909336932924346,0.3173014506893529,0.7052502701688649,0.30351634231953595,0.3435643547919631,0.2807577185914375,0.11455186304128903,0.5484333812537692,0.19030341167733458,0.32548014578848683,0.07885301613165202,0.6923246034113097,0.12742823045813167,0.2045002711006687,0.30639323592185974,0.38827417726467284,0.2547810213496472,0.11389601892395189,0.0,0.0,,
17.0,0.6446866823186256,0.4368202013093625,29.20448,29.20448,0.9971592150692714,2.159779367847426,0.28288713371359936,0.6771443267624483,0.34528295787741614,0.31394200865801036,0.24583915519100533,0.11455186304128903,0.5579336025027141,0.21830934606910862,0.3263811085774047,0.07905468555028843,0.6940952484307029,0.11278757095906783,0.2045002711006687,0.3405698835849762,0.38703392012033255,0.25341727026824845,0.11389601892395189,0.0075192078214320664,1.2282286721747369,0.00614835960262428,0.008656385591227014
18.0,0.6452239272403631,0.41492376253433294,29.20448,29.20448,0.0,2.302469061421317,0.29118751372412216,0.6916184834933208,0.35035301547371833,0.32535031570409956,0.2611212607801857,0.11455186304128903,0.5932340600526885,0.222324244459111,0.3263811085774047,0.07905468555028843,0.6940952484307029,0.11278757095906783,0.2045002711006687,0.3405698835849762,0.38703392012033255,0.25341727026824845,0.11389601892395189,0.0,0.0,,
19.0,0.6241339202547413,0.4055494703374268,29.20448,29.20448,0.0,2.432310216765265,0.30953620908643653,0.7015785307710842,0.3251308216754402,0.33622757054511965,0.27489927583987817,0.11455186304128903,0.561812412136301,0.2037306485725332,0.3263811085774047,0.07905468555028843,0.6940952484307029,0.11278757095906783,0.2045002711006687,0.3405698835849762,0.38703392012033255,0.25341727026824845,0.11389601892395189,0.0,0.0,,
20.0,0.6092848443687269,0.5783762750627732,29.20448,29.20448,0.0,2.5507200852071095,0.31365554448248256,0.7124452112041777,0.32459409809345424,0.34891743236873357,0.2876866027590048,0.11455186304128903,0.5583286410514623,0.20276474680344736,0.3263811085774047,0.07905468555028843,0.6940952484307029,0.11278757095906783,0.2045002711006687,0.3405698835849762,0.38703392012033255,0.25341727026824845,0.11389601892395189,0.0,0.0,,
