round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_f1_best,fed_prevalence,fed_auroc,fed_f1_best_threshold,fed_f1,fed_auprc_lift,fed_ece,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6874420724911875,0.09856311223331518,3.66096,3.66096,1.0,0.23056983284756344,0.29933822034022417,0.11398539778449145,0.661367226832322,0.5022628039725628,0.2772029901949381,2.035063373004086,0.3449769462669814,0.21574174146352013,0.6598403965747226,0.21443189541813287,1.8826987759889005,0.27238638068096593,0.2757508066517746,0.48855218291282654,0.34480861995557244,0.2161803342714906,0.11389601892395189,0.02609929454658511,2.8415899373212596,0.022556167264090567,0.028581817958270705,0.013743852199068504
2.0,0.6611646955790562,0.22765100629010235,7.32192,7.32192,1.0,0.23646526243742452,0.30621348997127223,0.11398539778449145,0.667205386147292,0.5540879312433745,0.2714503907007486,2.0882532112500303,0.35193636844521775,0.222035799716367,0.6657306699916354,0.22001620096689403,1.9317286332351822,0.27479674796747966,0.28296335918694837,0.5333882570266724,0.35245882132340883,0.22295037860055997,0.11389601892395189,0.017961785350524624,2.102160586629907,0.01670680274234887,0.018907818676446086,0.006427492345754907
3.0,0.6497310881268274,0.3260924049544168,10.98288,10.98288,1.0,0.23913053738906412,0.3033819658722202,0.11398539778449145,0.6691257338271276,0.5493627584877931,0.2794310486257546,2.1101602787992153,0.35356282042611437,0.22289438263802033,0.6674586416503552,0.22260563100233854,1.9544636687518624,0.2776332899869961,0.28722946825283074,0.5370924472808838,0.3541871834754632,0.22409036037594718,0.11389601892395189,0.012108239945557951,1.5228544554211112,0.012157218898418492,0.012135657180433676,0.004757506878720812
4.0,0.6481777028399188,0.35718260350302555,14.64384,14.64384,1.0,0.2420531595518325,0.30783031288570656,0.11398539778449145,0.6720429791666102,0.5359070792208988,0.2824580036528566,2.134888814059485,0.3477727187504806,0.21882800464045762,0.6680335696830144,0.2230321515055509,1.958208492383469,0.2812249111136598,0.28896443514644354,0.5191348791122437,0.348493100109611,0.22029252545931668,0.11389601892395189,0.010329582806104541,1.3714801462374453,0.010407751622319383,0.010315583716669751,0.004997935366038197
5.0,0.6457395475803243,0.3412597079228782,18.3048,18.3048,1.0,0.24474084601862423,0.3081943706433278,0.11398539778449145,0.6738102797406742,0.5170011716760688,0.2903836312103773,2.157711119279504,0.3423117716718851,0.21491916118744114,0.6694927195359675,0.223682862172772,1.9639216917855973,0.2846441947565543,0.28794788273615635,0.5101149082183838,0.3433565000558008,0.2165279405640601,0.11389601892395189,0.00935561041279301,1.3147484480132334,0.008930083863978902,0.009706745261900568,0.004288330477286999
6.0,0.6445544349838566,0.33213845110579,21.96576,21.96576,1.0,0.2458697210522182,0.31161832615954355,0.11398539778449145,0.675069545799247,0.5286172527129587,0.28250973046161393,2.1693910557675173,0.35867854026272844,0.22573077455348747,0.6688334340886982,0.2239194552601274,1.9659989644557982,0.2798016813968528,0.2867314802136109,0.5334530472755432,0.3596386565098471,0.22749327413679157,0.11389601892395189,0.008502648408699284,1.2612011142664414,0.008283432927994916,0.008697022671013688,0.004620563965034141
7.0,0.6382172739428981,0.2982821794847446,25.62672,25.62672,1.0,0.24833709015231567,0.3109616259688465,0.11398539778449145,0.6769252678210054,0.5354645720608945,0.28737367009747194,2.191248011237355,0.3459282452400027,0.21733895717746204,0.6693623934796262,0.22348202015024649,1.962158311252871,0.28253047011027277,0.28771836950767604,0.5217010378837585,0.3470206227644957,0.21934166826844398,0.11389601892395189,0.007457648931540526,1.1741507707811252,0.0071509658083577995,0.007721824166564542,0.004135050624748462
8.0,0.6402254915652832,0.37001845755628826,29.28768,29.28768,1.0,0.2506578820016535,0.3116893990062293,0.11398539778449145,0.6778169916023282,0.5492729051198065,0.28722933409943296,2.2121794764470466,0.3539329300243464,0.22332239538241028,0.6692443031387333,0.22530241759054798,1.9781412881602287,0.28067058954146773,0.2884825327510917,0.5348660349845886,0.3553202327145286,0.22566601136976333,0.11389601892395189,0.0075667583186642415,1.2586686633412683,0.006891798563441716,0.008134722712123954,0.004809653692510719
9.0,0.6411838123629267,0.39166821537725344,32.94864,32.94864,1.0,0.25305035361315437,0.31485256132636985,0.11398539778449145,0.6803441230279583,0.5632038119493835,0.28287412471848594,2.2281625262465607,0.35555568950725314,0.22457256949691534,0.6690303098876278,0.22318773008837317,1.9595744627158136,0.2772235194226279,0.2885038503850385,0.542834460735321,0.356816899263329,0.2271526960665999,0.11389601892395189,0.007626160830759454,1.3429399314663897,0.006716857513917459,0.008410952382141497,0.004095978360077371
10.0,0.6400374399222486,0.4191592392493814,36.6096,36.6096,1.0,0.2547316788107635,0.3156983478800932,0.11398539778449145,0.6814387966189974,0.5470515108101768,0.2888432440073621,2.2455452787681955,0.34758608679081743,0.21805761987464195,0.6686957289547325,0.2216981626484413,1.9464961527449758,0.279132185193469,0.28562269594486295,0.555774450302124,0.34866152703462056,0.22056060358046584,0.11389601892395189,0.007969673637794059,1.487525560971335,0.0069056787316772224,0.008910522543785613,0.004033760238228044
11.0,0.6451747200794334,0.41570527625057013,40.27056,40.27056,1.0,0.2569176030846622,0.3149356403668614,0.11398539778449145,0.6833240082268095,0.5385538911088656,0.289540633302248,2.264282426779454,0.3284033234081111,0.20691697732895767,0.6667084981724736,0.22107692219061284,1.9410416999581468,0.2806611952375448,0.2834695160276556,0.5469451546669006,0.3295526834136077,0.2100311017306814,0.11389601892395189,0.007920768867810117,1.5679544000213355,0.006188264947457194,0.009489316864806075,0.0037409439735236263
12.0,0.6422580379605372,0.5288959118516015,43.93152,43.93152,1.0,0.25944686315214754,0.3219049884436551,0.11398539778449145,0.6858303882618348,0.569318090253186,0.2907395520677732,2.285548861565303,0.3408602659969449,0.21563442918234793,0.666796243939054,0.21987287037488257,1.9304701995044373,0.27547251792309363,0.2835779562448075,0.5439639687538147,0.3421240107283971,0.2191794100228089,0.11389601892395189,0.007592021243042081,1.6045788590308803,0.005722914953192415,0.00929886596762894,0.004429123162278485
13.0,0.6407328177066438,0.7018769866102913,47.59248,47.59248,1.0,0.2609610329011063,0.3221771669618423,0.11398539778449145,0.6872720067157211,0.5489362595548473,0.29117937545816397,2.298149066408139,0.34629584564325605,0.2183629025076638,0.6665826397209523,0.22206091096794645,1.9496810605488855,0.27797638392373525,0.2843291404612159,0.5337288975715637,0.347785848585902,0.22204632390499954,0.11389601892395189,0.007871331174434353,1.7620967719158216,0.005933950876843471,0.0096715820375942,0.00472515378520949
14.0,0.6397753696891448,0.5568942553843912,51.25344,51.25344,1.0,0.2645615042162525,0.3253531025197091,0.11398539778449145,0.6888677961893129,0.5598295487853636,0.29043863795869446,2.329425156788276,0.3371784868828337,0.21301203943567684,0.6653842800246511,0.2226857203239202,1.9551668480406408,0.2777777777777778,0.2810880829015544,0.5680909752845764,0.3383271062427063,0.2166804335772516,0.11389601892395189,0.007077646420242913,1.6813408455782337,0.005101486338514279,0.008949468512783233,0.004217290173148135
