round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_brier,fed_auroc,fed_f1_best,fed_prevalence,fed_f1_best_threshold,fed_f1,fed_ece,fed_auprc_lift,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6885436095451419,0.11942803219538604,0.526995,3.65056,0.9971592150692714,0.17524318673532235,0.2541529985903233,0.5627120799522973,0.2517312932161453,0.11454465353389139,0.5046331931694061,0.16320058782702113,0.3910714074415035,1.5020203892295463,0.40857346667410266,0.09936597499790036,0.8724271132272567,0.2045002711006687,0.20463215258855588,0.5213563442230225,0.4092748775726488,0.2684846228279531,0.11389601892395189,0.48756764853599865,10.35623280890286,0.31633108686321687,0.6247538117903372
2.0,0.6867790485077173,0.07868596318636586,1.05399,7.30112,0.9971592150692714,0.2078003072152425,0.24629499840370647,0.6334747342051148,0.27535455572944223,0.11454465353389139,0.5029546974724,0.20407161110181157,0.38238574374546624,1.8082509291282371,0.453088329717669,0.12714418268346964,1.1163180582138126,0.2045002711006687,0.20483188498111832,0.5223845839500427,0.41270142613962507,0.2712586938168238,0.11389601892395189,0.07440798420446133,1.5513889877620386,0.06523394743210732,0.0816608912502074
3.0,0.6820151062389022,0.10550974244319686,1.580985,10.95168,0.9971592150692714,0.21548137473943244,0.23967460564533655,0.64908006487627,0.2846549351721836,0.11454465353389139,0.49801236571693336,0.23509774849156206,0.37471879761839805,1.8767871942426317,0.4895013420132704,0.1463196498094123,1.28467747329351,0.2045002711006687,0.20464106391640657,0.5230029821395874,0.41434047533405155,0.272502223049009,0.11389601892395189,0.04111805460806725,0.9934993602437316,0.0322819327406792,0.049097770036918786
4.0,0.6748718231197783,0.12318164124838789,2.10798,14.60224,0.9971592150692714,0.21820299769569088,0.23633397846363796,0.6539907859698867,0.2868330121737514,0.11454465353389139,0.4903343433126328,0.25096556331575787,0.3710514191068947,1.9048745329978753,0.4630897282285711,0.12601229676894463,1.1063801699081577,0.2045002711006687,0.20453928926666065,0.5222007036209106,0.415281734332038,0.27341690266521157,0.11389601892395189,0.0286551182559559,0.8055521970964037,0.021963784581315732,0.03532607892542536
5.0,0.6724345774039275,0.16561864536670118,2.634975,18.2528,0.9971592150692714,0.22010190115128928,0.22359942544430192,0.656144346489089,0.289586192839515,0.11454465353389139,0.4940271557926704,0.2599281790696529,0.3542054318835523,1.9211862830194077,0.43058150294141584,0.10595489754719614,0.9302774455878215,0.2045002711006687,0.2048330364076561,0.5233400464057922,0.42069462023765813,0.2782656385169027,0.11389601892395189,0.01881759973851961,0.6072418220865075,0.014514944319905161,0.023371944030700257
6.0,0.6646760597622025,0.15485482988814833,2.634975,18.2528,0.0,0.23023664525116147,0.20852395331598303,0.6688626991969497,0.2978444187840699,0.11454465353389139,0.5132817862576134,0.2756019245076027,0.3303404742325146,2.013614944553767,0.43058150294141584,0.10595489754719614,0.9302774455878215,0.2045002711006687,0.2048330364076561,0.5233400464057922,0.42069462023765813,0.2782656385169027,0.11389601892395189,0.0,0.0,,
7.0,0.642719450383588,0.3101648931779069,2.634975,18.2528,0.0,0.2387654097206959,0.22863647456281871,0.6793327828053971,0.3094288742042718,0.11454465353389139,0.5780686062126855,0.27965009168234695,0.3551751101919751,2.093967099730431,0.43058150294141584,0.10595489754719614,0.9302774455878215,0.2045002711006687,0.2048330364076561,0.5233400464057922,0.42069462023765813,0.2782656385169027,0.11389601892395189,0.0,0.0,,
8.0,0.6252327774285434,0.3980528476065253,2.634975,18.2528,0.0,0.2494603037558103,0.2118178877491783,0.6894077820770587,0.3188369752984854,0.11454465353389139,0.5630675736739478,0.29120814003794365,0.3357014982107753,2.1899516454332577,0.43058150294141584,0.10595489754719614,0.9302774455878215,0.2045002711006687,0.2048330364076561,0.5233400464057922,0.42069462023765813,0.2782656385169027,0.11389601892395189,0.0,0.0,,
9.0,0.6674063399076473,0.16792283555097792,3.16197,21.90336,0.9971592150692714,0.22038810023751307,0.22152238551159426,0.6564442699165888,0.29000591853593227,0.11454465353389139,0.491101256121142,0.264890082065574,0.35236491970129424,1.9251705938855352,0.4192083364100406,0.10041992216394999,0.8816807041429616,0.2045002711006687,0.2047030039418241,0.5224524736404419,0.42037302563418333,0.27811697093584575,0.11389601892395189,0.016874996382786348,0.6091412461246364,0.012061659151797147,0.022215726371474745
10.0,0.6624363033432983,0.25349776950407754,3.16197,21.90336,0.0,0.23100033149729526,0.22098479149159364,0.670748953567969,0.2992020960946424,0.11454465353389139,0.5077924951559288,0.28263947222228303,0.3502507203072357,2.0220284793608343,0.4192083364100406,0.10041992216394999,0.8816807041429616,0.2045002711006687,0.2047030039418241,0.5224524736404419,0.42037302563418333,0.27811697093584575,0.11389601892395189,0.0,0.0,,
