round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_f1_best,fed_auprc,fed_auprc_lift,fed_ece,fed_brier,fed_f1,fed_prevalence,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6883702922973298,0.11744628561322915,0.526995,3.65056,0.9971592150692714,0.6208668518051126,0.2719173166425951,0.1970208575556579,1.7264072014966272,0.39550724620709526,0.25691230901594253,0.19370011152237332,0.11388101983002831,0.5100585605518826,0.6477571820637814,0.1776637449766133,1.5598766897659433,0.2045002711006687,0.27882808181315644,0.511036217212677,0.3958842707205877,0.2574911371656125,0.11389601892395189,0.4896408867957162,10.416215508244932,0.3193231338660387,0.6259992235485234
2.0,0.6863160043354659,0.07876484773686701,0.8092425,5.632,0.5412350858791136,0.6355771735618354,0.28132307714511207,0.21439347963293304,1.8669991178577374,0.3799754682017228,0.24384774288324584,0.23448740034659737,0.11388101983002831,0.5019743445874911,0.6583045946705289,0.20678334920515717,1.8155450134146123,0.21446506818965091,0.2793424238562508,0.5101607441902161,0.3926685354845099,0.2546066346856357,0.11389601892395189,0.07137950158628603,0.8625956444011535,,0.07137950158628603
3.0,0.6789214433583413,0.10950227129774029,1.09149,7.61344,0.5412350858791136,0.6649991347222822,0.2959028416096497,0.2304910204108612,2.0368333413539106,0.3735604122857984,0.23790770801609842,0.24652650124966424,0.11388101983002831,0.5038184793088509,0.6580800347810565,0.20361095939377855,1.7876916271299097,0.22675031924934763,0.2810770005032713,0.5104650259017944,0.3920737456886006,0.2540166797530535,0.11389601892395189,0.045923567037507516,0.6040228666097391,,0.045923567037507516
4.0,0.6734383702773301,0.13687871128200335,1.3737375,9.59488,0.5412350858791136,0.6743868963534847,0.30429007861855134,0.24119699836689176,2.132575075991449,0.3670955239338135,0.23225473584988077,0.2620454727155283,0.11388101983002831,0.5025559152977475,0.6457849604258059,0.1708740537630211,1.5002636209533653,0.21736011477761835,0.27425487550594874,0.5115470886230469,0.3930760921187714,0.25487714063813693,0.11389601892395189,0.036084546713061716,0.5313982176157879,,0.036084546713061716
5.0,0.675857637712229,0.12448576312243383,1.618485,11.264,0.4559241291901578,0.6520059940026737,0.2819335674822502,0.22114418234019553,1.9460712018196589,0.349619645763952,0.22046643905687163,0.25617133736291975,0.11388101983002831,0.4696123206056362,0.6461436363060458,0.17341187826689905,1.522545563095456,0.23670626282729026,0.27564838191416113,0.5104244947433472,0.3914419046747372,0.2534730798371498,0.11389601892395189,0.05867613092449946,0.5384295810945332,0.05867613092449946,
6.0,0.670373410562698,0.17020373718199538,1.9007325,13.24544,0.5412350858791136,0.6659248994529229,0.2948915089034178,0.23430845076316165,2.0656627166341766,0.36524813394520994,0.23035386706219022,0.26518296921139484,0.11388101983002831,0.503272858231106,0.6421294933751193,0.1687184523475031,1.4813375738809276,0.24350388427538172,0.2719181130396084,0.5097380876541138,0.3904749766915378,0.252681379916457,0.11389601892395189,0.022736137755433438,0.37104035494849086,,0.022736137755433438
7.0,0.6594952166320248,0.18453390923426852,2.18298,15.22688,0.5412350858791136,0.6740468478888645,0.301939625266954,0.2431392532599901,2.1452485885072305,0.3619512168667697,0.22756985868638763,0.27768761580802787,0.11388101983002831,0.5000506111199953,0.6408080361066801,0.16621247201655628,1.4593352216071396,0.24769732180813378,0.26963812886142985,0.5095305442810059,0.38948722998547175,0.25183333169911704,0.11389601892395189,0.02193857952926887,0.390602711297106,,0.02193857952926887
8.0,0.6471652438707357,0.22462589145386508,2.4652275,17.20832,0.5412350858791136,0.6799384059019322,0.309479193155559,0.2489547818974586,2.199150796531457,0.35858355912165635,0.22458556316286357,0.2883847379797675,0.11388101983002831,0.5131445310440009,0.6396433967872097,0.16654968010902532,1.4622958877977128,0.25069595967195846,0.26854970124932104,0.5078365802764893,0.3876687103521603,0.2503809989010102,0.11389601892395189,0.019343971964971902,0.3738936124718748,,0.019343971964971902
9.0,0.6359598780388886,0.32842612146217265,2.747475,19.18976,0.5412350858791136,0.6858268382536045,0.31669545675778293,0.2550304873482924,2.252280558716331,0.3512514121931305,0.21887062343272287,0.2963211606633543,0.11388101983002831,0.5162680385714624,0.6329252987861317,0.15925436255908054,1.398243451032422,0.2516566379769975,0.26455337051169164,0.5063672661781311,0.3873707028566618,0.2501342221292315,0.11389601892395189,0.01673382059030747,0.35252112822490744,,0.01673382059030747
10.0,0.6594808781707872,0.22770084484232428,3.27447,22.84032,0.9971592150692714,0.6534276540531054,0.2806840711911329,0.225000680343422,1.9792329718768473,0.3436799064292673,0.2152843938422019,0.25960042699550157,0.11388101983002831,0.4763934608990943,0.6316310110807142,0.15697450245123043,1.378226420328545,0.2565583237089589,0.2638122838178929,0.5038558840751648,0.3843478192587229,0.24762435181674106,0.11389601892395189,0.01868483663125031,0.6335155247361399,0.03494029376527084,0.010874113928276318
11.0,0.6555759263104053,0.25779204514186005,3.5567175,24.82176,0.5412350858791136,0.669133850915154,0.29587044608599805,0.24091396086450528,2.125065224710998,0.34959338644708815,0.2186195473069054,0.2788166558854583,0.11388101983002831,0.5104601419699955,0.6351995731780868,0.1588944126080558,1.39508311273065,0.2598689736267428,0.2662479779236845,0.5041792392730713,0.3835919317784454,0.24693774598757984,0.11389601892395189,0.009640762721016508,0.23349533620057628,,0.009640762721016508
12.0,0.640256087535163,0.3267512782810331,3.838965,26.8032,0.5412350858791136,0.6767227143581938,0.30203491323764003,0.24933197746194247,2.2011360736918157,0.3505423164448349,0.21911158998174543,0.284466171374053,0.11388101983002831,0.509786168914341,0.6303765929834811,0.1571380090026785,1.379661997734962,0.26049254249046133,0.26376146788990823,0.5032303929328918,0.38214696911736185,0.24584443400670397,0.11389601892395189,0.011604207067795549,0.2988855482690269,,0.011604207067795549
13.0,0.6245939802791769,0.4767738082799117,4.1212125,28.78464,0.5412350858791136,0.6822335111785303,0.3095721328221247,0.25540540304592535,2.256800191745978,0.3427087323214222,0.21391826517427123,0.2870201607776653,0.11388101983002831,0.5301810572066321,0.6384465053767624,0.16265068417892173,1.4280629447419335,0.2662214601570255,0.2691018379378107,0.5076197385787964,0.38042625728476187,0.24433961781700306,0.11389601892395189,0.012937800200416743,0.35393525823019445,,0.012937800200416743
14.0,0.612453575742843,0.4908152646562976,4.40346,30.76608,0.5412350858791136,0.6894450895781513,0.3155819800073229,0.2642070336243333,2.3360031198505866,0.3539409013098615,0.22106871324221217,0.2921885975655313,0.11388101983002831,0.5300561271507033,0.6476616305382173,0.17182355526987442,1.5086001854428346,0.2681330667151427,0.27963886909004515,0.5081653594970703,0.3806364196458828,0.24441280894727035,0.11389601892395189,0.01405460763636936,0.4090745000867173,,0.01405460763636936
