round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best_threshold,fed_brier,fed_auprc_lift,fed_auprc,fed_f1_best,fed_ece,fed_auroc,fed_prevalence,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6874200791207874,0.11131168192642457,3.66096,3.66096,1.0,0.4983727671618668,0.22604111075947456,1.8256075036675343,0.20773020116999394,0.2865171152657863,0.3574790534659965,0.6539082078728,0.11492950654582076,0.2704541190739204,0.6513775984957525,0.20824978480405265,1.828420227252197,0.2642993594785931,0.26685133887349954,0.5026795864105225,0.35841476809721096,0.22618243966863782,0.11389601892395189,0.025206531963783748,2.7362016341940034,0.021888032362203845,0.027581456933608882,0.012594185625524657
2.0,0.6582865124911217,0.2493526373370858,7.32192,7.32192,1.0,0.5184497753700311,0.22269639839537578,1.9095352476764071,0.2174096397825037,0.2915249344422394,0.35120148224472886,0.661535929708828,0.11492950654582076,0.2740727232091592,0.6574732687893278,0.21330781040334573,1.872829379100343,0.26679973386560213,0.27169612239514646,0.5290639996528625,0.3521146593729127,0.22324134127900266,0.11389601892395189,0.016383746458003064,1.9076656959623506,0.01558667836746432,0.017023063889567973,0.005820087657475897
3.0,0.6503557015403065,0.2949296976968664,10.98288,10.98288,1.0,0.5175096798643154,0.21902859636408034,1.9427587684396268,0.22151248049800373,0.29430579733730355,0.3456616276933288,0.6651271221559306,0.11492950654582076,0.2775502138529283,0.6607241666147537,0.21652170799454404,1.9010472011239927,0.27093537211802654,0.2736915319074943,0.5706538558006287,0.34643247366818497,0.21954716930749282,0.11389601892395189,0.01131297381223402,1.40524214967445,0.011293337297581115,0.011380770230201526,0.005293008964764693
4.0,0.6461757815074083,0.28622639521563253,14.64384,14.64384,1.0,0.547487609487961,0.22963506989509103,1.9916737517695955,0.22705337444742654,0.29807758058422756,0.36181516063841357,0.6683754710033646,0.11492950654582076,0.278925511000479,0.6624070104450092,0.21860532898097812,1.9193412644821273,0.27174849267872525,0.27661016949152545,0.5355331301689148,0.362532831132607,0.2302323324937257,0.11389601892395189,0.009540284970731245,1.250829016883472,0.009381031556811059,0.009695991417274855,0.004447167797507973
5.0,0.6466557478672516,0.2653082953312763,18.3048,18.3048,1.0,0.5470991577289077,0.22999784724292255,1.9916812622574571,0.22703852413038186,0.2978876246907094,0.3623221816789558,0.6684511461782725,0.11492950654582076,0.27787044107185277,0.6623647940893488,0.2185628935172577,1.9189686837359226,0.2720825274016763,0.2761255115961801,0.536815881729126,0.3630428646805843,0.23060314740671234,0.11389601892395189,0.008434116679116473,1.1665670201700777,0.008598279603113724,0.008338614946462774,0.005073229452608859
6.0,0.6444556722993668,0.2484227062283857,21.29488,21.29488,0.8167475197762336,0.5561121156474824,0.22796879284732116,2.03776182261653,0.23203138074178614,0.2985428270783896,0.3591077635749379,0.6711139913387544,0.11492950654582076,0.2798799128385605,0.6638152973700516,0.22006047269403278,1.9321173362605997,0.27357180993059266,0.27865843484064745,0.5652741193771362,0.36059950439854604,0.22848796437289975,0.11389601892395189,0.008405673822336921,0.9379196858499199,0.007973765020387536,0.008883250805892022,
7.0,0.6448796464156197,0.29974589110076366,21.31536,21.31536,0.005594161094357764,0.5228001941108001,0.20747149792568254,2.1605177027018394,0.24600425606912693,0.3104340497745228,0.3290435543128132,0.6842654059448632,0.11492950654582076,0.2940164381771896,0.663766279211547,0.22004284420360354,1.9319625592052136,0.2735334971685009,0.27906976744186046,0.564145565032959,0.36059339042188443,0.22849102741013716,0.11389601892395189,0.009954525493033712,0.00634979922324419,0.009254866007895967,0.010841709128571537,
8.0,0.646538070400396,0.28826777180985486,24.97632,24.97632,1.0,0.5503600450384564,0.22802751779917746,2.075797316379214,0.23624099071161514,0.3016399721518782,0.3588206714595043,0.6729403735314966,0.11492950654582076,0.2818604415655033,0.6623704162437292,0.2191941954842086,1.9245114759503934,0.2702702702702703,0.2786974219810041,0.5485302805900574,0.3590780602995586,0.2288746642029979,0.11389601892395189,0.0079836552953479,1.1639676711001812,0.007397583340026766,0.008467261924074116,0.003946772044974727
9.0,0.644145880921443,0.3277957188790033,24.9968,24.9968,0.005594161094357764,0.5507742115085399,0.21083179784588646,2.191953286796939,0.24884925515584594,0.31155125918361387,0.3345907126030015,0.6845696504185227,0.11492950654582076,0.292155334232621,0.6624959860578603,0.21926242432981335,1.9251105209938406,0.271850699844479,0.2783920905424743,0.5392619967460632,0.3588512335991642,0.2286165735915713,0.11389601892395189,0.011222672878151953,0.007357219234108925,0.010024415358372701,0.012748454413906582,
10.0,0.6398130251352139,0.33252744514850335,27.98688,27.98688,0.8167475197762336,0.5421417384386844,0.21692043063232191,2.0910138862871297,0.23839797289995115,0.30270230001507775,0.34247492996868856,0.6753995208192767,0.11492950654582076,0.28376755422820726,0.6637817024877379,0.22188655931023196,1.9481502637803794,0.2732089868588385,0.28151774785801714,0.5573021173477173,0.35447817568141465,0.22504065853063873,0.11389601892395189,0.007977017063583029,1.0114279654808342,0.007283663343684736,0.008786680345047553,
