round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_auprc,fed_auprc_lift,fed_f1,fed_auroc,fed_f1_best_threshold,fed_ece,fed_prevalence,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6881688991270387,0.09294709794164738,0.91652,3.66096,1.0,0.2853725946754966,0.20985151626810977,1.9310690932693888,0.2650910361430839,0.6643612915615728,0.5005367696810563,0.3691709977652916,0.10972615675165248,0.23025438822340644,0.661631868459257,0.21138819892014757,1.8559753090342077,0.2713780918727915,0.27459487048615544,0.49432373046875,0.36545804470239035,0.23080265021886986,0.11389601892395189,0.024817245762865807,2.69123503304354,0.021975159646561368,0.026857493208819062,0.009154561628225848
2.0,0.6640708400328983,0.1736559187750758,1.83304,7.32192,1.0,0.2940966501181874,0.21604080877526072,1.9857035337199997,0.2698984602003705,0.6715331243398842,0.5648478138660686,0.37581846714019773,0.10972615675165248,0.23542530784611637,0.665080984874949,0.2163205928771964,1.8992814228356232,0.27357065803667746,0.28239026969857217,0.5311502814292908,0.3725322434302094,0.23631173239920622,0.11389601892395189,0.018179315657242293,2.1110984680244655,0.01734183484095968,0.01885330707127685,0.006224324943695124
3.0,0.6495005148971638,0.28131905468162655,2.74956,10.98288,1.0,0.2961020892901352,0.2175438158672801,2.000776877371408,0.27147772682598104,0.6738502559842598,0.5607613221584794,0.34874130267090564,0.10972615675165248,0.2186044188137137,0.6686918762730478,0.22112122621692698,1.9414306865683262,0.27739993310291,0.28175647596620035,0.5456975698471069,0.34590700515560663,0.22004693266601724,0.11389601892395189,0.012160758770339623,1.51362721305577,0.012222708976425798,0.012186366593656862,0.005022965179581917
4.0,0.6497054147151882,0.3768997215464931,3.66608,14.64384,1.0,0.293750415385704,0.21909384054802822,2.0127510954470957,0.2744564758085093,0.6754326822787657,0.5664040859255132,0.3577682134271756,0.10972615675165248,0.2236140136848037,0.669256338062954,0.222439514770612,1.9530051785140476,0.2776582493488846,0.2846124180485924,0.5260336399078369,0.3546621245390888,0.22466011399348357,0.11389601892395189,0.010654607139477088,1.4013075003413178,0.010598504620968105,0.01074664120338601,0.004599732863565248
5.0,0.6446617098551239,0.31627315355409447,4.5826,18.3048,1.0,0.2947567923505954,0.22026310219001574,2.0206621913047966,0.2718058496807423,0.6770977311437344,0.5555472119371584,0.35114153779674934,0.10972615675165248,0.21943961477871538,0.6693622177873018,0.22253173590446995,1.9538148743640802,0.2745438748913988,0.2809393459155741,0.5497499704360962,0.3481002161445721,0.2208488069978053,0.11389601892395189,0.008918607510994976,1.2375790474325186,0.008909043808648412,0.008964673154237417,0.004034388451656124
6.0,0.6468732346257242,0.4320810997303278,5.49912,21.96576,1.0,0.29539609399813666,0.22093710762608704,2.0276448917174985,0.2763793663364878,0.6772213502442536,0.5520115549839404,0.34950689729520046,0.10972615675165248,0.21869719071227997,0.6699835411430513,0.22287731532853497,1.9568490403281755,0.2790431498225936,0.28084913156998526,0.49839821457862854,0.3462130520394358,0.21997065987244863,0.11389601892395189,0.008943141927144392,1.3062154543122233,0.008581716220541559,0.00925056574153498,0.004066464977772952
7.0,0.6452724745839786,0.3261373682479941,6.41564,25.62672,1.0,0.2971815255411158,0.22265433688927094,2.03750215292337,0.2806797166175594,0.6785660915211316,0.5330174926639091,0.3406851727350125,0.10972615675165248,0.2108397234347031,0.6706516237559917,0.2236734419770402,1.9638389830498504,0.2805909837100644,0.28235604860010566,0.5073750615119934,0.3371140815651742,0.212041602484696,0.11389601892395189,0.008362488485656148,1.29225742068229,0.008004757121148167,0.008669031950752571,0.004329868021320916
8.0,0.6430242349627775,0.3339879475276312,7.33216,29.28768,1.0,0.29860322427282004,0.22612037492330372,2.0700613841393087,0.2809265439412026,0.6806983129564467,0.5391103957353764,0.34123202659140445,0.10972615675165248,0.21273765629606906,0.6705678059678065,0.22245325114214587,1.9531257830063173,0.2779951100244499,0.2835195530726257,0.5275121331214905,0.33774425695260346,0.2142361337603927,0.11389601892395189,0.008054373738145361,1.3208972636712133,0.007211858837378833,0.00875687811862249,0.004485456115310291
9.0,0.6432018053397142,0.4179953395465582,8.24868,32.94864,1.0,0.3011820888337793,0.22674083437929057,2.072361414541739,0.28179031818410477,0.6823103018743133,0.5506001922763066,0.3378328515320482,0.10972615675165248,0.21078745070583368,0.6711928816096268,0.22292534979049777,1.9572707799325675,0.2798191723658282,0.28398322199782505,0.551774263381958,0.33458112786209065,0.21254625749309886,0.11389601892395189,0.008515995224087872,1.482404231156579,0.007319488950305679,0.009541364206543267,0.0038667823591248137
10.0,0.6411411700788466,0.43955244839166496,9.1652,36.6096,1.0,0.3021615137766903,0.2292214371571643,2.09620672280788,0.28013128987106073,0.6841960675792321,0.5540142692763887,0.34981646149609497,0.10972615675165248,0.2184316436731002,0.6694662276433401,0.22252845789900896,1.9537860936789258,0.27858310626703,0.28141302727679235,0.5534994006156921,0.346825839057201,0.2205000360284741,0.11389601892395189,0.007940173149954934,1.4737886384646117,0.006675244694161976,0.009043287038138894,0.00406889565776275
