round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_brier,fed_f1_best,fed_auprc,fed_ece,fed_prevalence,fed_f1_best_threshold,fed_auprc_lift,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6885238030534533,0.1061758014627858,0.08724,3.65056,0.9971592150692714,0.16440724080036095,0.25810532457149177,0.26036971157752414,0.1881725019479813,0.3961713740532731,0.11373363544813696,0.5108122274182054,1.6807463123595205,0.6027800214426445,0.5746501752480738,0.18114030498678185,1.5904006715785985,0.0,0.21977782618165978,0.48585352301597595,0.37193994573932676,0.23925148532506024,0.11389601892395189,0.9990475640674822,8.60490388609469,0.687309609392269,1.2742998347601617
2.0,0.6875941184107714,0.0702070772887061,0.13276,5.632,0.5412350858791136,0.19918540658031658,0.2488173134270788,0.28716258856986693,0.21221205758962722,0.38537857420780025,0.11373363544813696,0.5039605420544249,1.8845146545207943,0.6462220629939861,0.6618953692974852,0.21559180236653824,1.89288268723851,0.0,0.2784026996625422,0.48514729738235474,0.371330372451074,0.2386688973248876,0.11389601892395189,0.16552283484522445,0.8247759853256866,,0.16552283484522445
3.0,0.681969863004387,0.10179293897219102,0.17828,7.61344,0.5412350858791136,0.20745656171789065,0.2481267072877666,0.2945005222432204,0.2226983070464851,0.3855280481233878,0.11373363544813696,0.505028251986219,1.9805892250939634,0.6591143565159094,0.6629661512673767,0.2155667470505808,1.8926627031144452,0.0,0.2803481447549244,0.4848027229309082,0.37053967975359375,0.2380295897333193,0.11389601892395189,0.19116842245116122,0.8639563650940545,,0.19116842245116122
4.0,0.6776786039100012,0.09862819128890828,0.2238,9.59488,0.5412350858791136,0.22768822634496358,0.24369533457319717,0.3011834103435148,0.23098812339210428,0.38014569123015785,0.11373363544813696,0.5054875738517365,2.059648589964978,0.6680028013867326,0.6625799042416595,0.2151066428534002,1.8886230167274451,0.0,0.2781880304199273,0.48568400740623474,0.3711385621692869,0.23840670416368964,0.11389601892395189,0.17269123881300863,0.8340849216328934,,0.17269123881300863
5.0,0.6824573706685496,0.09634318838265765,0.26552,11.264,0.4559241291901578,0.24166112869339593,0.21714995065543866,0.2831898633557651,0.21274315565077648,0.34496952175966505,0.11373363544813696,0.5144992169435438,1.8939964824380777,0.6485309164379331,0.665479455066663,0.2185433620782334,1.9187971989095975,0.0,0.2806183115338882,0.4867956340312958,0.37104070460054184,0.2383087141022086,0.11389601892395189,0.08418660848343198,0.35131425266990846,0.08418660848343198,
6.0,0.6803728493673358,0.1073396666683736,0.31104,13.24544,0.5412350858791136,0.22860546053827863,0.2407353928787306,0.2942572036729741,0.2239644694116292,0.3762517309684798,0.11373363544813696,0.5009460438132917,1.9961870354910822,0.6622340979980221,0.6659989647204291,0.21863926027303326,1.9196391791272196,0.0,0.28115621544779656,0.48712393641471863,0.37245268087855304,0.23947951887893265,0.11389601892395189,0.12173943178872652,0.6450645363656804,,0.12173943178872652
7.0,0.67257326600934,0.13142328304732315,0.35656,15.22688,0.5412350858791136,0.23750843887236003,0.2383244959351034,0.3014039624650562,0.23253286737596443,0.3735607585251662,0.11373363544813696,0.49944774804623704,2.0861272948452387,0.6706237202906213,0.5605490465453644,0.18136173371693248,1.5923448021306812,0.0,0.2254738015607581,0.4871877133846283,0.3730859743615234,0.24008266263239497,0.11389601892395189,0.1171055954188461,0.6509553326759487,,0.1171055954188461
8.0,0.66426458005533,0.13631672096033176,0.40208,17.20832,0.5412350858791136,0.25828365363157096,0.234900153086745,0.30763606031382196,0.2378406987028946,0.3699042059308573,0.11373363544813696,0.49714799291357653,2.1297329394619586,0.677370830932333,0.5964413444398324,0.20101061653928098,1.764860777737063,0.0,0.27539033457249074,0.48802101612091064,0.3739727540557113,0.24072290120519163,0.11389601892395189,0.1014032849976101,0.6228243460063823,,0.1014032849976101
9.0,0.6587601177556099,0.2118192785820973,0.4476,19.18976,0.5412350858791136,0.26434501641878255,0.23417490638706723,0.3140400057892449,0.24295323242809494,0.36947418522551156,0.11373363544813696,0.4967424186848832,2.181639832021362,0.6840553582481705,0.5965992918394579,0.20231786737054053,1.776338359162735,0.0,0.27755775577557756,0.4866951107978821,0.372611996063355,0.2396701311390807,0.11389601892395189,0.08622201953232715,0.5991416437609587,,0.08622201953232715
10.0,0.6782305371551476,0.13840365050102338,0.53484,22.84032,0.9971592150692714,0.21980475598897167,0.23416938596259723,0.2835558048567216,0.21360121783457553,0.367520156293012,0.11373363544813696,0.49175792048269773,1.902806745273835,0.6502232863661516,0.5588586102968052,0.18976190867891796,1.666097818621927,0.0017660044150110375,0.25288683602771367,0.48633021116256714,0.3721593548195718,0.23931593848500063,0.11389601892395189,0.08927359788286925,1.0897676297463477,0.09937300577266353,0.0826970937552735
11.0,0.6752074819683276,0.1308669383048589,0.58036,24.82176,0.5412350858791136,0.2567504192654577,0.23296397318042422,0.29648094754772386,0.22550313400016217,0.36746436433467083,0.11373363544813696,0.4959589253251947,2.0130252341153536,0.6641358719083134,0.5701791318781223,0.1935877301196908,1.699688294188306,0.0008833922261484099,0.25207860922146635,0.4878784418106079,0.37372463691233987,0.24050853093460797,0.11389601892395189,0.06464881716979368,0.5109622015734203,,0.06464881716979368
12.0,0.6639867370012807,0.18573580423226324,0.62588,26.8032,0.5412350858791136,0.26584582740724055,0.2344128382992969,0.3041842419617098,0.2351180383518566,0.3700036721272171,0.11373363544813696,0.506225931868032,2.1044409583354042,0.6744375554395481,0.5569355699602067,0.18648541996771506,1.637330450436823,0.0008833922261484099,0.2380546075085324,0.48714444041252136,0.3728054655225811,0.23982551547013986,0.11389601892395189,0.05514487618171645,0.4635276038898155,,0.05514487618171645
13.0,0.6543050012883704,0.24018497371250236,0.6714,28.78464,0.5412350858791136,0.27667674499252354,0.23085671048564957,0.310376628355303,0.24036536539468406,0.36628192139101046,0.11373363544813696,0.506310898602414,2.155794108419109,0.6781296033834657,0.5173060327875008,0.170093430876016,1.4934098002985248,0.007039155301363837,0.20756416028815847,0.48880109190940857,0.3742775325521596,0.240934521629791,0.11389601892395189,0.04542608939719666,0.4152978371712379,,0.04542608939719666
14.0,0.6445693419192362,0.27677262076360176,0.71692,30.76608,0.5412350858791136,0.28001435253769097,0.22354854646308836,0.3136220699181358,0.2445156979945478,0.3570083219779342,0.11373363544813696,0.500779101056725,2.187138330846522,0.6814528808876111,0.4726314277727098,0.1508090858669032,1.3240944441403002,0.004407227853680035,0.20450951154489178,0.48500463366508484,0.3731259361259698,0.24010744370022274,0.11389601892395189,0.04562677480437576,0.4564824588596821,,0.04562677480437576
15.0,0.66759027723659,0.1940758182286853,0.75864,32.4352,0.4559241291901578,0.2585612619352466,0.2100812865933859,0.283362756449006,0.21409924462403923,0.335249967208134,0.11373363544813696,0.49444386161383597,1.9067993989348677,0.6510513952696786,0.4756377618825864,0.15257950046052107,1.3396385747459536,0.007042253521126761,0.20452079566003617,0.48512837290763855,0.37320815050234174,0.24016106227235498,0.11389601892395189,0.07231069673885729,0.43544914748054,0.07231069673885729,
16.0,0.6643540594702219,0.2121651675762019,0.80416,34.41664,0.5412350858791136,0.2739958605899527,0.22699875347323786,0.2976099400569164,0.22936358619420547,0.3607936692625764,0.11373363544813696,0.504332716870314,2.0481919327005254,0.6651980123477439,0.43855869998522673,0.13487244504451293,1.1841717236365124,0.006164685160722149,0.20453723788864786,0.4835984408855438,0.3725781882527406,0.239739373079508,0.11389601892395189,0.03534302905626072,0.37643823359394446,,0.03534302905626072
17.0,0.6512495012604018,0.2693748143311004,0.84968,36.39808,0.5412350858791136,0.2796532506092491,0.22776804906713882,0.3052356965205902,0.23669845264426922,0.36268174005269044,0.11373363544813696,0.5104993915040897,2.118604602900245,0.6742200066350665,0.44634911098930896,0.13768392968965143,1.2088563848889458,0.007039155301363837,0.2045002711006687,0.48356300592422485,0.37265174762460734,0.23978576192144643,0.11389601892395189,0.04590135617721206,0.5026293392875232,,0.04590135617721206
18.0,0.6393658832046991,0.28105645897801196,0.8952,38.37952,0.5412350858791136,0.28862523972396814,0.2254514429419293,0.31439183669409426,0.24320083306574108,0.36002118016282714,0.11373363544813696,0.5147049447872338,2.1825892974489163,0.6815790977304307,0.4461327835401792,0.1364989732171235,1.1984525403672235,0.007036059806508356,0.20450951154489178,0.48387154936790466,0.3730244807573886,0.24006455326643036,0.11389601892395189,0.036800051827073556,0.42205780927906744,,0.036800051827073556
19.0,0.6292536222090639,0.40604373186790105,0.94072,40.36096,0.5412350858791136,0.28853008906368566,0.22698318860538466,0.3213961591370338,0.24853870904420108,0.3625847335514675,0.11373363544813696,0.5217994423217373,2.225013364469305,0.6863744525664351,0.4451486053367598,0.13703603283417237,1.2031678905798369,0.007036059806508356,0.2045002711006687,0.48324480652809143,0.3727183377753567,0.23984236959047026,0.11389601892395189,0.028411304901263923,0.3488408812190755,,0.028411304901263923
20.0,0.6609702435647693,0.26978823020061266,1.02796,44.01152,0.9971592150692714,0.25853848372395366,0.22438376163517515,0.2816598445656919,0.21307740577041226,0.3564099212254942,0.11373363544813696,0.49520183486858327,1.8979006271065437,0.6497937772799804,0.47579185660052714,0.15201133344713358,1.3346501035179394,0.01568627450980392,0.20455572629485672,0.4840568006038666,0.37296554766907725,0.23995940649088993,0.11389601892395189,0.036311602483767975,0.7286462338233832,0.05129043384998129,0.0275866055437115
21.0,0.6576692783173083,0.29776253761486726,1.07348,45.99296,0.5412350858791136,0.2701756360630517,0.2291324696741021,0.2979349610191627,0.2301136765504714,0.3642341231501474,0.11373363544813696,0.518339298384157,2.0583388843795962,0.6663235397026981,0.4795875010271726,0.15594533382778628,1.3691903834839971,0.018252933507170794,0.2045649717514124,0.48436903953552246,0.3733265658552642,0.24022061428313865,0.11389601892395189,0.01884045913430721,0.25144185044337064,,0.01884045913430721
22.0,0.645548729157339,0.3711021565941342,1.119,47.9744,0.5412350858791136,0.2760885907139816,0.22334219326273932,0.304777647194285,0.23728914232618498,0.3567434037770149,0.11373363544813696,0.5190710658235672,2.1257815197453596,0.6738765527801698,0.4955822039537901,0.1619702077822383,1.4220884040765767,0.021607605877268798,0.20453723788864786,0.4841320812702179,0.37292011195492913,0.23988597411242257,0.11389601892395189,0.017354634134503076,0.24210735608357936,,0.017354634134503076
23.0,0.6373796589628972,0.4190886113136784,1.16452,49.95584,0.5412350858791136,0.2828044074348835,0.22463850739065686,0.3118375973893306,0.24275587808336663,0.3590142164259309,0.11373363544813696,0.5197901881233323,2.176278256057124,0.6825968957521416,0.5252636526865941,0.17572545427472522,1.5428586173152963,0.039965986394557826,0.22406639004149378,0.4892585277557373,0.3739227708947515,0.2405827829116655,0.11389601892395189,0.016529526158124457,0.24526721192523837,,0.016529526158124457
24.0,0.6264401545388356,0.46035528161144024,1.21004,51.93728,0.5412350858791136,0.2914382769039865,0.21882622160066492,0.31843023434198353,0.24967995818638405,0.3509278908505105,0.11373363544813696,0.5140568906795853,2.233703509295096,0.6868104217569566,0.5318171395291716,0.17773892160672985,1.5605367359275808,0.04713804713804714,0.22939919259083352,0.4898350238800049,0.3741517740023971,0.24073039678582425,0.11389601892395189,0.01427688441649927,0.22442161134677008,,0.01427688441649927
25.0,0.6579135526034954,0.392830680846188,1.25176,53.6064,0.4559241291901578,0.2610678696570048,0.2010464404986215,0.2822453443160299,0.21468044732550756,0.32024365927450066,0.11373363544813696,0.4835844816450565,1.9128347331214464,0.6508983135913136,0.5328594593425121,0.17799998569407888,1.5628288624638325,0.057380457380457384,0.23127915541369998,0.49026384949684143,0.37427853757244717,0.240813512444663,0.11389601892395189,0.04078011200205212,0.3522567217296455,0.04078011200205212,
26.0,0.6552153349520011,0.3444345550480551,1.29728,55.58784,0.5412350858791136,0.2776666508411493,0.22094447366164496,0.2968837908633653,0.22786758597805334,0.35297307369654685,0.11373363544813696,0.5065778932643891,2.0332205533741265,0.665571717079347,0.5191605029197806,0.1728546713827192,1.517653321123839,0.04715789473684211,0.2203985932004689,0.4895588457584381,0.37385623399489804,0.24052287408260653,0.11389601892395189,0.012107369226231604,0.19676709818304516,,0.012107369226231604
27.0,0.6416279484617162,0.4257255309299034,1.3428,57.56928,0.5412350858791136,0.2808411744415661,0.2172280803125296,0.3062161965652713,0.23842038827287085,0.34781061757022036,0.11373363544813696,0.5237884889924215,2.1397475020620726,0.6742308415014919,0.5019300429306705,0.1631950527989557,1.4328424675485862,0.05355648535564853,0.20459894984609817,0.4853365421295166,0.3741364723255292,0.24076368025173064,0.11389601892395189,0.012338110601649285,0.2071944391936995,,0.012338110601649285
28.0,0.6274218860385216,0.4981435908023072,1.38832,59.55072,0.5412350858791136,0.29068416445572337,0.20968924137004144,0.3168251475664144,0.24677727801312185,0.33717552590214867,0.11373363544813696,0.5107534659795709,2.217453254147609,0.6808823589642385,0.4979400953427027,0.16188212801556073,1.421315069174183,0.06055578598092078,0.20454853732423023,0.4848780035972595,0.37430792151486675,0.2408895558965307,0.11389601892395189,0.010285651042012374,0.18042906367918476,,0.010285651042012374
29.0,0.6207924368125386,0.6225705083354687,1.43384,61.53216,0.5412350858791136,0.2933610323257963,0.2165868389123107,0.318625949198976,0.25161628809643755,0.3473930020421773,0.11373363544813696,0.528431755257067,2.264417458406987,0.6870077902317178,0.48432528299390165,0.15283523226959547,1.3418838842088345,0.0628099173553719,0.20452799493876814,0.4845689833164215,0.3746959121107629,0.24121697225571276,0.11389601892395189,0.009174068765990237,0.16971525002736598,,0.009174068765990237
30.0,0.6532910666279726,0.4601800025598822,1.52108,65.18272,0.9971592150692714,0.25809026366551235,0.20631945576703944,0.2831542530674609,0.21431824291534557,0.3294035700306461,0.11373363544813696,0.48301903580100636,1.9097614838293846,0.6493753910904155,0.47347522780894247,0.14575200578094893,1.2796935938407752,0.058970099667774084,0.20454648167397296,0.48428431153297424,0.3748441709324472,0.24136860692466947,0.11389601892395189,0.016925722318783455,0.49576047132723033,0.027211107586602508,0.011435868322549177
