round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_f1_best_threshold,fed_ece,fed_auroc,fed_brier,fed_auprc_lift,fed_auprc,fed_f1_best,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6898551752924448,0.09849793069317102,0.9136,3.65056,0.9971592150692714,0.10972615675165248,0.49634189787885097,0.38349568566361947,0.6206370377981687,0.24336006852082298,1.744711083473531,0.19429283118658636,0.27115171204911714,0.21585315623806972,0.41663606273701836,0.11253943212663502,0.9880892518445034,0.19620284054858705,0.20475435816164816,0.49591556191444397,0.3945624207468155,0.2567964933239048,0.11389601892395189,0.027116467373851545,2.9182898150756955,0.022966776914941575,0.029856815446563885
2.0,0.683451140535783,0.11940476471340122,1.8272,7.30112,0.9971592150692714,0.10972615675165248,0.5389997609651499,0.3868948552306058,0.6539855517622162,0.24420229541131308,1.906332707513767,0.2092196321742969,0.28968878659346986,0.2532001852744519,0.48028880203887425,0.14418233765046967,1.265912004762343,0.2040315990193408,0.20453723788864786,0.49765390157699585,0.4030789660710899,0.26311986900804646,0.11389601892395189,0.021071786947344844,2.408332916442305,0.016977755536895015,0.023792049948674048
3.0,0.6749715401837085,0.16820796763966803,2.7408,10.95168,0.9971592150692714,0.10972615675165248,0.5620495916970091,0.3670231591456335,0.6647686569221588,0.2302374087520817,1.9683154020257423,0.21557406060614712,0.2943273410796389,0.26737159446165276,0.4987475898150457,0.1583508682994838,1.3903108273276374,0.20395516267201313,0.2046423066461148,0.4988548755645752,0.4060261687929913,0.2652310566073121,0.11389601892395189,0.014282577944703691,1.7553490169811994,0.011851666353581059,0.01592002912377819
4.0,0.6645771361304956,0.23619251812442443,3.6544,14.60224,0.9971592150692714,0.10972615675165248,0.5600600175843286,0.36715082342909083,0.6713144426679875,0.2297524261778506,2.0060139717939394,0.21902223570297616,0.2948840774698607,0.2709423452494084,0.4780532803538986,0.15054328302964365,1.321760711672996,0.19467264127458303,0.20460218762764942,0.4952821135520935,0.39928305161977856,0.2600838273306118,0.11389601892395189,0.012440322594231107,1.618383236695081,0.011085699868324956,0.013381784072494986
5.0,0.6590893468733928,0.2310746181578275,4.568,18.2528,0.9971592150692714,0.10972615675165248,0.5547982384076385,0.3592770246981749,0.6746438318105064,0.22467302158250663,2.0285141464848775,0.22133889376406612,0.29669019527128704,0.2708710080466539,0.46170800849286653,0.12257616172902504,1.0762111168334063,0.20378711278610168,0.20460778935820076,0.4995063245296478,0.41280227045785123,0.2719276824493265,0.11389601892395189,0.009786511491166891,1.351122495601885,0.009343512808713296,0.010105507058052363
6.0,0.6527661674360653,0.30470723748085826,4.568,18.2528,0.0,0.10972615675165248,0.5215298718501084,0.34482296795581635,0.6891968025200155,0.21598529053910012,2.152624293248577,0.23243171507092744,0.3095384080830585,0.2860078803697619,0.46170800849286653,0.12257616172902504,1.0762111168334063,0.20378711278610168,0.20460778935820076,0.4995063245296478,0.41280227045785123,0.2719276824493265,0.11389601892395189,0.0,0.0,,
7.0,0.633163021047833,0.3683620489547909,4.568,18.2528,0.0,0.10972615675165248,0.558037498200281,0.34047578625735114,0.7002829004412237,0.21117370467034316,2.257083564801713,0.24280530876814524,0.3203909598186548,0.2961664800408216,0.46170800849286653,0.12257616172902504,1.0762111168334063,0.20378711278610168,0.20460778935820076,0.4995063245296478,0.41280227045785123,0.2719276824493265,0.11389601892395189,0.0,0.0,,
8.0,0.6160956266874705,0.5131025664961875,4.568,18.2528,0.0,0.10972615675165248,0.5846762022039296,0.34164620800917633,0.7078343496742825,0.21374676415715568,2.3567562463160816,0.2534768723115827,0.3287244880847414,0.3041917660038505,0.46170800849286653,0.12257616172902504,1.0762111168334063,0.20378711278610168,0.20460778935820076,0.4995063245296478,0.41280227045785123,0.2719276824493265,0.11389601892395189,0.0,0.0,,
9.0,0.6496628487206274,0.2653913668664334,5.4816,21.90336,0.9971592150692714,0.10972615675165248,0.5586490181939272,0.34881646211816336,0.680484698188423,0.21768556839710887,2.0923688829082336,0.22638773213544025,0.30157361993762416,0.277349751339538,0.46463838077134856,0.12201950234122212,1.071323681846108,0.20218859138533177,0.20473153299859773,0.49630504846572876,0.41189573268488633,0.2711856577213362,0.11389601892395189,0.009102406074121418,1.3219160253647715,0.007984525340193588,0.009936569446123726
10.0,0.6482511458566234,0.34165425231905666,5.4816,21.90336,0.0,0.10972615675165248,0.5597987126471075,0.3420360354421121,0.6922142621591467,0.21359973007628755,2.1911233276979774,0.23612626053282842,0.31505686547049555,0.29061897570473477,0.46463838077134856,0.12201950234122212,1.071323681846108,0.20218859138533177,0.20473153299859773,0.49630504846572876,0.41189573268488633,0.2711856577213362,0.11389601892395189,0.0,0.0,,
11.0,0.631556718594131,0.3702916103912424,5.4816,21.90336,0.0,0.10972615675165248,0.5370945081100699,0.33511739119788847,0.6998123436940643,0.2102230566310345,2.279274770901069,0.244956739013181,0.323329610404672,0.29530432412531504,0.46463838077134856,0.12201950234122212,1.071323681846108,0.20218859138533177,0.20473153299859773,0.49630504846572876,0.41189573268488633,0.2711856577213362,0.11389601892395189,0.0,0.0,,
12.0,0.6250650998834953,0.516226302617411,5.4816,21.90336,0.0,0.10972615675165248,0.5605268695855764,0.34018884975666003,0.7095580873268829,0.21172418381840682,2.3677595089947174,0.25459012207015086,0.3334091640567477,0.3042081328758748,0.46463838077134856,0.12201950234122212,1.071323681846108,0.20218859138533177,0.20473153299859773,0.49630504846572876,0.41189573268488633,0.2711856577213362,0.11389601892395189,0.0,0.0,,
