round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_auprc_lift,fed_auprc,fed_prevalence,fed_ece,fed_auroc,fed_f1_best,fed_f1_best_threshold,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.34858373774601,98.43907773742806,12.667776,12.667776,0.9991046702896288,,,,,,,,,,0.24134980542922782,0.9365707626157513,0.9684499118332035,0.0,0.9832657200811359,0.4825839102268219,0.4843994723591126,0.26647855567718914,0.9670822942643391,0.00526775656049316,3.15212262622299,0.001096634796564436,0.0059654690062642774
2.0,0.3277125171672195,27.661797556743526,25.335552,25.335552,0.9991046702896288,,,,,,,,,,0.28416318939784646,0.9487355897920614,0.9810288073919975,0.0,0.9832657200811359,0.4824259877204895,0.4845461464136318,0.26662068977574804,0.9670822942643391,0.0009254917722546992,0.5569857540504017,0.00012158595010321283,0.0010592479156971903
3.0,0.2562690612125319,19.430405988438206,38.003328,38.003328,0.9991046702896288,,,,,,,,,,0.32620297873005455,0.9525260819598115,0.984948320953802,0.0,0.9832657200811359,0.4825093150138855,0.4844504377937079,0.26652783622771303,0.9670822942643391,0.0006739255686581027,0.40606363005338153,0.00010861243385814586,0.0007678285623408992
4.0,0.23677062953563865,17.68957914926459,50.671104,50.671104,0.9991046702896288,,,,,,,,,,0.44460202853704656,0.9677429528729757,1.0006831462147068,0.0,0.9832657200811359,0.4824163615703583,0.4846097277732858,0.2666809920083756,0.9670822942643391,0.0009697197443937584,0.5848071652904991,0.00016960458299724617,0.0011024585781850935
5.0,0.1614633762250982,8.401394365512106,63.33888,63.33888,0.9991046702896288,,,,,,,,,,0.36664869426602276,0.9616396001995813,0.9943720466220529,0.0,0.9832657200811359,0.48240214586257935,0.4846180267018867,0.26668937178922025,0.9670822942643391,0.0013050995756971892,0.7880487682932653,0.00031598738142303643,0.0014689618173160898
6.0,0.1765085936188873,9.032481505970525,63.33888,63.33888,0.0,,,,,,,,,,0.36664869426602276,0.9616396001995813,0.9943720466220529,0.0,0.9832657200811359,0.48240214586257935,0.4846180267018867,0.26668937178922025,0.9670822942643391,0.0,0.0,,
7.0,0.08507785993271,3.4143120866806953,63.33888,63.33888,0.0,,,,,,,,,,0.36664869426602276,0.9616396001995813,0.9943720466220529,0.0,0.9832657200811359,0.48240214586257935,0.4846180267018867,0.26668937178922025,0.9670822942643391,0.0,0.0,,
8.0,0.05935956316426615,2.2176432414510425,63.33888,63.33888,0.0,,,,,,,,,,0.36664869426602276,0.9616396001995813,0.9943720466220529,0.0,0.9832657200811359,0.48240214586257935,0.4846180267018867,0.26668937178922025,0.9670822942643391,0.0,0.0,,
9.0,0.15635683072483558,7.066542883851134,76.006656,76.006656,0.9991046702896288,,,,,,,,,,0.4815235907293669,0.971466772591433,1.004533717919455,0.0,0.9832657200811359,0.4825989603996277,0.48443759627770305,0.26651395229527464,0.9670822942643391,0.000634036856767841,0.38345483130297,0.00023084642442212035,0.0007007297486572277
10.0,0.18905009927409855,11.470298518940139,76.006656,76.006656,0.0,,,,,,,,,,0.4815235907293669,0.971466772591433,1.004533717919455,0.0,0.9832657200811359,0.4825989603996277,0.48443759627770305,0.26651395229527464,0.9670822942643391,0.0,0.0,,
11.0,0.09932871439950168,7.116754254261286,76.458624,76.458624,0.035646615445478584,,,,,,,,,,0.37316564302123867,0.9615243259977979,0.9942528486980841,0.0,0.9832657200811359,0.4826047718524933,0.4844234990360136,0.26650088498982605,0.9670822942643391,8.710740549684218e-05,0.007479587683064892,8.710740549684218e-05,
12.0,0.06083202655794737,3.5593063470327775,76.458624,76.458624,0.0,,,,,,,,,,0.37316564302123867,0.9615243259977979,0.9942528486980841,0.0,0.9832657200811359,0.4826047718524933,0.4844234990360136,0.26650088498982605,0.9670822942643391,0.0,0.0,,
13.0,0.19564960753557586,10.537146048388626,88.674432,88.674432,0.9634580548441501,,,,,,,,,,0.3543922984356197,0.9584099426018924,0.9910324574093834,0.0,0.9832657200811359,0.4825454354286194,0.48448495181124107,0.26656044630139447,0.9670822942643391,0.0006096545486274545,0.3167357291273447,,0.0006096545486274545
14.0,0.10324667988621293,4.053574615516339,88.674432,88.674432,0.0,,,,,,,,,,0.3543922984356197,0.9584099426018924,0.9910324574093834,0.0,0.9832657200811359,0.4825454354286194,0.48448495181124107,0.26656044630139447,0.9670822942643391,0.0,0.0,,
15.0,0.10937730178804536,7.541418421191446,89.1264,89.1264,0.035646615445478584,,,,,,,,,,0.4165650835325926,0.9658651571439935,0.9987414337667391,0.0,0.9832657200811359,0.48254483938217163,0.48448842031105493,0.2665634214817549,0.9670822942643391,0.00012571155949324086,0.010795784437277689,0.00012571155949324086,
16.0,0.05224859485264515,3.927968074892938,89.1264,89.1264,0.0,,,,,,,,,,0.4165650835325926,0.9658651571439935,0.9987414337667391,0.0,0.9832657200811359,0.48254483938217163,0.48448842031105493,0.2665634214817549,0.9670822942643391,0.0,0.0,,
17.0,0.1320188021817815,6.40105804155878,101.342208,101.342208,0.9634580548441501,,,,,,,,,,0.5372536608998703,0.9757670641592372,1.008980383516901,0.0,0.9832657200811359,0.4829955995082855,0.4840440788917113,0.2661326371668199,0.9670822942643391,0.000592772930530509,0.30827026946448655,,0.000592772930530509
18.0,0.1393826860268752,10.21413689552024,101.342208,101.342208,0.0,,,,,,,,,,0.5372536608998703,0.9757670641592372,1.008980383516901,0.0,0.9832657200811359,0.4829955995082855,0.4840440788917113,0.2661326371668199,0.9670822942643391,0.0,0.0,,
19.0,0.0656712419042226,3.845074234759826,101.794176,101.794176,0.035646615445478584,,,,,,,,,,0.7436705893384593,0.9880578545129943,1.021689529808434,0.0,0.9832657200811359,0.48299235105514526,0.4840434128060899,0.2661313525836797,0.9670822942643391,0.0002458702252474148,0.021117342381330673,0.0002458702252474148,
20.0,0.04554600970333351,2.1454656555168734,101.794176,101.794176,0.0,,,,,,,,,,0.7436705893384593,0.9880578545129943,1.021689529808434,0.0,0.9832657200811359,0.48299235105514526,0.4840434128060899,0.2661313525836797,0.9670822942643391,0.0,0.0,,
21.0,0.039059814201990846,2.6825798458943777,102.246144,102.246144,0.035646615445478584,,,,,,,,,,0.6921288699267039,0.9851523722802344,1.0186851502949303,0.0,0.9832657200811359,0.48298609256744385,0.4840523807187924,0.2661402288417675,0.9670822942643391,5.526352025597078e-05,0.00474726601612474,5.526352025597078e-05,
22.0,0.1563383830171823,11.232360807701959,114.461952,114.461952,0.9634580548441501,,,,,,,,,,0.467540281619704,0.9672733415404823,1.0001975501746607,0.0,0.9832657200811359,0.48302972316741943,0.48400766755874614,0.26609764404579345,0.9670822942643391,0.0006559984731790349,0.341492092609883,,0.0006559984731790349
23.0,0.13063231704003977,8.997703131349924,114.461952,114.461952,0.0,,,,,,,,,,0.467540281619704,0.9672733415404823,1.0001975501746607,0.0,0.9832657200811359,0.48302972316741943,0.48400766755874614,0.26609764404579345,0.9670822942643391,0.0,0.0,,
24.0,0.06209548869023121,3.3442255340584457,114.461952,114.461952,0.0,,,,,,,,,,0.467540281619704,0.9672733415404823,1.0001975501746607,0.0,0.9832657200811359,0.48302972316741943,0.48400766755874614,0.26609764404579345,0.9670822942643391,0.0,0.0,,
25.0,0.04239492250970803,3.1202035837703037,114.91392,114.91392,0.035646615445478584,,,,,,,,,,0.5119203900792348,0.9705210560577997,1.0035558109313505,0.0,0.9832657200811359,0.48302868008613586,0.48400643475335137,0.26609632414063666,0.9670822942643391,2.437208104619804e-05,0.0020938669873658,2.437208104619804e-05,
26.0,0.17372594235235095,14.435220472102868,127.129728,127.129728,0.9634580548441501,,,,,,,,,,0.2819205463609796,0.9432471301548787,0.9753535306655657,0.0,0.9832657200811359,0.4830884337425232,0.48393659123458765,0.26602941362956384,0.9670822942643391,0.001533405974663219,0.799155889356598,,0.001533405974663219
27.0,0.15901003623992901,12.238943046737374,127.129728,127.129728,0.0,,,,,,,,,,0.2819205463609796,0.9432471301548787,0.9753535306655657,0.0,0.9832657200811359,0.4830884337425232,0.48393659123458765,0.26602941362956384,0.9670822942643391,0.0,0.0,,
