round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc_lift,fed_f1_best,fed_brier,fed_prevalence,fed_f1,fed_auroc,fed_auprc,fed_f1_best_threshold,fed_ece,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6881380578447791,0.09725420187927619,3.66096,3.66096,1.0,1.8689963604704571,0.28057147884312345,0.21226876540707112,0.11271239773442412,0.25776849624281517,0.6499837801438492,0.20960214203915525,0.47077170522465034,0.34031113331763524,0.6494047870335451,0.19865533594754176,1.7441815598505113,0.2577616235044677,0.27065069761698973,0.481558233499527,0.33902791391753834,0.2126378812690749,0.11389601892395189,0.02453115048960386,2.6375847071085445,0.021677901871659265,0.02660731123423866,0.00901465988765632
2.0,0.6605892057525645,0.21841900074192674,7.32192,7.32192,1.0,1.928441493444329,0.28937037174293595,0.22367471311005907,0.11271239773442412,0.26691991747064264,0.6569974270302037,0.2159060193444667,0.5141260828290666,0.35540705784977117,0.6581963932976089,0.20571672676914732,1.8061801344128094,0.27430441898527,0.27511800404585296,0.5032874345779419,0.3540699820365739,0.22389941828706722,0.11389601892395189,0.017131573701891223,1.9706773547050034,0.01641257982135063,0.017734261793594178,0.005689869482326843
3.0,0.6465501968073019,0.26548329280651173,10.98288,10.98288,1.0,1.981471210619339,0.29451671092504844,0.20305780005678942,0.11271239773442412,0.27301753170730286,0.6599881126082416,0.22120444382949173,0.4810366863064828,0.3242922978751159,0.6607443837815101,0.20875532157621948,1.8328588088369,0.26782951188634124,0.2788482834994463,0.46714290976524353,0.32287687271633925,0.2033586785486647,0.11389601892395189,0.013189942465554608,1.6262087324448657,0.01273574427444885,0.013588875182137559,0.004295595826415605
4.0,0.646027330336745,0.37197645815097424,14.64384,14.64384,1.0,2.0144899128094744,0.2976318068697907,0.2074276934328711,0.11271239773442412,0.27851913867625294,0.6636766568514693,0.22441463533571504,0.5058854076587005,0.33026628657247076,0.661391044480327,0.21073552255976538,1.8502448509677323,0.2733776188042923,0.2771631536042856,0.48572540283203125,0.32872269602932214,0.2076738223461661,0.11389601892395189,0.010468802958926183,1.380915411398746,0.010324553744391101,0.010629439888364607,0.004169342779800432
5.0,0.6458144074048728,0.3266777006096256,18.3048,18.3048,1.0,2.0290802729965742,0.29786685741845265,0.2193036995621597,0.11271239773442412,0.2788511843682486,0.6647956839488923,0.22677327035936953,0.5165534003921992,0.3480076693912734,0.6612713227107077,0.21104829950688733,1.8529910132135856,0.27375985164580435,0.2758713136729222,0.5245707035064697,0.346368487262301,0.21961261280886382,0.11389601892395189,0.009169411970843212,1.2815728234272683,0.009136151911763604,0.00923697940251466,0.004163206931613504
6.0,0.6474802241203413,0.33021961388760157,21.96576,21.96576,1.0,2.0416294087765783,0.296212427745763,0.2169041332441914,0.11271239773442412,0.27947548586775783,0.6679507976713436,0.22825071892636864,0.5244789972441835,0.34301460259567645,0.6608934461693023,0.21212400237678203,1.8624356178631383,0.27169386606640406,0.2746368983315328,0.5125964283943176,0.34125178304782444,0.2173424934312064,0.11389601892395189,0.008386144267981769,1.2405628773030912,0.008179289280258661,0.008579218081560275,0.00402813101011155
7.0,0.6441107227593418,0.4082694004611317,25.62672,25.62672,1.0,2.0564908587638464,0.29672016006128066,0.2156886694705302,0.11271239773442412,0.2800274334276522,0.6712455039611807,0.23069913878955403,0.5280752337376526,0.3424232665990942,0.6610085246417772,0.2119312309053806,1.8607430962699987,0.27156585641605424,0.277799055278948,0.5205768942832947,0.34080797416903824,0.21637694112585418,0.11389601892395189,0.008101872780272544,1.2714569705713075,0.007800907389234709,0.008370240670739732,0.004263589341833874
8.0,0.639811351364863,0.3907911875011808,29.28768,29.28768,1.0,2.081699227155581,0.30260342459575185,0.20619354184687055,0.11271239773442412,0.2846136360760883,0.6735490612028441,0.23369461710970219,0.5213058427210646,0.3274804441437659,0.6601867614428034,0.21122220705386824,1.8545179107173255,0.27504124440254535,0.27674418604651163,0.4775298833847046,0.3255513355040672,0.2072458104972995,0.11389601892395189,0.007548010764983313,1.2594204034248833,0.006728228429163614,0.008245050572941304,0.004684223173523433
9.0,0.6393995251644894,0.44854953619716864,32.94864,32.94864,1.0,2.090732055052848,0.3017342309923384,0.21019041461171398,0.11271239773442412,0.2880256119187026,0.674233917826124,0.2345795184277822,0.5236219554464346,0.33404789251621747,0.6601650634407413,0.2115347008045167,1.8572615865156616,0.2719158821371806,0.27638078132016164,0.4831526279449463,0.33220205038622436,0.21123392884436912,0.11389601892395189,0.007701730493604301,1.366242040097859,0.006739181402260426,0.00854475800170702,0.004066570960809416
10.0,0.6446600418262945,0.4700332155855757,36.6096,36.6096,1.0,2.110843902099283,0.30834433006613254,0.20642730178068283,0.11271239773442412,0.2917865517285402,0.6767463882542984,0.23736894172587353,0.5225707045398168,0.3283945516530187,0.6595755152968028,0.21030610536202476,1.8464745945373706,0.2736682655894976,0.27553179641385456,0.47088202834129333,0.3264665762590165,0.20795432379609777,0.11389601892395189,0.006992170635973885,1.3241040386401437,0.006079941683579417,0.0078186079311503,0.0032649002456287294
