round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_f1_best_threshold,fed_f1,fed_ece,fed_f1_best,fed_brier,fed_prevalence,fed_auprc,fed_auprc_lift,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6282326409950143,0.1237430104989478,3.65056,3.65056,0.9971592150692714,0.6239182737207264,0.4095250472749048,0.0057520494042667914,0.2742664625601841,0.2692248486615041,0.17679218611001965,0.11411127895266868,0.19841998571158984,1.7492281754463896,0.3902915383213321,0.08897904662710021,0.7812305247166832,0.05185185185185185,0.2045002711006687,0.478078693151474,0.37968976895794415,0.24544958241327774,0.11389601892395189,0.02501158591305018,2.689991941675544,0.021737785057565847,0.027219414002214778
2.0,0.6159978240351346,0.2535799452595111,5.632,5.632,0.5412350858791136,0.6632687863719335,0.2901308160230202,0.0,0.1494568457886997,0.2931467003228587,0.12447514774296563,0.11411127895266868,0.2227247908302394,1.967382150475511,0.3876481971030946,0.0877078234165197,0.7700692635717321,0.0008787346221441124,0.20454648167397296,0.47140610218048096,0.37052170033003473,0.23849240559981832,0.11389601892395189,0.0173434210106561,1.1602562391199172,,0.0173434210106561
3.0,0.6094966984337252,0.40285469751277725,7.61344,7.61344,0.5412350858791136,0.6724999776461686,0.2408903803693249,0.002624756272631827,0.09113288335858546,0.3015284869712107,0.11118307780203586,0.11411127895266868,0.23228892642060742,2.0585288390922205,0.4541548448739681,0.10328821552260342,0.9068641423855975,0.0,0.20450951154489178,0.4663793444633484,0.3648968790148541,0.23419027402494155,0.11389601892395189,0.012674051683287073,0.8834429555572569,,0.012674051683287073
4.0,0.6030077273841082,0.5062818307867506,9.59488,9.59488,0.5412350858791136,0.6803933481083769,0.2324475370702021,0.004073324592905052,0.07795141186248154,0.30592486435529637,0.10924599209486613,0.11411127895266868,0.2412050442505068,2.140961344096773,0.5093339057221935,0.12775658550861857,1.1216949171324535,0.0,0.20481870000478994,0.4742484390735626,0.36462856219665496,0.23385135986264377,0.11389601892395189,0.012288256665871067,0.8927951192017645,,0.012288256665871067
5.0,0.6152803659567323,0.5606719263173897,11.264,11.264,0.4559241291901578,0.6585619008781189,0.20635720826254,0.01799704020581042,0.0723463281794955,0.2894016095983796,0.11019038136773622,0.11411127895266868,0.21847175559790555,1.9306567382036897,0.5424303238124993,0.15817827232583315,1.388795445356597,0.0,0.20660713414336604,0.47603410482406616,0.36567348149559675,0.23450364956865655,0.11389601892395189,0.01498595671440643,0.6918563335202634,0.01498595671440643,
6.0,0.6088057942677519,0.41359311210063376,13.24544,13.24544,0.5412350858791136,0.6712944893122302,0.22955121287057498,0.012598538797556926,0.08543971951554781,0.2957942348450109,0.11085455525542784,0.11411127895266868,0.23190722049809936,2.0538606090310605,0.3601313907518271,0.08260754958257639,0.725289174837035,0.06436271401395054,0.2045002711006687,0.4777493178844452,0.3811397230512957,0.2467974923641147,0.11389601892395189,0.00958776032817488,0.7292330556083471,,0.00958776032817488
7.0,0.5984086651086487,0.4344740823659971,15.22688,15.22688,0.5412350858791136,0.6799865180486216,0.2433522246789266,0.026557699202954754,0.09034556204646314,0.3012977798532583,0.1109845917956988,0.11411127895266868,0.2404252271979679,2.1367875799167417,0.39546144810934725,0.09090206800986436,0.7981145334900552,0.006137658921525646,0.20450951154489178,0.47477301955223083,0.3735518466769926,0.24077624909792558,0.11389601892395189,0.009727535823419963,0.7689624209888279,,0.009727535823419963
8.0,0.5878026804179574,0.44821973584300867,17.20832,17.20832,0.5412350858791136,0.6910194421566124,0.21922466170309113,0.047996839442675056,0.07377624972186483,0.3124413674432637,0.1080380864255167,0.11411127895266868,0.2511631612790895,2.2348407290750902,0.34457526606469124,0.08085841327850772,0.7099318662972469,0.13102328099621008,0.20451875282422052,0.48037436604499817,0.388250991113353,0.2526132680359649,0.11389601892395189,0.009245675529099997,0.7613865844905376,,0.009245675529099997
9.0,0.573162781890424,0.46402303574912285,19.18976,19.18976,0.5412350858791136,0.7008315217336952,0.2554998834460808,0.07522247037842625,0.07228094354881048,0.3235824856197251,0.10731835823772837,0.11411127895266868,0.26064052724028464,2.322524592317383,0.40912979641928,0.10262703438465053,0.9010590128981977,0.022231722958529286,0.20450951154489178,0.47612857818603516,0.374891661590896,0.2417100189215803,0.11389601892395189,0.0108010377915963,0.9336626189760864,,0.0108010377915963
10.0,0.6055016065629106,0.6777988723912454,22.84032,22.84032,0.9971592150692714,0.6601392918462965,0.20582357563888737,0.03742643655584285,0.06551195284485824,0.29061836347575987,0.10782327683253744,0.11411127895266868,0.2212262483664738,1.9506382385532601,0.5347455917415371,0.17030584335000637,1.495274768679309,0.05776475512766848,0.20492878560719643,0.4749490022659302,0.3661721648645662,0.2347230114747006,0.11389601892395189,0.009328459232014521,1.2991826927755028,0.012783839392104913,0.007416090040134849
