round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_auroc,fed_auprc,fed_ece,fed_auprc_lift,fed_f1,fed_brier,fed_f1_best_threshold,fed_f1_best,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6872915253157285,0.10181437261107058,3.66096,3.66096,1.0,0.11157960981749522,0.6491547240556662,0.20777360941709555,0.34110320901593144,1.8806827576514984,0.25664598367709085,0.21197730190099406,0.4716691960565993,0.27791394904248834,0.6493710164589073,0.19863863561456058,1.744034931960099,0.2576928907078975,0.2705969412925505,0.4812740087509155,0.33878996841824344,0.21247981749946954,0.11389601892395189,0.02450778243493046,2.6358184790333326,0.02165679018931639,0.02658112951557435,0.009087060430689136
2.0,0.6623321086663069,0.2260310625277259,7.32192,7.32192,1.0,0.11157960981749522,0.6558793040526342,0.214342023386316,0.3594625947796525,1.9448663441723713,0.2626495552540921,0.2259280065822047,0.5220421614963503,0.2906157075455939,0.6582765968436923,0.20549393759065837,1.8042240592084804,0.27432885906040266,0.27598139937276955,0.5038747191429138,0.3571280401708724,0.22622690697107853,0.11389601892395189,0.01712265255610157,1.9700248412282235,0.01628373264773799,0.01780676938197678,0.0054816762295142865
3.0,0.6475557586722872,0.26726823136633604,10.98288,10.98288,1.0,0.11157960981749522,0.6598025590446586,0.2202721204584478,0.32556357576345923,2.0032332986568964,0.27331502028776344,0.2032863475075795,0.49033405281898723,0.29436676159352526,0.6607400040228524,0.20883262555206894,1.8335375329624648,0.27218771566597655,0.27752142386288725,0.46812254190444946,0.3231746652718309,0.20380680803167217,0.11389601892395189,0.012761045547897903,1.5734473480188171,0.012934655946647288,0.012725467624498547,0.004736788243164077
4.0,0.6467284954643516,0.31103958831835504,14.64384,14.64384,1.0,0.11157960981749522,0.6624617408774707,0.22317687540403391,0.3330231611320925,2.0290357872814346,0.27637976900851075,0.20843532993152578,0.5073362001182148,0.2984616908420351,0.6610638802734115,0.21083769055725626,1.8511418796651014,0.2767834635744895,0.2771998266146511,0.47687453031539917,0.3304356373139684,0.20885912369462192,0.11389601892395189,0.01024493667269394,1.3476414117612876,0.010276989979922912,0.010266674569858726,0.005565921686579415
5.0,0.6433579786293713,0.30950273600373795,18.3048,18.3048,1.0,0.11157960981749522,0.6640761591010971,0.22557409907801726,0.3499662701844643,2.0430024404155946,0.27631724038964073,0.2196732639841526,0.5186821040903118,0.2962245589523864,0.6608666028920263,0.21122037361516774,1.8545018132389606,0.2729176361098185,0.27604906391220146,0.5185961127281189,0.3472565750518007,0.2201819554691073,0.11389601892395189,0.010048318469162213,1.3984062311465095,0.009639640243678933,0.010402050348056453,0.004065859262246545
6.0,0.6435623266543022,0.3077192402356755,21.96576,21.96576,1.0,0.11157960981749522,0.6672910768301796,0.22654200994888685,0.3421796107672909,2.0484039324283456,0.27682112130910014,0.2155750830199595,0.5251193459207266,0.2945967853026168,0.6609034982801477,0.21247275034073781,1.8654976034114537,0.2724153705397987,0.2748803827751196,0.5095839500427246,0.3396046915476825,0.21630475922872833,0.11389601892395189,0.008456704946297864,1.2540183739056374,0.008019915418040861,0.008825319667763475,0.004366249319922827
7.0,0.6417980942139232,0.3925396304665099,25.62672,25.62672,1.0,0.11157960981749522,0.6692974804482803,0.22731676531357212,0.34357457087991217,2.050388501789837,0.27820062770174503,0.2156307403901727,0.531903389120642,0.2947259281416488,0.6612729290405308,0.21295764947547724,1.869754987816287,0.27531754205286646,0.2785169874693192,0.5202333927154541,0.34104452261003665,0.21651188248306288,0.11389601892395189,0.007545559352050436,1.1848856214674015,0.007207675995381901,0.0078388485036229,0.0044756939325077075
8.0,0.6384375223073898,0.39777939588100225,29.28768,29.28768,1.0,0.11157960981749522,0.671835975137497,0.22963495353276425,0.3269417719332918,2.07076015131952,0.28545736186076215,0.20491345819426465,0.5300918683869197,0.29790197013098135,0.660437298697382,0.21336991819949452,1.8733746817082442,0.27476115612528723,0.27610153256704983,0.4980267882347107,0.3243162664162254,0.20621419545022304,0.11389601892395189,0.007485803244923728,1.2410885166373191,0.006610732190097152,0.008233980529952317,0.004835964926712724
9.0,0.6386983802123789,0.39041163702293047,32.94864,32.94864,1.0,0.11157960981749522,0.6728671702687624,0.23282350310762112,0.32990526658857366,2.1026296231237125,0.28288871549661715,0.20682007089657503,0.5233211387021499,0.29966575373224547,0.65954675195341,0.21316476646096416,1.871573462135615,0.271861054155108,0.27423109913000854,0.5035544037818909,0.3269709960418167,0.2081588363435881,0.11389601892395189,0.007832313846193971,1.3777975048014923,0.006675425023768104,0.008855150630580289,0.004113860726601889
10.0,0.6421122679014502,0.47440667956100524,36.6096,36.6096,1.0,0.11157960981749522,0.6746619509096492,0.23477352218252076,0.32966646062992055,2.1109672308186203,0.2878210426112623,0.2064993444884089,0.5239615842784402,0.30324228257725105,0.6590793727221804,0.21224825490860805,1.863526547405715,0.2710420841683367,0.27354207891979976,0.48309072852134705,0.32694249176476287,0.2082365579916467,0.11389601892395189,0.007095137488125245,1.332276090313826,0.006070066867300466,0.008030985882170898,0.0034922242021101875
11.0,0.6402683903801971,0.4738844469135645,40.27056,40.27056,1.0,0.11157960981749522,0.6747548489261969,0.23481961144562832,0.3211523003004083,2.110376432368609,0.28575335590646656,0.20214114768923355,0.519558468292238,0.3039715052403909,0.659590976221349,0.21250883688806207,1.8658144410644741,0.27097591888466416,0.2740268308775016,0.4638902246952057,0.3186992462099159,0.2042158210218556,0.11389601892395189,0.00735544319584676,1.4656843862503592,0.0059572149244178675,0.008658447668401546,0.004028843009970011
12.0,0.6428930739407503,0.5325188972676796,43.93152,43.93152,1.0,0.11157960981749522,0.6785819760166798,0.2391886184063912,0.3404178037236064,2.1449865383561475,0.2850865372671899,0.21404029924227164,0.5565138593606785,0.30789970779248316,0.6591625630377784,0.2121999789104232,1.8631026871282361,0.2715434265655079,0.2731988472622478,0.5041506886482239,0.33774307302351025,0.21623170782160325,0.11389601892395189,0.006969218762504264,1.4759072842316527,0.005418596796408638,0.008454963929115341,0.00396393786846424
13.0,0.6408226486230012,0.509236530582795,47.59248,47.59248,1.0,0.11157960981749522,0.678676962643477,0.24072954238361027,0.33778944663032934,2.157668279949384,0.2850945678151931,0.2118912426650443,0.5595323451890218,0.3114578201456402,0.6597551983468456,0.21269241052125193,1.8674262062071385,0.2693858739486116,0.272664550848627,0.5418792963027954,0.3354881384876211,0.2143671384483033,0.11389601892395189,0.006439287401811206,1.4421197878382372,0.0048568518116579125,0.007993112650650636,0.003793342883139746
14.0,0.6375664736510204,0.5304735114438534,51.25344,51.25344,1.0,0.11157960981749522,0.6822487065870548,0.24403519170758461,0.33890142774735693,2.1860745017878154,0.2886164835166277,0.2117421577188519,0.5486488673280363,0.3120224898728394,0.6584418103758767,0.21186359451297296,1.8601492529289703,0.27061310782241016,0.2734031254741314,0.5529218912124634,0.3364932648306962,0.21455622623356274,0.11389601892395189,0.006653034321259272,1.5773818867164664,0.004887289070080991,0.008422527790074366,0.004463461534108813
15.0,0.635981187447032,0.5506215116325237,54.9144,54.9144,1.0,0.11157960981749522,0.6834190503931152,0.24626615449678965,0.32494399926857864,2.2025697628778795,0.2886542881439413,0.2032585399403786,0.5470199277785078,0.3128318556931707,0.6572707959349214,0.21109398690314862,1.853392145726319,0.2712545820030744,0.2719773744991751,0.4993024170398712,0.32258025901151643,0.20632423180361262,0.11389601892395189,0.006089659875704047,1.5312472695259203,0.00423356379214858,0.007994962902992814,0.0033837808327147104
16.0,0.6387573722627512,0.6062518749486903,58.57536,58.57536,1.0,0.11157960981749522,0.6849581762474951,0.2485261993120571,0.34186945665344043,2.228719757651239,0.28792527489883024,0.21384235807781868,0.5487827814473079,0.3158445171708629,0.6563312184829933,0.21169305007709305,1.8586518833326389,0.2684082764998266,0.27132009345794394,0.551774263381958,0.3397406300125697,0.2172270629619401,0.11389601892395189,0.006117460169845597,1.6252506256532797,0.004129984690385138,0.008180112209612851,0.004559635445661734
17.0,0.6382749117522554,0.6102695646532889,62.23632,62.23632,1.0,0.11157960981749522,0.6868379142687825,0.2503833234479062,0.3294944049414221,2.237575272246929,0.29147979654655926,0.20557421264077452,0.5327978069336627,0.3172300342724331,0.6560993297137033,0.2093004555537524,1.8376450514350449,0.2718377088305489,0.27295642779978396,0.501850962638855,0.3273240492935434,0.20947307976824503,0.11389601892395189,0.006048024448728679,1.7002938728883237,0.003947024621572457,0.008269733679070081,0.0033443421863778135
18.0,0.6401534452115597,0.7023682704657215,65.89728,65.89728,1.0,0.11157960981749522,0.688075541116766,0.25157528085932385,0.3287073835528932,2.2485024603572143,0.2973765938160002,0.2055796379178338,0.5463365285669652,0.3153634879070398,0.6541911102796123,0.21171462659858858,1.8588413238565429,0.2690240114681639,0.2701970443349753,0.5078088641166687,0.3264620997804005,0.2098316117900914,0.11389601892395189,0.005248099880829594,1.5496664090769627,0.003623782599544385,0.006998239715631436,0.0033548202221065746
19.0,0.6371876162120889,0.6797528477685814,69.55824,69.55824,1.0,0.11157960981749522,0.6901123049062388,0.2528840935326095,0.3094240593529951,2.2619413415685505,0.2993246537773211,0.1937520485294628,0.5171761968268622,0.3157563027220716,0.6548176667567382,0.21160839674535087,1.8579086323170024,0.26990801576872536,0.2722591987944242,0.4899318218231201,0.30751103846841593,0.19818091774769658,0.11389601892395189,0.00517932386115184,1.6065610272889899,0.003425418887279681,0.007111216726148219,0.0031097842953495703
20.0,0.6393372955712568,0.7680557211346974,73.2192,73.2192,1.0,0.11157960981749522,0.692778531445494,0.2580544283979528,0.34316199232875133,2.3075558146519866,0.29222797454424904,0.21362250691654117,0.553936751718563,0.3200453226773997,0.653198611789688,0.21046780349432126,1.8478942941355143,0.2680701754385965,0.26943620178041544,0.5030156373977661,0.34121401952245417,0.21816838985070977,0.11389601892395189,0.005377734613429471,1.751986683702853,0.0032695452630583746,0.007738171503571216,0.004063002691912947
21.0,0.637782301439483,0.7154763090343659,76.88016,76.88016,1.0,0.11157960981749522,0.695386854510878,0.2632455324328981,0.3288517849406143,2.345499005865734,0.29288534550490003,0.20549701150945118,0.554879491221537,0.32473750993824785,0.6505771568152885,0.20703450073787302,1.817750108334423,0.26577437858508607,0.26814609338881185,0.4914933741092682,0.32696260208521516,0.21112321755175162,0.11389601892395189,0.0054562531853397525,1.8676518004085665,0.0031336085433154074,0.00808448542359362,0.0037166922154700842
22.0,0.64079074764709,0.9744062418042931,80.54112,80.54112,1.0,0.11157960981749522,0.6962449849471418,0.26389430269207714,0.3260955789891324,2.3544003636881388,0.29446639027707716,0.20502091978255704,0.559579526963588,0.3276965530257001,0.6521386850955533,0.20939664135410607,1.8384895568116364,0.26378676470588236,0.2690285081649599,0.5427206754684448,0.32424147202264386,0.21067719385488357,0.11389601892395189,0.004927615912748678,1.7727398902316054,0.003012488115872914,0.007110988749844921,0.004247267168021767
23.0,0.6406612194245414,1.0334352943425742,84.20208,84.20208,1.0,0.11157960981749522,0.6979311228131022,0.2646462457747476,0.34545680417217983,2.3638986869139735,0.29112040474373263,0.21626292293547972,0.5703788322161547,0.3296824526609222,0.6502834494467173,0.20950590549446718,1.839448889204405,0.26460071513706795,0.2708926261319534,0.5365397334098816,0.3434265714568198,0.22176051883484352,0.11389601892395189,0.00455162933374569,1.7103435851877293,0.002759754941781343,0.006619069073497035,0.0034948175078118107
