round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_f1_best,fed_f1_best_threshold,fed_ece,fed_auprc_lift,fed_auroc,fed_f1,fed_auprc,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.688109391736235,0.11233914403663925,3.65056,3.65056,0.9971592150692714,0.11467774420946626,0.26571258830173794,0.510811725892089,0.38649701267623404,1.728288749060058,0.6167724867383286,0.19687612364804005,0.19656309735393115,0.24935995793299562,0.5864039290024305,0.19005644930097707,1.6686838670619148,0.18974661166764878,0.2464091924672837,0.49317285418510437,0.3769621265568115,0.24250148665684537,0.11389601892395189,0.026733949867669343,2.8702422636561096,0.023388665375842835,0.02898749990410045
2.0,0.6814862711656577,0.12796847975850198,7.30112,7.30112,0.9971592150692714,0.11467774420946626,0.2846870210892664,0.5015958917682685,0.35478805233644695,1.8556082493008943,0.6462394186960734,0.23414828957289857,0.2107661571843545,0.2243258933000168,0.5915646274928671,0.20179100374292608,1.7717125291065834,0.2517264424147917,0.27228047182175624,0.4914359450340271,0.37631824518271223,0.2415205090185402,0.11389601892395189,0.0186686091370891,2.121479425113648,0.016158605300752377,0.020383048019411834
3.0,0.6728531869907246,0.1837135230745964,10.95168,10.95168,0.9971592150692714,0.11467774420946626,0.2934052217053174,0.5378275275725612,0.3678983707085988,1.9324076009468023,0.6562634831785108,0.25394336359712366,0.2197637341669527,0.23354970121115587,0.6566441767105367,0.22094405415432655,1.9398751268194052,0.2783656194041999,0.2814119970377684,0.4914703071117401,0.37715443627536377,0.24148164643583184,0.11389601892395189,0.013586709350460996,1.6658948971889913,0.012928088682229376,0.014049727089121512
4.0,0.664496083966581,0.21262777220955678,14.60224,14.60224,0.9971592150692714,0.11467774420946626,0.2944884281123595,0.5301236426373352,0.3458250623687817,1.9701825462437041,0.6610410842571749,0.26640824732170026,0.22452209706485177,0.21874313034595158,0.6639094308075688,0.22260802791384482,1.954484713486603,0.2755585646580907,0.28026434364674074,0.4951065480709076,0.3732188965472213,0.23810263000625365,0.11389601892395189,0.010919864180192564,1.428784707793966,0.010664933686725582,0.011106732123502336
5.0,0.6598862685958543,0.2616761440932505,18.2528,18.2528,0.9971592150692714,0.11467774420946626,0.2977818428147085,0.5323090233895382,0.34043728273403195,1.9858447361813256,0.6631525068396016,0.27312367812498717,0.2262659926067256,0.21540762318975126,0.6626556903807298,0.22317824105195833,1.9594911495631284,0.27751347922613384,0.2829467244455774,0.4924934208393097,0.3767538459568345,0.2410491908212426,0.11389601892395189,0.009377039931283934,1.304257479379885,0.008947531826257715,0.009707004116481554
6.0,0.6548662065461095,0.2511801509642266,18.2528,18.2528,0.0,0.11467774420946626,0.30535102062590425,0.5309397328629987,0.33948511193428577,2.1381909865794753,0.6765118479483749,0.28170804346934736,0.2430948586615806,0.21461809834209836,0.6626556903807298,0.22317824105195833,1.9594911495631284,0.27751347922613384,0.2829467244455774,0.4924934208393097,0.3767538459568345,0.2410491908212426,0.11389601892395189,0.0,0.0,,
7.0,0.6387548606007127,0.34592140315114667,18.2528,18.2528,0.0,0.11467774420946626,0.31442707295663774,0.5448948260854407,0.34288652238791506,2.228184814003321,0.683352764609381,0.28527010762165406,0.2517813033941343,0.21640559479856164,0.6626556903807298,0.22317824105195833,1.9594911495631284,0.27751347922613384,0.2829467244455774,0.4924934208393097,0.3767538459568345,0.2410491908212426,0.11389601892395189,0.0,0.0,,
8.0,0.6215871819319969,0.4187013848881246,18.2528,18.2528,0.0,0.11467774420946626,0.32723562875343204,0.5495261338624768,0.30767070087543263,2.3531857056024754,0.6961303471667937,0.3031485156624582,0.26540216823425605,0.19514255870991068,0.6626556903807298,0.22317824105195833,1.9594911495631284,0.27751347922613384,0.2829467244455774,0.4924934208393097,0.3767538459568345,0.2410491908212426,0.11389601892395189,0.0,0.0,,
9.0,0.6492150701643358,0.299813063703117,21.90336,21.90336,0.9971592150692714,0.11467774420946626,0.29836563298625246,0.548636243548263,0.3541722905757384,2.01089775879872,0.6664554664852023,0.2736258430653801,0.22915186080864716,0.22424393798545228,0.608727659277767,0.20932003743441985,1.8378169791358763,0.26034900012737233,0.2760917838638046,0.5072650909423828,0.3856976226514404,0.2481412579898535,0.11389601892395189,0.009345166361338721,1.3716512854443863,0.007748722410365301,0.010626602185768306
10.0,0.6521387298126462,0.3097698787156704,21.90336,21.90336,0.0,0.11467774420946626,0.30972061842394866,0.5447101679903501,0.34875191030564295,2.152804507454846,0.6788319006383486,0.282440796789467,0.24457311032389595,0.21954867182783047,0.608727659277767,0.20932003743441985,1.8378169791358763,0.26034900012737233,0.2760917838638046,0.5072650909423828,0.3856976226514404,0.2481412579898535,0.11389601892395189,0.0,0.0,,
