round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc_lift,fed_f1_best_threshold,fed_f1,fed_prevalence,fed_auroc,fed_auprc,fed_brier,fed_ece,fed_f1_best,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6902093371552345,0.09660114773801153,3.65056,3.65056,0.9971592150692714,1.6365547277750343,0.48395832724695753,0.20412833129631042,0.1123348017621145,0.5966558924270787,0.1850676511295004,0.23609615794988634,0.37060782184309743,0.2608525181377243,0.44482535655878774,0.10784398604990982,0.9468635257736006,0.056847545219638244,0.20452799493876814,0.4668997526168823,0.3683649900305271,0.2369272152170957,0.11389601892395189,0.02870244646275653,3.0569827603176236,0.023917818920230358,0.03189724900224349
2.0,0.6837481143979697,0.14933136161248267,5.632,5.632,0.5412350858791136,1.937122922241089,0.5142237340657494,0.23788838289850023,0.1123348017621145,0.6493978231037456,0.21433946827787428,0.24275767544140242,0.3824934826492136,0.2856308323480097,0.43836240146107747,0.10167965047393011,0.8927410407717709,0.09201673031460265,0.2045002711006687,0.4643045663833618,0.37255201241955543,0.24039237556725573,0.11389601892395189,0.022318036067262282,1.507692554499954,,0.022318036067262282
3.0,0.6712924624651117,0.17167841186032015,7.61344,7.61344,0.5412350858791136,2.0102410705145854,0.4913663686297087,0.2695152558259247,0.1123348017621145,0.6658468045802236,0.22473722566828344,0.21499351254641888,0.34410674707686245,0.29587250420730754,0.4188257161758768,0.09229579442254568,0.8103513651708175,0.10995752713544124,0.20453723788864786,0.469061940908432,0.3802145495782039,0.24681829282987805,0.11389601892395189,0.016711440724100073,1.1968936985358596,,0.016711440724100073
4.0,0.6568584018862833,0.24271763981716993,9.59488,9.59488,0.5412350858791136,2.0775734752767323,0.5120622107598524,0.2784024239534228,0.1123348017621145,0.6788220740231693,0.2321266727364644,0.21246070811893666,0.34058723816281217,0.30452713920338165,0.4190553460438531,0.09201452685010232,0.8078818532853217,0.10693501454898158,0.20450951154489178,0.4655159115791321,0.3784829860149005,0.2456096138512957,0.11389601892395189,0.013875588036432168,1.0560151066165417,,0.013875588036432168
5.0,0.6594246034403224,0.24624137156895518,11.264,11.264,0.4559241291901578,1.9837773663415008,0.5133741443809132,0.27181506656439147,0.1123348017621145,0.658394233413941,0.21887283124089246,0.2238946463123267,0.35486120095487056,0.29276329415440516,0.4167368222850554,0.0913901214522733,0.8023996125210863,0.10622887493964268,0.2045002711006687,0.46547842025756836,0.37799894630779973,0.24541807677538355,0.11389601892395189,0.017786197746179844,0.8101305449381471,0.017786197746179844,
6.0,0.6548906375834748,0.2649055726865851,13.24544,13.24544,0.5412350858791136,2.1030290205153332,0.5356805313713823,0.2728892925072509,0.1123348017621145,0.6701665534237837,0.23090952581097746,0.22541194318550206,0.35726466115594574,0.3017029359924512,0.44008830246025976,0.09998333956400512,0.8778475359245328,0.12915642039987169,0.20458553791887127,0.46833664178848267,0.3819427441336307,0.2481942299110448,0.11389601892395189,0.010047780336942282,0.8042676323093474,,0.010047780336942282
7.0,0.635442156045817,0.3500629551632798,15.22688,15.22688,0.5412350858791136,2.177203468027711,0.540839455739517,0.2810569115632023,0.1123348017621145,0.6800294009588965,0.23888776718855986,0.2177121822742556,0.3466895188810391,0.3089428146007168,0.4192116369158488,0.09227384592595092,0.8101586587285545,0.12399083026014153,0.20450951154489178,0.46999630331993103,0.38523399613873033,0.25133067756594396,0.11389601892395189,0.009283614143187291,0.7795278606936336,,0.009283614143187291
8.0,0.6256853235612077,0.5519576603919129,17.20832,17.20832,0.5412350858791136,2.265082838437146,0.5703077848656061,0.28963875214210516,0.1123348017621145,0.6892539052248143,0.24781678035550433,0.2115275544814794,0.33733189280553383,0.31713664290713217,0.3996244902851933,0.08769631436826258,0.7699682148400394,0.11851721405300696,0.2045002711006687,0.46689897775650024,0.39193989546257335,0.25784748803024354,0.11389601892395189,0.010386879857231029,0.9123746962286532,,0.010386879857231029
9.0,0.611481210743264,0.5970761189634461,19.18976,19.18976,0.5412350858791136,2.365895500498295,0.5293186912583883,0.29950920607778875,0.1123348017621145,0.6968347223202215,0.25781800218765727,0.20510827864975886,0.3281364756547819,0.3224657519212675,0.40461386366044716,0.08867287593117269,0.7785423649476227,0.12616213398210097,0.2045002711006687,0.46896395087242126,0.3917819060108863,0.2573039822274784,0.11389601892395189,0.009952660695055484,0.9209198581520468,,0.009952660695055484
10.0,0.6443740182971447,0.4345558062730719,22.84032,22.84032,0.9971592150692714,2.0386569291194774,0.5112607437158395,0.2752823738656249,0.1123348017621145,0.6597236484197831,0.22463995883567073,0.21774609385669805,0.3452271088681144,0.2953147286228635,0.41653413608996936,0.09046952539518964,0.7943168360923654,0.1281038374717833,0.2045002711006687,0.4698471128940582,0.3890517600331802,0.2549009654596917,0.11389601892395189,0.009768667506340948,1.4312255437253043,0.013715449023949172,0.00772890478447713
11.0,0.6431367822924992,0.46854334153884103,24.82176,24.82176,0.5412350858791136,2.153478436410995,0.5218038203976602,0.28410267688824464,0.1123348017621145,0.6703755457900552,0.23553997030595047,0.2070468011060128,0.32746972074864633,0.3022437224524607,0.3930459045391317,0.08655154370475925,0.7599171992354669,0.11916601238768211,0.20452799493876814,0.47133588790893555,0.3952149499377041,0.26107182860950984,0.11389601892395189,0.006304745088810265,0.6258114023366943,,0.006304745088810265
12.0,0.6295092735842021,0.5200434047406721,26.8032,26.8032,0.5412350858791136,2.274324649936113,0.5607693082022921,0.29298892411841343,0.1123348017621145,0.6847357873771155,0.24800083275120396,0.21557265456147684,0.34263052238635555,0.3131824117229688,0.3936456679367883,0.08670881147495402,0.7612980005284407,0.11923349893541518,0.2045002711006687,0.4684889316558838,0.3937050580387417,0.2597386439558198,0.11389601892395189,0.006790588827542232,0.694073359714821,,0.006790588827542232
13.0,0.6087360618572155,0.5247831018075262,28.78464,28.78464,0.5412350858791136,2.367395350682408,0.5531014628759938,0.29365262125149216,0.1123348017621145,0.6921130890457111,0.2569833917817179,0.20935656592074856,0.3340703191642418,0.32182012899462625,0.39979797390607563,0.08760768751782251,0.7691900765760563,0.12154794887836268,0.20452799493876814,0.46857529878616333,0.39270780265640254,0.25872252476470287,0.11389601892395189,0.007744501401267361,0.8235791323240846,,0.007744501401267361
14.0,0.5952085214200354,0.6291254199633569,30.76608,30.76608,0.5412350858791136,2.4907899242682534,0.5728727472623688,0.2989915059608732,0.1123348017621145,0.7039142910533074,0.2695874912923012,0.21656203932963586,0.34683674095541966,0.3358982328171518,0.4090789711397246,0.08898996195967551,0.7813263606614197,0.11850271528316525,0.20450951154489178,0.4671609103679657,0.38798397210387214,0.2544951563058186,0.11389601892395189,0.00935154315996331,1.0442370797973126,,0.00935154315996331
15.0,0.6394449659305558,0.5708203621130814,32.4352,32.4352,0.4559241291901578,2.0983203645286137,0.5288400062492914,0.2809706785079736,0.1123348017621145,0.6648995444995709,0.23106475128308307,0.20848815581181784,0.32939132500751683,0.2971677257990351,0.3944019104482167,0.08673588317702446,0.7615356883978343,0.12117027703460775,0.20451875282422052,0.46424251794815063,0.39331293902247644,0.25935729472968616,0.11389601892395189,0.010796401839716467,0.58927306602709,0.010796401839716467,
16.0,0.6407813152051095,0.6062710699936928,34.41664,34.41664,0.5412350858791136,2.2265569076351697,0.5464470450404755,0.2821728445574268,0.1123348017621145,0.6768600056177723,0.24390571349285442,0.2236160411868429,0.35542657017717194,0.301488608051029,0.3841233196472359,0.08525746725378958,0.7485552880537097,0.11631914526968809,0.20450951154489178,0.4624582827091217,0.39466854272949975,0.2609931666200745,0.11389601892395189,0.006606192623206832,0.7679845836246386,,0.006606192623206832
17.0,0.6190315288000723,0.5275487228118733,36.39808,36.39808,0.5412350858791136,2.3676439108834426,0.5359326175487287,0.29481457909606457,0.1123348017621145,0.6904495239282927,0.25829734518600994,0.21133778848972168,0.3381030975954104,0.31852622124652424,0.38079866869392187,0.08481210467834514,0.7446450321935659,0.11583011583011583,0.20451875282422052,0.46251776814460754,0.39531408396501105,0.2615293465702806,0.11389601892395189,0.007378654845856273,0.887763686128892,,0.007378654845856273
18.0,0.6039199711565101,0.6326095018971115,38.37952,38.37952,0.5412350858791136,2.4701199518299606,0.5708343964597576,0.30156742900650596,0.1123348017621145,0.6987691265403433,0.26796294255593245,0.21036393441757703,0.33623010091192884,0.32692430514087534,0.39428576527234394,0.08658237042510586,0.7601878559330217,0.12173309021446557,0.20450951154489178,0.46694415807724,0.396481715038106,0.2621190908215445,0.11389601892395189,0.00743514529934125,0.9335769605822861,,0.00743514529934125
19.0,0.5869580407661711,0.7751430588838086,40.36096,40.36096,0.5412350858791136,2.623521173312656,0.5336459485688546,0.3134014870028444,0.1123348017621145,0.7077513971564103,0.2823218842487532,0.19942143864681056,0.318802249854427,0.3370910328435567,0.39337313149330594,0.08646576800224828,0.7591640938739156,0.12276823669443972,0.20450951154489178,0.4667309522628784,0.39806889913793575,0.2636488762765643,0.11389601892395189,0.007614444256035251,1.0024120738962665,,0.007614444256035251
20.0,0.6403480960244143,0.8131188966114479,44.01152,44.01152,0.9971592150692714,2.0993328881273148,0.5496719688983589,0.27939104778211094,0.1123348017621145,0.6663805915948,0.2319194827507856,0.2258395474511587,0.3580172933178588,0.2955264280464049,0.4076845388094054,0.08857120002681401,0.7776496567975111,0.10918114143920596,0.2045002711006687,0.4656619727611542,0.38651007522759834,0.2531616492051693,0.11389601892395189,0.006851185534037896,1.3401329279877245,0.009519919579037557,0.0056901684081748895
21.0,0.6376653743762863,0.6476337588545621,45.99296,45.99296,0.5412350858791136,2.223093296202796,0.523333560831521,0.28674156042072446,0.1123348017621145,0.6800807178560411,0.2430784711585108,0.21331701927098387,0.33950860027043306,0.3094372097379248,0.4174120329865853,0.09007125037226482,0.7908200060302827,0.11887694145758662,0.204815992730577,0.46912580728530884,0.3881868774907459,0.25443752721043683,0.11389601892395189,0.005248617029182609,0.7303549402859062,,0.005248617029182609
22.0,0.6176857892069817,0.7942792385024615,47.9744,47.9744,0.5412350858791136,2.375336758148645,0.550239561913597,0.2933936646143027,0.1123348017621145,0.6900604511217588,0.25865012518288544,0.2125475595960507,0.3378958398006185,0.31852126277415127,0.41112468236710165,0.08902603782440364,0.7816431045219072,0.12220762155059132,0.20450951154489178,0.46087291836738586,0.39228944472094485,0.2583413496759187,0.11389601892395189,0.006206826547847076,0.8923105322755873,,0.006206826547847076
23.0,0.602899906787475,0.7714966644804782,49.95584,49.95584,0.5412350858791136,2.528090596247512,0.5879827865682506,0.29112810170809367,0.1123348017621145,0.701902201118601,0.27268433811334236,0.2210444577713921,0.3518670839040093,0.3324693640799984,0.4081801668565064,0.08857701930001455,0.7777007496562037,0.11884388667046968,0.20450951154489178,0.45745259523391724,0.39225645375855345,0.25844013847984404,0.11389601892395189,0.00684422462708969,1.0215148235438392,,0.00684422462708969
24.0,0.5883972284518145,0.8878281880551266,51.93728,51.93728,0.5412350858791136,2.6760660898948196,0.5661817369125712,0.3067522299394515,0.1123348017621145,0.7121016111535571,0.28652728580668724,0.20490601368551078,0.32837628202792435,0.33517857688693775,0.40058324329938344,0.08754921587319636,0.7686766991535742,0.12189454870420018,0.20450951154489178,0.4581398069858551,0.39761653516869633,0.2635171945776709,0.11389601892395189,0.007072926966727085,1.0984205764252692,,0.007072926966727085
25.0,0.6391284710454143,0.888063036203412,53.6064,53.6064,0.4559241291901578,2.129111639854998,0.5153815139701637,0.28977813409595493,0.1123348017621145,0.6722707908150996,0.23488426654590447,0.2172945432908866,0.3423901092197775,0.3047813758501813,0.3975561774952288,0.08726509676275322,0.7661821509408501,0.1249233464739378,0.20462617247973772,0.46917998790740967,0.3967126521498311,0.26234953518634435,0.11389601892395189,0.008814218120155412,0.5694230459630489,0.008814218120155412,
26.0,0.6345077076155776,0.9382132798724341,55.58784,55.58784,0.5412350858791136,2.295557514569841,0.5643078767668156,0.2858643265761748,0.1123348017621145,0.686315032486222,0.250548050263495,0.22373452144011166,0.35498046416547807,0.3117231748838916,0.40124103536189537,0.08780071291632513,0.7708848276334352,0.11884299048147122,0.20453928926666065,0.45878103375434875,0.39141169408648174,0.25753093040319575,0.11389601892395189,0.0048691160882706796,0.7815243130316958,,0.0048691160882706796
27.0,0.6125930208130573,1.1929737290094378,57.56928,57.56928,0.5412350858791136,2.4526236874115988,0.5591194967378827,0.2974283961747082,0.1123348017621145,0.6968864415932776,0.2653580765468201,0.2146429247360446,0.3424175377213088,0.32538199725880096,0.40035260947526774,0.08768276060159653,0.7698492136072124,0.12067079839591688,0.20453723788864786,0.4509561359882355,0.3939134497753273,0.25974097697632,0.11389601892395189,0.005190501121365826,0.855406139511615,,0.005190501121365826
28.0,0.5951477755203343,0.8764378748878187,59.55072,59.55072,0.5412350858791136,2.595456559175232,0.5589919946210951,0.3090714974799697,0.1123348017621145,0.7087068017274323,0.278853109184361,0.20173400893560506,0.3220738241503506,0.3367068889142001,0.3983387738553156,0.08751020056649088,0.7683341471743735,0.13314657658399934,0.20452079566003617,0.461513489484787,0.4012689521081842,0.2658347533046487,0.11389601892395189,0.0058805187913227785,0.9995533305918798,,0.0058805187913227785
29.0,0.5802073345568605,1.2854373846420915,61.53216,61.53216,0.5412350858791136,2.7099083706161347,0.5498264991614411,0.31203639926995086,0.1123348017621145,0.7151403136239217,0.29022093816521843,0.20120227733804832,0.32188326696192116,0.34238399150752247,0.40259517140267087,0.08807295608195348,0.7732751057853883,0.13240180625372752,0.20453723788864786,0.45738106966018677,0.3989201632954885,0.2636789998831312,0.11389601892395189,0.00632753776639049,1.1198455363046378,,0.00632753776639049
30.0,0.6445225015521998,1.3573385886096303,65.18272,65.18272,0.9971592150692714,2.145385150635922,0.5509416923611474,0.2850674180190637,0.1123348017621145,0.6725617946933723,0.2376211273252547,0.21221973053892546,0.3367405292997106,0.30052272007623715,0.3981211161643012,0.087396614621845,0.7673368696073524,0.12102564102564102,0.2045300420453004,0.46675288677215576,0.3942941797926187,0.2595013302484427,0.11389601892395189,0.005251754483087071,1.331980120157823,0.007700068998253232,0.004311498433200322
31.0,0.6385463458171518,0.857127490137354,67.16416,67.16416,0.5412350858791136,2.335789661719811,0.5537204106604999,0.2963962720325742,0.1123348017621145,0.6903217391760187,0.256261206748539,0.20768505687565386,0.33168332464031774,0.3158169724791221,0.4038754790188477,0.08821689128644788,0.7745388479763292,0.1313855843247026,0.20454648167397296,0.46027812361717224,0.39802745178869103,0.26273687724523204,0.11389601892395189,0.0046711368052963975,0.8709763314109296,,0.0046711368052963975
32.0,0.6133333183364896,0.9641667546825085,69.1456,69.1456,0.5412350858791136,2.461210450853147,0.5858476392385567,0.2917455761474001,0.1123348017621145,0.6987362931867203,0.2676244784603977,0.22011724119541423,0.34653139994371274,0.32664795788029494,0.4014915224186669,0.08785240320407214,0.7713386651620456,0.12876761191367933,0.20478905359179023,0.47867265343666077,0.3985627222084557,0.26341061241881997,0.11389601892395189,0.004791218350315926,0.9182569846743718,,0.004791218350315926
33.0,0.5960850629508296,1.1770539944937861,71.12704,71.12704,0.5412350858791136,2.683406396944894,0.5543978307684537,0.3075333394875832,0.1123348017621145,0.7139223828652215,0.28935525552597924,0.20840479288453068,0.33536736969200126,0.33896533944547014,0.40923885115491854,0.08903440493036854,0.7817165671946498,0.13316761363636365,0.20489896455777037,0.47981518507003784,0.39794951420832525,0.26242250660399785,0.11389601892395189,0.004878719096745967,0.969145622686483,,0.004878719096745967
34.0,0.5827306138901753,1.0772743761405972,73.10848,73.10848,0.5412350858791136,2.8468468469011277,0.582930219784857,0.31308455582562134,0.1123348017621145,0.7235041538825481,0.30470114026055833,0.2062531335571124,0.33043794932047255,0.35457750409719857,0.38740108584884164,0.0858809681825102,0.7540295876351282,0.12366737739872068,0.20471866015607174,0.47908270359039307,0.40104605147940464,0.26596515784395564,0.11389601892395189,0.005533936419192718,1.1379281589761376,,0.005533936419192718
