round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_ece,fed_f1_best,fed_auroc,fed_brier,fed_auprc_lift,fed_f1,fed_f1_best_threshold,fed_auprc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6877568752187279,0.09755286956697021,3.65056,3.65056,0.9971592150692714,0.11418140618115437,0.38541766540057365,0.26317889460504684,0.5996418858059411,0.2483716874507601,1.594111719010187,0.18930111029155225,0.506389258230446,0.1806316262641893,0.5282012785481831,0.14375156045626214,1.2621298076471377,0.2045002711006687,0.20491241804481847,0.530691921710968,0.419902347115627,0.27715601187971434,0.11389601892395189,0.027227045890875722,2.9075308439787477,0.022790397514658337,0.03019704634558097
2.0,0.682080255162528,0.1008542249464458,7.30112,7.30112,0.9971592150692714,0.11418140618115437,0.36672752830563055,0.2895026298376699,0.6472597350584377,0.2335027018219025,1.8802913124956842,0.23136913366966122,0.51562892320083,0.2121418150042414,0.6558453413598957,0.21058087513544568,1.8488870561494344,0.21406457319770014,0.27341834232466894,0.5315065383911133,0.4089771053083554,0.26664201454346376,0.11389601892395189,0.019956331278937922,2.2558504997286946,0.015728393869371908,0.022803450244717166
3.0,0.6701156198218364,0.16931508159926356,10.95168,10.95168,0.9971592150692714,0.11418140618115437,0.36582397093701297,0.2962924826510844,0.6544448295379512,0.23227326089322212,1.9559295865936155,0.2585588342487049,0.5278918325841001,0.22024151269378126,0.6573920487376531,0.21263811375444142,1.8669494839535998,0.21578036111798168,0.2746135635705334,0.5356881618499756,0.4108822231723147,0.2678636498781444,0.11389601892395189,0.01447160945202498,1.7572705605998635,0.012620430626523889,0.01574151614139971
4.0,0.659073585395286,0.21214268228181546,14.60224,14.60224,0.9971592150692714,0.11418140618115437,0.3455927044869804,0.29964316162107296,0.6559412158122434,0.21970628833645192,1.9924879445661539,0.269882329812628,0.5464165287410409,0.22441047304300776,0.6584725188842896,0.21222454150736822,1.8633183452098538,0.22047325635582252,0.2743834080717489,0.5365632176399231,0.40868485676779703,0.2659740483523556,0.11389601892395189,0.011034087478793914,1.4252171381376684,0.010050094383551946,0.011735403729135315
5.0,0.651228859194456,0.27743515086476384,18.2528,18.2528,0.9971592150692714,0.11418140618115437,0.34729940529162107,0.30501191824375257,0.6599416975909637,0.2197466340161531,2.0289855125773117,0.27385029614307743,0.5350377377944048,0.2281695465820775,0.6575908069543439,0.21045379314199758,1.8477712841088598,0.2162591141312435,0.2735373886090663,0.5354713797569275,0.4099734906905718,0.2672457995190317,0.11389601892395189,0.010255872297612682,1.4067924586124718,0.009964366752734915,0.01047164971324347
6.0,0.650243198373899,0.271241108339512,18.2528,18.2528,0.0,0.11418140618115437,0.32611780315815797,0.3133976632994832,0.6744336816751333,0.2085410546524958,2.2059093056792385,0.28616930915569244,0.530743236097011,0.24612126423534122,0.6575908069543439,0.21045379314199758,1.8477712841088598,0.2162591141312435,0.2735373886090663,0.5354713797569275,0.4099734906905718,0.2672457995190317,0.11389601892395189,0.0,0.0,,
7.0,0.6396080252358634,0.32756327425935405,19.92192,19.92192,0.4559241291901578,0.11418140618115437,0.3640404700409391,0.30843920693682475,0.6672882255719157,0.23277663603541046,2.1259717827801516,0.27440975515038796,0.5702770991649382,0.23839858533012342,0.6579776689031965,0.2113926053623361,1.8560139973240193,0.21184815950920247,0.27606148227058286,0.5372217297554016,0.41181786601721854,0.2688840125213782,0.11389601892395189,0.00881326086707669,0.5575778861530125,0.00881326086707669,
8.0,0.6457741480628846,0.25828192767276675,21.90336,21.90336,0.5412350858791136,0.11418140618115437,0.3279410381848617,0.3118879510474393,0.6741086543016996,0.20766321827231832,2.2098032019106535,0.28598668182390147,0.5377244977197839,0.24742218968359578,0.6578867983231322,0.2133435804961616,1.8731434383023573,0.22287978863936592,0.2731650372099811,0.5362108945846558,0.40750128887843107,0.26498166036390336,0.11389601892395189,0.010692053826887527,0.8791838786564767,,0.010692053826887527
9.0,0.6306208955016703,0.3883666661478141,21.90336,21.90336,0.0,0.11418140618115437,0.3572944173849745,0.3264850612979327,0.6868240559616602,0.2258433300417969,2.3204981203434643,0.28813991767889785,0.5545392369334073,0.25882516220530466,0.6578867983231322,0.2133435804961616,1.8731434383023573,0.22287978863936592,0.2731650372099811,0.5362108945846558,0.40750128887843107,0.26498166036390336,0.11389601892395189,0.0,0.0,,
10.0,0.616474669989983,0.3750434685711183,23.8848,23.8848,0.5412350858791136,0.11418140618115437,0.3525042598773397,0.33245245643426347,0.6962541908694291,0.2214001930138514,2.44680597691168,0.2942676338654136,0.5754824604030341,0.27182011386757565,0.6589135944646678,0.21369972751919697,1.8762703871316502,0.22818567284088373,0.2748687575716786,0.5354675650596619,0.4054049989589658,0.26296749901618555,0.11389601892395189,0.012279444953026115,1.0764419857878238,,0.012279444953026115
11.0,0.6418055996785088,0.3596330782169519,25.55392,25.55392,0.4559241291901578,0.11418140618115437,0.35350520039121347,0.3064576972264453,0.6687446679442252,0.2251275871995413,2.1406545543078654,0.281820285862138,0.5470516290134619,0.24050377110286478,0.660178754892592,0.21577163405623107,1.894461598348765,0.22567367323418033,0.27635402906208717,0.534383237361908,0.4059538069753043,0.26345942365364156,0.11389601892395189,0.008689167023370846,0.5921945506706834,0.008689167023370846,
