round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_auprc,fed_f1_best,fed_ece,fed_f1_best_threshold,fed_prevalence,fed_auprc_lift,fed_f1,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6882537451410963,0.11239925424100397,3.66096,3.66096,1.0,0.6519723315744219,0.21240315839730253,0.2856813038070218,0.3647555648432751,0.500004367359755,0.11366354081439993,1.8692042851903066,0.2664022878310956,0.22992803310594467,0.6553142360127199,0.20817494977015266,1.8277631802842083,0.2744175100023535,0.27859710001239313,0.5039213299751282,0.3640595339233019,0.2298517380673461,0.11389601892395189,0.025058438608384206,2.72636003554544,0.02244320382018946,0.0269324459651148,0.010575832005622832
2.0,0.6550330555685308,0.2563901383374897,7.32192,7.32192,1.0,0.658431385050831,0.21858837932913236,0.28943354342252064,0.35231293728603835,0.5353132160804265,0.11366354081439993,1.9269338314514601,0.2720652404663208,0.22215499677237302,0.6603402035892536,0.21587688541941993,1.8953856988062106,0.2801364224391391,0.28302144515776534,0.5231388807296753,0.3514700891487827,0.2220316697941655,0.11389601892395189,0.017266446186226254,2.0123507138159766,0.017901164309095025,0.01695716046990753,0.005865368406654727
3.0,0.6436603337978504,0.3461748359923803,10.98288,10.98288,1.0,0.6610634890973603,0.2225920998319158,0.2920864621688468,0.35585141196482156,0.5410783575831686,0.11366354081439993,1.9667115163465076,0.26874397014737217,0.22566935047876516,0.6618412058637665,0.22065131790012782,1.9373049206176047,0.2735768903993203,0.28409689310163244,0.5350505709648132,0.3546045272664939,0.22535931748385007,0.11389601892395189,0.011412496360722873,1.4272216838680833,0.012111048283298597,0.010993522166186709,0.004849491769115227
4.0,0.6447726624325497,0.41259959132238694,14.64384,14.64384,1.0,0.6642469832872565,0.22486647273416066,0.295930964944535,0.3605356507560847,0.5414190359825799,0.11366354081439993,1.9872467269670504,0.2713094567866558,0.22911223848151815,0.6617292020069685,0.22161030419685387,1.945724760975382,0.27074235807860264,0.28571428571428575,0.5607715845108032,0.3594934405991749,0.22910049832072005,0.11389601892395189,0.010257057351490285,1.3602723234398582,0.010423782043245448,0.010190098542933977,0.004031769284879115
5.0,0.6481192820986664,0.5209368069125928,18.3048,18.3048,1.0,0.6655623864386473,0.2271913220448057,0.2989313346266028,0.31911547424571707,0.5168842665780311,0.11366354081439993,2.006596790981678,0.2774802099205664,0.2024333563592539,0.6635126673412917,0.2229155430814571,1.9571846776338804,0.28212927756653994,0.2879019908116386,0.5158543586730957,0.31768989082444765,0.20253683816880416,0.11389601892395189,0.008732904462310884,1.2291333221037348,0.008741729925421162,0.008761681927370406,0.004284968269788186
6.0,0.6435294115723821,0.42782943737419066,21.96576,21.96576,1.0,0.6678131146077362,0.22911888834789448,0.3028963095058442,0.3360310658766569,0.5211255302685189,0.11366354081439993,2.0239486073545914,0.28018914138129647,0.21157742548815495,0.6634612145891492,0.22354749196871382,1.9627331497686145,0.28172907765770294,0.2857142857142857,0.528160572052002,0.33503340190913317,0.21179502324952063,0.11389601892395189,0.00849072921237068,1.2659381854509775,0.00827899435304423,0.008685923155945205,0.004532217770728288
7.0,0.6442803806378377,0.37686717278577064,25.62672,25.62672,1.0,0.669952082323444,0.2314090622760546,0.3024620655604346,0.3530627680510194,0.5599713083278075,0.11366354081439993,2.04300800143442,0.27425651370020687,0.22440658781245487,0.6647282448853831,0.22460416387207716,1.9720106637093684,0.2726111938710364,0.2877523553162853,0.5446679592132568,0.35198106076494307,0.2245910695197869,0.11389601892395189,0.007962952567649322,1.2624793997456436,0.0072028882968344695,0.008614440455781575,0.0040863451329668996
8.0,0.6379932233271244,0.37218231900115284,29.28768,29.28768,1.0,0.6721346989643258,0.23488264905234757,0.30192794149721847,0.3301198545272928,0.5151655606100668,0.11366354081439993,2.0698602545000404,0.2834026772308503,0.20748804231604476,0.6648163545860641,0.2248091040876395,1.9738100261234242,0.279064039408867,0.2856327578827222,0.5205824971199036,0.3291262025671196,0.2079503080646868,0.11389601892395189,0.008108531223952664,1.3667463946549105,0.007026238681238011,0.00906253276940139,0.004208762036730781
9.0,0.6427837640231819,0.46802934799622403,32.94864,32.94864,1.0,0.6750100958436888,0.23768791913126444,0.3042305457719729,0.3460002488235867,0.5169414799226466,0.11366354081439993,2.0968669821859938,0.28336763969385487,0.21749229766204828,0.6648370988297937,0.22525716144811359,1.977743942029416,0.27879642689233664,0.2861165868769361,0.5287673473358154,0.345165447701841,0.21821877751701,0.11389601892395189,0.007902931003942187,1.4184776908587082,0.006479641697651761,0.009192341760597394,0.004234953473936735
10.0,0.6411307949909885,0.5833364908992489,36.6096,36.6096,1.0,0.6763300280031296,0.2409477404641787,0.30438285121587383,0.35531009796323876,0.5311924315108866,0.11366354081439993,2.128395729665587,0.28180186443688354,0.22356405012219943,0.6636085075042457,0.22502369203505126,1.9756940950262631,0.273059557084498,0.2858450274557657,0.5535555481910706,0.35464168449425904,0.2245882288350054,0.11389601892395189,0.007654004243483259,1.4643466557436113,0.006407308549774873,0.008818589947868952,0.004217309154203303
