round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best_threshold,fed_auprc,fed_brier,fed_auprc_lift,fed_f1_best,fed_ece,fed_prevalence,fed_auroc,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6711941330329947,154.2158295280538,23.03232,23.03232,0.9991046702896288,0.34946627430774985,0.9310005595270473,0.41743157559432476,1.492693264728582,0.9507433713347151,0.592339501476489,0.8860759493670884,0.5093381361491777,0.0,0.4240431650178943,0.9628901879680011,0.9956652021020331,0.0,0.9832657200811359,0.4853750169277191,0.48146731472966675,0.26364589651899506,0.9670822942643391,0.003520133373941259,2.104203036090439,0.0007660177364873229,0.003979211265432946
2.0,0.5275433351273416,46.00062370418795,46.06464,46.06464,0.9991046702896288,0.3303618756779135,0.8936188343918492,0.4337821225224395,1.0091513570486779,0.9123249545021416,0.6072719001568823,0.8860759493670884,0.5526885117322817,0.0,0.49934361667213656,0.9687050430494344,1.0016779841743766,0.0,0.9832657200811359,0.485697478055954,0.48126939712022604,0.26345448856734566,0.9670822942643391,0.0010016917400004048,0.6018771625026602,0.00016687629504621364,0.0011401030304091164
3.0,0.4875775220516544,50.87414363761602,69.09696,69.09696,0.9991046702896288,0.3124749627168671,0.9073472410224952,0.44524439499243873,1.0246925646361387,0.914444469090854,0.6142854438426624,0.8860759493670884,0.7410430752546048,0.0,0.398412958882273,0.9595794489510813,0.9922417716074874,0.0,0.9832657200811359,0.48576444387435913,0.48121735669133664,0.26340479421807017,0.9670822942643391,0.0005392052240414127,0.32427173795622366,9.527169385450988e-05,0.0006127298669871172
4.0,0.46478532979660486,58.4095682318305,92.12928,92.12928,0.9991046702896288,0.30372424216210075,0.9120464165193805,0.4193789293144059,1.0302937176236038,0.914444469090854,0.5904557009538014,0.8860759493670884,0.8136740451861695,0.0856249090644551,0.43498679419257036,0.9633615254617827,0.9961525830587283,0.0,0.9832657200811359,0.48582375049591064,0.4811473988089478,0.26333732437595536,0.9670822942643391,0.00046468885813810614,0.2796442034833717,9.760908052245658e-05,0.0005254335244285661
5.0,0.418332811477903,46.50446310654915,115.1616,115.1616,0.9991046702896288,0.26224936614056676,0.9050638227614323,0.4678317269835439,1.029514801733726,0.916857260044384,0.6274334709729825,0.8860759493670884,0.8156881292499714,0.025082044069385835,0.48528216669010893,0.9685533013090221,1.001521077423718,0.0,0.9832657200811359,0.48605066537857056,0.48093367192216047,0.26313139669659064,0.9670822942643391,0.00045438095536153955,0.2735907433085458,0.0001145463458580142,0.0005105800137012374
6.0,0.3659997625669723,36.644212290710264,138.19392,138.19392,0.9991046702896288,0.2870968776413157,0.9058538337635722,0.3726047977634984,1.0584885166213576,0.9251814340439807,0.5544875852040599,0.8860759493670884,0.8732589792563865,0.2204374067255714,0.4347367434010033,0.9651342426151333,0.9979856402492739,0.0,0.9832657200811359,0.48615017533302307,0.4808224758007877,0.2630247284181154,0.9670822942643391,0.000366364721113262,0.22071458094865193,9.224756471823024e-05,0.00041166804499507203
7.0,0.3628153332549356,39.7405644225049,161.22624,161.22624,0.9991046702896288,0.3384118654808414,0.9287920834955752,0.23673951442215233,1.1560345431629628,0.9278909511830342,0.42154324130166937,0.8860759493670884,0.8972644042111784,0.546106890267387,0.5104200853298326,0.972834720556874,1.00594822832209,0.0,0.9832657200811359,0.4861477017402649,0.4808112486788162,0.26301348445923173,0.9670822942643391,0.00036260573579833405,0.21856323428005453,9.435440731311554e-05,0.0004069142039627595
8.0,0.2863034749376171,28.192932911882583,184.25856,184.25856,0.9991046702896288,0.37234250063131624,0.9334803167614341,0.17461435052328636,1.1953145800564546,0.9311057392079488,0.34572420404430176,0.8860759493670884,0.9183839638239516,0.6946859866317707,0.5410239579914671,0.9753702759724437,1.0085700893887313,0.0,0.9832657200811359,0.48602622747421265,0.4809409454130472,0.26313796348417373,0.9670822942643391,0.0002901648398563645,0.17498987731130455,7.792195844089238e-05,0.00032520273045734275
9.0,0.28774537725801835,24.643242116937895,207.29088,207.29088,0.9991046702896288,0.43475995964138814,0.9570408450580468,0.1389400140489549,1.5241593381110012,0.9557943066180352,0.2885945995145709,0.8860759493670884,0.912702225417644,0.773045596704917,0.5730343663556661,0.9787056839482904,1.0120190285282735,0.0,0.9832657200811359,0.48584839701652527,0.48111140383151996,0.2633015367182704,0.9670822942643391,0.000345294296183594,0.20834096321607376,9.744492355773838e-05,0.0003861902895944759
10.0,0.25675206756758856,27.3165458204253,230.3232,230.3232,0.9991046702896288,0.4388199009724307,0.9495102995520323,0.11366395032956184,1.349094325544961,0.9487140099807765,0.25171069278998714,0.8860759493670884,0.9413188619456728,0.7919544467435885,0.5575820088455468,0.9777008820218487,1.01098002498907,0.0,0.9832657200811359,0.4857355058193207,0.48121007199299304,0.2633967048198213,0.9670822942643391,0.00024937278944617947,0.15053898660499954,6.507532247172499e-05,0.0002797693280677024
