round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_auprc_lift,fed_f1_best,fed_auroc,fed_auprc,fed_f1_best_threshold,fed_f1,fed_brier,fed_ece,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.688175040214765,0.11979755957058891,0.9136,3.65056,0.9971592150692714,0.11337740006295247,1.6787055032219218,0.2698857032294609,0.6166955573229296,0.18918008510091297,0.5117626626085553,0.2146779335317085,0.2503026085022251,0.38937928510192515,0.641243489532678,0.1744955897135252,1.532060482553262,0.2644846513519008,0.26656642680700243,0.5007266402244568,0.3810389064369747,0.245343009585121,0.11389601892395189,0.027719603902325602,2.9951744484715164,0.023345493115937237,0.03061301307455888
2.0,0.6815441303295292,0.1311293597957038,1.8272,7.30112,0.9971592150692714,0.11337740006295247,1.9222870768980274,0.2798786157364092,0.6466365819248927,0.21515440806346905,0.5082472595959892,0.25278383042024344,0.23175304859808277,0.36588070722244664,0.6327536599346555,0.16189349055245988,1.4214148315452166,0.23416175836805056,0.26102481699696484,0.491595983505249,0.3690126594899435,0.23576029377887867,0.11389601892395189,0.01841847180639666,2.122561040800065,0.015082031502722559,0.020635552038934926
3.0,0.6674545635062074,0.20269603109905635,2.7408,10.95168,0.9971592150692714,0.11337740006295247,1.9697877562618535,0.28395176534570127,0.6563540200164897,0.2225292295731716,0.5024113128873436,0.2566195130997969,0.2239174291013882,0.35467203783564943,0.5891550449122289,0.13807061137767274,1.2122514261877948,0.17518009168303864,0.23527762198541785,0.47991764545440674,0.3668003792332333,0.23450705223387774,0.11389601892395189,0.014187073101694415,1.756858935346827,0.013157429361244482,0.01488408285379593
4.0,0.6589465556431094,0.2824279807196789,3.6544,14.60224,0.9971592150692714,0.11337740006295247,2.035571239846186,0.2910304555022427,0.661061242533692,0.22895132397851709,0.5092629007978713,0.2676812495700717,0.2162717155355927,0.3429168329416749,0.5956212628673921,0.14209919883848735,1.247622174866065,0.18207630878438333,0.23739448718906403,0.47496217489242554,0.35971242395049224,0.2291767591652469,0.11389601892395189,0.010662730370926252,1.4126159539446235,0.01062828480702982,0.010686874313697805
5.0,0.6499997702990334,0.2587784485811112,4.568,18.2528,0.9971592150692714,0.11337740006295247,2.0572529646464894,0.29049243727242496,0.6632316474097599,0.23158169610421275,0.5207538570478198,0.2666097255311389,0.2250005628115452,0.3558617116268378,0.5567349669741098,0.130274258685985,1.1437999318744303,0.18210496128477202,0.22074720273089324,0.4684542119503021,0.36378545242038907,0.23287456693005476,0.11389601892395189,0.010283152343400031,1.4437655312940478,0.010460237832644603,0.010154384241181126
6.0,0.6512003753727178,0.39999561796225247,4.568,18.2528,0.0,0.11337740006295247,2.2030891335350256,0.30568179295960096,0.6803134252930666,0.2474191251001452,0.5273892628497434,0.2803039173261134,0.20741324931921618,0.330055106830158,0.5567349669741098,0.130274258685985,1.1437999318744303,0.18210496128477202,0.22074720273089324,0.4684542119503021,0.36378545242038907,0.23287456693005476,0.11389601892395189,0.0,0.0,,
7.0,0.6259671715524198,0.3996754124090405,4.568,18.2528,0.0,0.11337740006295247,2.317420927666585,0.3132861379089291,0.6912154301830218,0.2594760215664846,0.5229478977744896,0.29802134304307415,0.2107776171513233,0.3366151194199849,0.5567349669741098,0.130274258685985,1.1437999318744303,0.18210496128477202,0.22074720273089324,0.4684542119503021,0.36378545242038907,0.23287456693005476,0.11389601892395189,0.0,0.0,,
8.0,0.6161142680176479,0.5839819644676123,4.568,18.2528,0.0,0.11337740006295247,2.3845466622125486,0.3229741233399985,0.7000953145684816,0.2672168853124465,0.5483992087867299,0.3032629659640422,0.21000274783939857,0.3334993196565155,0.5567349669741098,0.130274258685985,1.1437999318744303,0.18210496128477202,0.22074720273089324,0.4684542119503021,0.36378545242038907,0.23287456693005476,0.11389601892395189,0.0,0.0,,
9.0,0.6493677237817135,0.3526847717174587,5.4816,21.90336,0.9971592150692714,0.11337740006295247,2.095545050760069,0.2938176993565771,0.6672369049590129,0.23573536061813255,0.5139881824542788,0.270654855252397,0.2149134014305103,0.34203492983692574,0.5850288479266976,0.1398803022835852,1.228140400385574,0.20593144177686482,0.23171584393791078,0.4761732816696167,0.3639009182133608,0.2324182544256439,0.11389601892395189,0.009346413311079282,1.388804315822199,0.008369166836581551,0.010084868200543717
10.0,0.6420955569126117,0.32401312487311273,5.4816,21.90336,0.0,0.11337740006295247,2.237076646042945,0.30870281877933237,0.6820989593843761,0.25104185637380055,0.5008717659306219,0.29014077771474484,0.1935929975086429,0.3070172363603157,0.5850288479266976,0.1398803022835852,1.228140400385574,0.20593144177686482,0.23171584393791078,0.4761732816696167,0.3639009182133608,0.2324182544256439,0.11389601892395189,0.0,0.0,,
