round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best_threshold,fed_ece,fed_auprc,fed_f1_best,fed_prevalence,fed_auroc,fed_f1,fed_auprc_lift,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6880296020559072,0.11947972007737999,3.66096,3.66096,1.0,0.5022640206039346,0.37065473942588556,0.21388537959963716,0.2817654850228013,0.11413282971356624,0.6475887804658933,0.2597774258466714,1.8762974994097208,0.23475775668321874,0.65414909471518,0.20788046838367172,1.825177651928932,0.26992087373230805,0.275829271192486,0.5039624571800232,0.3706061482891486,0.2347986818073972,0.11389601892395189,0.024961423463340772,2.718861151843157,0.022305620278537778,0.02685090626303787,0.011081988218983313
2.0,0.6626691677171299,0.20237691102915017,7.32192,7.32192,1.0,0.5035113856051003,0.34842193620382034,0.21968033429405617,0.28456341544650926,0.11413282971356624,0.6529870025530607,0.26304368735448075,1.9277958799094175,0.2203973411669061,0.6605456757626263,0.21400587088954712,1.8789583069838318,0.2769539525030661,0.28063509295698197,0.5294961929321289,0.3486862034865526,0.2204610653458982,0.11389601892395189,0.015680103480617626,1.8310603903646552,0.015777765882608312,0.01571695474080606,0.004951828496618355
3.0,0.6462859013971755,0.31829495557711684,10.98288,10.98288,1.0,0.5066758619076732,0.3444270350046041,0.22621298192170128,0.2867570486959545,0.11413282971356624,0.6569607067987925,0.26514342560439685,1.9835482753701803,0.21823841614164458,0.6607795347958398,0.21805056595682254,1.9144704794503344,0.27430064221182104,0.27874237447207884,0.5109744071960449,0.34434284163688916,0.21832044367606968,0.11389601892395189,0.01260101433109278,1.5760873899721446,0.012732536723786074,0.012575703414660319,0.005432184117084628
4.0,0.6419263395601166,0.3219009482904886,14.64384,14.64384,1.0,0.5132915686840603,0.3396190590356783,0.2290557634900572,0.2893712272055677,0.11413282971356624,0.6596480051469944,0.2698188367168866,2.0085553321432057,0.21601137165727177,0.6623025864570633,0.2204859444653321,1.9358529520908896,0.2789779326364692,0.2806491204145643,0.5282679200172424,0.33967280729714916,0.2162037587235288,0.11389601892395189,0.009973035066456028,1.3318239514765082,0.010645289557363763,0.009548076966096044,0.004346850975444078
5.0,0.6400212625059186,0.36807076276585043,18.3048,18.3048,1.0,0.5354637283722785,0.3574901795289709,0.23302593809252126,0.2914125018998696,0.11413282971356624,0.6625101346510271,0.2674821490750378,2.0408053937187054,0.2275128340364381,0.6628471573659583,0.22245326661622677,1.9531259188677903,0.2777305567360816,0.28172348484848486,0.5217768549919128,0.3571297140312312,0.227567157135787,0.11389601892395189,0.00858339063458919,1.2155287619088995,0.009110412004122324,0.008232253868825621,0.004021353063251843
6.0,0.6436340491802366,0.40674941552572097,21.96576,21.96576,1.0,0.5297241046119495,0.33926258550233956,0.23451334095400841,0.2944799618956962,0.11413282971356624,0.6651125275651841,0.2701156309690859,2.0515204726385736,0.2146829543342404,0.6654998228268403,0.22441000706217523,1.9703059789298982,0.28506189159956735,0.2865467443628072,0.5088142156600952,0.338710353076173,0.2148293364475349,0.11389601892395189,0.007649167030811565,1.143684918270992,0.00776697243595868,0.007580380510958518,0.004719038337878047
7.0,0.646735502395564,0.4802643651309778,25.62672,25.62672,1.0,0.5166331149400837,0.34959531102609737,0.23854884815847327,0.2957898757815018,0.11413282971356624,0.6676471484683979,0.27178177164182665,2.0866802768225505,0.22000390871154474,0.6650475154871529,0.22580841033311938,1.9825838731368752,0.28377912983583975,0.28584894544597617,0.5034856200218201,0.34931313420144205,0.22040681460794265,0.11389601892395189,0.008675968612403717,1.3719432491598127,0.008349420385417949,0.008965782904266301,0.004152368334784835
8.0,0.6393962740264403,0.36773314851832345,29.28768,29.28768,1.0,0.5350986484840377,0.3507741127105716,0.24062965204586784,0.2971449277732981,0.11413282971356624,0.6694613037899451,0.27287759498939085,2.108030333129208,0.2213619588824925,0.664417256921763,0.2255400734530184,1.9802278919301912,0.28479113777982923,0.28550759585242347,0.5071339011192322,0.35072116874695736,0.2221219410550882,0.11389601892395189,0.007925124911951402,1.3349362575481791,0.007296065883576917,0.008462742834163131,0.004747751416635766
9.0,0.6455649102194123,0.43296651055026175,32.94864,32.94864,1.0,0.5220357918930684,0.3380601274125749,0.2429714838697144,0.3004685734638044,0.11413282971356624,0.6708955046497248,0.27932418684021654,2.1242349496889377,0.21307793342694537,0.6633084877614484,0.2270387751798183,1.9933864003746398,0.2786885245901639,0.28137508829762187,0.4987247884273529,0.3378963723461487,0.21388598051794028,0.11389601892395189,0.007444416191878229,1.3350080116883873,0.006446396803147191,0.008311515935321076,0.004276113830936138
10.0,0.6387486900835092,0.4319088615410528,36.6096,36.6096,1.0,0.5201161509682858,0.3176252038947133,0.24612977348548518,0.2996561523694843,0.11413282971356624,0.6724630813660338,0.2768316147993597,2.1550523032395765,0.2012692668623717,0.6635482073886252,0.2281458870587563,2.003106774180481,0.278591621691082,0.2818491942124456,0.48483359813690186,0.3170565548237823,0.20210286826963003,0.11389601892395189,0.007217442621354298,1.374276755586834,0.006156426728694044,0.008153539357717557,0.005212288250704901
11.0,0.6439360752271125,0.5404148315573555,40.27056,40.27056,1.0,0.5676920773549992,0.33809205035499923,0.2490892470518581,0.30797556228693473,0.11413282971356624,0.6772677629689835,0.27979121753800296,2.177629509398467,0.21293096755737193,0.6637160563056753,0.22835651434096713,2.0049560686878816,0.2805865102639296,0.28273173185762795,0.5114386081695557,0.3375411952021582,0.21399642920015416,0.11389601892395189,0.0078038578485425305,1.573092376562272,0.00606227308051028,0.009376301658186257,0.005381298726764398
12.0,0.6414623486028588,0.4877568806056072,43.93152,43.93152,1.0,0.5711195625784563,0.34510103342225057,0.24907352890900838,0.30656493976906923,0.11413282971356624,0.6781962471298539,0.2784273307141172,2.1762116354590084,0.2179917199612077,0.6626273913670515,0.22752042086549348,1.9976152196979629,0.27699066447007137,0.28135368281353684,0.5306618213653564,0.344613378250375,0.21932408458232744,0.11389601892395189,0.00797560695229386,1.709887154840544,0.006066717832900187,0.009741867816203004,0.004798596249485373
13.0,0.6421487022178984,0.5998714496601841,47.59248,47.59248,1.0,0.5812139913313111,0.33574121942357293,0.251664590971668,0.3081617574355466,0.11413282971356624,0.6799971589192524,0.2815747217487645,2.1947727828161048,0.21252213323422336,0.6629874727858864,0.22757746846709148,1.9981160941107559,0.27813653136531363,0.2822570983586918,0.5066713690757751,0.3353357458521558,0.21418575029015519,0.11389601892395189,0.006886789629321708,1.5685779323739553,0.005434547120891435,0.008254746073968845,0.004929789469577301
14.0,0.636028306036802,0.5928737193024959,51.25344,51.25344,1.0,0.5818026888884574,0.3424888370083138,0.25615305729629606,0.3129081268543319,0.11413282971356624,0.6816728915621815,0.27719110647124645,2.2361202997000995,0.21692384766022205,0.6623078195784398,0.22819005947806859,2.003494605289326,0.2767523738397525,0.27905859750240153,0.5175559520721436,0.34212625920330075,0.21888118241176202,0.11389601892395189,0.006511133546266069,1.5720926647609303,0.005167598497553542,0.0078026328099288665,0.0038101888922720414
15.0,0.6349736000223047,0.7233489401337672,54.9144,54.9144,1.0,0.5864065379701697,0.3486150415477641,0.2584950422888292,0.31533598744000313,0.11413282971356624,0.6844825494310053,0.278601416950084,2.2553519502995822,0.21957077927357632,0.6628379084200245,0.22753564470300874,1.9977488840495274,0.278926528816542,0.284631897966915,0.5204081535339355,0.34834411368392737,0.2216911201125147,0.11389601892395189,0.00645845657297424,1.6497649422399263,0.004745516812550027,0.008131352385147091,0.00425073741171876
16.0,0.6398275362807196,0.8258302996144418,58.57536,58.57536,1.0,0.5702887729274653,0.33488655185100036,0.2605473390405284,0.31616493824743735,0.11413282971356624,0.6867408621135029,0.28105826698808783,2.2714723546316073,0.21081236058810876,0.6602710561101548,0.2265323519497328,1.9889400357442515,0.2768883878241263,0.2808148530170191,0.5185695290565491,0.33421243273212625,0.2133847023038852,0.11389601892395189,0.006309320648043097,1.7058276871039197,0.004282527797282369,0.00831766588853273,0.004061755834623441
17.0,0.6364484562381338,0.8887404499421663,62.23632,62.23632,1.0,0.5816111832641377,0.35267048181580746,0.26358984795809276,0.31942376650461873,0.11413282971356624,0.6884529243690112,0.28001243840696327,2.2989075593551935,0.22250655621867985,0.6593169965909164,0.2268291523895655,1.9915459252444883,0.2720664589823468,0.2805419014506654,0.5207087397575378,0.35219484308227467,0.2253175600979985,0.11389601892395189,0.006353797310980846,1.8121794598609995,0.004199391172323878,0.008509954657640552,0.0035407180675485275
