round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_f1_best_threshold,fed_f1_best,fed_prevalence,fed_f1,fed_brier,fed_ece,fed_auroc,fed_auprc_lift,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6896236965947377,0.10594491598480567,0.9136,3.65056,0.9971592150692714,0.18507765708125581,0.48398407673295585,0.26088302478992165,0.11107614852108241,0.20242945073810947,0.23616156880197697,0.3719405237761137,0.5989061356291139,1.665118753916907,0.44567259514479785,0.1081516696204737,0.9495649684883747,0.0573638414437641,0.20452799493876814,0.46686500310897827,0.3683986837121512,0.2369459326892193,0.11389601892395189,0.028715775464690754,3.0583771779201925,0.023951116210174535,0.031897218012588185
2.0,0.6836933157681028,0.14842391876812727,1.8272,7.30112,0.9971592150692714,0.2039158833944814,0.5118545510095196,0.27624911919980927,0.11107614852108241,0.2349132619709746,0.24040086932479968,0.3798309281196437,0.6370088965122217,1.8319980580947766,0.43761899703878115,0.09972702762926137,0.8755971329941644,0.09712498137941308,0.2045619116582187,0.4683518707752228,0.3746494763066325,0.24220691942363234,0.11389601892395189,0.01979492687074765,2.2382502590771765,0.016613708729902445,0.02193549559016018
3.0,0.6753818794235248,0.15661564074411488,2.7408,10.95168,0.9971592150692714,0.21487188886809747,0.5052614987027801,0.28894099414976354,0.11107614852108241,0.26513336813873145,0.21804677365640812,0.3488061280783951,0.6535467503395904,1.9541912804648565,0.4081113080147977,0.09040435430594422,0.7937446379605858,0.1115580016934801,0.20476947535771065,0.46875834465026855,0.3817147038049419,0.2486645362571453,0.11389601892395189,0.014817914457354728,1.7994510172866285,0.012913719683491937,0.016138599253619556
4.0,0.6623370463577472,0.20562519865125636,3.6544,14.60224,0.9971592150692714,0.22039853624766917,0.49842932331742085,0.2963510641095534,0.11107614852108241,0.27420807191212593,0.21123578061444015,0.33833846345947094,0.6616683752974998,2.0063118917608076,0.40772231265914904,0.0895531983883722,0.7862715416608781,0.11154318460908719,0.20484002537841023,0.46556615829467773,0.3830369644114881,0.25015325205834704,0.11389601892395189,0.011058442729207387,1.4465635544620454,0.010544174054121152,0.011427556892921305
5.0,0.6575568335094282,0.2818052400241987,4.568,18.2528,0.9971592150692714,0.22430637194267575,0.5081369211138831,0.29583664962224615,0.11107614852108241,0.2813964567898436,0.22384736381517104,0.3574394202873796,0.6631487112171764,2.0440709084991497,0.4249563241431021,0.09480929641427184,0.8324197571609223,0.11334225792057118,0.20453928926666065,0.4647735357284546,0.3798979391607835,0.24694756445138955,0.11389601892395189,0.010090242360006794,1.4073947253637016,0.009684766325304729,0.010395496823531535
6.0,0.6533080695676521,0.25550879213671374,4.568,18.2528,0.0,0.2378995103455496,0.5521229397751682,0.3049004833401122,0.11107614852108241,0.2805214966209286,0.22115674477221758,0.3502931613800958,0.6783259812365221,2.1766426770316327,0.4249563241431021,0.09480929641427184,0.8324197571609223,0.11334225792057118,0.20453928926666065,0.4647735357284546,0.3798979391607835,0.24694756445138955,0.11389601892395189,0.0,0.0,,
7.0,0.6327516270488306,0.35637378552645227,4.568,18.2528,0.0,0.2470088429128769,0.5713450545087558,0.31334197468823277,0.11107614852108241,0.2873568895596268,0.21565156712003353,0.3429156271425468,0.6873805959150558,2.2663435741689146,0.4249563241431021,0.09480929641427184,0.8324197571609223,0.11334225792057118,0.20453928926666065,0.4647735357284546,0.3798979391607835,0.24694756445138955,0.11389601892395189,0.0,0.0,,
8.0,0.6181775986461042,0.4999184397429996,4.568,18.2528,0.0,0.25694571748824346,0.5442514803366063,0.32413986016945756,0.11107614852108241,0.301272219264416,0.20420892644196845,0.32486190459086706,0.6973952428120451,2.375183199592528,0.4249563241431021,0.09480929641427184,0.8324197571609223,0.11334225792057118,0.20453928926666065,0.4647735357284546,0.3798979391607835,0.24694756445138955,0.11389601892395189,0.0,0.0,,
9.0,0.651197447245327,0.27645572975842503,5.4816,21.90336,0.9971592150692714,0.2278590549448654,0.5048487302940395,0.29608027540706994,0.11107614852108241,0.28228998371934494,0.21401315469003163,0.3424033960037969,0.6646297987407644,2.070619888395007,0.4153198511394074,0.09114192271393387,0.8002204429532267,0.11576303119112413,0.20457628651532966,0.4662816822528839,0.38281946016297536,0.24952101646430705,0.11389601892395189,0.009744586822496173,1.4422069829888642,0.007674978226914203,0.01138164066053249
10.0,0.64605359367926,0.28992919904954934,5.4816,21.90336,0.0,0.2410070019053757,0.5202743438315734,0.3068319057815375,0.11107614852108241,0.28643587114673713,0.21056387753675493,0.3359215992902006,0.6776765763099729,2.2064350006966547,0.4153198511394074,0.09114192271393387,0.8002204429532267,0.11576303119112413,0.20457628651532966,0.4662816822528839,0.38281946016297536,0.24952101646430705,0.11389601892395189,0.0,0.0,,
11.0,0.6309332210603124,0.41987172535377704,5.4816,21.90336,0.0,0.24509523462087426,0.5360079190016842,0.31167944031860056,0.11107614852108241,0.29101307467277804,0.19951569944226313,0.31508864338308695,0.6832679707684232,2.2559136394386172,0.4153198511394074,0.09114192271393387,0.8002204429532267,0.11576303119112413,0.20457628651532966,0.4662816822528839,0.38281946016297536,0.24952101646430705,0.11389601892395189,0.0,0.0,,
12.0,0.6189384136715772,0.4987237599000108,5.4816,21.90336,0.0,0.258307826954338,0.5644634118445495,0.3241725936097761,0.11107614852108241,0.29858596876653665,0.2095174056573454,0.33367845523179906,0.6963502585896111,2.40009866686458,0.4153198511394074,0.09114192271393387,0.8002204429532267,0.11576303119112413,0.20457628651532966,0.4662816822528839,0.38281946016297536,0.24952101646430705,0.11389601892395189,0.0,0.0,,
13.0,0.6451242515845057,0.31075799214974703,6.3952,25.55392,0.9971592150692714,0.22873214752023374,0.5419768941953843,0.29504052046621526,0.11107614852108241,0.28187243566249676,0.2141218495856017,0.3414920402438742,0.6658203838042628,2.079755680259041,0.42653213369944937,0.0946596901720342,0.8311062236094332,0.1353539156626506,0.20455686954933566,0.4714001417160034,0.38731183550325304,0.252999241909281,0.11389601892395189,0.00925500753802242,1.4686874210601673,0.006889604791156634,0.01118208578096111
14.0,0.6419563829985274,0.37743086609546217,6.3952,25.55392,0.0,0.24141075605199477,0.5427354158846516,0.30637514603803007,0.11107614852108241,0.28551687713513335,0.21402330946577927,0.341777647284778,0.6800619865669356,2.2059685362481276,0.42653213369944937,0.0946596901720342,0.8311062236094332,0.1353539156626506,0.20455686954933566,0.4714001417160034,0.38731183550325304,0.252999241909281,0.11389601892395189,0.0,0.0,,
15.0,0.6244865909107002,0.40718874744799144,6.3952,25.55392,0.0,0.2529813802967058,0.5525794215608197,0.32161392559037694,0.11107614852108241,0.29272019092422125,0.20187337832347962,0.32303952326385055,0.6904252583778068,2.3265097148380876,0.42653213369944937,0.0946596901720342,0.8311062236094332,0.1353539156626506,0.20455686954933566,0.4714001417160034,0.38731183550325304,0.252999241909281,0.11389601892395189,0.0,0.0,,
16.0,0.611402924839948,0.48929160414445594,6.3952,25.55392,0.0,0.26366544718267065,0.5677112744543219,0.3255256398261735,0.11107614852108241,0.29674180397004457,0.2141094429776952,0.3425902787552615,0.6994721063437931,2.4506196623182053,0.42653213369944937,0.0946596901720342,0.8311062236094332,0.1353539156626506,0.20455686954933566,0.4714001417160034,0.38731183550325304,0.252999241909281,0.11389601892395189,0.0,0.0,,
17.0,0.6427779045365807,0.39415194974462975,7.3088,29.20448,0.9971592150692714,0.23159242096269375,0.5573309170667143,0.2987495300703187,0.11107614852108241,0.28180608123446976,0.2132009376723461,0.34055264042074973,0.6688061911290603,2.099742647142144,0.4123408497354249,0.08975871190225802,0.7880759375987471,0.1202860221373298,0.20452799493876814,0.4674627184867859,0.38683150354914364,0.25319174171474657,0.11389601892395189,0.008132028973221626,1.3756663587410003,0.006288767519834673,0.00967308145274888
18.0,0.6393131524314518,0.37946200285194076,7.3088,29.20448,0.0,0.24430574592828627,0.5539409491627975,0.3095280910596948,0.11107614852108241,0.2875011873601501,0.21291563637342875,0.3398720384157532,0.6813262800327771,2.2369768280064535,0.4123408497354249,0.08975871190225802,0.7880759375987471,0.1202860221373298,0.20452799493876814,0.4674627184867859,0.38683150354914364,0.25319174171474657,0.11389601892395189,0.0,0.0,,
19.0,0.623594602103284,0.4120280246073431,7.3088,29.20448,0.0,0.2552090152423605,0.5329773397603974,0.31952542503134007,0.11107614852108241,0.30091404214742523,0.19832171880582755,0.31591723947132283,0.6916043023251235,2.3565300102464075,0.4123408497354249,0.08975871190225802,0.7880759375987471,0.1202860221373298,0.20452799493876814,0.4674627184867859,0.38683150354914364,0.25319174171474657,0.11389601892395189,0.0,0.0,,
20.0,0.6090608758431016,0.5165486803915178,7.3088,29.20448,0.0,0.2677004814842904,0.5749495812280886,0.32793979965074854,0.11107614852108241,0.2976992231165104,0.2198336001975927,0.3520014389286192,0.7027401819294529,2.4886313030271507,0.4123408497354249,0.08975871190225802,0.7880759375987471,0.1202860221373298,0.20452799493876814,0.4674627184867859,0.38683150354914364,0.25319174171474657,0.11389601892395189,0.0,0.0,,
21.0,0.6430286914843144,0.4396914240136282,8.2224,32.85504,0.9971592150692714,0.23190275222795403,0.5142421988082275,0.3015297374731198,0.11107614852108241,0.2863902420439123,0.21217669666092198,0.3382937682962514,0.6705667697915094,2.09987308814952,0.42678095167913926,0.09333633846573294,0.819487277496972,0.12712295332045154,0.20452799493876814,0.46556320786476135,0.3840215208216158,0.2503557854337752,0.11389601892395189,0.007374398620222768,1.3229742685798556,0.005811473126782554,0.008718463473217225
