round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_ece,fed_f1_best_threshold,fed_auroc,fed_prevalence,fed_auprc_lift,fed_f1_best,fed_brier,fed_f1,fed_auprc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.7461553122741361,231.8626833714136,9.70752,9.70752,0.9989298121408696,0.4025146769264043,0.5488933400482628,0.5749025023102562,0.11398539778449143,1.5623782965248032,0.25539196392118124,0.2695279529638344,0.1932407754216256,0.1773625998330072,0.3483830458111712,0.08205269281905544,0.7204175667794134,0.2045002711006687,0.20451875282422052,0.6326198577880859,0.6374949042069558,0.5140168389192911,0.11389601892395189,0.0036571231577818735,3.6496362928883173,0.12108272456317809,0.003161304746820875
2.0,0.695710995707482,4.422019848738403,19.41504,19.41504,0.9989298121408696,0.37518924848183105,0.5099511937166057,0.612398934339831,0.11398539778449143,1.6563439553573258,0.27098510317867425,0.2465243618451549,0.19910338744544936,0.189070921162253,0.34188274354507653,0.08171380685805382,0.717442169006925,0.2045002711006687,0.2045002711006687,0.562881350517273,0.5508923913903467,0.4091523500136073,0.11389601892395189,0.0018518494349921897,1.8575153620477067,0.04436535947120703,0.0016487114677756261
3.0,0.6864091793120868,3.2588194106427695,29.12256,29.12256,0.9989298121408696,0.3703194895772355,0.5206050503087367,0.6273882818920122,0.11398539778449143,1.7634954061524293,0.2763975882999351,0.23950520347490237,0.20652271742565964,0.20006685225096044,0.3377705893960446,0.08096982702957993,0.7109100721390736,0.17793904208998548,0.2045002711006687,0.46064063906669617,0.48999333735638845,0.35075315315132227,0.11389601892395189,0.0014033397633641,1.4132516707268223,0.03772175903508838,0.0012031044451554782
4.0,0.675275957623834,2.3706243120647033,38.83008,38.83008,0.9989298121408696,0.3532027419739049,0.5074535272096369,0.6309390958603078,0.11398539778449143,1.7958393147785352,0.2786143266163293,0.22530136118319716,0.24757427134310359,0.203776550705466,0.34215804086794216,0.0813394713700257,0.7141555265802212,0.1598806224685568,0.20462971335563795,0.45361244678497314,0.452150144864535,0.314798753864158,0.11389601892395189,0.0013465105280994574,1.3622963709458418,0.028137791373639764,0.0011739015231763085
5.0,0.6692079934474868,1.8037291587276865,48.5376,48.5376,0.9989298121408696,0.338728571706428,0.5257959276670354,0.6361564524605374,0.11398539778449143,1.7945748030384032,0.2819102526839487,0.2166326321294983,0.2586150161949392,0.20270187770938614,0.33655533813769856,0.08029608619851293,0.7049946693231345,0.12995416554327313,0.20450951154489178,0.3783791661262512,0.41933974841621496,0.29110298157001857,0.11389601892395189,0.001199086788682013,1.2168899448151933,0.01862095983097086,0.001071953819540899
6.0,0.6627583185785972,1.8135457921642781,48.5376,48.5376,0.0,0.3503127545249637,0.5487624973111223,0.64904271400879,0.11398539778449143,1.8919033438942698,0.2888613238741558,0.22486430026289203,0.2604375372092442,0.2131821468319846,0.33655533813769856,0.08029608619851293,0.7049946693231345,0.12995416554327313,0.20450951154489178,0.3783791661262512,0.41933974841621496,0.29110298157001857,0.11389601892395189,0.0,0.0,,
7.0,0.652296847892843,1.94633347749209,50.2016,50.2016,0.17123005746085582,0.35797709343750456,0.5547431764443295,0.648583977557358,0.11398539778449143,1.8416268163829748,0.28392442055098954,0.23048637950957182,0.25748912486236264,0.20783106884667207,0.3371238534005174,0.0802678344573111,0.7047466207831702,0.1291862765159266,0.20452799493876814,0.3761582374572754,0.40997694549055846,0.2826665686988252,0.11389601892395189,0.02609083807136346,0.21327927598031238,0.02609083807136346,
8.0,0.6509619104101299,1.8932999376362574,50.2016,50.2016,0.0,0.3219051802224196,0.5346241192676479,0.6533353400153707,0.11398539778449143,1.9073776732097114,0.28976211601491314,0.20883990565104904,0.26734850186706055,0.21426313028895114,0.3371238534005174,0.0802678344573111,0.7047466207831702,0.1291862765159266,0.20452799493876814,0.3761582374572754,0.40997694549055846,0.2826665686988252,0.11389601892395189,0.0,0.0,,
9.0,0.6440272928356562,2.1272661944071833,51.8656,51.8656,0.17123005746085582,0.33762845417488396,0.5214920329794754,0.6505618149327858,0.11398539778449143,1.8783745064216302,0.28914763373800345,0.21573013835520297,0.26769190105537305,0.21259390736595393,0.337420949121059,0.08025427756939382,0.7046275921459504,0.12322745320476461,0.20452799493876814,0.3802839517593384,0.39849531673492306,0.27248886055922483,0.11389601892395189,0.02912410982964224,0.27618277724832296,0.02912410982964224,
10.0,0.6455220906426467,1.9187840706236585,51.8656,51.8656,0.0,0.34132867820456825,0.5487006105283746,0.659089427344516,0.11398539778449143,1.9472750947889363,0.2967356842132726,0.21900577260335236,0.268523896374317,0.21882155028328468,0.337420949121059,0.08025427756939382,0.7046275921459504,0.12322745320476461,0.20452799493876814,0.3802839517593384,0.39849531673492306,0.27248886055922483,0.11389601892395189,0.0,0.0,,
