round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_auprc,fed_prevalence,fed_auprc_lift,fed_brier,fed_f1_best,fed_ece,fed_f1_best_threshold,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.688636659710752,0.10894598610924806,3.65056,3.65056,0.9971592150692714,0.2076478122760485,0.17137132824595697,0.11429290704260812,1.4795222009709974,0.2488655782874218,0.2484247538697595,0.38642883428513536,0.4971207703433079,0.5662529005938939,0.3948518208426214,0.08902552779883763,0.7816386265289902,0.2045002711006687,0.20450951154489178,0.5217894911766052,0.42160320508773463,0.27914430896634784,0.11389601892395189,0.027248879689726616,2.934788331622258,0.023046865193986164,0.03003819838585378
2.0,0.6807896689088174,0.13985461587652526,7.30112,7.30112,0.9971592150692714,0.2508708455590006,0.21009128220416728,0.11429290704260812,1.8165083585221897,0.23517061259243463,0.283121647426874,0.3697764109267981,0.5305620203201104,0.6439611428480991,0.37008562842308257,0.08427249600310546,0.7399073014077342,0.2045002711006687,0.20451875282422052,0.5163108110427856,0.42442948305887035,0.2824472223208851,0.11389601892395189,0.020230258936608393,2.3041005954146385,0.016853954578457845,0.022484923648477175
3.0,0.6713845161159531,0.20612997589883078,10.95168,10.95168,0.9971592150692714,0.2627262538957834,0.21604155060523875,0.11429290704260812,1.8752198752774565,0.23458646129633753,0.2883966550303238,0.3693571752045707,0.5363447226701656,0.6552600883073333,0.3907265650659707,0.08679424124971993,0.7620480686657911,0.2045002711006687,0.20450951154489178,0.5159220099449158,0.4265801761091443,0.2844579803231053,0.11389601892395189,0.014064702119321558,1.7268074969761074,0.012058309374537675,0.015441424816027685
4.0,0.6620832446306345,0.24958978919060462,14.60224,14.60224,0.9971592150692714,0.2728191780300288,0.22176352674192545,0.11429290704260812,1.9342866652438861,0.22913700902118056,0.29370266527939454,0.3616375360178134,0.5328429181754039,0.6630691000940003,0.3559285040667,0.08249647411673902,0.7243139391186423,0.2045002711006687,0.20454648167397296,0.5105209350585938,0.42966233163650563,0.28819140791722553,0.11389601892395189,0.01068820967755611,1.405737440334633,0.010689842063730547,0.010687049200194186
5.0,0.6613089523260814,0.35952731917055025,18.2528,18.2528,0.9971592150692714,0.2808394746049534,0.2241337679691194,0.11429290704260812,1.954767450874151,0.2085441825824268,0.29758768648619316,0.32892251907194214,0.5259943615123035,0.6651324924880441,0.3572305975311012,0.08257987901350866,0.7250462289524541,0.2045002711006687,0.20452799493876814,0.5142024159431458,0.4462714622314589,0.30428888750207705,0.11389601892395189,0.009976717912675171,1.396369574824348,0.009320583346234883,0.010465820561139929
6.0,0.6506811565239216,0.31990560766717235,18.2528,18.2528,0.0,0.29362094464314265,0.23667458103112085,0.11429290704260812,2.070498504655163,0.2073348781117749,0.30906725905174537,0.329641500156284,0.5120582309796488,0.6806048115610979,0.3572305975311012,0.08257987901350866,0.7250462289524541,0.2045002711006687,0.20452799493876814,0.5142024159431458,0.4462714622314589,0.30428888750207705,0.11389601892395189,0.0,0.0,,
7.0,0.648258519063655,0.31315941243318496,21.90336,21.90336,0.9971592150692714,0.2749219446415775,0.2266615498672027,0.11429290704260812,1.9762370378276142,0.2322667363002455,0.2989451082911526,0.3646969175491049,0.5449914596470766,0.6681981479453223,0.3876190698256013,0.08617714276476623,0.7566299821445605,0.2045002711006687,0.20452799493876814,0.5112842917442322,0.4358388219759745,0.29373910598130926,0.11389601892395189,0.008767126747333756,1.3085009971400723,0.008064306337149538,0.00930871037353151
8.0,0.6435029172876452,0.3059624429340141,21.90336,21.90336,0.0,0.2886303556668947,0.24114190706177216,0.11429290704260812,2.104762184423236,0.21134715667147802,0.31218600341796265,0.3353561276643934,0.5526483610391512,0.6845362612640781,0.3876190698256013,0.08617714276476623,0.7566299821445605,0.2045002711006687,0.20452799493876814,0.5112842917442322,0.4358388219759745,0.29373910598130926,0.11389601892395189,0.0,0.0,,
9.0,0.6453812885438934,0.41785004434408346,25.55392,25.55392,0.9971592150692714,0.28515307321299516,0.23053379628901705,0.11429290704260812,2.013140479331875,0.2180625122492137,0.2990418946674595,0.3460812902353402,0.5191822265245458,0.6707860751764432,0.3842532441211215,0.08589055592777689,0.754113767445426,0.2045002711006687,0.20451875282422052,0.5125164985656738,0.4389570239169938,0.29657750008776557,0.11389601892395189,0.008224411359842393,1.3041057892842218,0.00759023900734021,0.008731569725996719
10.0,0.6440400067263138,0.5122616233910317,25.55392,25.55392,0.0,0.2954274281394144,0.24492188516885977,0.11429290704260812,2.1447491100682674,0.2207461559703161,0.313404469023641,0.3509505212328547,0.547042381741701,0.6878009079886437,0.3842532441211215,0.08589055592777689,0.754113767445426,0.2045002711006687,0.20451875282422052,0.5125164985656738,0.4389570239169938,0.29657750008776557,0.11389601892395189,0.0,0.0,,
11.0,0.6403010628940345,0.3693387607886665,29.20448,29.20448,0.9971592150692714,0.28402440530293516,0.23455908836794812,0.11429290704260812,2.047847697498285,0.21648496466148157,0.3008482507809199,0.34377160440105586,0.523661691401677,0.67223034455486,0.3873906823533475,0.08629442877911658,0.7576597460946829,0.2045002711006687,0.20450951154489178,0.5088388919830322,0.4408161601978745,0.2983767324108397,0.11389601892395189,0.00772664156312243,1.2976520487572998,0.006956147202967965,0.00836248905584741
12.0,0.6382150853380251,0.38644623563607017,29.20448,29.20448,0.0,0.29920815524650235,0.2479651421505517,0.11429290704260812,2.1806749749626047,0.2065017672960995,0.3154488384003897,0.3258294988625454,0.5509812309207938,0.6894103332368782,0.3873906823533475,0.08629442877911658,0.7576597460946829,0.2045002711006687,0.20450951154489178,0.5088388919830322,0.4408161601978745,0.2983767324108397,0.11389601892395189,0.0,0.0,,
13.0,0.6394540063254269,0.41105108331025086,32.85504,32.85504,0.9971592150692714,0.2839169647427206,0.23494257821735612,0.11429290704260812,2.048767381651785,0.21799536210158355,0.30183404616858717,0.343546014381116,0.5342009225503278,0.6732910516173904,0.4122752286522657,0.09000009209462154,0.7901952407547659,0.2045002711006687,0.20451875282422052,0.5113998055458069,0.4416853496206264,0.29859836395906575,0.11389601892395189,0.007690169831342479,1.3692152523435652,0.0067603758121116886,0.008481192999043366
14.0,0.6409876398424742,0.5386029303560712,32.85504,32.85504,0.0,0.29836990033190486,0.25320461721611576,0.11429290704260812,2.216474852887494,0.20859350280265912,0.31882956094544423,0.3311518388540369,0.5300156260757422,0.6915767494004276,0.4122752286522657,0.09000009209462154,0.7901952407547659,0.2045002711006687,0.20451875282422052,0.5113998055458069,0.4416853496206264,0.29859836395906575,0.11389601892395189,0.0,0.0,,
15.0,0.6365990380587243,0.4320496871506495,36.5056,36.5056,0.9971592150692714,0.28861088396938017,0.23915874302029397,0.11429290704260812,2.085040355413272,0.20994666397943612,0.30275863625329785,0.3321670332680986,0.5203296798251186,0.6758071529020849,0.3853507940715788,0.08595950593226939,0.7547191442192932,0.2045002711006687,0.204578488372093,0.5195821523666382,0.4420213820326039,0.299612950354085,0.11389601892395189,0.00715527323285032,1.353773662704043,0.006050446661335836,0.008123986117376913
