round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_prevalence,fed_brier,fed_f1_best_threshold,fed_auprc,fed_ece,fed_auprc_lift,fed_f1,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,11.30789770934407,317.7429971644201,3.65056,3.65056,0.9971592150692714,0.26844999213677695,0.11379657603222558,0.2526786758620363,0.5184932936973352,0.19733992326402866,0.3913101444634246,1.7402977287548944,0.19175197139164724,0.6231740118223748,0.6411423911494439,0.20861848587232387,1.8316573998220074,0.24447985431368086,0.27615679339817273,0.4932398498058319,0.3735935098857079,0.2396173972373649,0.11389601892395189,0.02447468854984649,2.6248966546263546,0.02098556574153237,0.026824447673341353
2.0,11.048105493766311,314.9008996797166,5.632,5.632,0.5412350858791136,0.2883013142889544,0.11379657603222558,0.23954640000226252,0.5223112207089907,0.2183916010313573,0.37623784575360003,1.9320127497333517,0.24213220387903775,0.6563092103511263,0.6476266050184053,0.205750676848037,1.8064782140051467,0.2606352261790183,0.279665446941976,0.4869305491447449,0.36775105690054954,0.2348279540437238,0.11389601892395189,0.017959499526838313,1.1995364725589752,,0.017959499526838313
3.0,10.636874209017147,359.2720604415746,7.61344,7.61344,0.5412350858791136,0.3015953411093978,0.11379657603222558,0.24394120962937266,0.5451842983124808,0.23073325634066544,0.382880017782251,2.048436596229151,0.2562844633121336,0.6688604879579112,0.6501261044207752,0.20840093672734766,1.8297473317877466,0.2668495969816498,0.2790292470441817,0.486575186252594,0.36788509676858316,0.2348238528427634,0.11389601892395189,0.012781271439649558,0.8966525283176452,,0.012781271439649558
4.0,10.211823100833135,415.804462094393,9.59488,9.59488,0.5412350858791136,0.31032318606729903,0.11379657603222558,0.2358939331820647,0.541929279156742,0.23626813834006766,0.37271173687582354,2.0997281909311494,0.2780022318085939,0.6743804512216928,0.6546115922096819,0.19945932992279578,1.7512405772143302,0.26539773747530976,0.2798753894080997,0.4800078868865967,0.3642148685608916,0.23209278226828822,0.11389601892395189,0.009801411680233895,0.7180600583087653,,0.009801411680233895
5.0,10.411972090003678,501.9166047885168,11.264,11.264,0.4559241291901578,0.28638056633580755,0.11379657603222558,0.2336761831170755,0.5391802430839426,0.21606807282451845,0.36829101819308685,1.9118045964922776,0.26225313706465947,0.6533125433610936,0.6613944830301043,0.20364379875525002,1.7879799546920294,0.28310091467986204,0.283983451536643,0.4991462230682373,0.3659180970708295,0.23314172713118073,0.11389601892395189,0.01627534367905156,0.7389965383335948,0.01627534367905156,
6.0,10.200249618638974,431.83977873835573,13.24544,13.24544,0.5412350858791136,0.29591244047520776,0.11379657603222558,0.2410667824396245,0.556879811397822,0.22204024328406552,0.3784603164958029,1.9687650338595861,0.27166765401852777,0.6620377748899837,0.6545783110636619,0.19177702676638103,1.6837904307650131,0.2814954445491675,0.28411053540587217,0.49637749791145325,0.3666218447363654,0.23395233194680914,0.11389601892395189,0.008536439802115383,0.6482563985045999,,0.008536439802115383
7.0,9.671511219744913,455.03715532746526,15.22688,15.22688,0.5412350858791136,0.3047680892399539,0.11379657603222558,0.24059421865626357,0.5500867120407651,0.2332359201227809,0.3785985896320711,2.074769339037193,0.27943719093886654,0.6711331994176605,0.64540362023572,0.18106517310821146,1.5897410183327678,0.20502732240437158,0.27906458797327394,0.480349600315094,0.3660317846825645,0.2336903173810223,0.11389601892395189,0.007984003127733875,0.6264576897956431,,0.007984003127733875
8.0,9.277234650478825,527.9391902261408,17.20832,17.20832,0.5412350858791136,0.313763727230179,0.11379657603222558,0.23383363272879668,0.5626818713209659,0.2420038507270101,0.3705404631395835,2.1591297124768394,0.2925924830033819,0.6785843056682782,0.6401419112082114,0.18194459079366643,1.5974622512060797,0.21677740863787376,0.28002619515389654,0.4904325306415558,0.3681148401419778,0.23533693591926427,0.11389601892395189,0.007779370086752462,0.6321738483384252,,0.007779370086752462
9.0,8.723453009646779,570.7565567626057,19.18976,19.18976,0.5412350858791136,0.32628830739636716,0.11379657603222558,0.2352881666588576,0.5734623476078833,0.2520353032029816,0.37310669779372363,2.2615869514493743,0.2922168277973945,0.6890107036519106,0.6464352102678208,0.1822413836636835,1.6000680742438036,0.17575140091696384,0.28118203914545226,0.4881441295146942,0.3658019818290202,0.23355679294654175,0.11389601892395189,0.006694585458733129,0.5633096963865682,,0.006694585458733129
10.0,9.713013761071407,600.6523250561131,22.84032,22.84032,0.9971592150692714,0.28631019585474815,0.11379657603222558,0.24171714054352011,0.5721795696611371,0.21603839186155657,0.37838055369934703,1.9059361680779636,0.26128126957927733,0.6545494517377298,0.6465000532849722,0.17910881597938602,1.5725643237712863,0.22845468053491827,0.27812223206377323,0.49233323335647583,0.36687754756749513,0.23429040566859513,0.11389601892395189,0.009057156076475758,1.2252259596716613,0.012247161315579867,0.007241412984491154
