round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_ece,fed_auroc,fed_f1_best_threshold,fed_prevalence,fed_auprc_lift,fed_auprc,fed_f1_best,fed_brier,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6880790767425882,0.09365187886930004,3.66096,3.66096,1.0,0.3673677623373247,0.6610945109328564,0.5209041823709579,0.11563640941709682,1.9494834966201804,0.2210962257589529,0.2950370914108447,0.23315468659498695,0.27399589458635615,0.6528959315631211,0.21164045782366236,1.8581901266011256,0.27044025157232704,0.27301509985387235,0.5109160542488098,0.3691750600708288,0.2336631715783655,0.11389601892395189,0.02438000477767399,2.642506433442122,0.021701103706769122,0.02628104652849776,0.010991390018348538
2.0,0.6611822105311747,0.18434477620327858,7.32192,7.32192,1.0,0.3393571945579154,0.6661438910543678,0.5093072427789165,0.11563640941709682,2.0180650602824346,0.22852710715758542,0.3003967169595179,0.21416851836015474,0.2804807977434167,0.6608143469749722,0.21925128958678797,1.9250127586389263,0.27705212702216897,0.2825166364186328,0.5335652828216553,0.34223976907243403,0.21529490236615317,0.11389601892395189,0.016107342751125946,1.8637992379426578,0.0159697808726028,0.016289338613099804,0.006385261860676761
3.0,0.6493360773142216,0.2652489128096581,10.98288,10.98288,1.0,0.3260812384103267,0.6696181784920827,0.525327216356854,0.11563640941709682,2.0604912825708133,0.23340267813037394,0.3040625215308952,0.20711625315564489,0.2841310776168738,0.6633442411494614,0.22364007890507517,1.9635460573419967,0.27858677488660777,0.2840073529411765,0.542628824710846,0.32904336971118636,0.2086273775819896,0.11389601892395189,0.01217589855213407,1.5042560009833323,0.012668917568872892,0.011902667084214294,0.005128302212335279
4.0,0.6471087086971391,0.35112396295054255,14.64384,14.64384,1.0,0.35146599632339515,0.6723818008245037,0.5478328649926872,0.11563640941709682,2.0931276941447856,0.23685279396719203,0.30922395121227536,0.2234220038925825,0.28507133252143807,0.662793759448796,0.22465922348851716,1.9724940837354605,0.274082690070847,0.2823936696340257,0.5254800319671631,0.3544281605364685,0.22524839122201154,0.11389601892395189,0.010466102603842104,1.3789644275630053,0.010985775771243248,0.010143669941798453,0.004931231687619902
5.0,0.6429387777924337,0.2748247738554991,18.3048,18.3048,1.0,0.34787129550744533,0.6733729372868129,0.5337356672199339,0.11563640941709682,2.115559106649115,0.23929017182848722,0.30923282511001826,0.2203175377230077,0.2843217126349783,0.6628136377803553,0.22487041432861168,1.9743483262462154,0.27652173913043476,0.2818396226415094,0.5108897686004639,0.3507817138868199,0.22227834084900644,0.11389601892395189,0.009024841381178424,1.2600838446869602,0.008973852493707413,0.009097243179130661,0.004517754360109166
6.0,0.6430863348960598,0.2920002549760192,21.96576,21.96576,1.0,0.34104721451697145,0.6752166914762374,0.5529670804686471,0.11563640941709682,2.1292240757913095,0.2411215162822712,0.31446965620545075,0.21619776801271534,0.2866284789430044,0.6636316486932583,0.22564054253054372,1.981110004215366,0.27955555555555556,0.28382278051264637,0.5626216530799866,0.3441661650063593,0.21835357929634977,0.11389601892395189,0.00892455719110107,1.3213925335562635,0.008478445273090815,0.009307458922981002,0.003809252014000574
7.0,0.6404447859409532,0.3351272900261435,25.62672,25.62672,1.0,0.33048836153831196,0.676923849302325,0.5344420809818877,0.11563640941709682,2.1445715146470743,0.2430232044735236,0.316999233537382,0.20854666101669947,0.29263494313235855,0.6628921220515502,0.2267434022659547,1.9907930444640982,0.27904205885857264,0.2811869778161913,0.5273547768592834,0.33373324970224316,0.21071198068245134,0.11389601892395189,0.008482779863136981,1.3349368155795673,0.007962431030960738,0.008936153453116913,0.003615609080252062
8.0,0.6423756638345369,0.3188816796942459,29.28768,29.28768,1.0,0.3319133909886541,0.678739608786437,0.5546360049074548,0.11563640941709682,2.151669992757336,0.2439843432019599,0.3154751475300266,0.21078332417468584,0.2915119880888788,0.663294005694138,0.22583080633484565,1.9827805086465082,0.2810711833371481,0.28248136315228967,0.530057430267334,0.3353039083475615,0.21341316586206072,0.11389601892395189,0.007600027267731991,1.2701183433719052,0.006811786091931187,0.008273626973138725,0.00545820482464766
9.0,0.6405253987347164,0.37382984675183767,32.94864,32.94864,1.0,0.3357331371956097,0.6820832541412309,0.5548269826185789,0.11563640941709682,2.1915917883684832,0.2487522614297363,0.3214529976462581,0.21330647514368417,0.29419932506894386,0.6634771900412169,0.22651260852147115,1.988766689665537,0.2770534550195567,0.28512510310695627,0.5406277179718018,0.3390979092971081,0.21631886476094336,0.11389601892395189,0.007430263656299195,1.3183461320804781,0.006551387487572121,0.00821225030020308,0.0037839756861222417
10.0,0.6405268424164408,0.4383702734704478,36.6096,36.6096,1.0,0.3533668864631434,0.6839663942681545,0.5622034155551814,0.11563640941709682,2.212195995130362,0.25126809062857397,0.3228859850114017,0.22370106167274784,0.2945749671942555,0.6622984325885367,0.2261289703563512,1.985398370309475,0.27287082850826405,0.2848084544253633,0.5399675369262695,0.3566336190252348,0.22682220074261025,0.11389601892395189,0.007678341306316885,1.4486543920966142,0.006453155264869001,0.008786423820796611,0.004708047326426028
11.0,0.6434327475592493,0.3704228220299427,40.27056,40.27056,1.0,0.3401969773782812,0.6858735053646678,0.5651460039901535,0.11563640941709682,2.231281117046345,0.2536064558778324,0.32405298363851504,0.21539565385176324,0.2998909797646682,0.662425307545649,0.2241917046738702,1.9683892974658095,0.27382210014789776,0.2817844755412032,0.521095871925354,0.34387433053681427,0.21909149217823354,0.11389601892395189,0.006787189212137486,1.3576572803067393,0.005748279140649326,0.0077548494159055455,0.003897735550413153
12.0,0.6382130333087641,0.45483515228491483,43.93152,43.93152,1.0,0.33520808825007864,0.6876464901084679,0.5577850351645937,0.11563640941709682,2.257369632029865,0.2567002232852115,0.32721828906737904,0.21246114631555818,0.2956326370071585,0.6631143979408056,0.22716658273029106,1.9945085427610043,0.27582568323309065,0.28258221680876977,0.5356842279434204,0.3382033494572208,0.21583031498779678,0.11389601892395189,0.007306502152779379,1.5493151274367847,0.0056085438056186895,0.008911838730362734,0.0043036262324058034
13.0,0.6369339824379407,0.5018397349844176,47.59248,47.59248,1.0,0.34813179947219175,0.6899348312452,0.574590940197739,0.11563640941709682,2.278284882978949,0.25916842802685025,0.3285544386834822,0.22340640843176726,0.28927139479585245,0.6622333134834473,0.22683909739720215,1.9916332417962923,0.26882637112816143,0.2833758218167181,0.5640497207641602,0.35215650701921514,0.22825869454120384,0.11389601892395189,0.006940462550694705,1.5649403720926784,0.005428430609582479,0.008395980403898872,0.004563918017298427
