round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_brier,fed_ece,fed_f1_best_threshold,fed_auprc,fed_f1,fed_f1_best,fed_prevalence,fed_auprc_lift,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.604224975411486,90.16388420406047,17.28972,17.28972,1.0,0.16913058667661673,0.35154848491055324,0.42774192825786356,0.9903490078746171,0.8628461099846554,0.9783412207940543,0.9580209895052474,1.0336961319994216,0.8344230009690383,0.41233375529404415,0.9611423934742136,0.9938579158926242,0.9832657200811359,0.9832657200811359,0.5364372730255127,0.4293901928047884,0.21621360770071105,0.9670822942643391,0.0030730069083278492,1.8427071213645831,0.000789756804488464,0.003458424049143582,0.0025526328850070104
2.0,0.8277656594958616,41.237117740328515,34.57944,34.57944,1.0,0.23129063625550902,0.4349207985347536,0.30655081800256356,0.9775538004755001,0.7060000591479586,0.9793407210439292,0.9580209895052474,1.0217952371069412,0.7445856486594737,0.7341647522152939,0.9881667117982083,1.021802092395775,0.9832657200811359,0.9832657200811359,0.531101644039154,0.4351682837764521,0.22119340664694764,0.9670822942643391,0.0012599619133866378,0.7613854635840198,0.0004095786598877141,0.0014027795339210628,0.0009242531821525014
3.0,1.061782952315258,66.45431434661666,51.86916,51.86916,1.0,0.2690653011778708,0.4736171350933087,0.2480329112491865,0.9877024428940849,0.6484181351773954,0.9800599700149927,0.9580209895052474,1.0323733675275666,0.8297816434868597,0.7210136433963149,0.9877954225431961,1.0214181651362084,0.9832657200811359,0.9832657200811359,0.5337796211242676,0.430150705947543,0.21679156015934792,0.9670822942643391,0.0012236346537649895,0.7414169120331735,0.0003780544539169377,0.0013653983680725259,0.0009917130979184485
4.0,0.7288689159739441,20.681662011352536,69.15888,69.15888,1.0,0.10885512206393506,0.2673013089657545,0.5276281948032409,0.9920000839160537,0.9783412207940543,0.9783412207940543,0.9580209895052474,1.0354170811648689,0.8718698818476516,0.7958139934674229,0.9915101597887703,1.0252593452173722,0.9832657200811359,0.9832657200811359,0.5343838930130005,0.4313628654230265,0.21787278960749673,0.9670822942643391,0.0017892331866822737,1.0874550969958818,0.0007291904033971831,0.0019649011859948344,0.003124822221014238
5.0,1.0591908653973205,35.65839398658325,86.4486,86.4486,1.0,0.2849119557572916,0.48599201429640876,0.20356430683000157,0.9912768241354868,0.5911862150512396,0.9783412207940543,0.9580209895052474,1.03466321321177,0.8714647378505104,0.789941706909216,0.9910598741543037,1.0247937326866319,0.9832657200811359,0.9832657200811359,0.5394822955131531,0.4233553549595307,0.21094159052775274,0.9670822942643391,0.0012362919266297042,0.754357943802404,0.000289212475441642,0.001394349334035014,0.0011866570305059934
6.0,0.7652855304535248,24.583219490541712,103.73832,103.73832,1.0,0.41946871395778357,0.6139788056599504,0.14324646859780243,0.9926752160836263,0.20672785969884255,0.9783412207940543,0.9580209895052474,1.0361207847564609,0.8738377241194798,0.7776853110788128,0.9905774665320841,1.0242949047946512,0.9832657200811359,0.9832657200811359,0.5353915095329285,0.42460589251316094,0.2119963185983994,0.9670822942643391,0.001225404007886128,0.7498884515634359,0.0007271223191484593,0.0013073717519447206,0.0021719616575054546
7.0,1.0200044362499356,38.32640378793641,121.02804,121.02804,1.0,0.41787557690735044,0.6108285603092528,0.1476555376396008,0.9914598863522929,0.23642535578683688,0.9800599700149927,0.9580209895052474,1.0362898250506203,0.8443089496700623,0.7484020191601419,0.9890018830585554,1.0226656913524517,0.9832657200811359,0.9832657200811359,0.5723229050636292,0.3812711394041256,0.17690103639530172,0.9670822942643391,0.0014304083270187066,0.8783811198311469,0.0004043483482659112,0.0016012409589266977,0.0012133544019672573
8.0,0.8029668337959339,25.36677201925914,138.31776,138.31776,1.0,0.45956918217271925,0.6436199865134983,0.017983794536279598,0.9871438307532394,0.16025320672996832,0.9783412207940543,0.9580209895052474,1.0303553125860732,0.8031690354752963,0.7099918733492742,0.9854336975222585,1.0189760513316803,0.9832657200811359,0.9832657200811359,0.544204831123352,0.41483698818749026,0.20383900717242187,0.9670822942643391,0.0011283778384346221,0.6954547095742214,0.0007541498938503697,0.0011893001919115345,0.0022150696144419015
9.0,1.23337893826728,46.54293380034088,155.60748,155.60748,1.0,0.271312928711913,0.47128301204323236,0.16582400283624027,0.9942317120697163,0.6361643084540974,0.9793407210439292,0.9580209895052474,1.0391789537372764,0.8892799333527247,0.7975057433541187,0.9907532986820041,1.024476721948127,0.9832657200811359,0.9832657200811359,0.5722655057907104,0.3834743882057971,0.17851331886354746,0.9670822942643391,0.0016705923329753253,1.0337393219726891,0.0003662285200267376,0.0018860405105376153,0.0022092326323997985
10.0,0.7635827736646889,21.923946719888974,172.8972,172.8972,1.0,0.5706408134051331,0.7246775335926878,0.042425201219999445,0.9886767630639639,0.09155003336655027,0.9793407210439292,0.9580209895052474,1.0333889206826912,0.8051836150890072,0.8050189882319847,0.9915144324321372,1.0252637632936747,0.9832657200811359,0.9832657200811359,0.5362181067466736,0.4218027930009989,0.20955938118275497,0.9670822942643391,0.0013551282524253384,0.8425205835075928,0.0008139973165486758,0.0014414830009249473,0.004094896106375731
11.0,1.067010896601045,37.98949085478581,190.18692,190.18692,1.0,0.15462687863107238,0.33181882259817136,0.14953091921566844,0.9923045325742679,0.8927907180430404,0.9793407210439292,0.9580209895052474,1.0371702164888856,0.8588362558532646,0.7835419694625471,0.9905877238454968,1.02430551124818,0.9832657200811359,0.9832657200811359,0.5777688026428223,0.367746065085071,0.16655836462307397,0.9670822942643391,0.001036182360059566,0.6473319137418798,0.0006089752655935875,0.0011043065068543658,0.003026659411652534
12.0,0.7649334529373347,22.50389779665198,207.47664,207.47664,1.0,0.15150698850562622,0.2958383635691796,0.17590313577937938,0.9956363179081504,0.8591015327149925,0.9793407210439292,0.9580209895052474,1.0406430021425408,0.9060644703771416,0.7179856845921828,0.9882345038027857,1.021872191915722,0.9832657200811359,0.9832657200811359,0.557485818862915,0.3960412972585816,0.18847508342817607,0.9670822942643391,0.0011319045437095934,0.7093637321401616,0.0006426466656973114,0.0012097440531185129,0.003624656940669493
