round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_auprc_lift,fed_prevalence,fed_ece,fed_f1_best_threshold,fed_f1_best,fed_auprc,fed_brier,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
11.0,0.6392268485207389,0.389660457048768,5.4816,21.90336,0.0,0.6887980112921492,2.2715939806336176,0.11467774420946628,0.34236284062146294,0.5476358107385889,0.32146053785285084,0.25641338205818187,0.21562213989341464,0.29342102403511244,0.6472203039688043,0.21904376496396888,1.92319070528904,0.27629682997118155,0.2835951134380454,0.49348998069763184,0.37860235183076635,0.24283549614116315,0.11389601892395189,0.0,0.0,,
12.0,0.6212718694672655,0.47519011845879966,5.4816,21.90336,0.0,0.6985079947113567,2.416649418977421,0.11467774420946628,0.3460031844446227,0.5649879672709939,0.3309977009527519,0.2723664944022382,0.21808801435705866,0.29330225136711635,0.6472203039688043,0.21904376496396888,1.92319070528904,0.27629682997118155,0.2835951134380454,0.49348998069763184,0.37860235183076635,0.24283549614116315,0.11389601892395189,0.0,0.0,,
13.0,0.6465171359947288,0.325551737053807,6.3952,25.55392,0.9971592150692714,0.6650654911249874,2.0249900029330283,0.11467774420946628,0.34043690139073257,0.5398869974949478,0.30118793678874944,0.2305597687170517,0.21611901617759766,0.2725951335062768,0.6599368642102638,0.21979571997128433,1.9297928237337376,0.28023507578100837,0.2833996170275445,0.4988209307193756,0.3790959501786659,0.2431923859948916,0.11389601892395189,0.00869636724483228,1.3609856637194753,0.0068044472483854215,0.01024631200419436
14.0,0.6468931534529709,0.3387218071570318,6.3952,25.55392,0.0,0.6769883246371832,2.160054772305734,0.11467774420946628,0.3046699969005589,0.5421760153618134,0.3105839676454804,0.24499079624235848,0.19425395236139026,0.2899334550421956,0.6599368642102638,0.21979571997128433,1.9297928237337376,0.28023507578100837,0.2833996170275445,0.4988209307193756,0.3790959501786659,0.2431923859948916,0.11389601892395189,0.0,0.0,,
15.0,0.631351826030537,0.3880012289014651,6.3952,25.55392,0.0,0.6904275783339507,2.3113737961482403,0.11467774420946628,0.3366472909235454,0.5571578516336935,0.32157950339673486,0.2615281657733015,0.21249019168507574,0.2926660930381432,0.6599368642102638,0.21979571997128433,1.9297928237337376,0.28023507578100837,0.2833996170275445,0.4988209307193756,0.3790959501786659,0.2431923859948916,0.11389601892395189,0.0,0.0,,
16.0,0.6140357354992285,0.4477565938727676,6.3952,25.55392,0.0,0.7016570450365345,2.4678986125005435,0.11467774420946628,0.32320029609874146,0.568263181499304,0.3343223282584691,0.27754211050078065,0.20432538735630854,0.30504102603257827,0.6599368642102638,0.21979571997128433,1.9297928237337376,0.28023507578100837,0.2833996170275445,0.4988209307193756,0.3790959501786659,0.2431923859948916,0.11389601892395189,0.0,0.0,,
17.0,0.6448617072655826,0.3701191977793393,7.3088,29.20448,0.9971592150692714,0.6679755824804748,2.0400091026357345,0.11467774420946628,0.3346668489165754,0.5451012701677741,0.30184094041381526,0.23236768229618454,0.21339131901124142,0.27795052539528603,0.669057931230912,0.21886358435430536,1.9216087306830283,0.2775700934579439,0.2828663793103448,0.4970516860485077,0.37421682885281243,0.23915110443927737,0.11389601892395189,0.007902773752720627,1.3104563942179084,0.006311444968493009,0.009233893402034453
18.0,0.6421999704653834,0.4526129564835498,7.3088,29.20448,0.0,0.6823883749900111,2.221504442734848,0.11467774420946628,0.3322528692856638,0.5469922133761741,0.3163827836631879,0.25203517992477276,0.20949132222950673,0.2929847686722609,0.669057931230912,0.21886358435430536,1.9216087306830283,0.2775700934579439,0.2828663793103448,0.4970516860485077,0.37421682885281243,0.23915110443927737,0.11389601892395189,0.0,0.0,,
19.0,0.6244316183757154,0.37985013162539233,7.3088,29.20448,0.0,0.6932713671644317,2.3479072355837416,0.11467774420946628,0.33576947985796585,0.576018094853287,0.32676346578536664,0.26609406098766686,0.213437992979309,0.2982461455576902,0.669057931230912,0.21886358435430536,1.9216087306830283,0.2775700934579439,0.2828663793103448,0.4970516860485077,0.37421682885281243,0.23915110443927737,0.11389601892395189,0.0,0.0,,
20.0,0.6125891673350907,0.5330211496401129,7.3088,29.20448,0.0,0.7012954699123516,2.4612778205074997,0.11467774420946628,0.32595412519104844,0.5729080104013045,0.33362385388014676,0.27799076116120547,0.20567447666810468,0.3011733063804374,0.669057931230912,0.21886358435430536,1.9216087306830283,0.2775700934579439,0.2828663793103448,0.4970516860485077,0.37421682885281243,0.23915110443927737,0.11389601892395189,0.0,0.0,,
21.0,0.6392368361177133,0.4413063589665027,8.2224,32.85504,0.9971592150692714,0.67074413877443,2.05475346299077,0.11467774420946628,0.35088506863759195,0.5612070688570794,0.3036948741670896,0.23437010448179244,0.22385586147513406,0.2767470626101753,0.6670037867719643,0.213448236113496,1.8740623081480565,0.27933477055743766,0.28189446735883944,0.49886244535446167,0.37247976055652365,0.2380891263569462,0.11389601892395189,0.007520482217249867,1.3167434209026396,0.005858423956508345,0.008940556862076118
