round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_f1,fed_auprc_lift,fed_f1_best,fed_auprc,fed_f1_best_threshold,fed_prevalence,fed_ece,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6896801083228333,0.09266803183236919,3.65056,3.65056,0.9971592150692714,0.6170564956180511,0.21763375059689796,1.7338126973228525,0.2704662800296243,0.19352308040885485,0.4965976218495085,0.1104186339313818,0.3827644685153732,0.24340801136155557,0.417090691725278,0.11265754039141007,0.9891262351024863,0.19661908705607248,0.20472654835204637,0.49595773220062256,0.3946055237456389,0.25682842196184713,0.11389601892395189,0.027103249364195472,2.9168771845288575,0.022947891833200777,0.029847332190907603
2.0,0.6837367307797068,0.11866507571883286,7.30112,7.30112,0.9971592150692714,0.6526393544751091,0.2538478603198167,1.9012919782148143,0.28983348058762914,0.20883618041909613,0.5366336752323748,0.1104186339313818,0.38775405907240695,0.24553691647491624,0.4762672298325165,0.13868662385966177,1.217659977670181,0.20434920204349202,0.20450951154489178,0.49885791540145874,0.4043211814735514,0.2642166660034904,0.11389601892395189,0.020895927267913974,2.387503441888839,0.0169274411076825,0.023532586184194577
3.0,0.6752670491442031,0.15626194665245935,10.95168,10.95168,0.9971592150692714,0.6664337078089132,0.26592692317113636,1.9550074135239401,0.294916931556144,0.21522644743774766,0.5550399366324151,0.1104186339313818,0.3662108803849796,0.230083746233755,0.4883416095294312,0.15105047169499783,1.3262137967776897,0.20452799493876814,0.20455572629485672,0.500491201877594,0.4083892200156208,0.2673511689304638,0.11389601892395189,0.014049413367362137,1.7227429039776325,0.011582675298655695,0.01571324282741809
4.0,0.6680689297173512,0.2414272277866159,14.60224,14.60224,0.9971592150692714,0.6712238053232548,0.27049844078270746,2.007736357613428,0.29608817985381486,0.22031701292562125,0.5525185606785078,0.1104186339313818,0.3629412959732272,0.22730810225771905,0.46531542369283285,0.1377733640484741,1.2096416130265717,0.20399254240371062,0.20459801387566318,0.499559611082077,0.401617015687261,0.2621451213777315,0.11389601892395189,0.011544929344572246,1.5017085478175431,0.010750124550485702,0.012096268380885828
5.0,0.6595456424941555,0.24413150375501372,18.2528,18.2528,0.9971592150692714,0.6728915194040467,0.2718823967505044,2.0298393238048558,0.2999660768322538,0.22289420942370286,0.5668732172837976,0.1104186339313818,0.35816776681929446,0.2245154915634297,0.44922406488889793,0.1132488966820266,0.9943183067499719,0.20459801387566318,0.20471294695660086,0.5009536147117615,0.413616971172176,0.27281208004266033,0.11389601892395189,0.00933260152333943,1.28657441935502,0.008991232038067048,0.009578353459449443
6.0,0.6538539075052049,0.2772776034196589,18.2528,18.2528,0.0,0.6889958539098434,0.28869903662493446,2.151932279078411,0.3142950306007986,0.23385164752363252,0.5309850052275822,0.1104186339313818,0.34429345520498766,0.21568249825819416,0.44922406488889793,0.1132488966820266,0.9943183067499719,0.20459801387566318,0.20471294695660086,0.5009536147117615,0.413616971172176,0.27281208004266033,0.11389601892395189,0.0,0.0,,
7.0,0.6436388091225028,0.3246016824932657,19.92192,19.92192,0.4559241291901578,0.68335711098301,0.2801621433202508,2.1100027174308407,0.3052428863522689,0.2306909067617051,0.5448295033781041,0.1104186339313818,0.3413196812861365,0.21182880600257672,0.43003246442770054,0.10677518661209544,0.9374795328306338,0.20456604457329225,0.20463600144875047,0.49981367588043213,0.41308367027808734,0.2724699597823921,0.11389601892395189,0.009359418865656485,0.5795935045462102,0.009359418865656485,
8.0,0.6370235699460858,0.38242831844765646,19.92192,19.92192,0.0,0.6954082163889831,0.29695928635797475,2.2127269440098765,0.3198881374586276,0.24030423893807412,0.5364373335438328,0.1104186339313818,0.33928379170997625,0.21228845094908474,0.43003246442770054,0.10677518661209544,0.9374795328306338,0.20456604457329225,0.20463600144875047,0.49981367588043213,0.41308367027808734,0.2724699597823921,0.11389601892395189,0.0,0.0,,
9.0,0.6482212997316212,0.27792996880479554,23.57248,23.57248,0.9971592150692714,0.6799856757016541,0.2763204339863175,2.08020398153638,0.30511604505875745,0.22767736921335496,0.5575633093850735,0.1104186339313818,0.3473695997550948,0.21692575467151104,0.4652120915071887,0.13006341195196147,1.1419487105936907,0.20380821289286533,0.20465242577842144,0.4972379207611084,0.4083253252838643,0.2679337925167646,0.11389601892395189,0.009080379525477038,1.3605215861462057,0.006778779634597028,0.010928119101262781
10.0,0.6471841610525961,0.37100671348182906,23.57248,23.57248,0.0,0.6931378879464138,0.2912692154770376,2.188043184071232,0.31659086926059765,0.23826970009704637,0.5462954216720851,0.1104186339313818,0.33879789009380723,0.2119885460036791,0.4652120915071887,0.13006341195196147,1.1419487105936907,0.20380821289286533,0.20465242577842144,0.4972379207611084,0.4083253252838643,0.2679337925167646,0.11389601892395189,0.0,0.0,,
