round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_prevalence,fed_auprc,fed_auroc,fed_auprc_lift,fed_f1,fed_f1_best_threshold,fed_ece,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.68846846819146,0.13104728205314223,0.45728,3.65056,0.9971592150692714,0.2679418027347464,0.11337740006295245,0.18800276126576984,0.6153990808264747,1.6658142184954725,0.21534428163808714,0.5095044329194931,0.3886067686476421,0.2496744038889313,0.6390464570161952,0.1728005140675607,1.5171778232471778,0.263542300669507,0.2651359254846746,0.5008230805397034,0.3807198191314263,0.24508219192678204,0.11389601892395189,0.03458036112530632,3.740593986120075,0.03077413125601272,0.03709940042706435
2.0,0.6801093049858025,0.13051385593979536,0.7056,5.632,0.5412350858791136,0.2856520887973352,0.11337740006295245,0.22130232673200634,0.6565719990277326,1.95809401762801,0.2593631642484182,0.5118437744665341,0.366357781574116,0.23160940770471844,0.6252028305137812,0.1571830742300866,1.3800576676436547,0.23256434191225497,0.2543636671750551,0.492289662361145,0.37378312957905413,0.23961238612711105,0.11389601892395189,0.030363600806833365,2.111977009801194,,0.030363600806833365
3.0,0.6669153646323489,0.23053513735725203,0.95392,7.61344,0.5412350858791136,0.295205446276284,0.11337740006295245,0.23130100751068136,0.670334481576008,2.0406660188524537,0.2648779990366196,0.5150089114538559,0.35415687610283564,0.2228744565804854,0.5816928397195569,0.13748365520683684,1.2070979873197707,0.19420935412026727,0.22899127506505434,0.4887731671333313,0.3727744332892923,0.23923815912193827,0.11389601892395189,0.025663770226183033,1.9190248353406787,,0.025663770226183033
4.0,0.6513194308565285,0.26819955971422066,1.20224,9.59488,0.5412350858791136,0.30509904014165823,0.11337740006295245,0.2422097506512313,0.6801139725885932,2.1405991129877227,0.2847632220927275,0.525064191975457,0.3365958852994206,0.21136833665656687,0.5861130703594047,0.1423402792392793,1.249738845870632,0.17150652894172677,0.23003710275850944,0.4844757914543152,0.3668535450089349,0.23475982362809358,0.11389601892395189,0.023830964652604238,1.894160544499755,,0.023830964652604238
5.0,0.6573543038743248,0.34976265501089926,1.4112,11.264,0.4559241291901578,0.2797941784524255,0.11337740006295245,0.2224571778676319,0.6549585371698855,1.9620147018599816,0.2635991973020771,0.49714911801844297,0.3520510914821388,0.22372503671568958,0.5698074798647811,0.13317274616566716,1.1692484726317458,0.1544684129429892,0.22471451876019574,0.474235475063324,0.3639785346459164,0.23276069987458767,0.11389601892395189,0.034032836393286206,1.5723114432767034,0.034032836393286206,
6.0,0.6517881490914879,0.4219873262582576,1.65952,13.24544,0.5412350858791136,0.29539956950107343,0.11337740006295245,0.23593604199605772,0.6699234712521981,2.0847263971360945,0.2749087811461653,0.5191868330534051,0.34529900585269274,0.21701613151494642,0.5683331326257685,0.13080675549247445,1.1484752208926092,0.17680860468542803,0.22694257914211322,0.4754275977611542,0.3646237310135549,0.23316967968654045,0.11389601892395189,0.022816877058895107,1.8982940865680575,,0.022816877058895107
7.0,0.6376738073205338,0.3914805549293786,1.90784,15.22688,0.5412350858791136,0.30950176377345767,0.11337740006295245,0.24971497748302188,0.6833790365905414,2.212643030070885,0.29107483385739163,0.5204677742496389,0.33903053835489333,0.2114346385818236,0.559001648947761,0.1286872897462395,1.129866442760951,0.16571692592022177,0.2236342198349273,0.4688902199268341,0.36197282378929985,0.23144476523350438,0.11389601892395189,0.020852584316606027,1.7972118118777871,,0.020852584316606027
8.0,0.6265262952325528,0.6163911423451309,2.15616,17.20832,0.5412350858791136,0.317356295630308,0.11337740006295245,0.25876948600355204,0.6912469345286281,2.2961125796780038,0.2973482906068249,0.5496017284932885,0.35085948780999837,0.21989364475424902,0.5607741711601651,0.12928526204528135,1.1351166025531132,0.15845410628019324,0.225229388078421,0.46879804134368896,0.3611993029592886,0.23083038163231587,0.11389601892395189,0.024791388960318378,2.2790776796173304,,0.024791388960318378
9.0,0.6160109995509913,0.7614753369923124,2.40448,19.18976,0.5412350858791136,0.32454127772018604,0.11337740006295245,0.2715788190640702,0.7015038539034457,2.4141096158908306,0.3058981641746654,0.5414144828254261,0.33749757827918303,0.21087225653683303,0.5750948148727467,0.132391389967719,1.162388213552191,0.19026663215117784,0.2317817885737549,0.46856996417045593,0.3601900221351241,0.22979476317488667,0.11389601892395189,0.0276468570571567,2.707328881137073,,0.0276468570571567
10.0,0.6418042837276258,0.5137555853624336,2.86176,22.84032,0.9971592150692714,0.2857296291057526,0.11337740006295245,0.22746932249325935,0.65850399230735,2.0041872959416236,0.26797404312743744,0.5044998541206993,0.3260119678724063,0.20623815164105574,0.592809658600197,0.13841272441473526,1.2152551574884556,0.20021413276231265,0.23747760659261916,0.4700113534927368,0.35608834954757407,0.2265200720186987,0.11389601892395189,0.02720605664950582,4.124222070211545,0.040731135339260295,0.02051420154138523
