round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_brier,fed_auroc,fed_f1,fed_f1_best,fed_ece,fed_f1_best_threshold,fed_auprc,fed_auprc_lift,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6266430355247155,0.10380363216848312,3.66096,3.66096,1.0,0.1123348017621145,0.11353830625580165,0.6491566766200727,0.0,0.2785172860113868,0.13191419749739333,0.2562900991832556,0.2106648283411877,1.8822169488488265,0.6493784582837903,0.1995277604560007,1.7518413930624295,0.0,0.27101325872764875,0.2627038359642029,0.12915600976483968,0.11445759494628706,0.11389601892395189,0.020926538298121664,2.2549724182172213,0.02031894991179008,0.021467011719375095,0.00899969830692995
2.0,0.6276863125794865,0.36285142648554514,7.32192,7.32192,1.0,0.1123348017621145,0.10294075924341829,0.6544518334593253,0.005243713984878623,0.2852835777102894,0.0850650063793827,0.22235494285090449,0.2165017332954727,1.935640137584932,0.6563194721961626,0.20500711194582014,1.7999497601641627,0.004407227853680035,0.2754163559532687,0.21947285532951355,0.08145927858306765,0.10397862551904465,0.11389601892395189,0.014174731740062462,1.6094481138279662,0.014686773210978932,0.013910191749531868,0.006468690564235146
3.0,0.6279051511795989,0.3936462997966597,10.98288,10.98288,1.0,0.1123348017621145,0.09961409483513699,0.659312365468283,0.0256320012653776,0.2922237783617198,0.06475855759441702,0.20360475081629237,0.22224590845495254,1.9889463369891822,0.6600427062862563,0.2080141306104223,1.8263511980108176,0.028265524625267664,0.2781888874952966,0.19674251973628998,0.06095725656019956,0.10097438695160933,0.11389601892395189,0.012357444459258769,1.4844711113837548,0.011804903375793917,0.012814337524160006,0.005765786001189308
4.0,0.6367598175041269,0.5383237333403339,14.64384,14.64384,1.0,0.1123348017621145,0.09953538777479705,0.661965434818976,0.025598295338738197,0.29765165001758653,0.06648861237498595,0.20929781056710792,0.2273864633995993,2.0340165376203383,0.6602435979097432,0.20829038981573272,1.828776736742728,0.0274442538593482,0.2764329612441992,0.20113134384155273,0.062022773336437846,0.10102741428640237,0.11389601892395189,0.011044257465354182,1.4122935443883762,0.010466669827408695,0.011524742590371213,0.005557318322631874
5.0,0.6362450496970868,0.5643808129074748,18.3048,18.3048,1.0,0.1123348017621145,0.10224757128605699,0.6630652475461853,0.035884346383612806,0.293732616236862,0.08515497763354572,0.23181698921062116,0.2293982248447804,2.0481632380683563,0.6607798485321332,0.20980362317494608,1.8420628320207704,0.031475967673330496,0.2762917606617252,0.20422722399234772,0.08131536286095709,0.1037029177605979,0.11389601892395189,0.00924766681748414,1.258238255919423,0.009035378977871258,0.009459863563694779,0.004654008025523572
6.0,0.628084877110562,0.5035779224074539,21.96576,21.96576,1.0,0.1123348017621145,0.09903722989199656,0.6659545288407729,0.046825725174887346,0.29526218892156547,0.06365144619421621,0.2020000114783766,0.22991900061024084,2.0492236046411287,0.6596233914551989,0.20994106913128258,1.8432695990143408,0.040438079191238416,0.2738154120091008,0.1718723326921463,0.05866649415089197,0.10074049855622241,0.11389601892395189,0.008286709796830712,1.1973305701976642,0.007897267756174511,0.00863278082351063,0.005382709226214037
7.0,0.634243775524904,0.6948983793049386,25.62672,25.62672,1.0,0.1123348017621145,0.09850151651551138,0.6674865114412776,0.01982057805342265,0.29505672046230647,0.0618182627311887,0.19480004214767835,0.23072198867324795,2.0504914274271187,0.6608531498797587,0.2123210301768938,1.864165509759038,0.020752269779507133,0.2763740869356964,0.18780450522899628,0.0556839258414302,0.10009796155036572,0.11389601892395189,0.008593848321711428,1.3158463869185653,0.007666189517512047,0.009418167820180366,0.004797655666945055
8.0,0.6436880813632232,0.6911966784834493,29.28768,29.28768,1.0,0.1123348017621145,0.09787928769823287,0.6696750981330614,0.03397512213002038,0.2983875695981468,0.05857001373707272,0.19522593433167512,0.2349332070871598,2.0880638511745064,0.6591911883372021,0.2108283041707777,1.8510594677725063,0.035653650254668934,0.27493321460374,0.1770155429840088,0.05180906660189592,0.09985888949971276,0.11389601892395189,0.007249417682710505,1.1765831462107599,0.006453285716965209,0.007974785848328178,0.005413292984579302
9.0,0.6462664568618269,0.8295360146842711,32.94864,32.94864,1.0,0.1123348017621145,0.09843816347612572,0.6698755046332353,0.03669078013985125,0.29625719720082805,0.06260388759981729,0.20493705351728544,0.2354585139000914,2.095125333223609,0.6593398114941835,0.21045393420559627,1.8477725226385295,0.03563852354688163,0.27434747614119814,0.18246251344680786,0.056663069526061975,0.1003526926091385,0.11389601892395189,0.007479011199361963,1.2855070282821544,0.0060735975133904595,0.008812864663436714,0.004836656262916768
10.0,0.6341030605566941,0.7647913563025601,36.6096,36.6096,1.0,0.1123348017621145,0.09891507858885493,0.6715247837843324,0.07190756658144778,0.2977445616650508,0.06603512137781303,0.20608024162230357,0.23840608697437915,2.1179512481523757,0.6596475993476092,0.2102861907329631,1.8462997453262233,0.05822058220582206,0.27482014388489207,0.18691614270210266,0.061382455129105694,0.10107514751779878,0.11389601892395189,0.007275014608565031,1.328562431881437,0.0057618444134944664,0.008770615012025255,0.0037429647565110536
11.0,0.6418411816904699,0.8250419397796771,40.27056,40.27056,1.0,0.1123348017621145,0.09840219013652111,0.6716580352280199,0.05326884900137815,0.3005068745037939,0.06178003465868133,0.20457265390642335,0.23935291788891774,2.1259229788869383,0.6597369263451092,0.2097044689031569,1.8411922636486187,0.049044056525353284,0.27482567924981965,0.18465588986873627,0.05716064238175619,0.10064412427490678,0.11389601892395189,0.008059459444515256,1.5686916424601804,0.005486566070483842,0.010646589692279518,0.0040137514193369465
12.0,0.6417332427540685,0.8363890870230446,43.93152,43.93152,1.0,0.1123348017621145,0.09821630844095554,0.6742614040305707,0.08378141286054172,0.3031680452491142,0.061938361507647616,0.19976928944179587,0.2431192209598935,2.1580110290822114,0.6587587467796224,0.2099739078325087,1.843557920779547,0.06647750304012971,0.2744884632128864,0.17418648302555084,0.05697102204362297,0.10074944723171854,0.11389601892395189,0.007213898542980839,1.4973538671038114,0.005096143072823893,0.009401567369095346,0.004024037794003974
