round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_auprc_lift,fed_f1_best_threshold,fed_brier,fed_prevalence,fed_f1_best,fed_ece,fed_auprc,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6877747198659656,0.11338392215891732,0.9136,3.65056,0.9971592150692714,0.6077234114107656,1.782734216335057,0.5142823138573439,0.2442740615277325,0.11341893252769387,0.27789671904901253,0.38228319149017936,0.20309472005777865,0.2169418171958006,0.5325068699463671,0.1251130645184225,1.0984849663793799,0.0,0.20905005423833875,0.4720762372016907,0.3579613627086223,0.22905247468789977,0.11389601892395189,0.0278691059379375,3.0102177537046373,0.02305212845070511,0.031090109882180774
2.0,0.6824341022977622,0.12785933511947584,1.8272,7.30112,0.9971592150692714,0.644653916665823,1.9556535885349398,0.5489566226049973,0.23607533410538376,0.11341893252769387,0.29357184997971264,0.3731878751181703,0.22326763068414684,0.24954278498096713,0.42923493422004083,0.10049849013045056,0.8823705260282466,0.0,0.20451875282422052,0.4187852144241333,0.3592777614792938,0.2303750042861396,0.11389601892395189,0.019704408265127774,2.2658198215067387,0.015230567181596339,0.02272244047057275
3.0,0.6717117433254054,0.18979787191229913,2.7408,10.95168,0.9971592150692714,0.6586737600534618,2.017479464179216,0.5457060988279657,0.23111317005891116,0.11341893252769387,0.294997733581699,0.3670379700953252,0.23133448664223216,0.2697099549710237,0.4451748964381594,0.10565271695863848,0.9276243187146213,0.0,0.20451875282422052,0.42465004324913025,0.3597184245308846,0.23066938485617972,0.11389601892395189,0.014027715388461788,1.7360304850153625,0.012645675228453378,0.014973528579895784
4.0,0.6670866981436379,0.28692047237409646,3.6544,14.60224,0.9971592150692714,0.664801337857822,2.0614996101484886,0.5347196633073108,0.2220526888057555,0.11341893252769387,0.3001321957522428,0.35343432217960186,0.2361983275155565,0.2723988500856128,0.3756541589962326,0.08754639140679336,0.7686519005132909,0.0,0.2045002711006687,0.40808382630348206,0.36122344100599507,0.2322637933954156,0.11389601892395189,0.01116065204070736,1.464341354323551,0.010443889882001392,0.011669601350026046
5.0,0.658489981773051,0.27263899974827044,4.568,18.2528,0.9971592150692714,0.6706400258583544,2.131930004737239,0.5133072383690547,0.21324536455572984,0.11341893252769387,0.3037526520142378,0.3405722790967001,0.24351010688804006,0.2801418380088312,0.34560565134942495,0.0822867963910526,0.7224729816587822,0.0,0.20451875282422052,0.42398273944854736,0.36621015282250585,0.23575884875904965,0.11389601892395189,0.00982374141564839,1.3708528662100434,0.009738891602670906,0.009886470511172803
6.0,0.652039077097529,0.3088102388701544,4.568,18.2528,0.0,0.6868345199021959,2.354089488202794,0.5496814273999328,0.21931517659749566,0.11341893252769387,0.32115583397320663,0.35114391530185846,0.2616876066810862,0.29501648237697053,0.34560565134942495,0.0822867963910526,0.7224729816587822,0.0,0.20451875282422052,0.42398273944854736,0.36621015282250585,0.23575884875904965,0.11389601892395189,0.0,0.0,,
7.0,0.6352038900157777,0.3641866049519615,4.568,18.2528,0.0,0.6940175879320151,2.470903045449283,0.5419135660379525,0.20795909029217444,0.11341893252769387,0.3287388673553573,0.3327284464408612,0.27187725848277994,0.3026643193242664,0.34560565134942495,0.0822867963910526,0.7224729816587822,0.0,0.20451875282422052,0.42398273944854736,0.36621015282250585,0.23575884875904965,0.11389601892395189,0.0,0.0,,
8.0,0.6201848506587696,0.43253774075622387,4.568,18.2528,0.0,0.7037636757909514,2.530438968420532,0.557997063419445,0.21477443721853082,0.11341893252769387,0.3339815844502003,0.3432816550819567,0.2792014875120436,0.31002886454980383,0.34560565134942495,0.0822867963910526,0.7224729816587822,0.0,0.20451875282422052,0.42398273944854736,0.36621015282250585,0.23575884875904965,0.11389601892395189,0.0,0.0,,
9.0,0.6483901265040096,0.30116946883360934,5.4816,21.90336,0.9971592150692714,0.67307877002812,2.18577991662472,0.5571375002940105,0.23003342296431328,0.11341893252769387,0.30949270732482226,0.3648863518216684,0.24687897432985947,0.27980073513874054,0.4066503008429868,0.09018201134933163,0.7917924805567256,0.0,0.20451875282422052,0.44595250487327576,0.36767394037874035,0.23634022067502314,0.11389601892395189,0.009144065219689749,1.3504194242414087,0.008086374214348923,0.0099574950164404
10.0,0.6467211949730051,0.3487536520108107,5.4816,21.90336,0.0,0.6856653925538613,2.386603663850332,0.5473739634242664,0.21813877997858597,0.11341893252769387,0.3217461329731992,0.3477618665244968,0.2639140743682675,0.2906823146142539,0.4066503008429868,0.09018201134933163,0.7917924805567256,0.0,0.20451875282422052,0.44595250487327576,0.36767394037874035,0.23634022067502314,0.11389601892395189,0.0,0.0,,
11.0,0.6288172313839533,0.3900517005645013,5.4816,21.90336,0.0,0.695629940769101,2.5001192289532232,0.5370784197377805,0.19889924200117304,0.11341893252769387,0.3290152367428403,0.31686639994903854,0.27609107269141103,0.3079059549901108,0.4066503008429868,0.09018201134933163,0.7917924805567256,0.0,0.20451875282422052,0.44595250487327576,0.36767394037874035,0.23634022067502314,0.11389601892395189,0.0,0.0,,
12.0,0.6151861591613537,0.4527955870133013,5.4816,21.90336,0.0,0.7053183646515205,2.5763929869063324,0.5798025245441562,0.2068299533282718,0.11341893252769387,0.33587169944618184,0.32982181278205114,0.28519260707675576,0.30681441571061074,0.4066503008429868,0.09018201134933163,0.7917924805567256,0.0,0.20451875282422052,0.44595250487327576,0.36767394037874035,0.23634022067502314,0.11389601892395189,0.0,0.0,,
13.0,0.6420296625159418,0.34923327323624576,6.3952,25.55392,0.9971592150692714,0.6756178798467098,2.2730854611808042,0.5421520090396521,0.2198896227227891,0.11341893252769387,0.3125201525716217,0.349830913078884,0.2513868175551841,0.290260894228933,0.36279813669756356,0.08345045566489415,0.7326898380935845,0.010967489228358794,0.20450951154489178,0.4269999563694,0.3696597516551712,0.23817880456034188,0.11389601892395189,0.008377814419618131,1.3082943423651159,0.007213537514194925,0.00929075398319811
14.0,0.642870330530983,0.3559647238190214,6.3952,25.55392,0.0,0.6904050874078944,2.415080703935002,0.5771974016858824,0.21720358786884078,0.11341893252769387,0.3264963370651829,0.34576337737681245,0.2677404456954096,0.29120701835049656,0.36279813669756356,0.08345045566489415,0.7326898380935845,0.010967489228358794,0.20450951154489178,0.4269999563694,0.3696597516551712,0.23817880456034188,0.11389601892395189,0.0,0.0,,
15.0,0.6253455142932223,0.5162138713924646,6.3952,25.55392,0.0,0.6988855632900179,2.4780052091705826,0.5568979066146644,0.2142439128394326,0.11341893252769387,0.3297908397039092,0.34147158117021353,0.27426700058059517,0.2997641597988173,0.36279813669756356,0.08345045566489415,0.7326898380935845,0.010967489228358794,0.20450951154489178,0.4269999563694,0.3696597516551712,0.23817880456034188,0.11389601892395189,0.0,0.0,,
16.0,0.6083751169293659,0.4827506326651618,6.3952,25.55392,0.0,0.712444311549431,2.614016017163027,0.624873710653678,0.22590192449260604,0.11341893252769387,0.3418192271583932,0.3575313764002713,0.2901316999822788,0.29700491239336985,0.36279813669756356,0.08345045566489415,0.7326898380935845,0.010967489228358794,0.20450951154489178,0.4269999563694,0.3696597516551712,0.23817880456034188,0.11389601892395189,0.0,0.0,,
