round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best_threshold,fed_prevalence,fed_auprc_lift,fed_ece,fed_auroc,fed_f1,fed_f1_best,fed_auprc,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6883122273335875,0.10411225699546942,3.65056,3.65056,0.9971592150692714,0.5136400021383799,0.11379657603222558,1.7000144836723576,0.3908186093824357,0.6155411266705669,0.19211561637002586,0.26397622608717053,0.1914388150865978,0.25227495434075237,0.5921739410232993,0.19311630669086374,1.6955492256477116,0.23563664596273293,0.2422623723487824,0.4988163709640503,0.3825308439643881,0.24677980287711504,0.11389601892395189,0.02748632734327907,2.9522065720520914,0.024402434779213063,0.02956391533061306
2.0,0.6811571217917198,0.11766681240479118,5.632,5.632,0.5412350858791136,0.5121299827195637,0.11379657603222558,1.9200903343721416,0.36250942617782356,0.6537302682689543,0.24291008128386013,0.29329179600364685,0.2179907221026354,0.22919329987217285,0.5196939299155285,0.15024352708963765,1.3191288730640789,0.1664363580531245,0.20457421804375336,0.48342838883399963,0.3820062950729718,0.24659633885553084,0.11389601892395189,0.02197415674113941,1.4911703520920128,,0.02197415674113941
3.0,0.6714070159124448,0.1608381393176253,7.61344,7.61344,0.5412350858791136,0.529838747871066,0.11379657603222558,2.0445559005411726,0.3622990958355104,0.6734722097096417,0.2734664365285776,0.30420999759487,0.23040136923247556,0.22808511928372108,0.5519803812914982,0.17698667366266946,1.553932045516385,0.21451717433570966,0.21741541874653356,0.5013211369514465,0.38183355918647693,0.24624820226534125,0.11389601892395189,0.015927259612978063,1.1521809252444655,,0.015927259612978063
4.0,0.6611604893955355,0.23401977840446428,9.59488,9.59488,0.5412350858791136,0.5178944403258755,0.11379657603222558,2.1179888954387422,0.3464408674392726,0.6830302968539834,0.28519253647844817,0.30935807834999984,0.23818888596556007,0.21688281449772956,0.5395009178418015,0.16578918859018754,1.4556188193099586,0.1964468421542182,0.20453723788864786,0.48612308502197266,0.3861654870831928,0.2496633670260112,0.11389601892395189,0.012522201209565887,0.955971023067832,,0.012522201209565887
5.0,0.6623109732472099,0.26321082820463915,11.264,11.264,0.4559241291901578,0.5207639586289243,0.11379657603222558,1.9306021622040503,0.3392039006838551,0.659963118110293,0.26421832156270914,0.2916593282689354,0.21772296033053887,0.21409105986772098,0.5469571745943478,0.17388323543463952,1.5266840498678094,0.202174499056519,0.20860215053763442,0.508614718914032,0.3867040510638154,0.24997871282761885,0.11389601892395189,0.016786688858529946,0.7838006787933409,0.016786688858529946,
6.0,0.6593956205068194,0.2536241631791307,13.24544,13.24544,0.5412350858791136,0.5483330349435079,0.11379657603222558,2.0638912159167,0.3475952745243636,0.6740017435556673,0.27846218350537316,0.30129099096015716,0.23243869376902462,0.218370954558765,0.5397793776265062,0.16665951738016924,1.4632602522432976,0.20141580987695937,0.20466672696029664,0.4865688979625702,0.3870711411255776,0.2503536462291302,0.11389601892395189,0.009156758404714783,0.731912509072572,,0.009156758404714783
7.0,0.6435413642583435,0.3321014843492728,15.22688,15.22688,0.5412350858791136,0.5386843269115008,0.11379657603222558,2.171587074291654,0.3548712570816729,0.6836759971898173,0.28747934536337066,0.3095917987829199,0.24338004384970183,0.22246452783579462,0.5694944086921719,0.19168029725880592,1.6829411516726533,0.21343297183997084,0.23983572895277205,0.5107349753379822,0.3869167057234554,0.24970762018956533,0.11389601892395189,0.008748001997528483,0.7305602462729439,,0.008748001997528483
8.0,0.626831201562363,0.39033779491903975,17.20832,17.20832,0.5412350858791136,0.5503848948575037,0.11379657603222558,2.3095153488699194,0.32441587458774523,0.6938456353587867,0.30146799323552753,0.32348710340355874,0.25834635731373845,0.20276081022776596,0.5624232946135895,0.18760189287477275,1.6471330134904374,0.20763281775386686,0.23391580619539315,0.5121298432350159,0.388233633667217,0.25076241866567806,0.11389601892395189,0.009638610458338012,0.8399771959520876,,0.009638610458338012
9.0,0.6164949263119428,0.641855623278715,19.18976,19.18976,0.5412350858791136,0.5537641038077116,0.11379657603222558,2.3998343244945883,0.3287002541409,0.7034365526093157,0.3042895937445737,0.33399595174710195,0.26725813125986847,0.20504902608492417,0.5819668569983448,0.19899314336117324,1.747147488043814,0.23671789906813506,0.25717897778580456,0.5063673257827759,0.3846662780261075,0.24772824104079869,0.11389601892395189,0.010099005806024894,0.9225497375009581,,0.010099005806024894
10.0,0.6543294342409565,0.4808199903558565,22.84032,22.84032,0.9971592150692714,0.5251369681884605,0.11379657603222558,1.993353891334606,0.35323055861902325,0.6632183879901964,0.2681577928673061,0.2961277530087559,0.22515562912692577,0.22380150156525397,0.6110881735020937,0.21264959106368075,1.86705025401868,0.27391304347826084,0.27545809552418143,0.499337375164032,0.3811937181352279,0.24496223676337506,0.11389601892395189,0.009592684444897666,1.4059254728490487,0.013569618456433475,0.007475543502914067
