round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_brier,fed_f1_best_threshold,fed_auprc_lift,fed_auprc,fed_f1_best,fed_prevalence,fed_f1,fed_ece,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6877043568489011,0.11818850485746393,3.66096,3.66096,1.0,0.23436147474309316,0.5027803961308377,1.9134505977452252,0.21366905411119078,0.28232821467944935,0.11268492288322315,0.25757111601147975,0.3716445752649064,0.6491228490088613,0.6541376621646429,0.20787657416459907,1.8251434609263892,0.2702944799014668,0.2759276879162702,0.5037012100219727,0.3703103641152976,0.2345823715423152,0.11389601892395189,0.02490379706321049,2.7118713621848656,0.02230211567712776,0.026755353660134342,0.011233045930874073
2.0,0.6657623061741518,0.22661266401896993,7.32192,7.32192,1.0,0.22033747415804944,0.5122108115690626,1.960033115993268,0.2189843163140132,0.2836076978436216,0.11268492288322315,0.2620203533700798,0.35019240608502755,0.6549919249261481,0.6599698567188935,0.2137519014573665,1.8767284710810495,0.2769405099150142,0.2802710650811916,0.5179319381713867,0.3494027103934183,0.22074612566231566,0.11389601892395189,0.01599108595098747,1.8666747110983124,0.01582333252185489,0.016198139223001676,0.005783226778274877
3.0,0.6432274178322372,0.3064490683063833,10.98288,10.98288,1.0,0.2179775139762803,0.506929618259027,1.9993810346194123,0.22355452712745996,0.28574354007354175,0.11268492288322315,0.26251392018406405,0.3456699595282128,0.658919161397177,0.6602801921110231,0.21761905778365062,1.9106818643850438,0.2759595520278352,0.2788257618037728,0.5039864182472229,0.344543516123665,0.21839389043149102,0.11389601892395189,0.01241057546384136,1.5506565884970769,0.012739742897131237,0.012246112400863629,0.0056932011489250626
4.0,0.6433707414132324,0.34813082009025853,14.64384,14.64384,1.0,0.21421495075643573,0.5136618172255635,2.0324353242699282,0.2276764234584205,0.28825795302170376,0.11268492288322315,0.26862180042365374,0.3382859076545942,0.6619386268070484,0.6627052105173039,0.22060629660316944,1.936909636415543,0.28040854224698236,0.2822317165116864,0.5136938095092773,0.3373520807150991,0.2147902070791611,0.11389601892395189,0.009796370849138494,1.303295993880056,0.010421228097984162,0.009400838051558487,0.004376243413409377
5.0,0.6421622560614797,0.3746810421327884,18.3048,18.3048,1.0,0.22506228548974583,0.5270535631227837,2.059504140079286,0.23095403743351062,0.29037036730458454,0.11268492288322315,0.2642106187506066,0.35527977579263614,0.664284489711605,0.6628741010388487,0.22253792830709682,1.9538692432760523,0.2784133433123062,0.2817831590533847,0.5485509037971497,0.3539941249369999,0.22542856979672157,0.11389601892395189,0.009448893151496263,1.3343474344655988,0.009728169995748309,0.009284255401069197,0.004252521583250681
6.0,0.6451010745340743,0.4572485773435755,21.96576,21.96576,1.0,0.214782935130997,0.5235153770142845,2.0696895407344216,0.2329101876943618,0.2943918031526597,0.11268492288322315,0.26915856731677695,0.34112455456989316,0.6666333283685028,0.665326339205958,0.22377569614696574,1.9647367683358647,0.2851647030536187,0.28766763081777547,0.5158008933067322,0.3398212081099728,0.21547946728343995,0.11389601892395189,0.008070997255157888,1.2108966073383272,0.007769486582908308,0.00832319829207785,0.004950946858073262
7.0,0.6399775621564227,0.38724367722741954,25.62672,25.62672,1.0,0.21740671188581007,0.5185197432385625,2.092682989862158,0.23591590632377385,0.29575996224863116,0.11268492288322315,0.2725442605932365,0.34744544583726006,0.6694553423837577,0.665834617100415,0.22616358821459276,1.9857023129632096,0.2848886213124624,0.2856505244365097,0.4915149509906769,0.346331306773455,0.21810941947330634,0.11389601892395189,0.0090743314421399,1.4391659968241584,0.008176057387464547,0.009803844135483008,0.005804620734271491
8.0,0.6411063082130164,0.38133240754238923,29.28768,29.28768,1.0,0.22249735452905792,0.5306824980158833,2.1102115574455382,0.23757746231250135,0.2966312054394802,0.11268492288322315,0.2731314949438055,0.3539410108641179,0.6707926583896922,0.6640593214591759,0.2246694466475172,1.9725838424390274,0.28226084954529757,0.28481510621557826,0.5213226675987244,0.3528959088312841,0.22358990663154737,0.11389601892395189,0.007774790689619818,1.3114126046730235,0.007200236691694245,0.0082601432691056,0.005088680139841102
9.0,0.6429131140633114,0.4028285254519175,32.94864,32.94864,1.0,0.2137766388546375,0.5261922567998384,2.141204269834932,0.24087057778522303,0.29985042490154207,0.11268492288322315,0.27782454027816833,0.34089958328457054,0.6745433722806178,0.6637032182165432,0.22582902712665598,1.9827648873086732,0.28091747458027905,0.28125,0.49910396337509155,0.339755520736801,0.21508854198816776,0.11389601892395189,0.007863343117590406,1.4090758955817364,0.006816032437299431,0.008766902688384287,0.004371195987685034
10.0,0.6373288832594801,0.40963406887688514,36.6096,36.6096,1.0,0.199754281565036,0.5223505569697553,2.149014954108038,0.2420366132097179,0.29927078976308563,0.11268492288322315,0.27848814609577005,0.31706772325856525,0.6756827288547959,0.6632405324802652,0.22626433378619334,1.98658685284926,0.27596091205211726,0.2811273635390653,0.4837002754211426,0.3156394284370231,0.20126227953023063,0.11389601892395189,0.007501717678687595,1.4322986511324416,0.006354567208476776,0.008508096667553422,0.005054800722799074
