round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_auroc,fed_ece,fed_f1_best_threshold,fed_auprc_lift,fed_prevalence,fed_f1_best,fed_auprc,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6867415277909468,0.10035576920155793,3.66096,3.66096,1.0,0.25853325898797475,0.6486553707395538,0.34059899903041446,0.4736234297498806,1.890744899889659,0.1123348017621145,0.27882150732899563,0.21002486517132601,0.21225864404093786,0.6493925638675484,0.1986606659065494,1.7442283565608616,0.258074252942952,0.2707554225878833,0.4824710488319397,0.339000199751139,0.2126227901326492,0.11389601892395189,0.02452043976250816,2.636769054532124,0.021665776617125793,0.026599599452903036,0.008817392360708507
2.0,0.6592571651933902,0.22267035134078322,7.32192,7.32192,1.0,0.2663897626529548,0.656194637518369,0.3579636710405799,0.5173217376517077,1.949360414816017,0.1123348017621145,0.28998923658633563,0.2159781121753607,0.22528784800759838,0.6581063007835526,0.2056496684627231,1.8055913666309522,0.2743922030630824,0.2758153707256517,0.5056576728820801,0.3563438319579134,0.22548457336567218,0.11389601892395189,0.017019014760998347,1.9577038950228598,0.016304701278762025,0.017621590516171706,0.005314672201535294
3.0,0.6500986717988345,0.314692493518303,10.98288,10.98288,1.0,0.27172863635241495,0.6594619520660486,0.324324031515531,0.48704154615397716,1.9960852003079654,0.1123348017621145,0.2931743110558718,0.22081527414297522,0.20298902850771852,0.6600509387265991,0.20829451985688802,1.8288129982485672,0.2711767235201376,0.27653820148749153,0.4697139859199524,0.32254838716540407,0.20332845426876872,0.11389601892395189,0.012504440744809076,1.5415189492232457,0.01258640508800625,0.012533915954575574,0.004355282326898474
4.0,0.6468039933610822,0.2886842284352681,14.64384,14.64384,1.0,0.2810366668138013,0.6621751123122596,0.3325848483529159,0.5040216106318915,2.01773540263142,0.1123348017621145,0.2975221538962661,0.22322029503006302,0.20873334908504457,0.660843988779987,0.2106526972623858,1.8495176499807084,0.2730358265241986,0.2757814161173719,0.47480300068855286,0.33060772130447225,0.2089119226184452,0.11389601892395189,0.010083025568949017,1.3270556434545142,0.010227302926409158,0.010037316296158135,0.004244775882446328
5.0,0.6449172416642261,0.3401663664473471,18.3048,18.3048,1.0,0.2785226152923007,0.663694482136133,0.3498240962952769,0.5221830866091501,2.023661287114606,0.1123348017621145,0.29492642034194727,0.22464402517824808,0.2203185226153241,0.6614661153006479,0.21176872664464808,1.8593163189140576,0.27197961311247537,0.27765671067811815,0.5158625245094299,0.3478118202767786,0.2205712757977425,0.11389601892395189,0.009218138771715975,1.2846432825717784,0.008971821200494305,0.009448121097324822,0.003777257847301101
6.0,0.6470496242686655,0.33467805205332657,21.96576,21.96576,1.0,0.27846965345103136,0.6672801478050012,0.3456218250344353,0.5174174458238596,2.042968122249503,0.1123348017621145,0.2939980819363195,0.2268571993013221,0.21819627448478585,0.6610963708039717,0.21244249819015307,1.8652319914008622,0.27232796486090777,0.2750782790212223,0.5053728818893433,0.3434708994846591,0.218513812641765,0.11389601892395189,0.008744345882710844,1.291938343111724,0.00837625412481448,0.00906056305752358,0.0047623887233163124
7.0,0.6418667354987905,0.3494339064543955,25.62672,25.62672,1.0,0.28065922313776326,0.6702087096940167,0.34121168405380237,0.5273084555691033,2.0733486995835317,0.1123348017621145,0.29582534963872587,0.22985292830681564,0.21462444493228958,0.6613954995356954,0.21290434724916707,1.869286997566814,0.27331887201735355,0.27801804028172494,0.5126250386238098,0.3392592715653963,0.21522776816367395,0.11389601892395189,0.007982027036612204,1.2531058401309565,0.0077285548354153796,0.00820905069857349,0.004864797689102987
8.0,0.6402137268730854,0.3992245280925977,29.28768,29.28768,1.0,0.2842294107337721,0.6729440146860032,0.3288285695649379,0.5207686198515439,2.094987125606735,0.1123348017621145,0.3007511157831532,0.2325111062618323,0.2065739848557861,0.6602825890563058,0.21197146528786562,1.861096351659126,0.27378245781979177,0.27617896009673515,0.5021572113037109,0.32662642114751256,0.20752415028812593,0.11389601892395189,0.008095429252546735,1.349908079535453,0.007076692088862332,0.008965267312459885,0.005097114179144881
9.0,0.6410703958673608,0.38558083039503,32.94864,32.94864,1.0,0.2864145614498656,0.6733708507171696,0.3313621382234304,0.5220215152951438,2.100970507046422,0.1123348017621145,0.30114832073670517,0.23368053327720528,0.20824041667006316,0.6596065249920574,0.2114814624114183,1.8567941567178392,0.2740165248489333,0.27505660827076633,0.49389156699180603,0.32885839138606576,0.20916239947286144,0.11389601892395189,0.007982584737003055,1.4223520226751134,0.006821623228126791,0.009001702110101562,0.004785294498692796
10.0,0.6400131446142292,0.4219992313345428,36.6096,36.6096,1.0,0.288501165173399,0.6758671433251654,0.3329831747015817,0.5246773578747027,2.1342219720685116,0.1123348017621145,0.3056805095483436,0.23766860224778,0.2092138626053159,0.6593588615619279,0.21066856322725702,1.8496569521707333,0.2742927429274293,0.2764443372331443,0.49601444602012634,0.3304314276838082,0.21056296804317362,0.11389601892395189,0.00739911941429394,1.4113665772747481,0.0062134500056604995,0.008467932114408928,0.004631818023056596
