round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_f1,fed_ece,fed_auprc,fed_auprc_lift,fed_f1_best_threshold,fed_auroc,fed_prevalence,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6061985285615434,104.52416477201909,22.98624,22.98624,0.9991028770524295,0.8028630369023027,0.25684607360678563,0.4475442573428153,0.7171415518531384,0.9904629227280096,0.47324686791652276,0.48582051397983084,0.7435897435897437,0.3133239145787569,0.5666831032215648,0.6645384745715768,1.063261559314523,0.0,0.7725918570009931,0.4644201397895813,0.16052180151335704,0.26013983848653977,0.625,0.0027016255424467945,1.6159386215422273,0.0005610989046811793,0.003059904119563858
2.0,0.4600149467055018,52.74113836296506,45.97248,45.97248,0.9991028770524295,0.8093090075982733,0.7458665939929957,0.32298931139401893,0.7349995557275038,1.1105523260656447,0.6062524103583432,0.5939686564534543,0.7435897435897437,0.19577650237974972,0.3696471619548543,0.5791245591501051,0.9265992946401681,0.0,0.769990128331688,0.4635791480541229,0.16134718705255252,0.26041291432193525,0.625,0.0012341006029014873,0.7386124905765428,0.00023335242469581924,0.0014015270651468086
3.0,0.3989586189842661,44.45015559224541,68.95872,68.95872,0.9991028770524295,0.8075712988985766,0.772007932329456,0.2448597188179309,0.7725157284794447,1.0622002857353952,0.676982061947003,0.714785237811089,0.7435897435897437,0.16098193273105627,0.242603550295858,0.483832731438316,0.7741323703013057,0.0,0.7692307692307693,0.46357104182243347,0.1613457515740242,0.26042088537993907,0.625,0.0009270415541895578,0.5551682641721527,0.00015666303436668279,0.0010558723551692877
4.0,0.31635359155117637,25.889225258444732,91.94496,91.94496,0.9991028770524295,0.8592971230866538,0.7680222658792665,0.24574968176774484,0.8366349733946565,1.4770230728837968,0.6320033019933944,0.8041519492166183,0.7435897435897437,0.16128305206285445,0.3129574841113303,0.5369571301953932,0.859131408312629,0.0,0.7692307692307693,0.4632906913757324,0.16158667483772987,0.26049873085635056,0.625,0.0007661458996259913,0.45906589228070516,0.00011754105023688589,0.0008745623617065595
5.0,0.2832474763871105,15.413092944076837,114.9312,114.9312,0.9991028770524295,0.874421774970435,0.7708975941811659,0.2782930228906945,0.8697911907446537,1.759233972420493,0.587189939044989,0.851644387189506,0.7435897435897437,0.19126966571413065,0.28207867630944555,0.5248199598553787,0.8397119357686058,0.0,0.7692307692307693,0.46308639645576477,0.16177348453456009,0.2605641639434618,0.625,0.0006538090437100755,0.39194522402453913,9.711039285654333e-05,0.0007468186259842743
6.0,0.29023927141046807,34.040210742763925,137.91744,137.91744,0.9991028770524295,0.9217262653425422,0.780814598992766,0.26250594327560595,0.9250365710061479,2.14568389103619,0.6171035954967522,0.9095527688188512,0.7435897435897437,0.18782159885635108,0.3007451238220469,0.5335134854506318,0.8536215767210109,0.0,0.7692307692307693,0.4629037082195282,0.161959004898866,0.26062164801618604,0.625,0.000580510949885835,0.34816101331500704,7.804988450983184e-05,0.000664421628623646
7.0,0.2476765687770747,24.978234205094537,160.90368,160.90368,0.9991028770524295,0.9250815117347585,0.7903927727449941,0.2534982771684344,0.9284517333624492,2.185971788009729,0.6114537732723431,0.9166505310233674,0.7435897435897437,0.18730328840999647,0.31683103221564757,0.5420446291644414,0.8672714066631062,0.0,0.7692307692307693,0.4630025327205658,0.16188181535555768,0.2605946114854393,0.625,0.000527046165849607,0.31622647653864533,7.563194979753983e-05,0.0006024011216244669
8.0,0.21563534042017177,13.719206075552586,183.88992,183.88992,0.9991028770524295,0.9495013070559605,0.7889435494386113,0.26229041822206894,0.9536777558152449,2.717922709112797,0.564034167352395,0.930396873824366,0.7435897435897437,0.1915721238888558,0.32297830374753456,0.546159433927672,0.8738550942842751,0.0,0.7692307692307693,0.46304216980934143,0.16185309480016047,0.2605843191644074,0.625,0.0004429756743627478,0.2658912081571998,6.575089555512727e-05,0.0005059186366304497
9.0,0.21106305567124348,18.385813400702055,206.87616,206.87616,0.9991028770524295,0.9600346488137184,0.7910452753486488,0.2551850954070687,0.9623558228884699,2.799237951094667,0.5693146453071862,0.9446068170313606,0.7435897435897437,0.18975598709407665,0.2931623931623931,0.538418702782127,0.8614699244514032,0.0,0.7692307692307693,0.46320971846580505,0.1616843074846726,0.2605328303638052,0.625,0.0004545411681516812,0.2729393858517142,8.111003976801423e-05,0.0005168253439042363
10.0,0.17424859644179563,8.507167036815261,229.8624,229.8624,0.9991028770524295,0.9658136183003554,0.7950780318074153,0.2258868330003072,0.9656647190335917,2.8384308950052795,0.6629713597970128,0.9631846312342994,0.7435897435897437,0.18234275673699946,0.280637738330046,0.5324290620235,0.8518864992376001,0.0,0.7692307692307693,0.4633067846298218,0.16158075291567886,0.2605012642144915,0.625,0.000399846564667748,0.24020973209110252,6.64875583125361e-05,0.00045542052381011773
