round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc_lift,fed_f1_best_threshold,fed_f1_best,fed_prevalence,fed_ece,fed_auroc,fed_f1,fed_auprc,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6902153452991968,0.09080345809927587,3.65056,3.65056,0.9971592150692714,1.7463014625014182,0.49633456089416317,0.27242508651759095,0.11060749134403525,0.3826935740154346,0.6199606463850228,0.2178212160147233,0.1950890784775502,0.2434994086955012,0.4169580440203644,0.11256886547856865,0.9883476748535928,0.19579122113178068,0.20472654835204637,0.49590179324150085,0.39454900413846095,0.25678501990266855,0.11389601892395189,0.027088963597246763,2.9152139096986502,0.02294707888426826,0.02982382268073952
2.0,0.6831087807853617,0.11861724193140868,7.30112,7.30112,0.9971592150692714,1.9133368814696237,0.5387833709044393,0.2936007191124666,0.11060749134403525,0.3865996929321193,0.6575257636444825,0.2542191751898012,0.2111228837602127,0.24466180490455092,0.48883714973037,0.15177606310225766,1.3325844444448773,0.20395572491380876,0.20459271313624447,0.4983336329460144,0.4029005919103864,0.2628309877673946,0.11389601892395189,0.021082585173246154,2.4090974275022745,0.01713661710776708,0.02370355698274604
3.0,0.6744011866687578,0.14779585278919585,10.95168,10.95168,0.9971592150692714,1.9692627821598623,0.5453983874920595,0.29687399142242726,0.11060749134403525,0.36469241612768794,0.6683719764995248,0.2679509764635606,0.2174464144967268,0.22911174697459008,0.5081984438780235,0.16671739796820176,1.4637684402254532,0.20379319777514363,0.21186011150532186,0.5354870557785034,0.4055773543749945,0.264731782338116,0.11389601892395189,0.014470677123003373,1.7764068425167352,0.012206727713090332,0.015995900398322955
4.0,0.6675269070320994,0.24788107789847075,14.60224,14.60224,0.9971592150692714,2.014113280651681,0.5611142529738111,0.29988628894792296,0.11060749134403525,0.36479026556371486,0.6730447721665012,0.27189560438367977,0.22199818019634773,0.22885471724310266,0.5013228126092273,0.1640374255188369,1.4402384479159391,0.2027321885969073,0.20473307649972483,0.5290654897689819,0.3999654958011028,0.2603645213172713,0.11389601892395189,0.011277083279585858,1.470682066399604,0.01104659434957781,0.011436465713196994
5.0,0.6603348458328802,0.23845620196362532,18.2528,18.2528,0.9971592150692714,2.0311301664382313,0.5706373907370054,0.2988386179242249,0.11060749134403525,0.3579324435420407,0.6750189610511105,0.27064519578335355,0.22409732611015115,0.2246201535717503,0.4811954371799796,0.1387260328987457,1.2180059865953061,0.20467809799574718,0.2047651463580667,0.5012010335922241,0.4118105325039958,0.27056500701573327,0.11389601892395189,0.009245562902098074,1.2743913183221593,0.00931762211067403,0.009193645790738099
6.0,0.6542000135532618,0.283480154125278,18.2528,18.2528,0.0,2.1079332485236764,0.5549654117874803,0.31019881854906495,0.11060749134403525,0.34618579088881735,0.6877659285370689,0.2861942655386925,0.23135455383555376,0.21729760469152007,0.4811954371799796,0.1387260328987457,1.2180059865953061,0.20467809799574718,0.2047651463580667,0.5012010335922241,0.4118105325039958,0.27056500701573327,0.11389601892395189,0.0,0.0,,
7.0,0.6361852341683601,0.36251503613114544,18.2528,18.2528,0.0,2.186727444635773,0.5482610948381464,0.31883826889794475,0.11060749134403525,0.33908755960172177,0.6980194481473772,0.2931857297980184,0.2393363970140051,0.21063376016234184,0.4811954371799796,0.1387260328987457,1.2180059865953061,0.20467809799574718,0.2047651463580667,0.5012010335922241,0.4118105325039958,0.27056500701573327,0.11389601892395189,0.0,0.0,,
8.0,0.6181793282103373,0.4341051449545594,18.2528,18.2528,0.0,2.281559991333675,0.5417019587288048,0.32472461672524566,0.11060749134403525,0.33803179743454953,0.7059243593489655,0.3048211814780738,0.24943234630329478,0.21211057898834548,0.4811954371799796,0.1387260328987457,1.2180059865953061,0.20467809799574718,0.2047651463580667,0.5012010335922241,0.4118105325039958,0.27056500701573327,0.11389601892395189,0.0,0.0,,
9.0,0.6497966819942423,0.27600927762198874,21.90336,21.90336,0.9971592150692714,2.037295118350444,0.5609530374975297,0.3020102257670632,0.11060749134403525,0.34817218743839246,0.6780246878430037,0.27454771551156176,0.22463519272437588,0.2183260668919536,0.4971665094889668,0.14832025851354536,1.3022426939485783,0.20458457914288303,0.2047886812987484,0.5005046129226685,0.41048429144323373,0.2691071071583404,0.11389601892395189,0.008600427893911425,1.243440103600733,0.007416409912466825,0.009484105405082311
10.0,0.6473563425120402,0.33203211735907273,21.90336,21.90336,0.0,2.1203633539605833,0.5521715797922467,0.31313352333823624,0.11060749134403525,0.33974073744552813,0.689531076483672,0.2872928954133259,0.23297262387183656,0.213188898297611,0.4971665094889668,0.14832025851354536,1.3022426939485783,0.20458457914288303,0.2047886812987484,0.5005046129226685,0.41048429144323373,0.2691071071583404,0.11389601892395189,0.0,0.0,,
