round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_ece,fed_auprc,fed_auprc_lift,fed_f1_best,fed_brier,fed_prevalence,fed_f1_best_threshold,fed_auroc,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,11.456534648739972,297.3035566669794,3.65056,3.65056,0.9971592150692714,0.3963257202969915,0.17999110763404855,1.5685197875391061,0.2605355574328784,0.25688961854535813,0.11404116055132484,0.5154889292226759,0.5966387184716353,0.20033267303877597,0.3691704847536962,0.08644880163138113,0.7590151301873229,0.2045002711006687,0.20452799493876814,0.5196332335472107,0.42176597947484923,0.27936471608464825,0.11389601892395189,0.024645561751326612,2.652054025558755,0.02020012477698753,0.027598508605587112
2.0,11.070849770165351,328.3543402375781,7.30112,7.30112,0.9971592150692714,0.38440269806497723,0.20953207785095404,1.8265872277576822,0.28561786873151507,0.24648377188329465,0.11404116055132484,0.5079922126443747,0.6457470033750002,0.24162137264896477,0.34509626910321467,0.08171869018513589,0.7174850443165997,0.2045002711006687,0.20453723788864786,0.5166186094284058,0.4241678445362842,0.28209418101003175,0.11389601892395189,0.017065921846015533,1.919125973712653,0.013789118445537206,0.019257550478218536
3.0,10.746327265018316,380.09404394520755,10.95168,10.95168,0.9971592150692714,0.3841554245986155,0.22090948309698816,1.9367995506382614,0.29146412917743053,0.24560262788832246,0.11404116055132484,0.5229140535457459,0.6586064048543108,0.2623415268355855,0.3492945501395524,0.08233818917281181,0.7229242071032248,0.2045002711006687,0.2046204620462046,0.5190911889076233,0.42349692811195094,0.2813821805410557,0.11389601892395189,0.012309574959944915,1.4643297614529729,0.010932058114548766,0.013255624922318368
4.0,10.356478111238534,398.2211286821375,14.60224,14.60224,0.9971592150692714,0.3857045741125204,0.222134145749082,1.9515838974190347,0.29561120773913063,0.2466716779158825,0.11404116055132484,0.541901858900378,0.6650304398789487,0.26932771498563235,0.3427728008604306,0.08154875563881556,0.7159930295128706,0.20434723665777937,0.2045002711006687,0.4941825270652771,0.41902725208273023,0.2778341783463287,0.11389601892395189,0.010102490264916721,1.2672702190466225,0.009352497548238458,0.010633086956842647
5.0,10.162631828693264,410.1406310227517,18.2528,18.2528,0.9971592150692714,0.37676476718000596,0.2243277924778044,1.9664965183281253,0.29717467025731253,0.23957383693149725,0.11404116055132484,0.5457768435369873,0.666456998490295,0.2751980226612217,0.34187122314837737,0.081549737423849,0.7160016495247263,0.2042753197451078,0.2045002711006687,0.4917958676815033,0.42037280642234526,0.2791352924539758,0.11389601892395189,0.009002657635956837,1.1892490745522082,0.008655028613943204,0.00925581188663741
6.0,9.954467424173917,401.8262799358076,18.2528,18.2528,0.0,0.3669634471456418,0.23114598796071809,2.034169420979127,0.3058336077220977,0.2315257807619997,0.11404116055132484,0.5143395299124174,0.6733297993917984,0.28518230338378914,0.34187122314837737,0.081549737423849,0.7160016495247263,0.2042753197451078,0.2045002711006687,0.4917958676815033,0.42037280642234526,0.2791352924539758,0.11389601892395189,0.0,0.0,,
7.0,9.328211173012125,492.5499293961173,18.2528,18.2528,0.0,0.3841237392342408,0.24029727255402655,2.122323719602101,0.3096284107396844,0.24481293437310855,0.11404116055132484,0.5888620818870709,0.6812949375129228,0.2811926371374509,0.34187122314837737,0.081549737423849,0.7160016495247263,0.2042753197451078,0.2045002711006687,0.4917958676815033,0.42037280642234526,0.2791352924539758,0.11389601892395189,0.0,0.0,,
8.0,8.921829004479585,523.3615009822846,18.2528,18.2528,0.0,0.3899798510346812,0.2525555128723494,2.235999803234453,0.3234356224669112,0.24902254343496016,0.11404116055132484,0.6000117725910794,0.6890738401693425,0.2849837109179784,0.34187122314837737,0.081549737423849,0.7160016495247263,0.2042753197451078,0.2045002711006687,0.4917958676815033,0.42037280642234526,0.2791352924539758,0.11389601892395189,0.0,0.0,,
9.0,9.728623456008503,669.1957456573886,21.90336,21.90336,0.9971592150692714,0.38229183138515976,0.2261837650730231,1.988411746276739,0.29985167864358975,0.2437509246712561,0.11404116055132484,0.5558483802212127,0.6689667122103773,0.2764891578716292,0.3429623854278979,0.08161782373211342,0.7165994430991434,0.2037807525325615,0.2045002711006687,0.4870939254760742,0.4198164020431702,0.27885010076145383,0.11389601892395189,0.009028178878249766,1.254488772363402,0.007964813290345946,0.009823877505972496
10.0,9.608305660814242,564.6715784462422,21.90336,21.90336,0.0,0.3782715531024679,0.23624682179944081,2.083481370484494,0.31330225074976265,0.2401736351876028,0.11404116055132484,0.528731990908277,0.6806708939345555,0.2883574316093839,0.3429623854278979,0.08161782373211342,0.7165994430991434,0.2037807525325615,0.2045002711006687,0.4870939254760742,0.4198164020431702,0.27885010076145383,0.11389601892395189,0.0,0.0,,
11.0,9.158115588408867,489.28024327224796,21.90336,21.90336,0.0,0.37837195014539476,0.2416521146631081,2.144504704274943,0.3186840716603796,0.23969663989934423,0.11404116055132484,0.57992764274877,0.6849652102644711,0.2940493889071173,0.3429623854278979,0.08161782373211342,0.7165994430991434,0.2037807525325615,0.2045002711006687,0.4870939254760742,0.4198164020431702,0.27885010076145383,0.11389601892395189,0.0,0.0,,
12.0,8.622328096220665,533.3734155764828,21.90336,21.90336,0.0,0.3730866811080264,0.2537648172070861,2.263899229783864,0.3218633271422894,0.23514861927190084,0.11404116055132484,0.5757008036749204,0.6913614635228338,0.30261004600914687,0.3429623854278979,0.08161782373211342,0.7165994430991434,0.2037807525325615,0.2045002711006687,0.4870939254760742,0.4198164020431702,0.27885010076145383,0.11389601892395189,0.0,0.0,,
13.0,9.62839431791824,519.4169105837074,25.55392,25.55392,0.9971592150692714,0.3867927750486868,0.2286230382124956,2.007428508517773,0.300394215800371,0.2475291401867721,0.11404116055132484,0.5884425971947531,0.6695985001421052,0.2764558470887953,0.34440032670740683,0.08193674001362439,0.7193995083211236,0.1999090909090909,0.2045002711006687,0.4686572551727295,0.41584750763650835,0.2755310542466645,0.11389601892395189,0.008360808725721971,1.227226197021082,0.007330702439840719,0.009147667320889261
14.0,9.358966731017041,703.0028052916135,25.55392,25.55392,0.0,0.37944515448128563,0.2389130602301073,2.1095098895128293,0.31265127484469224,0.24117678490526928,0.11404116055132484,0.5564281997817813,0.6796700374807565,0.2879690882393927,0.34440032670740683,0.08193674001362439,0.7193995083211236,0.1999090909090909,0.2045002711006687,0.4686572551727295,0.41584750763650835,0.2755310542466645,0.11389601892395189,0.0,0.0,,
15.0,8.969792545582921,571.7292341493337,25.55392,25.55392,0.0,0.3754774540582112,0.24805547006215983,2.1978992033545537,0.3197570172554877,0.2374885307667602,0.11404116055132484,0.6031241643060423,0.6857805950038979,0.29343163069547146,0.34440032670740683,0.08193674001362439,0.7193995083211236,0.1999090909090909,0.2045002711006687,0.4686572551727295,0.41584750763650835,0.2755310542466645,0.11389601892395189,0.0,0.0,,
16.0,8.553027710586772,565.6683233910875,25.55392,25.55392,0.0,0.3863261312188177,0.2537255192019485,2.2543820949455595,0.32299424723835357,0.2458469385404715,0.11404116055132484,0.5834581258951348,0.6907039230690131,0.2921330656729083,0.34440032670740683,0.08193674001362439,0.7193995083211236,0.1999090909090909,0.2045002711006687,0.4686572551727295,0.41584750763650835,0.2755310542466645,0.11389601892395189,0.0,0.0,,
17.0,9.463900642812636,586.238285998613,29.20448,29.20448,0.9971592150692714,0.3782964397410073,0.23081538367901178,2.023397486362327,0.3037628595178191,0.24063198107212927,0.11404116055132484,0.5552359813222564,0.670373951307809,0.2801788987887556,0.34825450177697725,0.08247644058324467,0.724138045933932,0.19849624060150375,0.2045002711006687,0.45950618386268616,0.4148433054931643,0.27450474256587715,0.11389601892395189,0.007917351108235656,1.2238294281996787,0.006895204886154424,0.008708876662303501
18.0,9.390940366943315,554.9940405638447,29.20448,29.20448,0.0,0.380136638485888,0.23817025698436298,2.093435456826393,0.3173778774487321,0.24114547917779752,0.11404116055132484,0.5803982370416232,0.6798397704995773,0.293764763174418,0.34825450177697725,0.08247644058324467,0.724138045933932,0.19849624060150375,0.2045002711006687,0.45950618386268616,0.4148433054931643,0.27450474256587715,0.11389601892395189,0.0,0.0,,
19.0,9.02192257768275,762.8594700250236,29.20448,29.20448,0.0,0.3651125639071211,0.24024200614444854,2.122215688753402,0.3254721787831138,0.2300579624490209,0.11404116055132484,0.5418415616296735,0.684376694399962,0.299091918984131,0.34825450177697725,0.08247644058324467,0.724138045933932,0.19849624060150375,0.2045002711006687,0.45950618386268616,0.4148433054931643,0.27450474256587715,0.11389601892395189,0.0,0.0,,
20.0,8.473150420041566,598.8123059436206,29.20448,29.20448,0.0,0.3763121226914422,0.2551741130578884,2.2575780021168477,0.3281451372134985,0.23773885484911236,0.11404116055132484,0.5960595432514888,0.6925246333217869,0.2972171057494408,0.34825450177697725,0.08247644058324467,0.724138045933932,0.19849624060150375,0.2045002711006687,0.45950618386268616,0.4148433054931643,0.27450474256587715,0.11389601892395189,0.0,0.0,,
21.0,9.415519192495347,686.6934185889825,32.85504,32.85504,0.9971592150692714,0.37185196562465783,0.2337237266774743,2.0495991154250706,0.3073812385401371,0.23575752584584278,0.11404116055132484,0.5547644074841425,0.6732669654086656,0.28397407717889217,0.3441328225940731,0.08174576572452394,0.7177227658774044,0.19529671137240492,0.2045002711006687,0.4529498517513275,0.4144852316111358,0.27433067401396544,0.11389601892395189,0.007338667351042624,1.1944490196183324,0.006276569424865386,0.008177218473571087
22.0,9.212276986978065,785.1721073614541,32.85504,32.85504,0.0,0.3828703448597469,0.24505704055199878,2.1676110559867925,0.3174901986032483,0.243750465049509,0.11404116055132484,0.5887659943154809,0.6839254276464856,0.28554903999396714,0.3441328225940731,0.08174576572452394,0.7177227658774044,0.19529671137240492,0.2045002711006687,0.4529498517513275,0.4144852316111358,0.27433067401396544,0.11389601892395189,0.0,0.0,,
23.0,8.776212238632704,674.366010122437,32.85504,32.85504,0.0,0.37984035315999176,0.25545325529699003,2.2722793896730793,0.3304136863524472,0.24067729643933974,0.11404116055132484,0.5991342385886291,0.69115896501409,0.2994205491323285,0.3441328225940731,0.08174576572452394,0.7177227658774044,0.19529671137240492,0.2045002711006687,0.4529498517513275,0.4144852316111358,0.27433067401396544,0.11389601892395189,0.0,0.0,,
24.0,8.409225118272783,742.4266154889247,32.85504,32.85504,0.0,0.3822664152616311,0.26290951990036293,2.3440272471798624,0.3322765587240617,0.2421525871906157,0.11404116055132484,0.5896141006487554,0.6980232627653634,0.3013298026634412,0.3441328225940731,0.08174576572452394,0.7177227658774044,0.19529671137240492,0.2045002711006687,0.4529498517513275,0.4144852316111358,0.27433067401396544,0.11389601892395189,0.0,0.0,,
25.0,9.499812673380841,710.8749287954017,36.5056,36.5056,0.9971592150692714,0.37970804635089994,0.23185074212217602,2.0331531335951,0.30941621159831106,0.24168083283162992,0.11404116055132484,0.5812122522884322,0.6745700457014264,0.2827615877631795,0.3460916414175881,0.08232258630560621,0.7227872148944277,0.1878453038674033,0.2045002711006687,0.43672212958335876,0.4109138597047253,0.2715667339914377,0.11389601892395189,0.0072302634605190845,1.2356439284048975,0.005724490770807247,0.008441212082420827
