round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_brier,fed_f1_best,fed_f1,fed_ece,fed_auprc_lift,fed_prevalence,fed_f1_best_threshold,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6883145250810945,0.10811224593535844,3.66096,3.66096,1.0,0.2109387322395704,0.22978989424452176,0.2867476604877297,0.2685314047649756,0.3636800940322324,1.835260255213092,0.11448171691107058,0.49850764359902083,0.6532351755079223,0.6553172102327828,0.20817701708694125,1.8277813311977178,0.2746851830057667,0.2787577639751553,0.5040788650512695,0.3640503192114131,0.2298451418786652,0.11389601892395189,0.025097361776299454,2.7303755933089633,0.022426682062983483,0.027007824615853833,0.010627033440287117
2.0,0.6547815856222726,0.24060151642726546,7.32192,7.32192,1.0,0.21757657262763078,0.22037250668146535,0.29144202060748375,0.2744410120503443,0.3488442460984129,1.8994241797312128,0.11448171691107058,0.5288928236960764,0.6598349890314166,0.6606690117743473,0.21583381435629279,1.895007537536536,0.28076379066478074,0.28325594099972684,0.5225881934165955,0.3491767078084599,0.22043898096514244,0.11389601892395189,0.016955668293415643,1.9751881534903077,0.017543722500828505,0.016675040154153328,0.005741710126365166
3.0,0.6424556550062591,0.3567439844892718,10.98288,10.98288,1.0,0.22126091699372474,0.22656323977242177,0.29437631663180874,0.27237398326438433,0.35604953984195686,1.9315053468294465,0.11448171691107058,0.5444572215334902,0.6622475533610538,0.6618499779305341,0.22066818323290616,1.9374529971960284,0.27448102327531976,0.28325155814878666,0.5400886535644531,0.35597923627583805,0.2264804742789254,0.11389601892395189,0.011070414357126919,1.380365794253521,0.012202428082794349,0.010356083712174505,0.004459952052606391
4.0,0.6433341919640279,0.42027674356888667,14.64384,14.64384,1.0,0.22474143108604974,0.22756226743328942,0.2985662241770102,0.27275801921412257,0.3579200051138299,1.9641553171534123,0.11448171691107058,0.5414966436027844,0.6656006501334457,0.6622306655491297,0.22221797646263267,1.951060085875408,0.27068878833584714,0.28628685943315196,0.5470281839370728,0.35784244584376657,0.2277298796394034,0.11389601892395189,0.0100598098296143,1.3300078350939657,0.010461110796420798,0.00981528792147314,0.0051112481147944306
5.0,0.6510660742972358,0.5538610219651547,18.3048,18.3048,1.0,0.22681815271333258,0.20224239158228258,0.2987657425893468,0.2806282412380189,0.3172411008088126,1.9835180273012782,0.11448171691107058,0.5010081621974687,0.6670125318427259,0.6640833662087138,0.2233021590365868,1.9605791418020073,0.28313253012048195,0.2871626250171256,0.5160447359085083,0.31715431490950446,0.20256204135162595,0.11389601892395189,0.009195424322118402,1.290435817089019,0.008954354622347107,0.009414542539549101,0.004479846833686014
6.0,0.6445033607945769,0.44283531933756526,21.96576,21.96576,1.0,0.22815292115126318,0.21154572352311357,0.30030625170963976,0.2807971163466136,0.33529073981485813,1.9945609169115162,0.11448171691107058,0.5233394063976836,0.6685466067249507,0.6639951561124188,0.2237516333500689,1.9645254984677503,0.28039671850128567,0.28563520619983396,0.516876757144928,0.3352324664780235,0.21187547120365433,0.11389601892395189,0.008485514830030311,1.262893928314952,0.008576822400649633,0.008441042202370332,0.004899011031808589
7.0,0.6469976151956898,0.3717334830676199,25.62672,25.62672,1.0,0.23136787168121817,0.22636807231630868,0.3022632069322626,0.2749426081351289,0.35550065752194093,2.0221620628549206,0.11448171691107058,0.5482860048708244,0.670919026981557,0.6642477640265347,0.22463990663869599,1.9723244829890634,0.2717391304347826,0.2859201614065427,0.5563892722129822,0.3555250809963807,0.2268312838049241,0.11389601892395189,0.008281044518340212,1.3086952579706121,0.007207730977700328,0.009186643191107112,0.005374283701737216
8.0,0.6415662346099075,0.37617600112949157,29.28768,29.28768,1.0,0.23420777954858993,0.21153809000289106,0.30258639805284243,0.2827178235630755,0.33527852718270723,2.0457464549606454,0.11448171691107058,0.5166555480049515,0.672774639945385,0.6639494384597224,0.22459149720722182,1.9718994511755592,0.275926357492426,0.2855467604807974,0.5333845615386963,0.33537629847362993,0.21224337264467077,0.11389601892395189,0.00803415371490988,1.3506517415898998,0.007100639152072105,0.008861837295308882,0.0041697905337242745
9.0,0.6436253224846491,0.42780020955323994,32.94864,32.94864,1.0,0.23708654576073032,0.21598736057601112,0.30411928919465037,0.28433069273056916,0.34202522189184714,2.073255156937099,0.11448171691107058,0.5620891101256486,0.6755582245072247,0.6634662971171048,0.22471791406349098,1.9730093833528513,0.27735223505201784,0.2844780962682531,0.5275470018386841,0.34227027699769047,0.2170006522238778,0.11389601892395189,0.008124444563735704,1.4522264938677836,0.006539338068677341,0.009559696695710366,0.004990604950344261
10.0,0.6432092055073924,0.6515613468386059,36.6096,36.6096,1.0,0.24015116730876268,0.22104337978059738,0.30629056440354663,0.28324362165374395,0.3514931306080699,2.0976851698270917,0.11448171691107058,0.5408159866736801,0.6771561396117644,0.6628717668408246,0.2245183163499731,1.971256927776233,0.27547339945897203,0.2866137010942887,0.5445993542671204,0.3518170781718196,0.2222464266989742,0.11389601892395189,0.00825147190812543,1.5745265414234382,0.006525175099305898,0.009869496143940473,0.0048100936479560765
