round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best_threshold,fed_auroc,fed_auprc,fed_brier,fed_f1,fed_f1_best,fed_prevalence,fed_ece,fed_auprc_lift,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6884119686508849,0.11195270341526686,0.087525,3.66096,1.0,0.5265658029871327,0.6486595918160062,0.20935282498515748,0.2710889817422308,0.20388195658982383,0.2785521247951781,0.11385235068286238,0.41290135597130806,1.8484395184920759,0.6516622075118106,0.20770542770712463,1.8236408056177018,0.2045002711006687,0.27406742725291633,0.5266285538673401,0.41272422574871864,0.27108389258062066,0.11389601892395189,0.870125114600994,8.125196700019842,0.6290037707563079,1.0696696347154808,0.6933880438417827
2.0,0.6919768720492331,0.06803078385657971,0.17505,7.32192,1.0,0.521349229512667,0.6530795899048895,0.21345467859235284,0.2662718776708071,0.20388195658982383,0.2845304619670446,0.11385235068286238,0.4072019452827829,1.8817622675470767,0.6583340858821228,0.21334275371434103,1.8731361792091215,0.2045002711006687,0.2794328500876214,0.521849513053894,0.40704398923122065,0.2662599215108094,0.11389601892395189,0.1369485066844896,1.3433504350541625,0.08335850148678528,0.1761763049377041,0.21903358446558224
3.0,0.6870923762469812,0.07575265941583914,0.262575,10.98288,1.0,0.5128896720414345,0.6549222441231544,0.21432141103831956,0.25823305830910653,0.2042110740249708,0.2842464482298725,0.11385235068286238,0.39784873252143355,1.8888079741808028,0.6603539703378146,0.21573408993378881,1.894131963276381,0.20509334783396774,0.2799936437311298,0.5166601538658142,0.39753059637199145,0.25819082803571,0.11389601892395189,0.10799120185401138,1.1731444929537247,0.06816735026347699,0.14141476335426267,0.18399098530222227
4.0,0.6811088271556343,0.09114319760104354,0.3501,14.64384,1.0,0.5133190991835145,0.654271175747938,0.21467478600700235,0.25547346825829537,0.21919125129997943,0.28718970859308524,0.11385235068286238,0.3944736103521914,1.8928925206973812,0.6604368594665709,0.2159482339721019,1.8960121346847956,0.21997615715544497,0.28005115089514065,0.5116715431213379,0.3943007252339814,0.2554084559777551,0.11389601892395189,0.0927254369878707,1.1933342651927887,0.06058385620691753,0.12171313874476522,0.1058885516625831
5.0,0.6780527716766868,0.10406887086401122,0.437625,18.3048,1.0,0.509176110529571,0.6539465423950852,0.21455914518410532,0.2516199318326328,0.25229716044996686,0.2854924540216813,0.11385235068286238,0.3900801395107992,1.8915894375875721,0.6601136734358577,0.21586866520567147,1.8953135258380407,0.2516327603032805,0.27988497877584556,0.509658694267273,0.38974107898885374,0.2515372045256576,0.11389601892395189,0.07177873742316318,1.0891144581773915,0.043332121793566124,0.09748608857615712,0.2541106392983761
6.0,0.6764117263921581,0.1119252044550513,0.52515,21.96576,1.0,0.5040822582564035,0.654312976979567,0.21482252492024095,0.24863742840442946,0.26201716040815937,0.2854720298938883,0.11385235068286238,0.386574073546528,1.8945852139701869,0.660337166621932,0.21642793136721253,1.9002238481374925,0.26566051459223566,0.28065291661394404,0.5047100782394409,0.38618416996095556,0.24853577246024997,0.11389601892395189,0.04765202361033624,0.8700909835824859,0.030111221649520337,0.06499797032336725,0.056320645388287245
7.0,0.6755768213609665,0.1161305805831302,0.612675,25.62672,1.0,0.5045984564816212,0.6543041179769834,0.214891471393605,0.2452934226099115,0.27089021634455696,0.28554401489083414,0.11385235068286238,0.3827578057140812,1.89593949860163,0.6602484294486639,0.21644397281553396,1.900364691061354,0.27282728272827284,0.2801445907565195,0.5028383135795593,0.38233109634873774,0.24515978966877724,0.11389601892395189,0.034349288573168456,0.7472882543470405,0.02222448236527321,0.04739676570889152,0.0029576448380818215
8.0,0.6724000403173928,0.1342603555388539,0.7002,29.28768,1.0,0.5016191767092446,0.653995454563881,0.21468716488665537,0.2411801138708359,0.2645693393349753,0.2845785258517629,0.11385235068286238,0.3778973432377696,1.8938107597398954,0.6601781023211014,0.21636071845929766,1.8996337229641118,0.2791897819636176,0.2801294498381877,0.5000937581062317,0.3774367365985171,0.24101029969529358,0.11389601892395189,0.025730852344723356,0.6481709337085704,0.02146291749504905,0.030584087122807465,0.0015658070172229214
9.0,0.670955634435284,0.15057565403654077,0.787725,32.94864,1.0,0.4951237224089775,0.6539835408487085,0.21446766699301711,0.2347595516587472,0.2639148650225281,0.2845775913182794,0.11385235068286238,0.3695079016767265,1.8919675522087651,0.6602431335800288,0.2165242467740981,1.9010694914514161,0.2758519818633904,0.27985810011824996,0.4942510426044464,0.36924309035217256,0.23456056591056726,0.11389601892395189,0.018364421666552864,0.5246222566674987,0.00962880371880078,0.02848032945554439,0.0014358680774646862
10.0,0.6688489012744501,0.17492641753046326,0.87525,36.6096,1.0,0.4949348548828029,0.6542295202471465,0.21449948498020002,0.23273833663619434,0.26217858771650676,0.2851838504919717,0.11385235068286238,0.3673990126733206,1.8922957918247671,0.6602562728560027,0.21662807821434757,1.9019811250732972,0.2755939524838013,0.2796432318992655,0.4942764639854431,0.3669389912761016,0.23250561849863788,0.11389601892395189,0.017128439999948793,0.5465421955632337,0.00830351951259554,0.028106692905030952,0.0012023947150151006
